tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
George2Tag,George2,Felis catus,2016-04-30 02:39:13.000,2016-05-07 22:37:10.000,Hunt: Yes; prey_p_month: 7,3 years,Neutered,m,collar,@Trip PC,removal,George2,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Tilly3Tag,Tilly3,Felis catus,2016-04-30 02:46:27.000,2016-05-06 21:53:57.000,Hunt: Yes; prey_p_month: 7,3 years,Spayed,f,collar,@Trip PC,removal,Tilly3,3-min fixes,hrs_indoors: 12; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
FrostyTag,Frosty,Felis catus,2016-04-30 16:01:02.000,2016-05-06 20:08:51.000,Hunt: Yes; prey_p_month: 1,1 year,Neutered,m,collar,@Trip PC,removal,Frosty,3-min fixes,hrs_indoors: 13; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MysticTag,Mystic,Felis catus,2016-05-05 01:32:34.000,2016-05-12 15:57:48.000,Hunt: ; prey_p_month: 0,2 years,Spayed,f,collar,@Trip PC,removal,Mystic,3-min fixes,hrs_indoors: 5; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Stumpy2Tag,Stumpy2,Felis catus,2016-05-06 00:33:35.000,2016-05-12 08:30:31.000,Hunt: Yes; prey_p_month: 4,4 years,Spayed,f,collar,@Trip PC,removal,Stumpy2,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BigglesTag,Biggles,Felis catus,2016-05-06 03:40:39.000,2016-05-12 10:56:39.000,Hunt: No; prey_p_month: 1,4 years,Neutered,m,collar,@Trip PC,removal,Biggles,3-min fixes,hrs_indoors: 12; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Cleo2Tag,Cleo2,Felis catus,2016-05-07 00:32:21.000,2016-05-14 05:34:33.000,Hunt: Yes; prey_p_month: 3,4 years,Spayed,f,collar,@Trip PC,removal,Cleo2,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SparklesTag,Sparkles,Felis catus,2016-05-07 03:33:43.000,2016-05-14 19:52:26.000,Hunt: Yes; prey_p_month: 3,3 years,Spayed,f,collar,@Trip PC,removal,Sparkles,3-min fixes,hrs_indoors: 7; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
GracieLouFreebushTag,GracieLouFreebush,Felis catus,2016-05-12 00:30:34.000,2016-05-20 13:35:21.000,Hunt: Yes; prey_p_month: 6,2 years,Spayed,f,collar,@Trip PC,removal,GracieLouFreebush,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Simba2Tag,Simba2,Felis catus,2016-05-12 00:32:03.000,2016-05-18 21:40:33.000,Hunt: No; prey_p_month: 0,0.4 years,Not Fixed,m,collar,@Trip PC,removal,Simba2,3-min fixes,hrs_indoors: 15; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
