tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
AnakinTag,Anakin,Felis catus,2015-04-30 15:02:04.000,2015-05-10 05:27:08.000,Hunt: Yes; prey_p_month: 1,2 years,Neutered,m,collar,@Trip PC,removal,Anakin,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ErnieTag,Ernie,Felis catus,2015-05-13 15:05:01.000,2015-05-18 15:28:10.000,Hunt: Yes; prey_p_month: 0,11 years,Neutered,m,collar,@Trip PC,removal,Ernie,3-min fixes,hrs_indoors: 5; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
WallyTag,Wally,Felis catus,2015-05-13 15:05:17.000,2015-05-19 21:29:56.000,Hunt: Yes; prey_p_month: 0,2 years,Neutered,m,collar,@Trip PC,removal,Wally,3-min fixes,hrs_indoors: 5; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BellaTag,Bella,Felis catus,2015-05-14 00:34:26.000,2015-05-22 14:58:51.000,Hunt: No; prey_p_month: 0,14 years,Spayed,f,collar,@Trip PC,removal,Bella,3-min fixes,hrs_indoors: 23; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
JaxTag,Jax,Felis catus,2015-05-14 15:02:03.000,2015-05-24 05:29:34.000,Hunt: Yes; prey_p_month: 6,2 years,Neutered,m,collar,@Trip PC,removal,Jax,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RamsesTag,Ramses,Felis catus,2015-05-14 15:02:39.000,2015-05-22 10:08:41.000,Hunt: Yes; prey_p_month: 1,6 years,Neutered,m,collar,@Trip PC,removal,Ramses,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TiggaTag,Tigga,Felis catus,2015-05-14 15:18:26.000,2015-05-22 15:35:49.000,Hunt: Yes; prey_p_month: 3,12 years,Neutered,m,collar,@Trip PC,removal,Tigga,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
FantaPantsTag,FantaPants,Felis catus,2015-05-15 00:32:04.000,2015-05-23 15:07:04.000,Hunt: Yes; prey_p_month: 2,5 years,Neutered,m,collar,@Trip PC,removal,FantaPants,3-min fixes,hrs_indoors: 4; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MatildaTag,Matilda,Felis catus,2015-05-15 00:50:12.000,2015-05-21 09:27:23.000,Hunt: Yes; prey_p_month: 1,8 years,Spayed,f,collar,@Trip PC,removal,Matilda,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TilenTag,Tilen,Felis catus,2015-05-15 05:43:39.000,2015-05-22 07:32:07.000,Hunt: ; prey_p_month: 0,1 year,Fixed, ,collar,@Trip PC,removal,Tilen,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BelTag,Bel,Felis catus,2015-05-15 11:46:20.000,2015-05-19 00:29:48.000,Hunt: Yes; prey_p_month: 4,1 year,Spayed,f,collar,@Trip PC,removal,Bel,3-min fixes,hrs_indoors: 20; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Lucy2Tag,Lucy2,Felis catus,2015-05-15 15:01:55.000,2015-05-24 05:28:33.000,Hunt: No; prey_p_month: 0,1 year,Spayed,f,collar,@Trip PC,removal,Lucy2,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
OllieTag,Ollie,Felis catus,2015-05-15 15:02:04.000,2015-05-23 05:27:03.000,Hunt: Yes; prey_p_month: 4,5 years,Neutered,m,collar,@Trip PC,removal,Ollie,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
CharlieTag,Charlie,Felis catus,2015-05-16 00:31:29.000,2015-05-25 14:57:16.000,Hunt: Yes; prey_p_month: 2,5 years,Neutered,m,collar,@Trip PC,removal,Charlie,3-min fixes,hrs_indoors: 16; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SissyTag,Sissy,Felis catus,2015-05-16 00:31:58.000,2015-05-25 14:59:24.000,Hunt: Yes; prey_p_month: 1,3 years,Spayed,f,collar,@Trip PC,removal,Sissy,3-min fixes,hrs_indoors: 18; n_cats: 3,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
LouiseTag,Louise,Felis catus,2015-05-16 00:32:29.000,2015-05-25 14:56:58.000,Hunt: Yes; prey_p_month: 3,4 years,Spayed,f,collar,@Trip PC,removal,Louise,3-min fixes,hrs_indoors: 15; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
JasperTag,Jasper,Felis catus,2015-05-16 00:33:46.000,2015-05-25 14:57:56.000,Hunt: No; prey_p_month: 0,5 years,Neutered,m,collar,@Trip PC,removal,Jasper,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
LightningTag,Lightning,Felis catus,2015-05-16 00:55:04.000,2015-05-24 02:23:39.000,Hunt: ; prey_p_month: 0,1 year,Spayed,f,collar,@Trip PC,removal,Lightning,3-min fixes,hrs_indoors: 9; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MandyTag,Mandy,Felis catus,2015-05-16 15:00:59.000,2015-05-23 00:44:02.000,Hunt: Yes; prey_p_month: 6,1 year,Spayed,f,collar,@Trip PC,removal,Mandy,3-min fixes,hrs_indoors: 12; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SaffyTag,Saffy,Felis catus,2015-05-21 00:31:59.000,2015-06-03 20:55:01.000,Hunt: Yes; prey_p_month: 1,2 years,Spayed,f,collar,@Trip PC,removal,Saffy,3-min fixes,hrs_indoors: 22; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ShellyTag,Shelly,Felis catus,2015-05-21 00:33:54.000,2015-05-27 03:40:42.000,Hunt: ; prey_p_month: 0,6 years,Spayed,f,collar,@Trip PC,removal,Shelly,3-min fixes,hrs_indoors: 1; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RubyTag,Ruby,Felis catus,2015-05-22 00:31:03.000,2015-05-29 08:26:27.000,Hunt: Yes; prey_p_month: 3,10 years,Spayed,f,collar,@Trip PC,removal,Ruby,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ThomasTag,Thomas,Felis catus,2015-05-22 00:32:22.000,2015-05-30 07:35:58.000,Hunt: Yes; prey_p_month: 0,5 years,Neutered,m,collar,@Trip PC,removal,Thomas,3-min fixes,hrs_indoors: 4; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MystiTag,Mysti,Felis catus,2015-05-22 00:51:17.000,2015-05-29 00:26:38.000,Hunt: Yes; prey_p_month: 1,18 years,Spayed,f,collar,@Trip PC,removal,Mysti,3-min fixes,hrs_indoors: 20; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
CostaTag,Costa,Felis catus,2015-05-22 01:32:04.000,2015-05-31 18:35:45.000,#N/A,,, ,collar,@Trip PC,removal,Costa,3-min fixes,#N/A,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MoochieTag,Moochie,Felis catus,2015-05-22 02:26:00.000,2015-05-29 02:42:11.000,Hunt: No; prey_p_month: 0,4 years,Spayed,f,collar,@Trip PC,removal,Moochie,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SapphireTag,Sapphire,Felis catus,2015-05-29 00:33:45.000,2015-06-06 02:23:41.000,Hunt: 0; prey_p_month: 0,0 years,, ,collar,@Trip PC,removal,Sapphire,3-min fixes,hrs_indoors: 0; n_cats: 0,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RaizorTag,Raizor,Felis catus,2015-05-30 00:30:41.000,2015-06-09 20:18:43.000,Hunt: Yes; prey_p_month: 5,2 years,Spayed,f,collar,@Trip PC,removal,Raizor,3-min fixes,hrs_indoors: 8; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
NekoMeiTag,NekoMei,Felis catus,2015-05-30 00:30:57.000,2015-06-10 14:06:09.000,Hunt: No; prey_p_month: 0,9 years,Spayed,f,collar,@Trip PC,removal,NekoMei,3-min fixes,hrs_indoors: 14; n_cats: 3,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MillyTag,Milly,Felis catus,2015-05-30 00:31:42.000,2015-06-10 19:10:07.000,Hunt: Yes; prey_p_month: 5,4 years,Spayed,f,collar,@Trip PC,removal,Milly,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SlasherTag,Slasher,Felis catus,2015-05-30 00:32:41.000,2015-06-10 02:12:40.000,Hunt: Yes; prey_p_month: 9,8 years,Fixed, ,collar,@Trip PC,removal,Slasher,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
DetectiveTeddyTag,DetectiveTeddy,Felis catus,2015-05-30 00:32:56.000,2015-06-08 14:58:50.000,Hunt: Yes; prey_p_month: 5,8 years,Neutered,m,collar,@Trip PC,removal,DetectiveTeddy,3-min fixes,hrs_indoors: 5; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Misty2Tag,Misty2,Felis catus,2015-05-30 00:32:58.000,2015-06-06 02:47:39.000,Hunt: Yes; prey_p_month: 17,8 years,Spayed,f,collar,@Trip PC,removal,Misty2,3-min fixes,hrs_indoors: 15; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BigFellaTag,BigFella,Felis catus,2015-05-30 00:33:30.000,2015-06-07 02:05:57.000,Hunt: Yes; prey_p_month: 2,7 years,Fixed, ,collar,@Trip PC,removal,BigFella,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
LadyVelvetTag,LadyVelvet,Felis catus,2015-05-30 00:33:32.000,2015-06-08 14:58:50.000,Hunt: No; prey_p_month: 1,8 years,Spayed,f,collar,@Trip PC,removal,LadyVelvet,3-min fixes,hrs_indoors: 20; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MaxTag,Max,Felis catus,2015-05-30 00:36:05.000,2015-06-03 07:24:11.000,Hunt: Yes; prey_p_month: 21,8 years,Neutered,m,collar,@Trip PC,removal,Max,3-min fixes,hrs_indoors: 15; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MikaTag,Mika,Felis catus,2015-05-30 15:02:43.000,2015-06-10 04:28:36.000,Hunt: Yes; prey_p_month: 1,3 years,Spayed,f,collar,@Trip PC,removal,Mika,3-min fixes,hrs_indoors: 18; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
AtikTag,Atik,Felis catus,2015-06-05 00:33:26.000,2015-06-15 14:57:42.000,Hunt: Yes; prey_p_month: 5,2 years,Spayed,f,collar,@Trip PC,removal,Atik,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
KallieTag,Kallie,Felis catus,2015-06-05 00:33:56.000,2015-06-14 14:57:44.000,Hunt: Yes; prey_p_month: 5,1 year,Spayed,f,collar,@Trip PC,removal,Kallie,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
PixieTag,Pixie,Felis catus,2015-06-05 00:34:28.000,2015-06-12 14:59:41.000,Hunt: Yes; prey_p_month: 3,5 years,Spayed,f,collar,@Trip PC,removal,Pixie,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
GenieTag,Genie,Felis catus,2015-06-05 00:47:26.000,2015-06-12 15:31:43.000,Hunt: Yes; prey_p_month: 2,4 years,Spayed,f,collar,@Trip PC,removal,Genie,3-min fixes,hrs_indoors: 14; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Milly2Tag,Milly2,Felis catus,2015-06-05 00:50:34.000,2015-06-11 22:27:29.000,Hunt: Yes; prey_p_month: 3,11 years,Spayed,f,collar,@Trip PC,removal,Milly2,3-min fixes,hrs_indoors: 15; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SkittyTag,Skitty,Felis catus,2015-06-05 15:02:33.000,2015-06-10 09:54:26.000,Hunt: Yes; prey_p_month: 6,5 years,Neutered,m,collar,@Trip PC,removal,Skitty,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Max2Tag,Max2,Felis catus,2015-06-06 00:33:56.000,2015-06-12 22:28:17.000,Hunt: Yes; prey_p_month: 2,3 years,Neutered,m,collar,@Trip PC,removal,Max2,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
KittyTag,Kitty,Felis catus,2015-06-06 00:47:46.000,2015-06-12 09:23:07.000,Hunt: Yes; prey_p_month: 1,4 years,Neutered,m,collar,@Trip PC,removal,Kitty,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
DrakeTag,Drake,Felis catus,2015-06-06 01:39:01.000,2015-06-12 23:07:00.000,Hunt: Yes; prey_p_month: 1,10 years,Spayed,f,collar,@Trip PC,removal,Drake,3-min fixes,hrs_indoors: 18; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
DelilahTag,Delilah,Felis catus,2015-06-06 01:46:17.000,2015-06-12 22:55:06.000,Hunt: Yes; prey_p_month: 5,2 years,Spayed,f,collar,@Trip PC,removal,Delilah,3-min fixes,hrs_indoors: 18; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
KramerTag,Kramer,Felis catus,2015-06-06 03:52:52.000,2015-06-11 00:15:28.000,Hunt: Yes; prey_p_month: 4,12 years,Neutered,m,collar,@Trip PC,removal,Kramer,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MollyTag,Molly,Felis catus,2015-06-06 09:31:32.000,2015-06-13 03:44:14.000,Hunt: 0; prey_p_month: 0,0 years,, ,collar,@Trip PC,removal,Molly,3-min fixes,hrs_indoors: 0; n_cats: 0,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
AdeleTag,Adele,Felis catus,2015-06-08 15:05:06.000,2015-06-13 14:56:58.000,Hunt: Yes; prey_p_month: 6,0.9 years,Spayed,f,collar,@Trip PC,removal,Adele,3-min fixes,hrs_indoors: 24; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
HenryTag,Henry,Felis catus,2015-06-13 00:30:34.000,2015-06-21 14:58:33.000,Hunt: Yes; prey_p_month: 4,1 year,Neutered,m,collar,@Trip PC,removal,Henry,3-min fixes,hrs_indoors: 15; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RioTag,Rio,Felis catus,2015-06-13 00:31:14.000,2015-06-20 15:05:09.000,Hunt: Yes; prey_p_month: 0,4 years,Spayed,f,collar,@Trip PC,removal,Rio,3-min fixes,hrs_indoors: 15; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SmokeyTag,Smokey,Felis catus,2015-06-13 00:31:36.000,2015-06-21 14:57:38.000,Hunt: Yes; prey_p_month: 1,3 years,Spayed,f,collar,@Trip PC,removal,Smokey,3-min fixes,hrs_indoors: 6; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SushiTag,Sushi,Felis catus,2015-06-13 00:31:56.000,2015-06-18 17:04:28.000,Hunt: No; prey_p_month: 0,3 years,Spayed,f,collar,@Trip PC,removal,Sushi,3-min fixes,hrs_indoors: 20; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MidoriTag,Midori,Felis catus,2015-06-13 00:32:16.000,2015-06-21 14:59:18.000,Hunt: Yes; prey_p_month: 2,7 years,Spayed,f,collar,@Trip PC,removal,Midori,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Toby2Tag,Toby2,Felis catus,2015-06-13 00:32:23.000,2015-06-20 14:57:36.000,Hunt: No; prey_p_month: 0,2 years,Neutered,m,collar,@Trip PC,removal,Toby2,3-min fixes,hrs_indoors: 15; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TomTag,Tom,Felis catus,2015-06-13 00:32:34.000,2015-06-21 14:58:33.000,Hunt: Yes; prey_p_month: 5,12 years,Neutered,m,collar,@Trip PC,removal,Tom,3-min fixes,hrs_indoors: 6; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MingoTag,Mingo,Felis catus,2015-06-13 00:32:45.000,2015-06-20 15:03:20.000,Hunt: Yes; prey_p_month: 1,5 years,Spayed,f,collar,@Trip PC,removal,Mingo,3-min fixes,hrs_indoors: 19; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SassyTag,Sassy,Felis catus,2015-06-13 00:33:04.000,2015-06-21 14:57:10.000,Hunt: Yes; prey_p_month: 1,6 years,Spayed,f,collar,@Trip PC,removal,Sassy,3-min fixes,hrs_indoors: 19; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BanditTag,Bandit,Felis catus,2015-06-13 00:33:44.000,2015-06-21 14:58:55.000,Hunt: Yes; prey_p_month: 13,3 years,Spayed,f,collar,@Trip PC,removal,Bandit,3-min fixes,hrs_indoors: 4; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
HunterTag,Hunter,Felis catus,2015-06-13 00:51:48.000,2015-06-21 05:36:12.000,Hunt: Yes; prey_p_month: 0,1 year,Neutered,m,collar,@Trip PC,removal,Hunter,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
DarkieTag,Darkie,Felis catus,2015-06-13 02:50:03.000,2015-06-19 12:08:25.000,Hunt: Yes; prey_p_month: 6,2 years,Spayed,f,collar,@Trip PC,removal,Darkie,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MangoTag,Mango,Felis catus,2015-06-13 03:00:22.000,2015-06-20 00:09:56.000,Hunt: Yes; prey_p_month: 3,1 year,Neutered,m,collar,@Trip PC,removal,Mango,3-min fixes,hrs_indoors: 14; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
CasperTag,Casper,Felis catus,2015-06-14 00:32:34.000,2015-06-20 18:56:05.000,Hunt: Yes; prey_p_month: 3,8 years,Neutered,m,collar,@Trip PC,removal,Casper,3-min fixes,hrs_indoors: 4; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MiloTag,Milo,Felis catus,2015-06-14 00:33:41.000,2015-06-21 13:51:27.000,Hunt: No; prey_p_month: 0,0.58 years,Spayed,f,collar,@Trip PC,removal,Milo,3-min fixes,hrs_indoors: 14; n_cats: 4,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
CharlotteTag,Charlotte,Felis catus,2015-06-14 00:36:01.000,2015-06-20 06:10:03.000,Hunt: Yes; prey_p_month: 3,5 years,Spayed,f,collar,@Trip PC,removal,Charlotte,3-min fixes,hrs_indoors: 17; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
WizzerTag,Wizzer,Felis catus,2015-06-14 01:34:35.000,2015-06-21 18:41:26.000,Hunt: Yes; prey_p_month: 3,12 years,Spayed,f,collar,@Trip PC,removal,Wizzer,3-min fixes,hrs_indoors: 8; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MickeyTag,Mickey,Felis catus,2015-06-14 01:40:22.000,2015-06-21 13:22:37.000,Hunt: Yes; prey_p_month: 6,4 years,Neutered,m,collar,@Trip PC,removal,Mickey,3-min fixes,hrs_indoors: 8; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
JohnnyTag,Johnny,Felis catus,2015-06-14 03:07:49.000,2015-06-21 15:29:23.000,Hunt: Yes; prey_p_month: 11,2 years,Neutered,m,collar,@Trip PC,removal,Johnny,3-min fixes,hrs_indoors: 4; n_cats: 3,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MapleSyrupTag,MapleSyrup,Felis catus,2015-06-19 00:32:51.000,2015-06-25 07:08:30.000,Hunt: No; prey_p_month: 0,10 years,Spayed,f,collar,@Trip PC,removal,MapleSyrup,3-min fixes,hrs_indoors: 21; n_cats: 3,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MugginsTag,Muggins,Felis catus,2015-06-19 01:32:23.000,2015-06-27 15:59:38.000,Hunt: Yes; prey_p_month: 1,0 years,Neutered,m,collar,@Trip PC,removal,Muggins,3-min fixes,hrs_indoors: 2; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
CaspianTag,Caspian,Felis catus,2015-06-19 02:03:41.000,2015-06-25 23:07:27.000,Hunt: Yes; prey_p_month: 11,10 years,Neutered,m,collar,@Trip PC,removal,Caspian,3-min fixes,hrs_indoors: 15; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
LiefTag,Lief,Felis catus,2015-06-19 02:51:37.000,2015-06-23 08:57:40.000,Hunt: Yes; prey_p_month: 11,3 years,Neutered,m,collar,@Trip PC,removal,Lief,3-min fixes,hrs_indoors: 24; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RufusTag,Rufus,Felis catus,2015-06-19 03:01:34.000,2015-06-25 22:21:27.000,Hunt: Yes; prey_p_month: 21,6 years,Neutered,m,collar,@Trip PC,removal,Rufus,3-min fixes,hrs_indoors: 18; n_cats: 4,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
UnoTag,Uno,Felis catus,2015-06-20 00:32:04.000,2015-06-27 15:08:11.000,Hunt: Yes; prey_p_month: 1,13 years,Neutered,m,collar,@Trip PC,removal,Uno,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
NellieTag,Nellie,Felis catus,2015-06-20 00:32:35.000,2015-06-29 14:58:59.000,Hunt: Yes; prey_p_month: 2,4 years,Spayed,f,collar,@Trip PC,removal,Nellie,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BobTag,Bob,Felis catus,2015-06-20 00:33:27.000,2015-06-27 22:42:58.000,Hunt: Yes; prey_p_month: 4,7 years,Neutered,m,collar,@Trip PC,removal,Bob,3-min fixes,hrs_indoors: 9; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
FergieTag,Fergie,Felis catus,2015-06-20 00:35:45.000,2015-06-25 20:21:16.000,Hunt: No; prey_p_month: 4,1 year,Spayed,f,collar,@Trip PC,removal,Fergie,3-min fixes,hrs_indoors: 24; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MarblesTag,Marbles,Felis catus,2015-06-20 00:51:52.000,2015-06-27 13:26:05.000,Hunt: Yes; prey_p_month: 0,7 years,Neutered,m,collar,@Trip PC,removal,Marbles,3-min fixes,hrs_indoors: 20; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ClawdTag,Clawd,Felis catus,2015-06-20 01:12:04.000,2015-06-28 11:50:58.000,Hunt: Yes; prey_p_month: 3,7 years,Neutered,m,collar,@Trip PC,removal,Clawd,3-min fixes,hrs_indoors: 22; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RodneyTag,Rodney,Felis catus,2015-06-20 01:33:27.000,2015-06-29 15:59:17.000,Hunt: Yes; prey_p_month: 2,4 years,Neutered,m,collar,@Trip PC,removal,Rodney,3-min fixes,hrs_indoors: 10; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
NinjaTag,Ninja,Felis catus,2015-06-20 02:31:24.000,2015-06-27 00:01:53.000,Hunt: Yes; prey_p_month: 6,1 year,Spayed,f,collar,@Trip PC,removal,Ninja,3-min fixes,hrs_indoors: 22; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Lucy3Tag,Lucy3,Felis catus,2015-06-25 02:33:34.000,2015-07-03 14:29:26.000,Hunt: Yes; prey_p_month: 6,3 years,Spayed,f,collar,@Trip PC,removal,Lucy3,3-min fixes,hrs_indoors: 1; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MarthaTag,Martha,Felis catus,2015-06-25 13:54:26.000,2015-06-30 12:58:20.000,Hunt: Yes; prey_p_month: 1,2 years,Spayed,f,collar,@Trip PC,removal,Martha,3-min fixes,hrs_indoors: 20; n_cats: 3,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MomoTag,Momo,Felis catus,2015-06-25 15:24:42.000,2015-07-02 00:09:31.000,Hunt: Yes; prey_p_month: 1,2 years,Spayed,f,collar,@Trip PC,removal,Momo,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
