freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,NAI,FNAWS,THS_M3,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	576.42 	576.42 	576.42 	576.42 	576.7 	576.7 	576.7 	1198.2 	: 
A,NAI,FNAWS,THS_M3,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1970 	: 	: 	: 	: 	: 	2500 	: 	: 
A,NAI,FNAWS,THS_M3,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.87 	8.18 	8.25 	9.49 	9.61 	11.28 	11.4 	11.55 	12.95 	13.06 	13.21 	17.02 	: 
A,NAI,FNAWS,THS_M3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	192.03 	248.95 	193.86 	163.86 	: 
A,NAI,FNAWS,THS_M3,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	465.2 	: 	: 
A,NAI,FNAWS,THS_M3,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1871 	1835 	1828 	: 	1889 	1657 	: 	: 
A,NAI,FNAWS,THS_M3,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2480.7 	3013.6 	1772.9 	2083.6 	3720.9 	2654.4 	2437.8 	1341.8 	: 
A,NAI,FNAWS,THS_M3,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10117.8 	10322.19 	10379.79 	10532.65 	10485.18 	10732 	11107.09 	11293.24 	11668.93 	11932.79 	12106.2 	12616.79 	: 
A,NAI,FNAWS,THS_M3,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	333.11 	340.21 	348.03 	350.92 	355 	364.68 	377.47 	379.4 	382.21 	382.56 	382.56 
A,NAI,FNAWS,THS_M3,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	715.3 	703 	697 	622 	685 	679 	680 	682 	: 
A,NAI,FOR,MIO_EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	695.4 p	796.82 p	665.69 p	638.01 p	750.66 p	984.1 p	1030.5 p	878.17 p	1022.32 p	766.98 p	845.59 p	768.62 p	683.81 p	511.62 p	550.22 p	853.64 p	1136.28 p
A,NAI,FOR,MIO_EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	278.14 	228.55 	314.04 	357.02 b	352.43 	: 	344.85 	: 	: 
A,NAI,FOR,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	159.53 	160.04 	192.25 	176.4 	229.06 	229.57 	233.15 	466.82 b	516.41 	490.34 	483.69 	486.25 	478.58 	497.49 	517.95 	543 	: 
A,NAI,FOR,MIO_EUR,CH	224.02 	205.43 	187.13 	167.6 	184.15 	182.33 	139.64 	130.22 	136.18 	132.69 	70.54 	83.54 	89.28 	81.5 	65.88 	64.92 	85.59 	102.12 	96.62 	87.09 	100.97 	121.06 	95.02 	115.86 	143.17 	140.03 	116.83 	119.56 	139.84 	127.67 	130.25 	144.66 p	200.67 e
A,NAI,FOR,MIO_EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	9 	9.37 	9.37 	9.37 	9.37 	9.37 	9.35 	: 
A,NAI,FOR,MIO_EUR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3534.79 	3308.01 	3302.95 	3294.78 	2813.97 	1797.85 	1203.17 	1898.31 	: 
A,NAI,FOR,MIO_EUR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86.21 	96.9 	126.82 	154.06 	153.46 	105.65 	121.55 	98.67 	154.97 	138.63 	134.29 	: 	: 
A,NAI,FOR,MIO_EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	150.82 	129.84 	180.55 	: 
A,NAI,FOR,MIO_EUR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.69 	11.76 	12.32 	13.71 	15.96 	17.95 	19.63 	21.08 	21.71 	13.67 	9.34 	13.6 	: 
A,NAI,FOR,MIO_EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.28 	1.02 	0.99 	1.28 	: 
A,NAI,FOR,MIO_EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	126.14 	125.89 	: 	: 	141.54 	: 	: 
A,NAI,FOR,MIO_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	505.69 	469.98 	528.91 	652.17 	671.52 	: 	2279.48 	: 
A,NAI,FOR,MIO_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2475.73 	2388.83 	2183.42 	2331.27 	2340.94 	2302.61 	2236.96 	2331.81 	: 
A,NAI,FOR,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	912.21 	793.89 	735.55 	901.93 	1082.32 	1250.98 	1258.88 	1256.31 	1786.16 	1780.89 	1774.95 	1774.79 	: 
A,NAI,FOR,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	237.14 	247.76 	216.33 	208.93 	213.4 	249.33 	215.89 	237.4 	232.41 	328.83 	393.67 
A,NAI,FOR,MIO_EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	265 	299 	297 	297 	299 	297 	289 	306 	: 
A,NAI,FOR,MIO_EUR,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	368.43 	409.18 	362.42 	339.28 	336.2 	: 	: 	: 	: 
A,NAI,FOR,MIO_NAC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	695.4 p	796.82 p	665.69 p	638.01 p	750.66 p	984.1 p	1030.5 p	878.17 p	1022.32 p	766.98 p	845.59 p	768.62 p	683.81 p	511.62 p	550.22 p	853.64 p	1136.28 p
A,NAI,FOR,MIO_NAC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544 	447 	614.2 	698.27 b	689.29 	: 	674.47 	: 	: 
A,NAI,FOR,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	312 	313 	376 	345 	448 	449 	456 	913 b	1010 	959 	946 	951 	936 	973 	1013 	1062 	: 
A,NAI,FOR,MIO_NAC,CH	394.76 	364.12 	340.16 	289.98 	298.56 	281.83 	218.94 	214.08 	220.89 	212.34 	109.89 	126.18 	130.98 	123.98 	101.71 	100.51 	134.63 	167.75 	153.38 	131.5 	139.37 	149.22 	114.53 	142.64 	173.9 	149.54 	127.37 	132.92 	161.51 	142.02 	139.43 	156.39 p	201.61 e
A,NAI,FOR,MIO_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	9 	9.37 	9.37 	9.37 	9.37 	9.37 	9.35 	: 
A,NAI,FOR,MIO_NAC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3534.79 	3308.01 	3302.95 	3294.78 	2813.97 	1797.85 	1203.17 	1898.31 	: 
A,NAI,FOR,MIO_NAC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	642 	722 	944 	1149 	1144 	788 	905 	734 	1155 	1035 	1001 	: 	: 
A,NAI,FOR,MIO_NAC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	148.49 	129.91 	180.4 	: 
A,NAI,FOR,MIO_NAC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.69 	11.76 	12.32 	13.71 	15.96 	17.95 	19.63 	21.08 	21.71 	13.67 	9.34 	13.6 	: 
A,NAI,FOR,MIO_NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79 	62.76 	61.07 	78.6 	: 
A,NAI,FOR,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	126.14 	125.89 	: 	: 	141.54 	: 	: 
A,NAI,FOR,MIO_NAC,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4525.7 	4366.35 	4933.17 	6259.2 	6615.2 	: 	23167 	: 
A,NAI,FOR,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10359.2 	9995.1 	9526.7 	9924.2 	9975.9 	9895.7 	9938.8 	10645.2 	: 
A,NAI,FOR,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3842.4 	3365.38 	3280.04 	3985.61 	4809.5 	5561.11 	5652.88 	5739.85 	8312.81 	8450.86 	8587.74 	8734.63 	: 
A,NAI,FOR,MIO_NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	237.14 	247.76 	216.33 	208.93 	213.4 	249.33 	215.89 	237.4 	232.41 	328.83 	393.67 
A,NAI,FOR,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	265 	299 	297 	297 	299 	297 	289 	306 	: 
A,NAI,FOR,MIO_NAC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	297 	297 	297 	297.44 	297.44 	: 	: 	: 	: 
A,NAI,FOR,THS_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36141.38 s	36352.83 s	36920.98 s	37801.04 s	37637.35 s	38546.23 s	26983.31 	29526.41 	29988.8 	28756.12 	27360.79 	29231.8 	30024.6 	24665.26 	29961.18 	24633.55 	28660.98 	25902.03 	23999.31 	23111.37 	26937 	26937 	26937 
A,NAI,FOR,THS_M3,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9530 	9587 	9498.7 	9574.5 	9451.4 	: 	9462.29 	: 	: 
A,NAI,FOR,THS_M3,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8695.98 s	8808.67 s	8802.99 s	8697.48 s	8681.29 s	8635.39 s	8563.87 s	8624.7 s	8656.16 s	8621.87 s	8642.14 s	8394.94 s	8586.77 s	8380.06 s	8383.61 s	8351.8 s	8155.56 s	7606.77 s	7916.55 s	8069.59 s	8010.5 s	: 	: 
A,NAI,FOR,THS_M3,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18138.17 s	18000.96 s	18236.6 s	18264.82 s	18644.27 s	18811.71 s	15612 	15640 	15667 	15695 	15465 	15469 	15728 	14553 b	14649 	13993 	13798 	13875 	13641 	13928 	13560 	13477 	: 
A,NAI,FOR,THS_M3,CH	8139.61 	8053.16 	7970.7 	7706.15 	7713.35 	7517.52 	7007.92 	7039.15 	7086.54 	6941.88 	6946.9 	6951.7 	6956.29 	6960.66 	6964.82 	6970.82 	7563.54 	7046 	6365.12 	6098.16 	6403.68 	7213.48 	6915 	7496.47 	8023.21 	8057.46 	8042.19 	8030.93 	8036.58 	8026.03 	8006.05 	7993.31 p	7998.34 e
A,NAI,FOR,THS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	288.91 s	220.4 s	217.1 s	213.14 s	211.03 s	210.81 s	208.34 s	223.43 s	224.44 s	212.25 s	211.42 s	250.74 s	253.75 s	251.62 s	203 	203 	202.79 	202.78 	202.75 	202.77 	202.76 	202.35 	: 
A,NAI,FOR,THS_M3,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29048.02 s	29039.69 s	29174.14 s	29352.03 s	29329.75 s	29486.53 s	29870.27 s	30064.03 s	29083.38 s	29115.8 s	29484.7 s	29602.51 s	32380.82 s	30208.15 s	30408.04 s	30466.08 s	30852.58 s	31256.16 s	32953.49 s	34692.02 s	36301.26 s	: 	: 
A,NAI,FOR,THS_M3,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	114521.52 s	109924.03 s	107669.66 s	109497.14 s	110136.86 s	94399.5 s	96118.08 s	85396.66 s	98724.36 s	101032.72 s	99579.91 s	92389.42 s	90197.01 s	94073.42 s	102391.17 	102412.05 	102432.82 	102507.7 	99612.31 	99685.03 	99757.72 	99830.43 	: 
A,NAI,FOR,THS_M3,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3458.4 s	4249.22 s	4396.46 s	4459.72 s	4263.13 s	4809.07 s	4778.44 s	4853.29 s	5357.05 s	5429.3 s	5031 	5336 	6801 	8301 	8545 	6408 	7103 	5595 	8729 	6908 	6644 	: 	: 
A,NAI,FOR,THS_M3,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16163.58 s	15753.88 s	16531.52 s	16614.25 s	16589.86 s	16383.53 s	16391.5 s	17400.98 s	16219.63 s	16911.33 s	15488.76 s	15574.37 s	15941.49 s	15028.74 s	15993.61 s	17055.87 s	13807.69 s	18776.58 s	15815.26 s	15543.86 s	14370.94 s	: 	: 
A,NAI,FOR,THS_M3,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5212.71 s	5061.64 s	4983.26 s	4921.48 s	5110.79 s	4958.84 s	5044.27 s	4660.47 s	4044.81 s	4941.65 s	4657.43 s	4909.08 s	3406.49 s	4298.17 s	4898.94 s	4837.16 s	4899.26 s	4074.91 s	4710.24 s	3998.25 s	4734.8 s	: 	: 
A,NAI,FOR,THS_M3,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47694.04 s	47283.89 s	49707.94 s	50372.3 s	50693.08 s	50797.19 s	51434.65 s	50855.49 s	52353.1 s	51245.29 s	53821.04 s	44132.74 s	46152.92 s	45088.49 s	47646.87 s	47382.19 s	48828.77 s	47073.99 s	49207.4 s	46703.96 s	44647.08 s	: 	: 
A,NAI,FOR,THS_M3,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	912291.6 s	910691.24 s	910276.47 s	914145.29 s	913916.73 s	920606.81 s	895907.56 s	889586.29 s	904557.19 s	911565.38 s	919942.55 s	893696.3 s	871384.14 s	874328.04 s	891430.58 s	: 	: 	872590.82 s	870269.19 s	869362.61 s	894238.79 s	: 	: 
A,NAI,FOR,THS_M3,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103244.33 s	105203.26 s	105156.65 s	105765.06 s	106405.24 s	107067.91 s	107803.96 s	107951.03 s	108793.21 s	110077.05 s	111132.09 s	117129.1 s	118624.18 s	118029 s	118624.62 s	119856.14 s	116771.14 s	117067.47 s	116519.21 s	117884.39 s	119518.14 s	: 	: 
A,NAI,FOR,THS_M3,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	127592.32 s	130467.18 s	125969.7 s	123801.59 s	118164.97 s	123289.18 s	123829.54 s	129374.39 s	128460.53 s	133027.97 s	131210.84 s	129874.27 s	98118.96 s	97390.08 s	97158.54 s	97162.45 s	95892.22 s	94404.63 s	93180.35 s	102318.05 s	117493.21 s	: 	: 
A,NAI,FOR,THS_M3,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10144.97 s	10249.59 s	10469.64 s	10651.37 s	10805.1 s	10754.35 s	10809.69 s	10696.54 s	10688.06 s	10785.07 s	10866.04 s	10302.93 s	10336.65 s	10272.9 s	8180 	8180 	9072 	8741.9 	9082.6 	8653.7 	9412.3 	9846.8 	: 
A,NAI,FOR,THS_M3,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10873.33 s	10794.1 s	10891.12 s	11402.34 s	11735.13 s	11811.55 s	11910.38 s	12172.58 s	12373.53 s	12867.26 s	12377.02 s	10497.99 s	10779.58 s	10989.31 s	11196.15 s	11653.49 s	10656.51 s	11094.86 s	9222.67 s	9227.51 s	8131.03 s	: 	: 
A,NAI,FOR,THS_M3,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5625.24 s	5999.85 s	6209.15 s	6340.59 s	6428.67 s	6557.31 s	7206.48 s	7483.7 s	7645.39 s	7854.07 s	7782.55 s	7940.2 s	8405.36 s	8579.13 s	8476.7 	8476.7 	8476.7 	8476.7 	8476.6 	8476.6 	8476.6 	10116.5 	: 
A,NAI,FOR,THS_M3,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41999.36 s	40987.27 s	41897.24 s	42682.24 s	42854.19 s	41153.71 s	41553.97 s	38486.61 s	38915.92 s	38467.92 s	36644.38 s	35732.71 s	34039.87 s	42876.5 s	34433.14 s	32309.09 s	30481.51 s	30140.48 s	30094.25 s	30280.55 s	30018.58 s	: 	: 
A,NAI,FOR,THS_M3,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15663.61 s	15622.81 s	15090.8 s	15102.77 s	14974.45 s	15045.29 s	15056.34 s	15156.16 s	15391.7 s	15606.6 s	15354.31 s	12471.26 s	12892.94 s	12838.87 s	14950 	: 	: 	13203.45 s	11916.73 s	12103.34 s	20000 	: 	: 
A,NAI,FOR,THS_M3,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	820.25 s	837.52 s	833.74 s	830.91 s	895.4 s	821.97 s	800.67 s	728.25 s	863.16 s	718.37 s	758 	762.15 	768.27 	775.84 	786.25 	795.7 	804.57 	815.06 	824.55 	831.93 	841.34 	852.01 	: 
A,NAI,FOR,THS_M3,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25635.89 s	25299.44 s	25016.84 s	24380.38 s	24187.99 s	24590.21 s	24553.46 s	24214.66 s	24236.48 s	24553.6 s	25055.59 s	22940.13 s	21937.95 s	21916.35 s	21732.87 s	22105.94 s	21987.96 s	22278.14 s	25041.46 s	23281.25 s	23241.9 s	: 	: 
A,NAI,FOR,THS_M3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2566.75 	2039.12 	1984.03 	2553.6 	: 
A,NAI,FOR,THS_M3,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3265.27 s	3248.53 s	3250.45 s	3359.81 s	3353.31 s	3350.88 s	3349.16 s	3418.68 s	3377.88 s	3367.24 s	3354.87 s	2668.36 s	2648.07 s	2438.48 s	2577.8 s	2794.06 s	2224 	2222 	3797.5 s	3647.11 s	2440.7 	: 	: 
A,NAI,FOR,THS_M3,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28008 	28313 	26737 	: 	24906 	24090 	: 	: 
A,NAI,FOR,THS_M3,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78584.64 s	78997.8 s	79650.13 s	82631.51 s	83401.76 s	83380.4 s	82859.03 s	84057.71 s	84993.57 s	84868.1 s	83468.13 s	81656.67 s	80929.12 s	82663.3 s	88911.5 	85642.7 	80701.2 	81308.7 	82957.1 	79563.8 	77861.3 	77050.4 	: 
A,NAI,FOR,THS_M3,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20471.91 s	18991.58 s	18392.82 s	17359.39 s	20281.28 s	18615.41 s	20405.27 s	21348.14 s	20909.24 s	20272.55 s	19907.16 s	18426.22 s	20891.65 s	20509.24 s	21219.37 s	23466.4 s	24432.77 s	24656.3 s	24365.76 s	23976 s	24221.11 s	: 	: 
A,NAI,FOR,THS_M3,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37683.72 s	37783.63 s	38335.05 s	36495.98 s	36168.73 s	37166.81 s	38624.53 s	38059.22 s	38744.46 s	39788.3 s	44679.11 	45478.08 	46197.74 	46889.58 	47618.84 	48357.51 	49155.51 	49911.78 	50687.84 	51529.66 	52364.29 	53260 	: 
A,NAI,FOR,THS_M3,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	126415.41 s	126541.82 s	127432.71 s	127562.21 s	127486.46 s	140787.35 s	127428.31 s	124000.04 s	123261.95 s	121793.08 s	132779.22 s	132292.84 s	132437.03 s	130969.78 s	131169.89 s	133779.49 s	138910.86 s	130411.2 s	126253.8 s	123691.95 s	124036.09 s	: 	: 
A,NAI,FOR,THS_M3,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9163.42 s	9262.38 s	9156.36 s	8877.76 s	9062.1 s	9185.38 s	8932.06 s	9322.25 s	9243.53 s	9324.02 s	9161.03 s	4395.98 s	7283.28 	7345.48 	7423.66 	7440.59 	7495.75 	7521.23 	7612.46 	7635.92 	7605.14 	7557.48 	7557.48 
A,NAI,FOR,THS_M3,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15745.22 s	15709.25 s	15883.42 s	16707.96 s	16414.55 s	19990.32 s	15779.98 s	15870.88 s	16339.84 s	16232.83 s	15670.03 s	15836.79 s	15620.62 s	14996.29 s	13890.85 	13906 	13891 	13466 	13449 	13418 	13411 	13422 	: 
A,NAI,FOR,THS_M3,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20401 	20400 	20400 	20400 	20400 	: 	: 	: 	: 
A,NAI,OLWTC_AWS,MIO_EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.68 ep	0.83 ep	0.76 ep	0.82 ep	0.88 ep	1.26 ep	1.3 ep	1.36 ep	1.36 ep	1.33 ep	1.32 ep	1.19 ep	1.11 ep	0.87 ep	0.71 ep	0.59 ep	0.75 ep
A,NAI,OLWTC_AWS,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,NAI,OLWTC_AWS,MIO_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 
A,NAI,OLWTC_AWS,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.91 	12.92 	11.91 	14.52 	17.31 	19.91 	19.94 	19.8 	28.02 	27.8 	27.54 	26.94 	: 
A,NAI,OLWTC_AWS,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.61 	0.69 	0.61 	0.6 	0.63 	0.69 	0.59 	0.65 	0.63 	0.89 	1.06 
A,NAI,OLWTC_AWS,MIO_NAC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.68 ep	0.83 ep	0.76 ep	0.82 ep	0.88 ep	1.26 ep	1.3 ep	1.36 ep	1.36 ep	1.33 ep	1.32 ep	1.19 ep	1.11 ep	0.87 ep	0.71 ep	0.59 ep	0.75 ep
A,NAI,OLWTC_AWS,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,NAI,OLWTC_AWS,MIO_NAC,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 
A,NAI,OLWTC_AWS,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.82 	54.75 	53.09 	64.18 	76.93 	88.52 	89.55 	90.48 	130.41 	131.94 	133.23 	132.59 	: 
A,NAI,OLWTC_AWS,MIO_NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.61 	0.69 	0.61 	0.6 	0.63 	0.69 	0.59 	0.65 	0.63 	0.89 	1.06 
A,NAI,OLWTC_AWS,THS_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.17 ep	56.77 ep	59.38 ep	61.98 ep	64.58 ep	63.71 ep	62.85 ep	61.98 ep	63.69 ep	65.4 ep	67.1 ep	59.57 ep	52.04 ep	44.51 ep	36.98 ep	29.45 ep	21.92 ep
