freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,FAWS,MIO_NAC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124.06 	: 	: 	: 	: 
A,BAL,FAWS,THS_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	2067.11 	2233.9 	2296.61 	-4309.15 	-1533.53 	-2393.33 	-4042.72 	550.4 	-5141.62 	777.63 	-4205.24 	-377.49 	3396.02 	3905.03 	-2502.82 	-430.25 	684.42 
A,BAL,FAWS,THS_M3,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	-13981.54 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 
A,BAL,FAWS,THS_M3,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,BAL,FAWS,THS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	-14.87 s	: 	: 	: 	: 	: 	: 	0 s	: 	: 
A,BAL,FAWS,THS_M3,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	87376.92 s	: 	: 	: 	: 	: 	: 	0 s	: 	: 
A,BAL,FAWS,THS_M3,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	3210.8 s	0 	0 	0 	: 	: 
A,BAL,FAWS,THS_M3,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
