freq,unit,wat_proc,wat_src,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_M3,ABS_AGR,FSW,EE	: 	: 	: 	0.03 	0.03 	0.02 	0.16 	0.30 	0.33 	0.06 	0.05 	0.09 
A,MIO_M3,ABS_AGR,FSW,EL	4210.00 s	3615.40 	3615.40 	3615.40 	3615.40 	3615.40 	2801.64 b	2801.64 	2801.64 	2801.64 	2801.64 	2801.64 
A,MIO_M3,ABS_AGR,FSW,ES	18560.00 	19299.73 	18349.97 	16908.40 	17331.06 	16098.00 	15722.00 	15300.00 	14878.00 	14780.00 	14710.00 	: 
A,MIO_M3,ABS_AGR,FSW,FR	1832.35 	1819.99 	1879.60 	1745.99 	1327.10 	1885.52 	1935.77 	1826.18 	1744.04 	1888.05 	1946.41 	: 
A,MIO_M3,ABS_AGR,FSW,HR	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e	30.00 e
A,MIO_M3,ABS_AGR,FSW,HU	228.30 	276.40 	264.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_AGR,FSW,IE	: 	: 	: 	: 	: 	: 	: 	: 	32.81 b	32.96 	35.33 	36.26 
A,MIO_M3,ABS_AGR,FSW,LT	63.65 	59.71 	57.03 	55.13 	54.34 	57.86 	55.78 	55.19 	53.47 	54.10 	56.13 	54.56 
A,MIO_M3,ABS_AGR,FSW,LU	: 	: 	: 	0.00 	0.00 	0.00 	0.01 	0.01 	0.00 	0.04 	0.02 	0.01 
A,MIO_M3,ABS_AGR,FSW,LV	31.92 	20.96 	39.40 	34.18 	35.09 	47.07 	56.10 	52.72 	51.85 	51.70 	53.85 	52.70 
A,MIO_M3,ABS_AGR,FSW,MT	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e	1.25 e
A,MIO_M3,ABS_AGR,FSW,NL	28.74 	30.86 	13.51 	23.85 	21.94 	28.89 	20.06 	22.73 	76.83 	54.60 	93.00 	: 
A,MIO_M3,ABS_AGR,FSW,PL	1153.30 	1111.20 	1102.40 	1080.00 	1055.50 	990.10 	1039.94 	1015.54 	953.47 	847.41 	801.62 	841.44 
A,MIO_M3,ABS_AGR,FSW,RO	716.00 	941.00 	1063.00 	1109.00 	1067.00 	1255.00 	1203.00 	1444.00 	1292.00 	1538.00 	2095.00 	2405.00 
A,MIO_M3,ABS_AGR,FSW,RS	591.65 	558.60 	618.69 	627.75 	629.24 	719.31 	632.43 	657.46 	708.88 	705.59 	658.72 	625.85 
A,MIO_M3,ABS_AGR,FSW,SE	53.00 	50.60 s	48.20 s	45.80 s	43.40 s	41.00 e	45.40 s	49.80 s	54.20 s	58.60 s	63.00 e	: 
A,MIO_M3,ABS_AGR,FSW,SI	1.58 	2.90 	2.00 	3.30 	1.60 	3.20 	2.70 	3.00 	2.59 	2.90 	2.40 	2.10 
A,MIO_M3,ABS_AGR,FSW,SK	5.90 	11.10 	18.10 	14.00 	10.60 	17.50 	9.40 	17.60 	12.80 	14.50 	14.40 	13.90 
A,MIO_M3,ABS_AGR,FSW,TR	30949.00 d	33099.00 d	34003.00 d	34699.00 d	34487.97 	39113.43 	40967.00 e	40036.00 e	41274.76 e	43062.90 e	42620.49 e	41212.73 e
A,MIO_M3,ABS_AGR,FSW,UK	982.20 	782.40 	893.00 	870.50 s	848.00 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_AGR,FSW,XK	42.45 	46.63 	48.53 	54.84 	56.81 	56.98 	62.34 	54.87 	53.77 	52.60 	: 	: 
A,MIO_M3,ABS_ELC_CL,FSW,AL	: 	: 	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MIO_M3,ABS_ELC_CL,FSW,BE	3522.00 s	3382.62 	3384.42 	2969.97 	2652.76 	2163.03 	2834.50 	2497.11 	2239.63 	2604.79 	: 	: 
A,MIO_M3,ABS_ELC_CL,FSW,BG	3486.15 	3773.43 	3266.69 	3163.45 	3219.76 	3672.81 	3668.45 	3693.89 	3606.91 	3539.77 	3284.82 	: 
A,MIO_M3,ABS_ELC_CL,FSW,CH	: 	: 	37.40 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_ELC_CL,FSW,CZ	697.50 	681.90 	627.50 	496.10 	491.90 	439.10 	514.30 	481.20 	408.60 	359.60 	289.20 	264.50 
A,MIO_M3,ABS_ELC_CL,FSW,DE	19627.90 e	17293.93 s	14959.96 s	12626.00 e	12317.18 s	12008.37 s	11699.56 e	10487.65 s	9275.75 s	8063.85 e	: 	: 
A,MIO_M3,ABS_ELC_CL,FSW,DK	0.00 b	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 p	0.00 p
A,MIO_M3,ABS_ELC_CL,FSW,EE	1496.00 	1527.90 	1307.10 	1480.50 	1460.05 	1329.61 	1516.63 	1454.27 	1306.63 	683.90 	547.16 	681.01 
A,MIO_M3,ABS_ELC_CL,FSW,EL	70.78 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,MIO_M3,ABS_ELC_CL,FSW,ES	6300.00 e	6150.00 e	6100.00 e	5950.00 e	5870.00 e	5750.00 e	5620.00 e	5320.00 e	5450.00 e	5350.00 e	5500.00 e	: 
A,MIO_M3,ABS_ELC_CL,FSW,FR	17136.47 	16993.11 	18832.40 	17016.41 	17213.36 	17037.69 	15704.59 	16094.50 	16041.81 	15297.39 	13867.27 	: 
A,MIO_M3,ABS_ELC_CL,FSW,HR	106.91 e	83.48 e	96.59 	76.82 	73.94 	94.83 	108.08 	166.27 	165.00 	171.86 	164.18 	167.28 
A,MIO_M3,ABS_ELC_CL,FSW,HU	3961.30 	3767.10 	3576.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_ELC_CL,FSW,IE	: 	: 	: 	: 	: 	: 	: 	: 	359.08 b	359.08 	359.08 	359.08 
A,MIO_M3,ABS_ELC_CL,FSW,LT	394.53 	267.56 	351.00 	159.54 	120.63 	143.59 	71.97 	22.59 	15.42 	12.54 	131.22 	87.53 
A,MIO_M3,ABS_ELC_CL,FSW,LU	0.00 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MIO_M3,ABS_ELC_CL,FSW,LV	2.31 	2.12 	2.08 	3.26 	2.59 	3.05 	2.41 	1.36 	2.33 	2.81 	1.99 	2.41 
A,MIO_M3,ABS_ELC_CL,FSW,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MIO_M3,ABS_ELC_CL,FSW,NL	6142.29 	5354.96 	5962.40 	5939.01 	5092.59 	4342.27 	3584.98 	3582.53 	3366.00 	3766.70 	3520.30 	: 
A,MIO_M3,ABS_ELC_CL,FSW,PL	6547.90 	6876.20 	6574.60 	6461.10 	6596.30 	6379.50 	6386.74 	5968.05 	5729.76 	5263.59 	4893.78 	5208.32 
A,MIO_M3,ABS_ELC_CL,FSW,RO	901.00 d	1192.00 d	1121.00 	986.00 	802.00 	737.00 	685.00 	752.00 	677.00 s	602.00 s	527.00 	562.00 
A,MIO_M3,ABS_ELC_CL,FSW,RS	2986.43 	3327.48 	2929.80 	3263.69 	2533.77 	3148.12 	3244.17 	3834.07 	4029.81 	4080.28 	3825.69 	3574.53 
A,MIO_M3,ABS_ELC_CL,FSW,SE	135.00 	124.60 s	114.20 s	103.80 s	93.40 s	83.00 	82.60 s	82.20 s	81.80 s	81.40 s	81.00 	: 
A,MIO_M3,ABS_ELC_CL,FSW,SI	706.90 	632.00 	576.00 	681.80 	769.60 	685.50 	678.60 	713.90 	742.30 	727.08 	792.01 	717.09 
