A,THS_HA,FOR,PRT_INFR,NL	: 	: 	: 	0 	0 
A,THS_HA,FOR,PRT_INFR,PL	: 	915 	886 	836.25 	843.2 
A,THS_HA,FOR,PRT_INFR,RO	109 	166 	166 	170 	: 
A,THS_HA,FOR,PRT_INFR,SI	: 	0.14 	0.14 	0.3 	0.3 
A,THS_HA,FOR,PRT_INFR,SK	: 	14.1 	10.1 	4.8 	4 
A,THS_HA,FOR,PRT_INFR,UK	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT,AT	746 	773 	801 	833 	833 
A,THS_HA,FOWL,PRT,BE	: 	179.1 e	175 e	170.9 e	167.6 e
A,THS_HA,FOWL,PRT,BG	630 	665 	597 	583 	569 
A,THS_HA,FOWL,PRT,CY	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT,CZ	: 	179.97 	251.56 	281.25 	312.27 
A,THS_HA,FOWL,PRT,DE	: 	2981 	3737 	4616 	5500 
A,THS_HA,FOWL,PRT,DK	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT,EE	: 	275.72 	231.64 	157.88 	157.38 
A,THS_HA,FOWL,PRT,ES	5382.74 	6510.21 	6566.68 	6600.71 	6628.92 
A,THS_HA,FOWL,PRT,EU27_2020	18433.1 	27606.7 	34117.5 	36180.0 	38075.1 
A,THS_HA,FOWL,PRT,EU28	18433.1 e	27606.7 e	34117.5 e	36180 e	38075.1 e
A,THS_HA,FOWL,PRT,FI	: 	727 	583 	326 	326 
A,THS_HA,FOWL,PRT,FR	: 	: 	: 	906.39 	906.39 
A,THS_HA,FOWL,PRT,HR	58 	96 	116 	135 	126 
A,THS_HA,FOWL,PRT,HU	202.7 e	218.24 e	181.46 e	197.82 e	200.65 e
A,THS_HA,FOWL,PRT,IT	8018.62 	8547.45 	8811.87 	9080.91 	9349.31 
A,THS_HA,FOWL,PRT,LT	: 	230 e	258 e	246 e	251 e
A,THS_HA,FOWL,PRT,LV	51 e	71 e	122 e	131 e	141 e
A,THS_HA,FOWL,PRT,NL	: 	: 	: 	4.5 	4.5 
A,THS_HA,FOWL,PRT,PL	1356 e	2753 	2907 	2887.4 	3152.4 
A,THS_HA,FOWL,PRT,PT	: 	: 	: 	: 	380.09 
A,THS_HA,FOWL,PRT,RO	1988 e	3009 e	3013 e	3087 e	3087 e
A,THS_HA,FOWL,PRT,SE	: 	: 	5326 	5328 	5328 
A,THS_HA,FOWL,PRT,SI	: 	74.14 e	94.84 e	249.4 e	299.9 e
A,THS_HA,FOWL,PRT,SK	: 	316.9 	344.4 	357.8 	354.7 
A,THS_HA,FOWL,PRT,UK	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_ECO,AT	746 	773 	801 	833 	833 
A,THS_HA,FOWL,PRT_ECO,BE	: 	179.1 e	175 e	170.9 e	167.6 e
A,THS_HA,FOWL,PRT_ECO,BG	430 	538 	478 	439 	427 
A,THS_HA,FOWL,PRT_ECO,CY	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_ECO,CZ	: 	170.35 	228.59 	251.33 	278.22 
A,THS_HA,FOWL,PRT_ECO,DE	: 	2981 	3737 	4616 	5500 
A,THS_HA,FOWL,PRT_ECO,DK	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_ECO,EE	: 	275.72 	231.64 	157.88 	157.38 
A,THS_HA,FOWL,PRT_ECO,ES	5382.74 	6510.21 	6566.68 	6600.71 	6628.92 
A,THS_HA,FOWL,PRT_ECO,EU27_2020	16174.8 	22619.7 	23947.2 	25111.9 	26990.5 
A,THS_HA,FOWL,PRT_ECO,EU28	18053.8 e	25536.7 e	26888.9 e	28278 e	29780.1 e
A,THS_HA,FOWL,PRT_ECO,HR	56 	94 	114 	133 	124 
A,THS_HA,FOWL,PRT_ECO,HU	195.4 e	181.84 e	149.9 e	169.03 e	172.33 e
A,THS_HA,FOWL,PRT_ECO,IT	7957.62 	8486.45 	8750.87 	9019.91 	9288.31 
A,THS_HA,FOWL,PRT_ECO,LT	: 	217 e	236 e	222 e	227 e
A,THS_HA,FOWL,PRT_ECO,LU	: 	1.2 	1.2 	1.2 	1.2 
A,THS_HA,FOWL,PRT_ECO,LV	51 e	71 e	122 e	131 e	141 e
A,THS_HA,FOWL,PRT_ECO,NL	: 	: 	: 	4.5 	4.5 
A,THS_HA,FOWL,PRT_ECO,PL	1356 	1838 	2021 	2009.4 	2309.2 
A,THS_HA,FOWL,PRT_ECO,PT	: 	: 	: 	: 	380.09 
A,THS_HA,FOWL,PRT_ECO,SK	: 	302.8 	334.3 	353 	350.7 
A,THS_HA,FOWL,PRT_ECO,UK	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_INFR,AT	: 	165 	280 	377.75 	385 
A,THS_HA,FOWL,PRT_INFR,BG	200 	232 	146 	144 	142 
A,THS_HA,FOWL,PRT_INFR,CY	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_INFR,CZ	: 	179.97 	251.56 	281.25 	312.27 
A,THS_HA,FOWL,PRT_INFR,DK	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_INFR,EE	: 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_INFR,ES	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_INFR,EU27_2020	379.3 	1784.6 	1856.4 	1971.9 	1802.1 
A,THS_HA,FOWL,PRT_INFR,EU28	379.3 e	1784.61 e	1856.36 e	1971.89 e	1802.09 e
A,THS_HA,FOWL,PRT_INFR,HR	2 	2 	2 	2 	2 
A,THS_HA,FOWL,PRT_INFR,HU	7.3 e	36.4 e	31.56 e	28.79 e	28.32 e
A,THS_HA,FOWL,PRT_INFR,IT	61 	61 	61 	61 	61 
A,THS_HA,FOWL,PRT_INFR,LT	: 	13 e	22 e	24 e	24 e
A,THS_HA,FOWL,PRT_INFR,LU	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_INFR,LV	0 	0 	0 	0 	0 
A,THS_HA,FOWL,PRT_INFR,NL	: 	: 	: 	0 	0 
A,THS_HA,FOWL,PRT_INFR,PL	: 	915 	886 	878 	843.2 
A,THS_HA,FOWL,PRT_INFR,RO	109 e	166 e	166 e	170 e	: 
A,THS_HA,FOWL,PRT_INFR,SI	: 	0.14 e	0.14 e	0.3 e	0.3 e
A,THS_HA,FOWL,PRT_INFR,SK	: 	14.1 	10.1 	4.8 	4 
A,THS_HA,FOWL,PRT_INFR,UK	0 	0 	0 	0 	0 
