freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCC1,FI1	0.5 	0.5 	0.5 	1.6 
A,CVA,LCC1,FI19	0.9 	1.1 	0.9 	1.0 
A,CVA,LCC1,FI1B	3 	3.3 	3.1 	1.7 
A,CVA,LCC1,FI1C	1.3 	1.6 	1.4 	1.2 
A,CVA,LCC1,FI1D	0.6 	0.5 	0.6 	2.3 
A,CVA,LCC1,FI2	2.3 	5.4 	5.8 	3.5 
A,CVA,LCC1,FI20	2.3 	5.4 	5.8 	3.5 
A,CVA,LCC1,FR	0.6 	0.6 	0.6 	1.0 
A,CVA,LCC1,FR1	5.6 	4.4 	4.8 	7.0 
A,CVA,LCC1,FR10	5.6 	4.4 	4.8 	7.0 
A,CVA,LCC1,FR2	1.4 	1.2 	1.3 	: 
A,CVA,LCC1,FR21	2.8 	2.4 	2.5 	: 
A,CVA,LCC1,FR22	4.5 	3.9 	4.2 	: 
A,CVA,LCC1,FR23	5.7 	6 	5.1 	: 
A,CVA,LCC1,FR24	2.7 	2.4 	2.4 	: 
A,CVA,LCC1,FR25	7.5 	6.3 	6.1 	: 
A,CVA,LCC1,FR26	2.4 	2 	2.1 	: 
A,CVA,LCC1,FR3	9.6 	8.8 	8.6 	: 
A,CVA,LCC1,FR30	9.6 	8.8 	8.6 	: 
A,CVA,LCC1,FR4	1.6 	1.4 	1.5 	: 
A,CVA,LCC1,FR41	2.3 	2.2 	2.3 	: 
A,CVA,LCC1,FR42	4.3 	3.7 	3.6 	: 
A,CVA,LCC1,FR43	2.5 	2.3 	2.3 	: 
A,CVA,LCC1,FR5	2.9 	2.7 	2.6 	: 
A,CVA,LCC1,FR51	5.1 	5.2 	4.7 	: 
A,CVA,LCC1,FR52	5.4 	4.5 	4.4 	: 
A,CVA,LCC1,FR53	4.6 	4.2 	4.3 	: 
A,CVA,LCC1,FR6	1.2 	1.2 	1.2 	: 
A,CVA,LCC1,FR61	1.7 	1.6 	1.7 	: 
A,CVA,LCC1,FR62	2 	1.9 	2 	: 
A,CVA,LCC1,FR63	3.3 	3.4 	3.5 	: 
A,CVA,LCC1,FR7	1.4 	1.3 	1.4 	: 
A,CVA,LCC1,FR71	1.6 	1.5 	1.6 	: 
A,CVA,LCC1,FR72	2.9 	2.6 	2.8 	: 
A,CVA,LCC1,FR8	1.4 	1.2 	1.3 	: 
A,CVA,LCC1,FR81	2.4 	2.1 	2.2 	: 
A,CVA,LCC1,FR82	1.9 	1.6 	1.7 	: 
A,CVA,LCC1,FR83	4.5 	3.3 	3.8 	: 
A,CVA,LCC1,FRB	: 	: 	: 	3.1 
A,CVA,LCC1,FRB0	: 	: 	: 	3.1 
A,CVA,LCC1,FRC	: 	: 	: 	2.5 
A,CVA,LCC1,FRC1	: 	: 	: 	2.9 
A,CVA,LCC1,FRC2	: 	: 	: 	4.3 
A,CVA,LCC1,FRD	: 	: 	: 	2.9 
A,CVA,LCC1,FRD1	: 	: 	: 	5.0 
A,CVA,LCC1,FRD2	: 	: 	: 	3.4 
A,CVA,LCC1,FRE	: 	: 	: 	3.3 
A,CVA,LCC1,FRE1	: 	: 	: 	9.2 
A,CVA,LCC1,FRE2	: 	: 	: 	3.0 
A,CVA,LCC1,FRF	: 	: 	: 	2.2 
A,CVA,LCC1,FRF1	: 	: 	: 	2.3 
A,CVA,LCC1,FRF2	: 	: 	: 	4.6 
A,CVA,LCC1,FRF3	: 	: 	: 	3.0 
A,CVA,LCC1,FRG	: 	: 	: 	5.3 
A,CVA,LCC1,FRG0	: 	: 	: 	5.3 
A,CVA,LCC1,FRH	: 	: 	: 	5.3 
A,CVA,LCC1,FRH0	: 	: 	: 	5.3 
A,CVA,LCC1,FRI	: 	: 	: 	2.2 
A,CVA,LCC1,FRI1	: 	: 	: 	2.0 
A,CVA,LCC1,FRI2	: 	: 	: 	7.7 
A,CVA,LCC1,FRI3	: 	: 	: 	5.6 
A,CVA,LCC1,FRJ	: 	: 	: 	3.2 
A,CVA,LCC1,FRJ1	: 	: 	: 	3.6 
A,CVA,LCC1,FRJ2	: 	: 	: 	5.0 
A,CVA,LCC1,FRK	: 	: 	: 	3.7 
A,CVA,LCC1,FRK1	: 	: 	: 	2.9 
A,CVA,LCC1,FRK2	: 	: 	: 	5.1 
A,CVA,LCC1,FRL	: 	: 	: 	4.4 
A,CVA,LCC1,FRL0	: 	: 	: 	4.4 
A,CVA,LCC1,FRM	: 	: 	: 	6.6 
A,CVA,LCC1,FRM0	: 	: 	: 	6.6 
A,CVA,LCC1,HR	: 	: 	1.5 	1.8 
A,CVA,LCC1,HR0	: 	: 	1.5 	1.8 
A,CVA,LCC1,HR03	: 	: 	2.3 	3.0 
A,CVA,LCC1,HR04	: 	: 	1.9 	2.3 
A,CVA,LCC1,HU	2.1 	1.9 	1.9 	2.3 
A,CVA,LCC1,HU1	7.1 	6.5 	6.7 	4.8 
A,CVA,LCC1,HU10	7.1 	6.5 	6.7 	: 
A,CVA,LCC1,HU11	: 	: 	: 	17.0 
A,CVA,LCC1,HU12	: 	: 	: 	5.0 
A,CVA,LCC1,HU2	2.9 	2.6 	2.5 	3.5 
A,CVA,LCC1,HU21	5.3 	4.9 	4.9 	6.2 
A,CVA,LCC1,HU22	5.3 	4.7 	4.4 	8.0 
A,CVA,LCC1,HU23	4.7 	4.1 	4.1 	4.4 
A,CVA,LCC1,HU3	3.4 	3 	2.9 	3.5 
A,CVA,LCC1,HU31	4 	3.9 	3.9 	4.0 
A,CVA,LCC1,HU32	6.9 	6.4 	6 	8.8 
A,CVA,LCC1,HU33	8.2 	6.4 	6.2 	7.7 
A,CVA,LCC1,IE	4.7 	3.6 	3.8 	4.1 
A,CVA,LCC1,IE0	4.7 	3.6 	3.8 	4.1 
A,CVA,LCC1,IE01	6.5 	4.7 	5.1 	: 
A,CVA,LCC1,IE02	6.8 	5.5 	5.6 	: 
A,CVA,LCC1,IE04	: 	: 	: 	7.2 
A,CVA,LCC1,IE05	: 	: 	: 	6.3 
A,CVA,LCC1,IE06	: 	: 	: 	10.4 
A,CVA,LCC1,IT	0.8 	0.7 	0.7 	1.3 
A,CVA,LCC1,ITC	1.5 	1.3 	1.3 	3.0 
A,CVA,LCC1,ITC1	2.1 	1.9 	1.9 	4.7 
A,CVA,LCC1,ITC2	6.4 	19.5 	6 	13.1 
A,CVA,LCC1,ITC3	3 	2.3 	2.3 	2.8 
A,CVA,LCC1,ITC4	2.9 	2.6 	2.6 	6.5 
A,CVA,LCC1,ITF	1.8 	1.6 	1.6 	2.4 
A,CVA,LCC1,ITF1	3.5 	3.4 	3.1 	6.6 
A,CVA,LCC1,ITF2	7.3 	5 	5.1 	7.5 
A,CVA,LCC1,ITF3	4 	3.6 	3.5 	4.4 
A,CVA,LCC1,ITF4	8.8 	7.4 	7 	11.5 
A,CVA,LCC1,ITF5	4.9 	4.1 	4.4 	6.3 
A,CVA,LCC1,ITF6	3.3 	2.6 	2.6 	3.6 
A,CVA,LCC1,ITG	3.6 	2.7 	2.7 	4.2 
A,CVA,LCC1,ITG1	6.8 	5.4 	5.7 	7.6 
A,CVA,LCC1,ITG2	4.2 	3 	3 	4.9 
A,CVA,LCC1,ITH	1.4 	1.3 	1.3 	3.3 
A,CVA,LCC1,ITH1	3.1 	7.2 	2.9 	12.9 
A,CVA,LCC1,ITH2	2.3 	2.2 	2.4 	9.4 
A,CVA,LCC1,ITH3	3.4 	3.3 	3.2 	4.5 
A,CVA,LCC1,ITH4	3.1 	2.9 	2.9 	3.8 
A,CVA,LCC1,ITH5	3.1 	2.6 	2.5 	6.2 
A,CVA,LCC1,ITI	1.5 	1.3 	1.3 	2.8 
A,CVA,LCC1,ITI1	2 	1.7 	1.7 	3.1 
A,CVA,LCC1,ITI2	3.6 	3.1 	3 	4.5 
A,CVA,LCC1,ITI3	4.3 	4.1 	3.7 	9.7 
A,CVA,LCC1,ITI4	3.2 	2.9 	2.9 	7.6 
A,CVA,LCC1,LT	1.5 	1.4 	1.4 	1.5 
A,CVA,LCC1,LT0	1.5 	1.4 	1.4 	1.5 
A,CVA,LCC1,LT00	1.5 	1.4 	1.4 	: 
A,CVA,LCC1,LT01	: 	: 	: 	2.8 
A,CVA,LCC1,LT02	: 	: 	: 	1.7 
A,CVA,LCC1,LU	7.1 	6.7 	6.6 	4.3 
A,CVA,LCC1,LU0	7.1 	6.7 	6.6 	4.3 
A,CVA,LCC1,LU00	7.1 	6.7 	6.6 	4.3 
A,CVA,LCC1,LV	1.2 	1 	1 	1.1 
A,CVA,LCC1,LV0	1.2 	1 	1 	1.1 
A,CVA,LCC1,LV00	1.2 	1 	1 	1.1 
A,CVA,LCC1,MT	: 	61.9 	100 	98.8 
A,CVA,LCC1,MT0	: 	61.9 	100 	98.8 
A,CVA,LCC1,MT00	: 	61.9 	100 	98.8 
A,CVA,LCC1,NL	6.2 	6 	6.3 	4.1 
A,CVA,LCC1,NL1	13.8 	13.3 	13.7 	10.5 
A,CVA,LCC1,NL11	95.5 	96.1 	69.8 	25.9 
A,CVA,LCC1,NL12	25.3 	29.3 	30 	20.2 
A,CVA,LCC1,NL13	16 	13.9 	14.9 	13.5 
A,CVA,LCC1,NL2	10.9 	10.2 	10.7 	6.5 
A,CVA,LCC1,NL21	23.7 	22.7 	24.4 	19.7 
A,CVA,LCC1,NL22	13.9 	12.3 	13.8 	6.8 
A,CVA,LCC1,NL23	25.8 	31 	22.4 	15.1 
A,CVA,LCC1,NL3	17.8 	17.2 	19.2 	12.2 
A,CVA,LCC1,NL31	26.4 	36.6 	65.7 	11.2 
A,CVA,LCC1,NL32	37.5 	44.3 	41.7 	21.6 
A,CVA,LCC1,NL33	35.4 	25.2 	26.5 	33.3 
A,CVA,LCC1,NL34	65.4 	42.6 	38.8 	83.8 
A,CVA,LCC1,NL4	10.3 	10.4 	10.8 	7.6 
A,CVA,LCC1,NL41	12.1 	12.8 	12.9 	9.2 
A,CVA,LCC1,NL42	19.4 	17.7 	20 	14.2 
A,CVA,LCC1,PL	0.8 	0.7 	0.7 	0.8 
A,CVA,LCC1,PL1	2.3 	2 	1.9 	: 
A,CVA,LCC1,PL11	4.1 	3.5 	3.6 	: 
A,CVA,LCC1,PL12	2.9 	2.5 	2.3 	: 
A,CVA,LCC1,PL2	2.6 	2.2 	2.2 	2.9 
A,CVA,LCC1,PL21	3.7 	3 	2.9 	4.8 
A,CVA,LCC1,PL22	3.8 	3.3 	3.4 	2.9 
A,CVA,LCC1,PL3	1.7 	1.4 	1.4 	: 
A,CVA,LCC1,PL31	3.7 	3.1 	2.9 	: 
A,CVA,LCC1,PL32	2.8 	2.3 	2.3 	: 
A,CVA,LCC1,PL33	3.9 	3.4 	3.3 	: 
A,CVA,LCC1,PL34	3.3 	2.6 	2.6 	: 
A,CVA,LCC1,PL4	1.5 	1.3 	1.3 	1.4 
A,CVA,LCC1,PL41	3 	2.5 	2.5 	2.4 
A,CVA,LCC1,PL42	2.5 	2.1 	2.1 	2.3 
A,CVA,LCC1,PL43	2.5 	2.1 	2.1 	2.3 
A,CVA,LCC1,PL5	2.8 	2.3 	2.3 	2.5 
A,CVA,LCC1,PL51	3.3 	2.8 	2.7 	3.1 
A,CVA,LCC1,PL52	4.9 	4.3 	4.4 	4.5 
A,CVA,LCC1,PL6	1.9 	1.6 	1.5 	1.7 
A,CVA,LCC1,PL61	4.1 	3.4 	3.3 	2.7 
A,CVA,LCC1,PL62	2.9 	2.4 	2.4 	3.3 
A,CVA,LCC1,PL63	2.9 	2.6 	2.5 	2.0 
A,CVA,LCC1,PL7	: 	: 	: 	3.2 
A,CVA,LCC1,PL71	: 	: 	: 	3.6 
A,CVA,LCC1,PL72	: 	: 	: 	5.5 
A,CVA,LCC1,PL8	: 	: 	: 	1.7 
A,CVA,LCC1,PL81	: 	: 	: 	2.9 
A,CVA,LCC1,PL82	: 	: 	: 	3.0 
A,CVA,LCC1,PL84	: 	: 	: 	2.7 
A,CVA,LCC1,PL9	: 	: 	: 	2.6 
A,CVA,LCC1,PL91	: 	: 	: 	6.0 
A,CVA,LCC1,PL92	: 	: 	: 	2.8 
A,CVA,LCC1,PT	1.7 	1.4 	1.3 	2.4 
A,CVA,LCC1,PT1	1.7 	1.4 	1.3 	2.4 
A,CVA,LCC1,PT11	4.1 	3.6 	3.4 	7.1 
A,CVA,LCC1,PT15	11.3 	6.5 	7.1 	8.4 
A,CVA,LCC1,PT16	2.4 	2.1 	2.1 	4.3 
A,CVA,LCC1,PT17	17 	10 	9.2 	8.4 
A,CVA,LCC1,PT18	3 	2.3 	2.2 	3.2 
A,CVA,LCC1,RO	: 	0.8 	0.8 	1.1 
A,CVA,LCC1,RO1	: 	1.4 	1.2 	1.7 
A,CVA,LCC1,RO11	: 	2.2 	1.9 	2.5 
A,CVA,LCC1,RO12	: 	1.8 	1.6 	2.4 
A,CVA,LCC1,RO2	: 	1.6 	1.6 	3.4 
A,CVA,LCC1,RO21	: 	1.9 	1.8 	4.5 
A,CVA,LCC1,RO22	: 	3.2 	3.1 	4.7 
A,CVA,LCC1,RO3	: 	2.6 	2.6 	2.8 
A,CVA,LCC1,RO31	: 	2.7 	2.6 	2.9 
A,CVA,LCC1,RO32	: 	14.3 	15.2 	6.6 
A,CVA,LCC1,RO4	: 	1.3 	1.3 	1.5 
A,CVA,LCC1,RO41	: 	2.2 	2.1 	2.1 
A,CVA,LCC1,RO42	: 	1.6 	1.6 	2.1 
A,CVA,LCC1,SE	0.4 	0.4 	0.4 	2.0 
A,CVA,LCC1,SE1	1.3 	1.4 	1.2 	5.8 
A,CVA,LCC1,SE11	4.1 	4.4 	3.6 	6.5 
A,CVA,LCC1,SE12	1.3 	1.4 	1.2 	6.6 
A,CVA,LCC1,SE2	1 	1.1 	0.9 	3.9 
A,CVA,LCC1,SE21	1.3 	1.4 	1.1 	4.5 
A,CVA,LCC1,SE22	3.2 	3.3 	2.9 	3.0 
A,CVA,LCC1,SE23	1.8 	1.9 	1.7 	9.1 
A,CVA,LCC1,SE3	0.5 	0.5 	0.5 	2.5 
A,CVA,LCC1,SE31	0.9 	0.9 	0.7 	5.5 
A,CVA,LCC1,SE32	0.9 	0.9 	0.9 	3.8 
A,CVA,LCC1,SE33	0.8 	0.7 	0.9 	3.4 
A,CVA,LCC1,SI	2 	1.7 	1.7 	2.2 
A,CVA,LCC1,SI0	2 	1.7 	1.7 	2.2 
A,CVA,LCC1,SI03	3 	2.5 	2.4 	2.9 
A,CVA,LCC1,SI04	2.6 	2.3 	2.3 	3.4 
A,CVA,LCC1,SK	1.4 	1.4 	1.4 	1.3 
A,CVA,LCC1,SK0	1.4 	1.4 	1.4 	1.3 
A,CVA,LCC1,SK01	8.8 	7.4 	8.3 	5.1 
A,CVA,LCC1,SK02	3.9 	3.5 	3.4 	2.2 
A,CVA,LCC1,SK03	2 	2 	2 	2.3 
A,CVA,LCC1,SK04	2.2 	2.3 	2.2 	2.1 
A,CVA,LCC1,UK	2.2 	1.9 	2.1 	2.7 
A,CVA,LCC1,UKC	13.3 	11.8 	11.8 	13.6 
A,CVA,LCC1,UKC1	40.4 	38.3 	33.3 	31.8 
A,CVA,LCC1,UKC2	13.8 	12.2 	12.4 	15.0 
A,CVA,LCC1,UKD	13.4 	12.2 	13.2 	12.3 
A,CVA,LCC1,UKD1	17.1 	16.5 	17.9 	16.9 
A,CVA,LCC1,UKD3	72.6 	74.4 	73.2 	45.5 
A,CVA,LCC1,UKD4	32.4 	33.2 	41.9 	29.9 
A,CVA,LCC1,UKD6	32.2 	24.9 	24.8 	23.7 
A,CVA,LCC1,UKD7	97.1 	101.7 	98.3 	52.4 
A,CVA,LCC1,UKE	12 	13.2 	11.9 	12.2 
A,CVA,LCC1,UKE1	36.6 	72.2 	63 	27.7 
A,CVA,LCC1,UKE2	15.2 	15 	13.6 	14.9 
A,CVA,LCC1,UKE3	33.3 	: 	38 	36.6 
A,CVA,LCC1,UKE4	33.9 	28 	36.8 	42.8 
A,CVA,LCC1,UKF	14.5 	17.6 	13 	9.6 
A,CVA,LCC1,UKF1	37.6 	25.2 	24.1 	15.6 
A,CVA,LCC1,UKF2	19.1 	25.9 	25 	20.0 
A,CVA,LCC1,UKF3	24.7 	59.2 	18.7 	13.8 
A,CVA,LCC1,UKG	10 	13.3 	11.9 	10.6 
A,CVA,LCC1,UKG1	13 	17.9 	16.5 	13.4 
A,CVA,LCC1,UKG2	15 	19.6 	17.5 	17.5 
A,CVA,LCC1,UKG3	94.3 	95.8 	73.9 	: 
A,CVA,LCC1,UKH	9.3 	10.1 	9.1 	9.5 
