freq,treespec,prod_wd,stk_flow,unit,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,NCONIF,PN_VN,EXP,THS_M3,DE	: 	: 	: 	134 p	128 p	122 p	116 	110 	125 	122 	119 	119 	126 	117 	114.6 	172 	167 	77.91 	83.23 	78.71 	65.39 	56.86 	55.27 	63.05 	63.54 	62.99 	61.98 	57.6 	57.81 	61.43 	51.03 
A,NCONIF,PN_VN,EXP,THS_M3,DK	: 	: 	: 	16 p	6 	18 	13 	19 	6 	5 	7.63 	3.55 	4.77 e	5.18 	88.99 	40.08 	95.43 	35.48 e	34.41 	34.12 	10.29 	58.58 	1.89 	4.5 	4.68 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_M3,EE	: 	: 	: 	0 p	0 p	0 p	3.3 	6.57 	6.3 	19.99 	13.68 	17.45 	15.89 	18.93 	12.04 	18.65 	15.21 	18.32 	27.66 	28.84 	35.94 	74.58 	85.28 	93.24 	84 	68.2 	77.97 	56.63 	56.6 	91.55 	82 
A,NCONIF,PN_VN,EXP,THS_M3,EL	: 	: 	: 	1.11 p	1.16 p	1.21 p	1.3 	1.3 	0.1 	0.18 	6.8 	0.43 	0.54 	0.69 	1.24 	1.92 	16.75 	30.74 e	32.59 	56.08 	51.85 e	201.29 	42.53 	104.65 	104.65 p	104.65 p	: 	1.28 	0.84 	: 	: 
A,NCONIF,PN_VN,EXP,THS_M3,ES	: 	: 	: 	: 	0 e	0 e	20 	25 	30.1 	37 	38 	35 	32 	36 	28 	30 	35.64 	31.69 	31.19 	32.73 	35.9 	35.65 	31.73 	26.96 	29.67 	31.75 	31.7 	33.55 	30.56 	39.89 	40.28 
A,NCONIF,PN_VN,EXP,THS_M3,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	789.79 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_M3,FI	: 	: 	: 	10.39 p	10.88 p	11.37 p	11.9 	12 	13 	14.15 	13.21 	15.55 	17.49 	15.85 	15.99 	14.03 	10.9 	12.05 	5.51 	4.69 	2.31 e	1.93 	2.25 	2.34 	2.1 	2.95 	30.7 	90.27 	103.3 	115.98 	124.87 p
A,NCONIF,PN_VN,EXP,THS_M3,FR	: 	: 	: 	63.78 p	62.64 p	61.5 p	60.4 	59.2 	73.36 	66.9 	67.64 	54.06 	35.98 	32.85 	33.56 	29.96 e	25.35 e	16.73 e	20.92 e	19.62 p	39.62 e	47.07 e	68.49 	74.26 	91.25 	91.19 	102.83 	69.65 	68.03 	70.73 e	63.59 e
A,NCONIF,PN_VN,EXP,THS_M3,HR	: 	: 	: 	7.54 p	8.14 p	8.75 p	9.4 	10 	16 	17 	13 	18 	24 	18 	22 	27 	26 	14 	20 	17 	16 	15.68 	14.64 	15.44 	18 	20.18 	24.84 	22.44 	20.79 	35.84 	181.11 
A,NCONIF,PN_VN,EXP,THS_M3,HU	: 	: 	: 	21.1 p	24.1 p	27.1 p	19 	19 	19 	24 	24 	28 	29 	31 	29 	29 	17.7 	19.6 	36.11 	36.64 	25.54 	14.39 	27.54 	30.67 	34.7 	30.39 	23.23 	35.54 	21.08 	37.36 	: 
A,NCONIF,PN_VN,EXP,THS_M3,IE	: 	: 	: 	: 	: 	0 e	0.39 	0 	0.4 	0.65 	0.98 	0.03 	0.1 	0.05 	0.75 	0.2 e	0.08 	0.23 	0.03 	0.01 	0.31 	0.01 	0.08 	0.44 	0.16 	0.28 	0.46 	0.71 	0.18 	0.2 	0.16 
A,NCONIF,PN_VN,EXP,THS_M3,IS	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0.01 	0 	0 	0 	: 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,NCONIF,PN_VN,EXP,THS_M3,IT	: 	: 	: 	: 	0 e	0 e	0 e	21 	25 	22 	24.31 	25.85 	26.24 	27.8 	33.95 	64.49 	36.16 	28.93 	30.2 	30 	26.98 e	28.47 	28.24 	26.41 	28.52 	58.49 	39.29 	45.33 	22.74 	38.61 	31.43 
A,NCONIF,PN_VN,EXP,THS_M3,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_M3,LT	: 	: 	: 	5.1 p	3.9 p	2.7 p	1.5 	0.28 	0.45 	0.28 	0.4 	1 	4.12 	1.7 	1.82 	6.15 	8.06 	52.44 	69.81 	92.68 	85.74 	89.46 	78.8 	75.9 	82.14 	75.74 	78.17 	71.07 	82.92 	87.94 	: 
A,NCONIF,PN_VN,EXP,THS_M3,LU	: 	: 	: 	: 	: 	: 	: 	0 	0.06 	0 e	0.01 	0 e	0 e	0 	0.05 	0 	0 	0.01 e	0.01 e	0.07 	0.23 	117.06 	: 	: 	0 	: 	: 	: 	0 	0 	0 
A,NCONIF,PN_VN,EXP,THS_M3,LV	: 	: 	: 	3 p	4 p	5 p	6 	7 	7.49 	10.42 	12.19 	14.18 	14.66 	15.18 	13.47 	9.38 	7.6 	4.71 	6.5 	1.76 	0.6 	1.1 	2.87 	3.28 	4.92 	27.68 	3.48 	3.62 	27.7 	39.56 	73.43 
A,NCONIF,PN_VN,EXP,THS_M3,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.05 	0 	0 	0.02 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_M3,NL	: 	: 	: 	18 p	17 p	16 p	15 	14 	13 	16.4 	11.3 	7.1 	9.2 	4.9 	4.3 	5.6 	7 	4.8 	3 	1.9 	2.2 	1.38 	11.9 	2.6 	3.3 	4.1 	9 	11.2 	11.4 	6 	: 
A,NCONIF,PN_VN,EXP,THS_M3,NO	: 	: 	: 	: 	0 e	0 e	0.32 	0.1 	0.22 	0.13 	0.1 	0.16 	0.3 	0.1 	0.11 	0.56 	0.44 	0.1 	0.21 	0.09 	0.02 	0.04 	0.03 	0 	0 	0.67 	2.68 	0.51 	3.93 	0.67 	2.91 
A,NCONIF,PN_VN,EXP,THS_M3,PL	: 	: 	: 	: 	5.9 	4.9 	5.8 	7.1 	8.3 	8.4 	11.1 	14 	15.7 	21.8 	22.1 	22.71 	20.56 	15.83 	15.88 	12.92 	15.56 	13.78 	15.33 	14.26 	13.54 	11.74 	11.36 	12.75 	13.35 	18.94 	15.19 
A,NCONIF,PN_VN,EXP,THS_M3,PT	: 	: 	: 	6.3 p	5.4 p	4.5 p	3.6 	3 	9.66 	8 	10 	9 	10 	11 	16 	11 	13.32 	6.21 	8.17 e	9.42 	7.67 	7.49 	16.3 	56.07 	21.62 	22.58 	14.89 	46.57 	50.08 	55.9 	46.45 
A,NCONIF,PN_VN,EXP,THS_M3,RO	: 	: 	: 	0 p	0 p	0 p	1 	3 	6.6 	8 	18 	24 	37 	46 	50 	44 	29.23 	32.57 	37.84 	50.17 	52.13 	57.64 	63.43 	77.25 	76.7 	76.9 	70.98 	65.21 	49.71 	59.02 p	59.04 p
A,NCONIF,PN_VN,EXP,THS_M3,SE	: 	: 	: 	4.17 p	4.17 p	4.16 p	4.1 	4 	4.73 	3.32 	4.87 	6.03 	6 	6 	5 	3 	2.34 	1.1 	0.63 	0.15 	0.15 	0.14 	0.08 	0.16 	0.11 	0.13 	0.1 	0.08 	0.14 	0.12 	0.12 
A,NCONIF,PN_VN,EXP,THS_M3,SI	: 	: 	: 	10.46 p	11.86 p	13.26 p	14.7 	16.07 	19.18 	20 	22.59 	23.25 	21.51 	24.28 	26.23 	22.82 	26.51 	18.95 	17.18 	19.53 	16.57 	18.41 	16.85 	16.37 	22.17 	20.16 	21.01 	21.35 	20.44 	27.52 	29.8 
A,NCONIF,PN_VN,EXP,THS_M3,SK	: 	: 	: 	0 p	0 p	0 p	2.9 	17 	8 	13 	7 	8 	4 	2 	3 	5 	7.71 	4.43 	8 	11.17 	8.76 	4.29 	6.47 	4.67 	7.65 	10.09 	11.87 	9.67 	16.52 	33.39 	30.86 
A,NCONIF,PN_VN,EXP,THS_M3,UK	: 	: 	: 	0 p	0 p	0 p	7 	55.55 	12.72 	4.77 	3.99 	2.72 	3.12 	3.2 	3.54 	3.09 	3.09 	2 	1.67 	1.5 	1.49 	1.46 	1.51 	0.85 	1 	0.8 	0.73 	0.67 	0.55 	0.33 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,AT	: 	: 	: 	: 	26927.54 e	31041.98 e	30853.14 	30540.68 	51532 	44300 	55029 	55619 	66898 	60508 	65778 	69910 	52281 	36130 	37484 	38164 	37808 	38085 	35812 	38624 	38989 	46656.92 	45437.82 	47046.62 	41496.84 	47970.85 	56789.68 p
A,NCONIF,PN_VN,EXP,THS_NAC,BE	: 	: 	: 	: 	: 	: 	: 	46207.16 e	49409 	43108.47 	37098.05 	27872.37 	26909.24 	26216 	43076 e	32000 	21700 	15521.79 	17547.8 	16631.81 	11644.7 	8125.18 	11070 	10313.66 	14981.31 	12518.37 	13495.87 	19368.98 	20536.68 	28525.69 	23700.65 
A,NCONIF,PN_VN,EXP,THS_NAC,BG	: 	: 	: 	: 	259.2 e	2419.2 e	2534.4 e	5479.52 	4825.1 	4165.98 	4382.56 	3645.11 e	6966.18 	7966.07 	8172 	6284.24 	6224.06 	5642.28 	7827.34 	7288.23 	6688.6 	6419.23 	5950.8 	7057.37 	10015.37 	11053.64 	16007 	24577.22 	23957.91 	20399.22 	24005.7 
A,NCONIF,PN_VN,EXP,THS_NAC,CH	: 	: 	: 	: 	0 e	0 e	0 e	65036.15 	61065 	39788.61 	30425.58 	25400.7 	25472.7 	23304.7 	22302.87 	19400 	12400 	7200 	9100 	10300 	8300 	6100 	7200 	6400 	4700 	5800 	5400 	3500 	4000 	3000 	3000 e
A,NCONIF,PN_VN,EXP,THS_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	31.97 	36.41 	23.37 	0 	20.18 	0 	11.99 	2.21 	0 	61.51 	93.97 	7.91 	0 	0 	0 	34.32 	75.34 	0 	0 	0 	0 	0 	0 
A,NCONIF,PN_VN,EXP,THS_NAC,CZ	: 	: 	: 	: 	271400 e	380400 e	408277.44 	453012.19 	481025.09 	544071.66 	608018.47 	920000 	1166000 	1184000 	1287644 	1491016 	1284080 	1016546 	635826 	1124580 	1021516 	1021516 	1330186 	1528710 	1456262 	1693391 	1593340 	1433003 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,DE	: 	: 	: 	: 	0 e	0 e	234027.21 	231438.3 	281210.5 	278652 	269732 	244539 	260293 	255513 	301252 	252645 	230906 	171667 	184987 	166590 	139474 	129002 	133815 	144835 	143064 	142982 	140416 	137838 	125469 	149122 	152036 
A,NCONIF,PN_VN,EXP,THS_NAC,DK	: 	: 	: 	: 	57986.7 e	79253.52 e	99997.49 	94008.35 	94000 	87000 	75441.8 	54294.52 	63987.72 	69548.06 	79106.81 	66994.16 	56769.18 	35774.82 e	29975.23 e	26357.26 	12199.03 	156591.92 	1444.86 	14258.77 	13868.83 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,EE	: 	: 	: 	: 	0 e	0 e	2071.92 	7305.1 	6623.94 	15151.57 	16310.56 	19456.03 	16709.15 	22907.07 	20209.69 	22133.75 	19979.12 	24503.03 	29848.76 	26346.73 	30654.09 	37150.95 	39191.83 	40598.4 	40321.54 	41499.34 	46083.66 	38651.11 	38867.35 	57204.8 	69747.31 
A,NCONIF,PN_VN,EXP,THS_NAC,EL	: 	: 	: 	: 	0 e	0 e	842.23 	913.17 	108.37 	141.57 	525.1 	320.09 	469.2 	743.91 	801 	2363.11 	1258.94 	1087.62 	581.54 	830.33 	691.81 	782.46 	757.4 	894.57 	894.57 p	894.57 p	: 	3247.6 	1885.88 	: 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,ES	: 	: 	: 	: 	0 e	0 e	29040.2 	36632.48 	50660.2 	58322 	58875 	58401 	56943 	62724 	70255 	74767.61 	66113.35 	57592.42 	57537.84 	63278.3 	62281.14 	55224.92 	51473.99 	50471.16 	55726.31 	63292.18 	64479.89 	70357.69 	58299.65 	85223.6 	109877.86 
A,NCONIF,PN_VN,EXP,THS_NAC,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9959201.9 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,FI	: 	: 	: 	: 	5648.33 e	8782.87 e	14336.23 	15612.04 	17810.24 	19728.4 	18620.8 	20775.4 	22949.1 	22185 	22183 	20309.6 	16613.22 	10133.67 	8311.82 	7066.83 	3568.33 	3344.68 	2680.67 	2604.4 	2130.54 	2490.99 	7860.2 	19898.03 	22750.63 	25359.1 	32238.8 p
A,NCONIF,PN_VN,EXP,THS_NAC,FR	: 	: 	: 	: 	62388.48 e	71183.81 e	98573.26 	99082.79 	113802 	108964 	99423 	87754 	77010 	73887 	75172 	80747 	66950 	39684 	50007 	50895 p	46835.05 	45804.36 	51920.36 	59154.81 	67754.62 	70753.05 	83416.72 	129756 	128406.18 	140563.71 e	148740.55 e
A,NCONIF,PN_VN,EXP,THS_NAC,HR	: 	: 	: 	: 	13072.51 e	15384.19 e	15822.97 	17608.69 	26837.43 	27122.58 	22218.16 	29029.33 	34800.98 	36928.71 	32512.52 	41831.16 	33197.98 	23201.51 	25641.95 	26721.57 	4239.17 	27298.72 	29108.27 	32605.46 	35903.24 	44879.76 	55971.75 	53285.95 	50687.45 	75115.87 	104394.48 
A,NCONIF,PN_VN,EXP,THS_NAC,HU	: 	: 	: 	: 	0 e	0 e	3935464.22 	4612188.06 	5640727.41 	5417998.61 	5759067.96 	6088000 	5114000 	5767000 	6564000 	6118000 	5128400.07 	4174383.58 	4615078.38 	5252470.62 	4891373.93 	4259136.32 	5934011.37 	6325803.25 	7442725.6 	7343309 	6505099.31 	7242068.8 	6481854.91 	9344281.18 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,IE	: 	: 	: 	: 	: 	0 e	472.6 	0.94 	542 	1310.6 	978.59 	35.98 	101.19 	360 	764 	347 	139 	329 	62 	41 	292 	49 	257 	1202 	204 	499 	774 	2008 	677 	1255 	835 
A,NCONIF,PN_VN,EXP,THS_NAC,IS	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	59 	0 	1641 	0 	0 	0 	: 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,NCONIF,PN_VN,EXP,THS_NAC,IT	: 	: 	: 	: 	0 e	0 e	0 e	68387.24 	82282.52 	84695 	94076.77 	96201.3 	107221.37 	107353 	111485 	127918.54 	107425.11 	85940.09 	86883 	87384 	78992.52 	77818.11 	86213.08 	87617.37 	85592.51 	103049.72 	125851.79 	160445.76 	102375.11 	136052.17 	173755.01 
A,NCONIF,PN_VN,EXP,THS_NAC,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,LT	: 	: 	: 	: 	0 e	0 e	3310.24 	721.13 	432.29 	541.07 	652.59 	1900.78 	3783.15 	3240.87 	3560.46 	5944.93 	9650.56 	8757.14 	10993.38 	15597.14 	17124.97 	62078.69 	17926.74 	17840.3 	18513.2 	17549.57 	19662.01 	19231.92 	17559.51 	21952.85 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,LU	: 	: 	: 	: 	: 	: 	: 	3.7 	13.24 	0 e	9 	2.8 	2.36 	3.11 	295.1 	1.15 	1.1 	1.16 	367.47 	844.65 	247.01 	191.39 	: 	: 	0.06 	: 	: 	: 	0 	0.37 	0.02 
A,NCONIF,PN_VN,EXP,THS_NAC,LV	: 	: 	: 	: 	0 e	0 e	7299.4 	7577.28 	7128.39 	9772.45 	11145.5 	13751.5 	12931.87 	10960.18 	12219.14 	11147.22 	8450.08 	3079.48 	2061.03 	1249 	1024.46 	687.34 	1776.44 	1846.32 	1805.9 	9067.79 	1972.41 	2635.98 	7817.77 	12625.47 	34064.57 
A,NCONIF,PN_VN,EXP,THS_NAC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.66 	0 	0 	9.38 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,NL	: 	: 	: 	: 	0 e	0 e	15274.93 	15999.83 	14311 	17640 	14571 	11054 	11154 	11356 	12199 	17202 	21308 	8492 	7791 	6185 	6101 	3813.13 	2773 	3705 	4954 	4638 	6208 	9833 	6021 	7720 	: 
A,NCONIF,PN_VN,EXP,THS_NAC,NO	: 	: 	: 	: 	0 e	0 e	3310.04 	1030.75 	2375 	1668 	1097 	1805 	4613 	2781 	2324 	7167 	5548 	1733 	2112 	1066 	237 	597 	307 	85 	105 	746 	1254 	1015 	1680 	331 	488 
A,NCONIF,PN_VN,EXP,THS_NAC,PL	: 	: 	: 	: 	18900 	24600 	33756 	40494 	52635 	58078 	86088 	111786 	143964 	173206 	180476 	164810.84 	128280.63 	128002.24 	111104.41 	96645.87 	104677.57 	91484.93 	94187.72 	93168.62 	86612.18 	97159.66 	112877.81 	120562.51 	124787.08 	173213.7 	244143.47 
A,NCONIF,PN_VN,EXP,THS_NAC,PT	: 	: 	: 	: 	0 e	0 e	4041.59 	3121.85 	6931.97 	8955 	10700 	11319 	12415 	15667 	13699 	15073 	13840.29 	9973.86 	14050.54 	13760.75 	12788.56 	14459.59 	18338.97 	21523.4 	23832.9 	24476.76 	24829.94 	26982.92 	26613 	37930.79 	57834.7 
A,NCONIF,PN_VN,EXP,THS_NAC,RO	: 	: 	: 	: 	0 e	0 e	908.86 	1757.14 	6815.88 	13760.29 	56402.43 	101361.35 	166287.74 	180552.88 	205605 	223723 	174186.1 	201175.68 	221277.23 	257460.37 	277707.81 	286211.7 	336538.29 	371060.89 	365720.64 	413784.41 	465335.63 	468423.69 	369783.18 	456246.16 	592471.26 
A,NCONIF,PN_VN,EXP,THS_NAC,SE	: 	: 	: 	: 	0 e	0 e	77871.44 	84246.84 	81200 	74899 	77735 	86367 	80000 	76398 	79000 	66025.92 	58868 	27713 	15108 	5173 	6524 	4491 	4456 	4542 	6795 	4295 	6037 	4510 	7845 	5644 	5644 
A,NCONIF,PN_VN,EXP,THS_NAC,SI	: 	: 	: 	: 	0 e	0 e	13991.11 	15670.87 	22406.3 	26066.47 	32431.77 	33129.31 	32644.55 	38340.86 	36239.79 	40026.48 	33722.54 	22403.31 	20438.51 	24497.98 	22882.14 	24425.36 	23509.31 	23812.63 	31108.04 	28850.37 	29034.59 	31653.64 	32667.94 	44154.33 	56593.36 
A,NCONIF,PN_VN,EXP,THS_NAC,SK	: 	: 	: 	: 	0 e	0 e	4397.77 	8459.54 	10015.04 	13011.65 	13835.51 	13773.29 	9404 	15316.07 	22274.68 	34530.36 	36865.34 	17493.75 	17255.84 	16749.65 	16951.47 	10062.8 	10062.8 	9344.79 	11351.21 	11910.6 	13673.96 	15218.95 	14473.8 	28170.12 	40144.39 
A,NCONIF,PN_VN,EXP,THS_NAC,UK	: 	: 	: 	: 	0 e	0 e	13035.27 	11046.18 	11120.58 	8895.64 	8073.07 	6136.05 	5240.92 	5948.34 	5624.73 	6174.81 	6448.84 	4895 	5287.02 	6813.22 	6801.03 	7640.42 	6985.86 	3440.17 	4559 	3272.06 	2322.22 	2044.6 	1396.72 	2585.39 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,AT	: 	: 	: 	: 	: 	: 	12878.85 	14220.9 	27673 	19524 	21308 	19366 	11330 	12939 	16808 	11044 	9339 	7795 	8109 	8888 	7860 	9315 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,BE	: 	: 	: 	: 	: 	: 	: 	6083.28 	7492 	5966.76 	8277.28 	4811.84 	4310.07 	4492.77 	22551.74 	2207.85 	677.11 	310.62 	695.81 	1109.56 	3189.14 	249.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	457.22 	875.34 	952.63 	1076.82 	1723.34 	1300.24 	1052.76 	1110.48 	1318.9 	1806.89 	1669.17 	1424.99 	2256.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,CY	: 	: 	: 	: 	: 	: 	: 	7.99 	: 	36.67 	0 	: 	20.3 	0 	: 	2.22 	0 	61.51 	0 	7.91 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3979.03 	5589.4 	7682.42 	1208.78 	1376.05 	3529.5 	3166.84 	4463.78 	6511.59 	8137.41 	10422.68 	8388.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,DE	: 	: 	: 	: 	: 	: 	: 	117774 	110758 	112090 	116027 	100382 	87200 	80852 	92721 	69234 	66388 	52134 	58568 	58528 	53617 	47123 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,DK	: 	: 	: 	: 	: 	: 	0 	3362.25 	4024.79 	3757.33 	3345.35 	2220.59 	2521.18 	2463.05 	2039.64 	2540.4 	2937.41 	1185.26 e	519.15 e	517.16 	335.86 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8128.87 	1199.31 	1337.44 	2085.22 	1490.73 	1032.13 	907.81 	3579.31 	2970.14 	2648.82 	3614.45 	5881.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,EL	: 	: 	: 	: 	: 	: 	80.36 	718.04 	89.06 	141.57 	491 	297.49 	354.5 	403.66 	240.53 	355.29 	295.39 	386.42 	204.11 	172.13 	302.65 	474.26 	581.72 	771.03 	771.03 p	771.03 p	: 	: 	437.31 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,ES	: 	: 	: 	: 	: 	: 	12350.75 e	13582 	18768.7 	17880 	15287 	14471 	16900 	16444.08 	21353.97 	22258.64 	20794.93 	17731.66 	18675.73 	22223.92 	24860.03 	23481.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,FI	: 	: 	: 	: 	: 	: 	0 	6607.6 	7072.98 	9103 	8618.4 	10710.2 	2147 	2509.7 	2461.2 	2449.6 	2072.84 	3144.08 	2049.2 	2424.11 	1772.1 	1861.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,FR	: 	: 	: 	: 	: 	: 	14686.41 	16441.2 	20577 	19284 	17916 	12108 	10594 	12998 	13141 	14212 	15266 	9392 	12093 	11111 	12238.13 	10358.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1636.42 	2379.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,HU	: 	: 	: 	: 	: 	: 	: 	5514.06 	6033.46 	1859.86 	1894.23 	4524.17 	3492.81 	3793.59 	3504.12 	3043.56 	2333.56 	1464.65 	1112.61 	1434.1 	945.78 	890.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,IE	: 	: 	: 	: 	: 	: 	464.78 e	: 	241 	644.6 	132.24 	20.01 	1.53 	13.49 	764 	72 	66 	71 	49 	41 	55 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,IT	: 	: 	: 	: 	: 	: 	: 	30368.6 	40307.9 	40577 	43567.46 	48931 	65361 	66927 	63872 	75439.93 	56215.95 	44972.76 	45974 	51617.48 	46885.53 	46663.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	186.31 	21.14 	352.27 	279.57 	1825.9 	1200.6 	1909.65 	1048.81 	866.09 	1551.45 	2594.08 	11549.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.26 	0 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.36 	200.06 	7012.78 	852.72 	200.76 	384.99 	717.11 	847.67 	113.87 	0 	8.07 e	31.36 	47.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,MT	: 	: 	: 	: 	: 	: 	: 	2.54 	8.04 	60.33 	0 	23.45 	0 	0 	9.38 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,NL	: 	: 	: 	: 	: 	: 	: 	6033.46 	5447 	4935 	3583 	2774 	2537 	3411 	3077 	3938 	2220 	2337 	7791 	1822 	2012 	1678 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.04 	11.98 	7.05 	64.74 	11.24 	13.86 	2.54 	0.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	540.54 	1991.67 	1098.35 	2074.82 	2810.39 	1756.62 	1100.67 	3040.66 	4036.7 	3426.73 	4212.03 	3054.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NCONIF,PN_VN,EXP_XEU,THS_EUR,PT	: 	: 	: 	: 	: 	: 	52.68 	240.08 	280 	1155 	907 	834 	898 	1966 	843 	589 	975.84 	687.76 	1137.72 	1701.07 	3754.43 	4830.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 
