freq,treespec,prod_wd,stk_flow,unit,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CONIF,PN_PY,EXP,THS_EUR,LT	: 	: 	: 	: 	7012.42 e	5255.55 e	22.32 	0.36 	0 	0 	0 	0 	0 	1668.69 	2111.13 	1662.03 	1823.48 	351.18 	1945.62 	1455.49 	607.66 	1572.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,LU	: 	: 	: 	: 	: 	: 	: 	41.6 	60.4 	56 	53 	97.75 	61.28 	56.59 	1302.29 	0.59 	13.37 	1.15 	148.29 	41.44 	29.96 	8.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,LV	: 	: 	: 	: 	35334.64 e	43099.71 e	0 	1009.11 	0 	463.81 	485.73 	445.42 	274.16 	130.18 	241.05 	696.27 	68.17 	236.47 	157.37 	908.72 e	1949.4 	1064.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.99 e	1.78 	0 	0 	2.02 	0.28 	0 	13.96 	0 	0.3 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,NL	: 	: 	: 	: 	34431.32 e	38569.88 e	6747.97 	4807.84 	5447 	6677 	3106 	1943 	3546 	2936 	4560 	4334 	5810 	4221 	5479 	7281 	5787 	5219.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,NO	: 	: 	: 	: 	3021.65 e	2840.44 e	518.55 	688.87 	485.4 	602.23 	753 	728.57 	1039.94 	770.24 	1788.7 	1756.75 	1291.15 	897.13 	2120.86 	7202.25 	8543.97 	2824.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,PL	: 	: 	: 	: 	10729.63 	14477.73 	14749.9 	16622.27 	17038.82 	17820.87 	17029.09 	18371.44 	21082 	25146.16 	29431.45 	54411.43 	40539.24 	27016.99 	33314.36 	39608.67 	27812.07 	29458.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,PT	: 	: 	: 	: 	638.21 e	715.06 e	1658.88 	1296.52 	2279.96 	2893 	4603 	4259 	2763 	3128 	2469 	1687 	580.43 	1935.47 	2196.19 	3187.27 	23358.53 	375.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,RO	: 	: 	: 	: 	16606.19 e	20068.11 e	7427.58 	7922.02 	13535.3 	17804.82 	22431.58 	23199.36 	33514.21 	33267.13 	10625.96 	1983.33 	1789.39 	1552.89 	2339.45 	1968.99 	9099.94 	8109.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,SE	: 	: 	: 	: 	33479.79 e	37256.63 e	24723.73 	17108.97 	17326.34 e	19068.84 e	19037.02 e	15519.17 	12800.98 e	12583.22 e	16912.94 	21905 	14298.61 	12823.31 	13687.94 	12091.74 	12086.03 	12289.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 
