freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	2000 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,FNAWS,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.09 	-0.41 	-0.14 	0 	: 
A,BAL,FNAWS,THS_HA,AT	: 	: 	2.14 	2.14 	2.14 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 	1.74 
A,BAL,FNAWS,THS_HA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,BAL,FNAWS,THS_HA,FR	: 	: 	: 	: 	: 	: 	: 	: 	-8.68 	-3.61 	19.59 	44.68 	40.99 	48.94 	-0.83 	-20.13 e	-61.49 	11.21 	: 
A,BAL,FNAWS,THS_HA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.33 	: 	: 
A,BAL,FNAWS,THS_HA,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,BAL,FNAWS,THS_HA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,BAL,FNAWS,THS_HA,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	-2 	: 	: 
A,BAL,FNAWS,THS_HA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,BAL,FNAWS,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,BAL,FNAWS,THS_HA,RO	: 	: 	: 	: 	: 	: 	: 	-7.39 	: 	: 	: 	7.1 	: 	: 	: 	-9.15 	20.96 	: 	: 
A,BAL,FNAWS,THS_HA,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.05 	: 	: 
A,BAL,FOR,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	15.34 	-55.73 	-1.02 	: 
A,BAL,FOR,MIO_EUR,DK	: 	: 	: 	: 	: 	: 	-0.13 	0.13 	0 	: 	: 	0.13 	: 	0.13 	-0.27 	0.13 	: 	: 	: 
A,BAL,FOR,MIO_EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	77.73 	140.17 	-5.01 	-42.61 	84.19 	152.14 	132.28 	291.2 e	298.71 	121.6 e	: 
A,BAL,FOR,MIO_EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.01 e	: 	: 
A,BAL,FOR,MIO_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.65 	27.92 	21.29 	24.64 	20.13 	-22.71 	9.03 	4.69 	: 
A,BAL,FOR,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	-5.23 	: 	: 	: 	7.44 	: 	: 	: 	-12.79 	28.7 	-0.28 	: 
