A,THS_HA,FOR,PRO_LSC,EE	: 	124.81 	201.44 	197.52 	177.4 
A,THS_HA,FOR,PRO_LSC,ES	0 	: 	0 	117.32 	118.42 
A,THS_HA,FOR,PRO_LSC,EU27_2020	349.80 	9547.02 	11937.41 	14796.85 	14806.26 
A,THS_HA,FOR,PRO_LSC,EU28	349.8 	9547.02 	11937.41 	14884.35 	5618.37 
A,THS_HA,FOR,PRO_LSC,FI	: 	579 	1026 	867 	867 
A,THS_HA,FOR,PRO_LSC,FR	: 	: 	: 	2664.39 	2664.39 e
A,THS_HA,FOR,PRO_LSC,HR	1 	3 	3 	4 	4 
A,THS_HA,FOR,PRO_LSC,HU	252.05 	172.85 	186.06 	210.39 	211.65 
A,THS_HA,FOR,PRO_LSC,IT	: 	: 	897.86 	897.86 	897.86 
A,THS_HA,FOR,PRO_LSC,LT	: 	155 	177 	174 	174 
A,THS_HA,FOR,PRO_LSC,LU	0 	0 	0 	: 	: 
A,THS_HA,FOR,PRO_LSC,LV	: 	142.33 	157.58 	159.2 	162.49 
A,THS_HA,FOR,PRO_LSC,NL	: 	33 	33 	33 	33 
A,THS_HA,FOR,PRO_LSC,PL	: 	1346 	1403 	1308 	1307.8 
A,THS_HA,FOR,PRO_LSC,PT	: 	938.4 	938.4 	: 	1.26 
A,THS_HA,FOR,PRO_LSC,RO	: 	: 	140.5 	140.5 e	140.5 e
A,THS_HA,FOR,PRO_LSC,SE	73.75 	84.95 	86.84 	92.79 	94.82 
A,THS_HA,FOR,PRO_LSC,SI	: 	51 	81.1 	81.1 	91.8 
A,THS_HA,FOR,PRO_LSC,SK	: 	547.8 	501.3 	774.6 	782.9 
A,THS_HA,FOR,PRO_LSC,UK	: 	: 	: 	228 	228 e
A,THS_HA,FOWL,PRO,AT	: 	1019.1 	1019.1 	658.6 	834.77 
A,THS_HA,FOWL,PRO,BE	: 	35.5 e	39.6 e	42.35 e	47.92 e
A,THS_HA,FOWL,PRO,BG	131 	239 	280 	580 	578 e
A,THS_HA,FOWL,PRO,CY	8.17 	21.52 	26.41 	26.41 	26.41 
A,THS_HA,FOWL,PRO,CZ	: 	715.66 	752.1 	750.9 	751.6 
A,THS_HA,FOWL,PRO,DE	: 	6825 	8080 	9264 	9264 e
A,THS_HA,FOWL,PRO,DK	2.01 	15.39 	120.88 	120.26 	123.71 
A,THS_HA,FOWL,PRO,EE	: 	360.91 	506.84 	548.59 	553.97 
A,THS_HA,FOWL,PRO,EL	139 	152 	192 	197 	197 
A,THS_HA,FOWL,PRO,ES	2437.88 	0 	5006.24 	5463.43 	5481.4 
A,THS_HA,FOWL,PRO,EU27_2020	5024.41 	23007.16 	32989.93 	40462.31 	41885.88 
A,THS_HA,FOWL,PRO,EU28	5024.41 	23007.16 	32989.93 	40752.28 	42175.88 
