NAP,M3_HAB,LV,INTFL	10425.63 
NAP,M3_HAB,LV,OUTFL	17476.35 
NAP,M3_HAB,LV,PRECIP	22934.59 
NAP,M3_HAB,LV,RFW_RES	19442.40 
NAP,M3_HAB,MK,INFL_NBT	519.21 
NAP,M3_HAB,MK,OUTFL	3237.14 
NAP,M3_HAB,MK,PRECIP	10001.74 
NAP,M3_HAB,MT,EVAP_TSP	171.13 
NAP,M3_HAB,MT,INFL_NBT	0.00 
NAP,M3_HAB,MT,INTFL	160.01 
NAP,M3_HAB,MT,OUTFL	104.39 
NAP,M3_HAB,MT,PRECIP	331.15 
NAP,M3_HAB,MT,RFW_RES	160.01 
NAP,M3_HAB,NL,EVAP_TSP	1272.51 d
NAP,M3_HAB,NL,INFL_NBT	4468.99 
NAP,M3_HAB,NL,INTFL	553.58 
NAP,M3_HAB,NL,OUTFL	4810.92 
NAP,M3_HAB,NL,PRECIP	1826.09 
NAP,M3_HAB,NL,RFW_RES	5022.57 
NAP,M3_HAB,NO,EVAP_TSP	34912.02 
NAP,M3_HAB,NO,INFL_NBT	1207.86 
NAP,M3_HAB,NO,INTFL	67550.29 
NAP,M3_HAB,NO,OUTFL	68141.27 
NAP,M3_HAB,NO,PRECIP	102462.31 
NAP,M3_HAB,NO,RFW_RES	68758.15 
NAP,M3_HAB,PL,EVAP_TSP	3994.91 
NAP,M3_HAB,PL,INFL_NBT	198.80 
NAP,M3_HAB,PL,INTFL	1333.06 
NAP,M3_HAB,PL,OUTFL	1531.86 
NAP,M3_HAB,PL,PRECIP	5327.97 
NAP,M3_HAB,PL,RFW_RES	1531.86 
NAP,M3_HAB,PT,EVAP_TSP	4235.84 
NAP,M3_HAB,PT,INFL_NBT	3402.60 
NAP,M3_HAB,PT,INTFL	3751.90 
NAP,M3_HAB,PT,OUTFL	3305.38 
NAP,M3_HAB,PT,PRECIP	7987.74 
NAP,M3_HAB,PT,RFW_RES	7154.49 
NAP,M3_HAB,RO,EVAP_TSP	6242.91 
NAP,M3_HAB,RO,INFL_NBT	16.34 
NAP,M3_HAB,RO,INTFL	2066.13 
NAP,M3_HAB,RO,OUTFL	903.24 
NAP,M3_HAB,RO,PRECIP	8308.94 
NAP,M3_HAB,RO,RFW_RES	2082.47 
NAP,M3_HAB,RS,EVAP_TSP	6388.02 
NAP,M3_HAB,RS,INFL_NBT	23088.01 
NAP,M3_HAB,RS,INTFL	1929.45 
NAP,M3_HAB,RS,OUTFL	25017.46 
NAP,M3_HAB,RS,PRECIP	8317.47 
NAP,M3_HAB,RS,RFW_RES	25017.46 
NAP,M3_HAB,SE,EVAP_TSP	16274.49 
NAP,M3_HAB,SE,INFL_NBT	1435.41 
NAP,M3_HAB,SE,INTFL	17462.39 
NAP,M3_HAB,SE,OUTFL	18897.90 
NAP,M3_HAB,SE,PRECIP	33669.01 
NAP,M3_HAB,SE,RFW_RES	18897.90 
NAP,M3_HAB,SI,EVAP_TSP	6179.09 e
NAP,M3_HAB,SI,INFL_NBT	7150.59 e
NAP,M3_HAB,SI,INTFL	7790.03 e
NAP,M3_HAB,SI,OUTFL	14406.96 e
NAP,M3_HAB,SI,PRECIP	13969.12 e
NAP,M3_HAB,SI,RFW_RES	14940.62 e
NAP,M3_HAB,SK,EVAP_TSP	4456.93 
NAP,M3_HAB,SK,INFL_NBT	12346.05 
NAP,M3_HAB,SK,INTFL	2400.11 
NAP,M3_HAB,SK,OUTFL	14994.73 
NAP,M3_HAB,SK,PRECIP	6857.04 
NAP,M3_HAB,SK,RFW_RES	14746.16 
NAP,M3_HAB,TR,EVAP_TSP	3276.40 
NAP,M3_HAB,TR,INFL_NBT	82.00 
NAP,M3_HAB,TR,INTFL	2061.50 
NAP,M3_HAB,TR,OUTFL	2115.34 
NAP,M3_HAB,TR,PRECIP	5337.90 
NAP,M3_HAB,TR,RFW_RES	2143.50 
NAP,M3_HAB,UK,EVAP_TSP	2161.39 
NAP,M3_HAB,UK,INFL_NBT	109.59 
NAP,M3_HAB,UK,INTFL	2740.06 
NAP,M3_HAB,UK,OUTFL	2903.84 
NAP,M3_HAB,UK,PRECIP	4883.59 
NAP,M3_HAB,UK,RFW_RES	2935.20 
NAP,MIO_M3,AT,EVAP_TSP	43100.00 
NAP,MIO_M3,AT,INFL_NBT	29300.00 
NAP,MIO_M3,AT,INTFL	56700.00 
NAP,MIO_M3,AT,OUTFL	86000.00 
NAP,MIO_M3,AT,PRECIP	99800.00 
NAP,MIO_M3,BA,EVAP_TSP	25940.00 e
NAP,MIO_M3,BA,INFL_NBT	2000.00 e
NAP,MIO_M3,BA,INTFL	29922.00 e
NAP,MIO_M3,BA,OUTFL	31922.00 e
NAP,MIO_M3,BA,PRECIP	55863.00 e
NAP,MIO_M3,BA,RFW_RES	31922.00 e
NAP,MIO_M3,BE,EVAP_TSP	15815.11 
NAP,MIO_M3,BE,INFL_NBT	10783.56 
NAP,MIO_M3,BE,INTFL	11298.15 
NAP,MIO_M3,BE,OUTFL	19298.04 
NAP,MIO_M3,BE,PRECIP	27336.77 
NAP,MIO_M3,BE,RFW_RES	25330.10 
NAP,MIO_M3,BG,EVAP_TSP	57141.00 
NAP,MIO_M3,BG,INFL_NBT	84064.00 
NAP,MIO_M3,BG,INTFL	15789.00 
NAP,MIO_M3,BG,OUTFL	102402.00 
NAP,MIO_M3,BG,PRECIP	72930.00 
NAP,MIO_M3,BG,RFW_RES	99853.00 
NAP,MIO_M3,CH,EVAP_TSP	21382.00 
NAP,MIO_M3,CH,INFL_NBT	12560.00 
NAP,MIO_M3,CH,INTFL	39825.00 
NAP,MIO_M3,CH,OUTFL	53140.00 
NAP,MIO_M3,CH,PRECIP	61207.00 
NAP,MIO_M3,CH,RFW_RES	52385.00 
NAP,MIO_M3,CY,EVAP_TSP	2708.96 
NAP,MIO_M3,CY,INFL_NBT	0.00 
NAP,MIO_M3,CY,INTFL	320.85 
NAP,MIO_M3,CY,OUTFL	80.16 
NAP,MIO_M3,CY,PRECIP	3029.81 
NAP,MIO_M3,CY,RFW_RES	320.85 
NAP,MIO_M3,CZ,EVAP_TSP	39082.00 
NAP,MIO_M3,CZ,INFL_NBT	829.00 
NAP,MIO_M3,CZ,INTFL	14372.00 
NAP,MIO_M3,CZ,OUTFL	14588.00 
NAP,MIO_M3,CZ,PRECIP	53454.00 
NAP,MIO_M3,CZ,RFW_RES	15201.00 
NAP,MIO_M3,DE,EVAP_TSP	205000.00 
NAP,MIO_M3,DE,INFL_NBT	69000.00 
NAP,MIO_M3,DE,INTFL	104000.00 
NAP,MIO_M3,DE,OUTFL	166000.00 
NAP,MIO_M3,DE,PRECIP	309000.00 
NAP,MIO_M3,DE,RFW_RES	173000.00 
NAP,MIO_M3,DK,EVAP_TSP	22145.00 
NAP,MIO_M3,DK,INFL_NBT	0.00 e
NAP,MIO_M3,DK,INTFL	16340.00 
NAP,MIO_M3,DK,PRECIP	38485.00 
NAP,MIO_M3,DK,RFW_RES	16340.00 
NAP,MIO_M3,EE,INTFL	12346.60 
NAP,MIO_M3,EE,PRECIP	29017.70 
NAP,MIO_M3,EE,RFW_RES	12346.60 
NAP,MIO_M3,EL,EVAP_TSP	55000.00 
NAP,MIO_M3,EL,INFL_NBT	12000.00 
NAP,MIO_M3,EL,INTFL	60000.00 
NAP,MIO_M3,EL,PRECIP	115000.00 
NAP,MIO_M3,EL,RFW_RES	72000.00 
NAP,MIO_M3,ES,EVAP_TSP	226453.00 
NAP,MIO_M3,ES,INFL_NBT	0.00 
NAP,MIO_M3,ES,INTFL	107204.00 
NAP,MIO_M3,ES,OUTFL	84269.89 
NAP,MIO_M3,ES,PRECIP	333657.00 
NAP,MIO_M3,ES,RFW_RES	107204.00 
NAP,MIO_M3,EU27_2020,PRECIP	3292852.59 
NAP,MIO_M3,FI,EVAP_TSP	115000.00 
NAP,MIO_M3,FI,INFL_NBT	3200.00 
NAP,MIO_M3,FI,INTFL	107000.00 
NAP,MIO_M3,FI,OUTFL	110000.00 
NAP,MIO_M3,FI,PRECIP	222000.00 
NAP,MIO_M3,FI,RFW_RES	110000.00 
NAP,MIO_M3,FR,EVAP_TSP	312003.27 
NAP,MIO_M3,FR,INFL_NBT	11000.00 
NAP,MIO_M3,FR,INTFL	200860.49 
NAP,MIO_M3,FR,OUTFL	168000.00 
NAP,MIO_M3,FR,PRECIP	512863.76 
NAP,MIO_M3,FR,RFW_RES	206236.09 
NAP,MIO_M3,HR,EVAP_TSP	39275.00 e
NAP,MIO_M3,HR,INFL_NBT	93782.95 e
NAP,MIO_M3,HR,INTFL	24529.81 e
NAP,MIO_M3,HR,OUTFL	118312.76 e
NAP,MIO_M3,HR,PRECIP	63804.90 e
NAP,MIO_M3,HR,RFW_RES	118312.76 e
NAP,MIO_M3,HU,EVAP_TSP	50592.00 
NAP,MIO_M3,HU,INFL_NBT	91500.00 
NAP,MIO_M3,HU,INTFL	5580.00 
NAP,MIO_M3,HU,OUTFL	96850.00 
NAP,MIO_M3,HU,PRECIP	56172.00 
NAP,MIO_M3,IE,EVAP_TSP	38178.20 
NAP,MIO_M3,IE,INFL_NBT	3525.53 e
NAP,MIO_M3,IE,INTFL	51302.02 
NAP,MIO_M3,IE,PRECIP	89480.22 
NAP,MIO_M3,IE,RFW_RES	54827.56 
NAP,MIO_M3,IT,EVAP_TSP	151465.67 
NAP,MIO_M3,IT,INTFL	133146.06 
NAP,MIO_M3,IT,PRECIP	284611.72 
NAP,MIO_M3,LT,INFL_NBT	8404.66 
NAP,MIO_M3,LT,OUTFL	22905.53 
NAP,MIO_M3,LT,PRECIP	45117.50 
NAP,MIO_M3,LU,EVAP_TSP	1124.90 
NAP,MIO_M3,LU,INFL_NBT	739.00 
NAP,MIO_M3,LU,INTFL	905.10 
NAP,MIO_M3,LU,OUTFL	1600.00 
NAP,MIO_M3,LU,PRECIP	2030.00 
NAP,MIO_M3,LU,RFW_RES	1644.10 
NAP,MIO_M3,LV,EVAP_TSP	23573.00 
NAP,MIO_M3,LV,INFL_NBT	16992.00 
NAP,MIO_M3,LV,INTFL	19647.00 
NAP,MIO_M3,LV,OUTFL	32934.00 
NAP,MIO_M3,LV,PRECIP	43220.00 
NAP,MIO_M3,LV,RFW_RES	36639.00 
NAP,MIO_M3,MK,INFL_NBT	1014.00 
NAP,MIO_M3,MK,OUTFL	6322.00 
NAP,MIO_M3,MK,PRECIP	19533.00 
NAP,MIO_M3,MT,EVAP_TSP	88.74 
NAP,MIO_M3,MT,INFL_NBT	0.00 
NAP,MIO_M3,MT,INTFL	82.97 
NAP,MIO_M3,MT,OUTFL	54.13 
NAP,MIO_M3,MT,PRECIP	171.71 
NAP,MIO_M3,MT,RFW_RES	82.97 
NAP,MIO_M3,NL,EVAP_TSP	22311.00 d
NAP,MIO_M3,NL,INFL_NBT	78355.00 
NAP,MIO_M3,NL,INTFL	9706.00 
NAP,MIO_M3,NL,OUTFL	84350.00 
NAP,MIO_M3,NL,PRECIP	32017.00 
NAP,MIO_M3,NL,RFW_RES	88061.00 
NAP,MIO_M3,NO,EVAP_TSP	188815.39 
NAP,MIO_M3,NO,INFL_NBT	6532.47 
