Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
4.F. Other Land,WAM,Total,526.0,531.7,536.3,540.9,545.6,550.2,554.8,559.5,560.6,561.7,562.8,563.9,565.0,566.1,567.2,568.3,569.4,570.5,571.6,572.7,573.8,573.8,573.8,573.8,573.8,573.8,573.8,573.8,573.8,573.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.F. Other Land,WEM,Total,526.0,531.7,536.3,540.9,545.6,550.2,554.8,559.5,560.6,561.7,562.8,563.9,565.0,566.1,567.2,568.3,569.4,570.5,571.6,572.7,573.8,573.8,573.8,573.8,573.8,573.8,573.8,573.8,573.8,573.8,525.96122431405,531.66316860866,536.29885868043,540.934553375819,545.570252694828,550.204569412597,554.838886515951,559.473204004892,560.574385039461,561.67556607403,562.776710482116,563.877854890201,564.978999298286,566.080143706371,567.181288114457,568.282278888095,569.383269661734,570.484260435372,571.585251209011,572.686241982649,573.787409938585,573.787523458292,573.787636977999,573.787750497705,573.787864017412,573.787835271435,573.787806525459,573.787777779482,573.787749033505,573.787720287529
4.G. Harvested wood products,WAM,Total,-1889.4,-1784.2,-1764.0,-1808.7,-1898.0,-2007.0,-2062.7,-2081.0,-2073.5,-2048.3,-2055.7,-2050.9,-2037.8,-2019.1,-1996.6,-1993.3,-1987.3,-1979.3,-1970.1,-1960.2,-1951.8,-1943.2,-1934.4,-1925.7,-1917.2,-1901.9,-1887.7,-1874.3,-1861.7,-1849.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.G. Harvested wood products,WEM,Total,-1889.4,-1784.2,-1764.0,-1808.7,-1898.0,-2007.0,-2062.7,-2081.0,-2073.5,-2048.3,-2055.7,-2050.9,-2037.8,-2019.1,-1996.6,-1993.3,-1987.3,-1979.3,-1970.1,-1960.2,-1951.8,-1943.2,-1934.4,-1925.7,-1917.2,-1901.9,-1887.7,-1874.3,-1861.7,-1849.8,-1889.38999526968,-1784.18804725767,-1763.98452636676,-1808.72036333076,-1897.97608224726,-2007.02394682051,-2062.65510628526,-2081.02493583464,-2073.54458134959,-2048.27082214794,-2055.69301155932,-2050.92742887935,-2037.81210194615,-2019.05369745986,-1996.55908453853,-1993.33942204697,-1987.25152316569,-1979.27324686536,-1970.09161851815,-1960.188147,-1951.81304789688,-1943.16212081701,-1934.42536789339,-1925.7334760975,-1917.17530376513,-1901.8675619859,-1887.65236050957,-1874.32186039681,-1861.72564929241,-1849.75402332721
5. Waste,WAM,ESR,1210.6,1163.4,1120.7,1081.3,1044.7,1011.0,980.5,952.6,927.0,903.4,883.4,865.2,848.5,833.3,819.4,806.5,794.7,783.9,773.9,764.8,756.3,748.4,741.2,734.5,728.4,722.7,717.5,712.6,708.1,703.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Waste,WAM,Total,1210.6,1163.4,1120.7,1081.3,1044.7,1011.0,980.5,952.6,927.0,903.4,883.4,865.2,848.5,833.3,819.4,806.5,794.7,783.9,773.9,764.8,756.3,748.4,741.2,734.5,728.4,722.7,717.5,712.6,708.1,703.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Waste,WEM,ESR,1210.6,1163.4,1120.7,1081.3,1044.7,1011.0,980.5,952.6,927.0,903.4,883.4,865.2,848.5,833.3,819.4,806.5,794.7,783.9,773.9,764.8,756.3,748.4,741.2,734.5,728.4,722.7,717.5,712.6,708.1,703.9,1210.57576461213,1163.42494204866,1120.66030618947,1081.33801339544,1044.7220255831,1011.02726501752,980.460849560012,952.583139281675,926.972362228659,903.405905489999,883.434975884805,865.195317078432,848.529024074475,833.293061134135,819.357849361796,806.478686385521,794.676496297935,783.854876488858,773.926452751837,764.812022294609,756.284308213662,748.4336680036,741.201048452941,734.532881215253,728.38056299283,722.699985196948,717.451108378681,712.597577171095,708.106371888028,703.947493290851
5. Waste,WEM,Total,1210.6,1163.4,1120.7,1081.3,1044.7,1011.0,980.5,952.6,927.0,903.4,883.4,865.2,848.5,833.3,819.4,806.5,794.7,783.9,773.9,764.8,756.3,748.4,741.2,734.5,728.4,722.7,717.5,712.6,708.1,703.9,1210.57576461213,1163.42494204866,1120.66030618947,1081.33801339544,1044.7220255831,1011.02726501752,980.460849560012,952.583139281675,926.972362228659,903.405905489999,883.434975884805,865.195317078432,848.529024074475,833.293061134135,819.357849361796,806.478686385521,794.676496297935,783.854876488858,773.926452751837,764.812022294609,756.284308213662,748.4336680036,741.201048452941,734.532881215253,728.38056299283,722.699985196948,717.451108378681,712.597577171095,708.106371888028,703.947493290851
IB.Aviation,WAM,Total,1237.3,1734.3,1973.2,2212.0,2450.8,2689.6,2928.4,2946.6,2964.7,2982.8,3000.9,3019.0,3037.1,3055.2,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB.Aviation,WEM,Total,1237.3,1734.3,1973.2,2212.0,2450.8,2689.6,2928.4,2946.6,2964.7,2982.8,3000.9,3019.0,3037.1,3055.2,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,3073.4,1237.26568136242,1734.34152370229,1973.16239683845,2211.98326997462,2450.80414311079,2689.62501624695,2928.44588938312,2946.55919001103,2964.67249063895,2982.78579126687,3000.89909189479,3019.01239252271,3037.12569315062,3055.23899377854,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646,3073.35229440646
