Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040
1.A.4. Other sectors,WAM,ESR,6254.7,6002.8,5750.9,5499.0,5247.1,5116.04,4984.98,4853.92,4722.86,4591.8,4557.18,4522.56,4487.94,4453.32,4418.7,4329.0,4239.3,4149.6,4059.9,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,,,,
1.A.4. Other sectors,WAM,ETS,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,,
1.A.4. Other sectors,WAM,Total,6329.7,6077.8,5825.9,5574.0,5322.1,5191.04,5059.98,4928.92,4797.86,4666.8,4632.18,4597.56,4562.94,4528.32,4493.7,4404.0,4314.3,4224.6,4134.9,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,,,,
1.A.4. Other sectors,WEM,ESR,6254.7,6002.8,5750.9,5499.0,5247.1,5116.04,4984.98,4853.92,4722.86,4591.8,4557.18,4522.56,4487.94,4453.32,4418.7,4329.0,4239.3,4149.6,4059.9,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,3970.2,5247.060936534,4591.79686530688,4418.72646235302,3970.15713618729
1.A.4. Other sectors,WEM,ETS,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
1.A.4. Other sectors,WEM,Total,6329.7,6077.8,5825.9,5574.0,5322.1,5191.04,5059.98,4928.92,4797.86,4666.8,4632.18,4597.56,4562.94,4528.32,4493.7,4404.0,4314.3,4224.6,4134.9,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,4045.2,5322.060936534,4666.79686530688,4493.72646235302,4045.15713618729
1.A.5. Other,WAM,ESR,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,,,,
1.A.5. Other,WAM,Total,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,,,,
1.A.5. Other,WEM,ESR,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.706,202.706,202.706,202.706
1.A.5. Other,WEM,Total,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.7,202.706,202.706,202.706,202.706
