Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040
Total excluding LULUCF,WAM,Total,76997.4,75143.6,73289.8,71436.0,69582.2,67771.58,65960.96,64150.34,62339.72,60529.1,59977.56,59426.02,58874.48,58322.94,57771.4,57416.2,57061.0,56705.8,56350.6,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,,,,
Total excluding LULUCF,WEM,ESR,43279.26,43202.92,43126.58,43050.24,42973.9,42503.24,42032.58,41561.92,41091.26,40620.6,40420.32,40220.04,40019.76,39819.48,39619.2,39406.36,39193.52,38980.68,38767.84,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,42973.9020129047,40620.5791824471,39619.2126848084,38555.0102370427
Total excluding LULUCF,WEM,ETS,33398.66,31541.12,29683.58,27826.04,25968.5,24624.66,23280.82,21936.98,20593.14,19249.3,18893.98,18538.66,18183.34,17828.02,17472.7,17325.66,17178.62,17031.58,16884.54,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,25968.5274576245,19249.3349273376,17472.679379139,16737.4705941731
Total excluding LULUCF,WEM,Total,76997.4,75143.6,73289.8,71436.0,69582.2,67771.58,65960.96,64150.34,62339.72,60529.1,59977.56,59426.02,58874.48,58322.94,57771.4,57416.2,57061.0,56705.8,56350.6,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,55995.4,69582.2361595663,60529.0568925029,57771.3800244459,55995.3520180275
Total including LULUCF,WAM,ESR,43279.26,43202.92,43126.58,43050.24,42973.9,42503.24,42032.58,41561.92,41091.26,40620.6,40420.32,40220.04,40019.76,39819.48,39619.2,39406.36,39193.52,38980.68,38767.84,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,,,,
Total including LULUCF,WAM,ETS,33398.66,31541.12,29683.58,27826.04,25968.5,24624.66,23280.82,21936.98,20593.14,19249.3,18893.98,18538.66,18183.34,17828.02,17472.7,17325.66,17178.62,17031.58,16884.54,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,,,,
Total including LULUCF,WAM,Total,71778.78,70122.56,68466.34,66810.12,65153.9,63272.96,61392.02,59511.08,57630.14,55749.2,55124.9,54500.6,53876.3,53252.0,52627.7,52181.38,51735.06,51288.74,50842.42,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,,,,
Total including LULUCF,WEM,ESR,43279.26,43202.92,43126.58,43050.24,42973.9,42503.24,42032.58,41561.92,41091.26,40620.6,40420.32,40220.04,40019.76,39819.48,39619.2,39406.36,39193.52,38980.68,38767.84,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,42973.9020129047,40620.5791824471,39619.2126848084,38555.0102370427
Total including LULUCF,WEM,ETS,33398.66,31541.12,29683.58,27826.04,25968.5,24624.66,23280.82,21936.98,20593.14,19249.3,18893.98,18538.66,18183.34,17828.02,17472.7,17325.66,17178.62,17031.58,16884.54,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,25968.5274576245,19249.3349273376,17472.679379139,16737.4705941731
Total including LULUCF,WEM,Total,71778.78,70122.56,68466.34,66810.12,65153.9,63272.96,61392.02,59511.08,57630.14,55749.2,55124.9,54500.6,53876.3,53252.0,52627.7,52181.38,51735.06,51288.74,50842.42,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,50396.1,65153.9265623306,55749.242649735,52627.735274134,50396.1160686585
