Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.2. Manufacturing industries and construction,WAM,ETS,5183.2,4906.0,4628.8,4351.6,4074.4,3975.58,3876.76,3777.94,3679.12,3580.3,3325.24,3070.18,2815.12,2560.06,2305.0,2315.24,2325.48,2335.72,2345.96,2356.2,2206.74,2057.28,1907.82,1758.36,1608.9,1536.24,1463.58,1390.92,1318.26,1245.6,4074.43725148525,3580.32575425647,2304.95553447168,2356.15881132552,1608.90529865584,1245.56290317718
1.A.2. Manufacturing industries and construction,WAM,Total,7245.62,6857.64,6469.66,6081.68,5693.7,5591.02,5488.34,5385.66,5282.98,5180.3,4814.12,4447.94,4081.76,3715.58,3349.4,3365.52,3381.64,3397.76,3413.88,3430.0,3253.8,3077.6,2901.4,2725.2,2549.0,2477.92,2406.84,2335.76,2264.68,2193.6,5693.7308952132,5180.288248945,3349.43528555001,3429.98672917008,2549.00904455632,2193.55689325928
1.A.2. Manufacturing industries and construction,WEM,ESR,2081.76,1990.32,1898.88,1807.44,1716.0,1734.9,1753.8,1772.7,1791.6,1810.5,1825.06,1839.62,1854.18,1868.74,1883.3,1929.06,1974.82,2020.58,2066.34,2112.1,2153.92,2195.74,2237.56,2279.38,2321.2,2365.78,2410.36,2454.94,2499.52,2544.1,1716.00954459701,1810.50074082188,1883.34095007161,2112.06765186145,2321.24922878285,2544.08840343477
1.A.2. Manufacturing industries and construction,WEM,ETS,5218.9,4977.4,4735.9,4494.4,4252.9,4282.74,4312.58,4342.42,4372.26,4402.1,4313.94,4225.78,4137.62,4049.46,3961.3,3902.72,3844.14,3785.56,3726.98,3668.4,3661.56,3654.72,3647.88,3641.04,3634.2,3645.06,3655.92,3666.78,3677.64,3688.5,4252.9281247992,4402.05236911343,3961.25927816397,3668.40450617602,3634.16066741692,3688.5386495001
1.A.2. Manufacturing industries and construction,WEM,Total,7300.66,6967.72,6634.78,6301.84,5968.9,6017.64,6066.38,6115.12,6163.86,6212.6,6139.0,6065.4,5991.8,5918.2,5844.6,5831.78,5818.96,5806.14,5793.32,5780.5,5815.48,5850.46,5885.44,5920.42,5955.4,6010.84,6066.28,6121.72,6177.16,6232.6,5968.93766939621,6212.55310993531,5844.60022823558,5780.47215803747,5955.40989619977,6232.62705293487
1.A.3. Transport,WAM,ESR,16129.46,16334.52,16539.58,16744.64,16949.7,15636.3,14322.9,13009.5,11696.1,10382.7,9829.18,9275.66,8722.14,8168.62,7615.1,6716.74,5818.38,4920.02,4021.66,3123.3,2737.68,2352.06,1966.44,1580.82,1195.2,1039.66,884.12,728.58,573.04,417.5,16949.7169851452,10382.7152686063,7615.13417383595,3123.30361561728,1195.19043035716,417.496286439139
1.A.3. Transport,WAM,Total,16404.82,16586.84,16768.86,16950.88,17132.9,15822.62,14512.34,13202.06,11891.78,10581.5,10019.04,9456.58,8894.12,8331.66,7769.2,6851.98,5934.76,5017.54,4100.32,3183.1,2796.96,2410.82,2024.68,1638.54,1252.4,1096.7,941.0,785.3,629.6,473.9,17132.9085571452,10581.5323536063,7769.23940483595,3183.10899261728,1252.41009335716,473.925074439139
1.A.3. Transport,WEM,ESR,16028.7,16133.0,16237.3,16341.6,16445.9,15450.22,14454.54,13458.86,12463.18,11467.5,11261.72,11055.94,10850.16,10644.38,10438.6,9889.3,9340.0,8790.7,8241.4,7692.1,7490.94,7289.78,7088.62,6887.46,6686.3,6419.3,6152.3,5885.3,5618.3,5351.3,16445.8675735948,11467.4944865115,10438.6082883676,7692.06371051802,6686.29448533148,5351.29548365751
1.A.3. Transport,WEM,Total,16304.06,16385.32,16466.58,16547.84,16629.1,15636.54,14643.98,13651.42,12658.86,11666.3,11454.68,11243.06,11031.44,10819.82,10608.2,10059.38,9510.56,8961.74,8412.92,7864.1,7659.22,7454.34,7249.46,7044.58,6839.7,6572.14,6304.58,6037.02,5769.46,5501.9,16629.0591455948,11666.3115715115,10608.1543293676,7864.06507351802,6839.70769233148,5501.86970865751
1.A.3.a. Domestic aviation,WAM,ESR,8.04,7.08,6.12,5.16,4.2,4.26,4.32,4.38,4.44,4.5,4.3,4.1,3.9,3.7,3.5,3.08,2.66,2.24,1.82,1.4,1.38,1.36,1.34,1.32,1.3,1.3,1.3,1.3,1.3,1.3,4.16121982723979,4.5161557194879,3.50051974697388,1.35848706645605,1.29975157302675,1.28178680139467
