Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
1.A.2. Manufacturing industries and construction,WEM,Total,6004.6,5817.8,5631.0,5444.2,5257.4,4957.12,4656.84,4356.56,4056.28,3756.0,3648.62,3541.24,3433.86,3326.48,3219.1,3141.08,3063.06,2985.04,2907.02,2829.0,2785.3,2741.6,2697.9,2654.2,2610.5,2604.2,2597.9,2591.6,2585.3,2579.0
1.A.3. Transport,WAM,ESR,14343.12,13514.64,12686.16,11857.68,11029.2,10039.76,9050.32,8060.88,7071.44,6082.0,5790.32,5498.64,5206.96,4915.28,4623.6,4376.12,4128.64,3881.16,3633.68,3386.2,3233.34,3080.48,2927.62,2774.76,2621.9,2541.46,2461.02,2380.58,2300.14,2219.7
1.A.3. Transport,WAM,Total,14601.08,13835.76,13070.44,12305.12,11539.8,10520.82,9501.84,8482.86,7463.88,6444.9,6150.56,5856.22,5561.88,5267.54,4973.2,4723.16,4473.12,4223.08,3973.04,3723.0,3567.68,3412.36,3257.04,3101.72,2946.4,2863.58,2780.76,2697.94,2615.12,2532.3
1.A.3. Transport,WEM,ESR,14343.12,13514.64,12686.16,11857.68,11029.2,10039.76,9050.32,8060.88,7071.44,6082.0,5790.32,5498.64,5206.96,4915.28,4623.6,4376.12,4128.64,3881.16,3633.68,3386.2,3233.34,3080.48,2927.62,2774.76,2621.9,2541.46,2461.02,2380.58,2300.14,2219.7
1.A.3. Transport,WEM,Total,14601.08,13835.76,13070.44,12305.12,11539.8,10520.82,9501.84,8482.86,7463.88,6444.9,6150.56,5856.22,5561.88,5267.54,4973.2,4723.16,4473.12,4223.08,3973.04,3723.0,3567.68,3412.36,3257.04,3101.72,2946.4,2863.58,2780.76,2697.94,2615.12,2532.3
1.A.3.a. Domestic aviation,WAM,ESR,3.68,4.56,5.44,6.32,7.2,6.78,6.36,5.94,5.52,5.1,5.08,5.06,5.04,5.02,5.0,4.96,4.92,4.88,4.84,4.8,4.76,4.72,4.68,4.64,4.6,4.56,4.52,4.48,4.44,4.4
1.A.3.a. Domestic aviation,WAM,Total,261.64,325.68,389.72,453.76,517.8,487.86,457.92,427.98,398.04,368.1,365.4,362.7,360.0,357.3,354.6,352.0,349.4,346.8,344.2,341.6,339.1,336.6,334.1,331.6,329.1,326.7,324.3,321.9,319.5,317.1
1.A.3.a. Domestic aviation,WEM,ESR,3.68,4.56,5.44,6.32,7.2,6.78,6.36,5.94,5.52,5.1,5.08,5.06,5.04,5.02,5.0,4.96,4.92,4.88,4.84,4.8,4.76,4.72,4.68,4.64,4.6,4.56,4.52,4.48,4.44,4.4
1.A.3.a. Domestic aviation,WEM,Total,261.64,325.68,389.72,453.76,517.8,487.86,457.92,427.98,398.04,368.1,365.4,362.7,360.0,357.3,354.6,352.0,349.4,346.8,344.2,341.6,339.1,336.6,334.1,331.6,329.1,326.7,324.3,321.9,319.5,317.1
1.A.3.b. Road transportation,WAM,ESR,13298.32,12486.44,11674.56,10862.68,10050.8,9078.5,8106.2,7133.9,6161.6,5189.3,4891.72,4594.14,4296.56,3998.98,3701.4,3452.74,3204.08,2955.42,2706.76,2458.1,2303.9,2149.7,1995.5,1841.3,1687.1,1605.34,1523.58,1441.82,1360.06,1278.3
1.A.3.b. Road transportation,WAM,Total,13298.32,12486.44,11674.56,10862.68,10050.8,9078.5,8106.2,7133.9,6161.6,5189.3,4891.72,4594.14,4296.56,3998.98,3701.4,3452.74,3204.08,2955.42,2706.76,2458.1,2303.9,2149.7,1995.5,1841.3,1687.1,1605.34,1523.58,1441.82,1360.06,1278.3
1.A.3.b. Road transportation,WEM,ESR,13298.32,12486.44,11674.56,10862.68,10050.8,9078.5,8106.2,7133.9,6161.6,5189.3,4891.72,4594.14,4296.56,3998.98,3701.4,3452.74,3204.08,2955.42,2706.76,2458.1,2303.9,2149.7,1995.5,1841.3,1687.1,1605.34,1523.58,1441.82,1360.06,1278.3
1.A.3.b. Road transportation,WEM,Total,13298.32,12486.44,11674.56,10862.68,10050.8,9078.5,8106.2,7133.9,6161.6,5189.3,4891.72,4594.14,4296.56,3998.98,3701.4,3452.74,3204.08,2955.42,2706.76,2458.1,2303.9,2149.7,1995.5,1841.3,1687.1,1605.34,1523.58,1441.82,1360.06,1278.3
1.A.3.c. Railways,WAM,ESR,43.78,43.36,42.94,42.52,42.1,42.04,41.98,41.92,41.86,41.8,41.76,41.72,41.68,41.64,41.6,41.76,41.92,42.08,42.24,42.4,42.52,42.64,42.76,42.88,43.0,43.1,43.2,43.3,43.4,43.5
1.A.3.c. Railways,WAM,Total,43.78,43.36,42.94,42.52,42.1,42.04,41.98,41.92,41.86,41.8,41.76,41.72,41.68,41.64,41.6,41.76,41.92,42.08,42.24,42.4,42.52,42.64,42.76,42.88,43.0,43.1,43.2,43.3,43.4,43.5
