TIME,CITIES,INDIC_UR,Value,Flag and Footnotes
2018,Malta,Total use of water - m³,"58,719,377.00",d
2018,Valletta,Total use of water - m³,"20,927,135.00",d
2018,Valletta,Price of a m³ of domestic water - Euro,3.12,
2018,Romania,Total use of water - m³,"1,152,732,000.00",
2018,Bucuresti,Total use of water - m³,"149,428,700.00",
2018,Cluj-Napoca,Total use of water - m³,"19,834,400.00",
2018,Timisoara,Total use of water - m³,"32,098,000.00",
2018,Craiova,Total use of water - m³,"15,666,700.00",
2018,Braila,Total use of water - m³,"7,717,500.00",
2018,Oradea,Total use of water - m³,"10,822,000.00",
2018,Bacau,Total use of water - m³,"6,711,000.00",
2018,Arad,Total use of water - m³,"9,804,900.00",
2018,Sibiu,Total use of water - m³,"16,822,800.00",
2018,Târgu Mures,Total use of water - m³,"8,358,900.00",
2018,Piatra Neamt,Total use of water - m³,"3,831,200.00",
2018,Calarasi,Total use of water - m³,"3,099,000.00",
2018,Giurgiu,Total use of water - m³,"2,554,000.00",
2018,Alba Iulia,Total use of water - m³,"4,725,900.00",
2018,Focsani,Total use of water - m³,"2,994,000.00",
2018,Târgu Jiu,Total use of water - m³,"4,759,100.00",
2018,Tulcea,Total use of water - m³,"3,909,600.00",
2018,Târgoviste,Total use of water - m³,"6,836,900.00",
2018,Slatina,Total use of water - m³,"3,189,000.00",
2018,Bârlad,Total use of water - m³,"1,826,600.00",
2018,Roman,Total use of water - m³,"2,035,900.00",
2018,Bistrita,Total use of water - m³,"4,302,000.00",
2018,Constanta,Total use of water - m³,"16,169,400.00",
2018,Iasi,Total use of water - m³,"16,827,800.00",
2018,Galati,Total use of water - m³,"27,340,300.00",
2018,Brasov,Total use of water - m³,"13,252,000.00",
2018,Ploiesti,Total use of water - m³,"18,669,500.00",
2018,Pitesti,Total use of water - m³,"8,416,200.00",
2018,Baia Mare,Total use of water - m³,"8,043,000.00",
2018,Buzau,Total use of water - m³,"6,425,200.00",
2018,Satu Mare,Total use of water - m³,"4,910,000.00",
2018,Botosani,Total use of water - m³,"4,047,100.00",
2018,Râmnicu Vâlcea,Total use of water - m³,"5,001,000.00",
2018,Suceava,Total use of water - m³,"4,526,000.00",
2018,Drobeta-Turnu Severin,Total use of water - m³,"4,058,000.00",
2018,Slovenia,Total use of water - m³,"170,718,836.00",
2018,Ljubljana,Total use of water - m³,"28,446,351.00",
2018,Ljubljana,Price of a m³ of domestic water - Euro,0.58,d
2018,Maribor,Total use of water - m³,"9,499,679.00",
2018,Maribor,Price of a m³ of domestic water - Euro,0.75,d
2018,Slovakia,Total use of water - m³,"208,252,683.00",
2018,Bratislava,Total use of water - m³,"32,325,647.00",
2018,Bratislava,Price of a m³ of domestic water - Euro,2.23,
2018,Kosice,Total use of water - m³,"10,134,975.00",
2018,Kosice,Price of a m³ of domestic water - Euro,2.79,
2018,Banská Bystrica,Total use of water - m³,"4,242,201.00",
2018,Banská Bystrica,Price of a m³ of domestic water - Euro,2.36,
2018,Nitra,Total use of water - m³,"4,732,142.00",
2018,Nitra,Price of a m³ of domestic water - Euro,2.37,
2018,Presov,Total use of water - m³,"3,766,228.00",
2018,Presov,Price of a m³ of domestic water - Euro,2.79,
2018,Zilina,Total use of water - m³,"4,427,779.00",
2018,Zilina,Price of a m³ of domestic water - Euro,2.45,
2018,Trnava,Total use of water - m³,"3,973,777.00",
