,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New substances (ODP tonnes),18 405,21 722,21 138,23 258,22 798,22 843,23 118,21 503,22 394,23 092,20 517,20 461,17 790,15 148
Controlled substances (ODP tonnes),47 463,56 447,54 508,54 062,52 897,55 479,53 074,49 290,49 660,50 881,59 517,57 278,79 041,65 654
