Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2045,Reported Value 2050
2. Industrial processes,WAM,Total,12348.2,11962.1,11576.0,11189.9,10803.9,10378.6,9953.4,9528.1,9102.9,8677.6,8703.6,8729.6,8755.6,8781.6,8807.6,8833.3,8858.9,8884.6,8910.3,8935.9,8967.46,8999.02,9030.58,9062.14,9093.7,9127.46,9161.22,9194.98,9228.74,9262.5,12348.2029633658,11962.1182608339,11576.033558302,11189.9488557701,10803.8641532382,10378.6187313823,9953.37330952651,9528.12788767068,9102.88246581484,8677.637043959,8703.62886441334,8729.62068486767,8755.612505322,8781.60432577634,8807.59614623067,8833.26282004801,8858.92949386536,8884.5961676827,8910.26284150004,8935.92951531738,9093.74834149996,9262.54096622081
2. Industrial processes,WEM,ESR,2585.7,2536.6,2487.4,2438.3,2389.2,2349.3,2309.4,2269.6,2229.7,2189.8,2173.7,2157.6,2141.5,2125.4,2109.3,2097.1,2084.8,2072.5,2060.3,2048.0,2049.2,2050.4,2051.6,2052.8,2054.0,2055.2,2056.4,2057.6,2058.8,2060.0,2585.69288565184,2536.56631416671,2487.43974268158,2438.31317119645,2389.18659971133,2349.31449698417,2309.442394257,2269.57029152985,2229.69818880269,2189.82608607553,2173.7288792415,2157.63167240747,2141.53446557344,2125.43725873942,2109.34005190539,2097.07387600153,2084.80770009766,2072.54152419379,2060.27534828992,2048.00917238605,2053.96195248606,2060.00190388605
2. Industrial processes,WEM,ETS,9783.2,9466.9,9150.6,8834.3,8517.9,8154.6,7791.2,7427.8,7064.5,6701.1,6745.9,6790.7,6835.5,6880.3,6925.2,6947.7,6970.3,6992.8,7015.4,7038.0,7069.2,7100.4,7131.6,7162.8,7194.0,7227.42,7260.84,7294.26,7327.68,7361.1,9783.1643690383,9466.86052931589,9150.55668959347,8834.25284987105,8517.94901014864,8154.57740897354,7791.20580779844,7427.83420662334,7064.46260544823,6701.09100427313,6745.90354951507,6790.71609475701,6835.52863999895,6880.34118524089,6925.15373048282,6947.71315859613,6970.27258670943,6992.83201482274,7015.39144293604,7037.95087104935,7194.00680909241,7361.13727364287
2. Industrial processes,WEM,Total,12368.9,12003.4,11638.0,11272.6,10907.1,10503.9,10100.6,9697.4,9294.2,8890.9,8919.6,8948.3,8977.1,9005.8,9034.5,9044.8,9055.1,9065.4,9075.7,9086.0,9118.4,9150.8,9183.2,9215.6,9248.0,9282.62,9317.24,9351.86,9386.48,9421.1,12368.8572546901,12003.4268434826,11637.9964322751,11272.5660210675,10907.13560986,10503.8919059577,10100.6482020554,9697.40449815318,9294.16079425092,8890.91709034866,8919.63242875657,8948.34776716448,8977.06310557239,9005.7784439803,9034.49378238822,9044.78703459765,9055.08028680709,9065.37353901653,9075.66679122597,9085.9600434354,9247.96876157846,9421.13917752893
2. Industrial processes,WOM,Total,15847.8,15539.4,15231.0,14922.5,14614.1,14534.0,14454.0,14373.9,14293.8,14213.7,14332.4,14451.1,14569.7,14688.4,14807.1,14889.1,14971.1,15053.1,15135.2,15217.2,15297.12,15377.04,15456.96,15536.88,15616.8,15691.0,15765.2,15839.4,15913.6,15987.8,15847.8275545565,15539.4007732466,15230.9739919366,14922.5472106267,14614.1204293168,14534.0429229615,14453.9654166062,14373.8879102509,14293.8104038957,14213.7328975404,14332.4025030872,14451.0721086341,14569.741714181,14688.4113197278,14807.0809252747,14889.0989186946,14971.1169121146,15053.1349055345,15135.1528989544,15217.1708923744,15616.8354767437,15987.7892363783
3. Agriculture,WAM,ESR,19226.7,19729.2,20231.7,20734.2,21236.7,21290.8,21344.9,21399.0,21453.1,21507.2,21534.1,21561.1,21588.0,21615.0,21641.9,21848.0,22054.0,22260.0,22466.0,22672.0,22589.28,22506.56,22423.84,22341.12,22258.4,22250.68,22242.96,22235.24,22227.52,22219.8,19226.7457349984,19729.2374849889,20231.7292349793,20734.2209849698,21236.7127349602,21290.8017679243,21344.8908008883,21398.9798338523,21453.0688668164,21507.1578997804,21534.1158613886,21561.0738229969,21588.0317846052,21614.9897462134,21641.9477078217,21847.9585971427,22053.9694864637,22259.9803757846,22465.9912651056,22672.0021544266,22258.412978433,22219.791851403
3. Agriculture,WAM,Total,19226.7,19729.2,20231.7,20734.2,21236.7,21290.8,21344.9,21399.0,21453.1,21507.2,21534.1,21561.1,21588.0,21615.0,21641.9,21848.0,22054.0,22260.0,22466.0,22672.0,22589.28,22506.56,22423.84,22341.12,22258.4,22250.68,22242.96,22235.24,22227.52,22219.8,19226.7457349984,19729.2374849889,20231.7292349793,20734.2209849698,21236.7127349602,21290.8017679243,21344.8908008883,21398.9798338523,21453.0688668164,21507.1578997804,21534.1158613886,21561.0738229969,21588.0317846052,21614.9897462134,21641.9477078217,21847.9585971427,22053.9694864637,22259.9803757846,22465.9912651056,22672.0021544266,22258.412978433,22219.791851403
3. Agriculture,WEM,ESR,19283.7,19843.2,20402.7,20962.2,21521.6,21615.1,21708.5,21801.9,21895.3,21988.8,22063.4,22138.0,22212.6,22287.2,22361.9,22622.3,22882.7,23143.0,23403.4,23663.8,23646.88,23629.96,23613.04,23596.12,23579.2,23603.28,23627.36,23651.44,23675.52,23699.6,19283.7317349984,19843.2094849889,20402.6872349793,20962.1649849698,21521.6427349602,21615.0687679243,21708.4948008883,21801.9208338523,21895.3468668163,21988.7728997804,22063.3911613886,22138.0094229969,22212.6276846052,22287.2459462134,22361.8642078217,22622.2586971427,22882.6531864637,23143.0476757846,23403.4421651056,23663.8366544266,23579.214978433,23699.647351403
3. Agriculture,WEM,Total,19283.7,19843.2,20402.7,20962.2,21521.6,21615.1,21708.5,21801.9,21895.3,21988.8,22063.4,22138.0,22212.6,22287.2,22361.9,22622.3,22882.7,23143.0,23403.4,23663.8,23646.88,23629.96,23613.04,23596.12,23579.2,23603.28,23627.36,23651.44,23675.52,23699.6,19283.7317349984,19843.2094849889,20402.6872349793,20962.1649849698,21521.6427349602,21615.0687679243,21708.4948008883,21801.9208338523,21895.3468668163,21988.7728997804,22063.3911613886,22138.0094229969,22212.6276846052,22287.2459462134,22361.8642078217,22622.2586971427,22882.6531864637,23143.0476757846,23403.4421651056,23663.8366544266,23579.214978433,23699.647351403
3. Agriculture,WOM,Total,24686.6,25128.8,25571.1,26013.3,26455.5,26845.6,27235.7,27625.7,28015.8,28405.9,28836.0,29266.1,29696.2,30126.3,30556.4,31271.2,31986.1,32701.0,33415.8,34130.7,34627.02,35123.34,35619.66,36115.98,36612.3,37241.46,37870.62,38499.78,39128.94,39758.1,24686.623339429,25128.8452390037,25571.0671385785,26013.2890381532,26455.510937728,26845.5829345687,27235.6549314094,27625.7269282502,28015.7989250909,28405.8709219316,28835.9696686388,29266.0684153459,29696.1671620531,30126.2659087603,30556.3646554674,31271.2269569208,31986.0892583741,32700.9515598274,33415.8138612807,34130.676162734,36612.3203594711,39758.1336402307
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WAM,Total,-36084.3,-36323.9,-36570.1,-36813.0,-37045.0,-37289.0,-37659.2,-38033.0,-38463.6,-38797.4,-39134.6,-39422.7,-39735.8,-40062.2,-40399.9,-40735.0,-41069.1,-41403.0,-41745.2,-42093.6,-42433.86,-42774.12,-43114.38,-43454.64,-43794.9,-44140.8,-44486.7,-44832.6,-45178.5,-45524.4,-36084.3079453223,-36323.9381611714,-36570.1044243398,-36813.0419860491,-37044.9503294502,-37288.9724488933,-37659.2120734398,-38033.0265346591,-38463.5681326321,-38797.3586791609,-39134.5955550672,-39422.6587326179,-39735.7789616515,-40062.1597345471,-40399.8630861031,-40735.0077570641,-41069.1434092619,-41402.9855366418,-41745.2475162729,-42093.6393622447,-43794.9350781348,-45524.370481889
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WEM,Total,-33546.3,-31872.7,-31401.2,-31780.4,-31319.1,-31704.7,-31268.0,-31685.6,-31279.5,-31683.4,-31230.4,-31626.4,-31189.3,-31603.1,-31167.3,-31577.8,-31136.3,-31545.8,-31108.8,-31522.9,-31518.66,-31514.42,-31510.18,-31505.94,-31501.7,-31473.72,-31445.74,-31417.76,-31389.78,-31361.8,-33546.3076017452,-31872.6543979154,-31401.1531418281,-31780.4016851278,-31319.0534528422,-31704.7209692741,-31268.0304257612,-31685.6091024471,-31279.4524127965,-31683.3820714018,-31230.4238523471,-31626.3804462443,-31189.3151179897,-31603.0794024735,-31167.3018027201,-31577.7685327643,-31136.2955824039,-31545.7605069234,-31108.8254350272,-31522.8943676701,-31501.6918445537,-31361.7971523445
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WOM,Total,-23994.0,-23412.8,-22822.5,-22225.5,-21605.0,-21051.3,-20433.7,-19882.1,-19332.1,-18746.6,-18151.8,-17521.6,-16981.7,-16348.0,-15777.5,-15185.4,-14584.3,-13981.7,-13345.6,-12782.5,-12148.64,-11514.78,-10880.92,-10247.06,-9613.2,-8960.4,-8307.6,-7654.8,-7002.0,-6349.2,-23993.9636394771,-23412.8095317323,-22822.505033842,-22225.4775630773,-21605.0056264286,-21051.2729107802,-20433.6659240899,-19882.0715768582,-19332.143383674,-18746.6092991136,-18151.7578202416,-17521.5797386398,-16981.7374539983,-16348.0199684404,-15777.5397702508,-15185.443289424,-14584.2521325691,-13981.6902893162,-13345.6011172964,-12782.4531855889,-9613.24431367868,-6349.19234157373
4.A. Forest land,WAM,Total,-24765.1,-24888.0,-24987.9,-25113.9,-25252.6,-25392.1,-25560.7,-25733.5,-25928.7,-26095.2,-26261.0,-26376.2,-26509.2,-26644.7,-26778.4,-26910.4,-27041.4,-27173.8,-27310.5,-27450.1,-27585.6,-27721.1,-27856.6,-27992.1,-28127.6,-28263.08,-28398.56,-28534.04,-28669.52,-28805.0,-24765.1147565902,-24888.0311683533,-24987.890146286,-25113.9139753054,-25252.6039714984,-25392.0995400762,-25560.7002700052,-25733.5311514349,-25928.7205582321,-26095.2027975648,-26261.0411807576,-26376.2061194551,-26509.1516765577,-26644.6613229023,-26778.3633752093,-26910.3576931391,-27041.3629092221,-27173.7936572461,-27310.5030327062,-27450.1082861945,-28127.5610305094,-28805.0137748242
4.A. Forest land,WEM,Total,-25445.1,-23566.5,-22898.5,-23077.7,-22422.8,-22612.4,-21987.4,-22214.5,-21625.5,-21844.3,-21213.5,-21435.9,-20832.0,-21075.4,-20472.7,-20712.1,-20105.7,-20345.8,-19745.2,-19990.8,-19805.46,-19620.12,-19434.78,-19249.44,-19064.1,-18878.74,-18693.38,-18508.02,-18322.66,-18137.3,-25445.1298897228,-23566.4667031179,-22898.4698209098,-23077.7266781213,-22422.7636697962,-22612.4158825165,-21987.3874726642,-22214.5304421541,-21625.5487644632,-21844.3419632221,-21213.5334032181,-21435.8540211771,-20832.0008280691,-21075.4402531419,-20472.6825480485,-20712.1357176631,-20105.721867584,-20345.7923960327,-19745.2253424973,-19990.8328271422,-19064.0782591023,-18137.3236910623
4.A. Forest land,WOM,Total,-22776.9,-22457.5,-22130.5,-21802.6,-21488.3,-21169.4,-20883.2,-20601.1,-20339.3,-20048.9,-19752.7,-19464.4,-19194.0,-18925.7,-18655.0,-18381.0,-18104.5,-17830.1,-17558.1,-17286.6,-17010.38,-16734.16,-16457.94,-16181.72,-15905.5,-15629.26,-15353.02,-15076.78,-14800.54,-14524.3,-22776.9453059554,-22457.5469497861,-22130.4610786451,-21802.5810537386,-21488.3355647761,-21169.3957641649,-20883.2488047175,-20601.1268798063,-20339.2742362668,-20048.8830616343,-19752.7181437037,-19464.4110244411,-19194.047459081,-18925.6921831034,-18654.989884336,-18380.965171851,-18104.4969805278,-17830.0932263422,-17558.0832719165,-17286.6111961698,-15905.4752634375,-14524.3393307053
