Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3.e. Other transportation,WEM,ESR,125.705,123.46466,121.22433,118.98399,116.74366,121.96901,127.19436,132.41971,137.64506,142.87041,138.41255,133.95469,129.49683,125.03898,120.58112,117.3009,114.02069,110.74047,107.46025,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,125.705,116.743655887114,142.870407093437,120.581119774306,104.180037218441,104.180037218441,104.180037218441
1.A.3.e. Other transportation,WEM,Total,125.705,123.46466,121.22433,118.98399,116.74366,121.96901,127.19436,132.41971,137.64506,142.87041,138.41255,133.95469,129.49683,125.03898,120.58112,117.3009,114.02069,110.74047,107.46025,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,104.18004,125.705,116.743655887114,142.870407093437,120.581119774306,104.180037218441,104.180037218441,104.180037218441
1.A.4. Other sectors,WAM,ESR,2097.928,2031.97995,1966.03189,1900.08384,1834.13579,1759.28075,1684.42571,1609.57068,1534.71564,1459.8606,1431.55128,1403.24196,1374.93263,1346.62331,1318.31398,1305.73646,1293.15893,1280.58141,1268.00388,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,2097.928,1834.13578745172,1459.86060310927,1318.31398467085,1255.4263568192,1255.4263568192,1255.4263568192
1.A.4. Other sectors,WAM,Total,2097.928,2031.97995,1966.03189,1900.08384,1834.13579,1759.28075,1684.42571,1609.57068,1534.71564,1459.8606,1431.55128,1403.24196,1374.93263,1346.62331,1318.31398,1305.73646,1293.15893,1280.58141,1268.00388,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,1255.42636,2097.928,1834.13578745172,1459.86060310927,1318.31398467085,1255.4263568192,1255.4263568192,1255.4263568192
1.A.4. Other sectors,WEM,ESR,2097.928,2079.55152,2061.17504,2042.79856,2024.42208,2002.83801,1981.25393,1959.66985,1938.08578,1916.5017,1885.34067,1854.17965,1823.01862,1791.8576,1760.69657,1733.86446,1707.03235,1680.20024,1653.36814,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,2097.928,2024.42208343788,1916.50169797797,1760.69657233727,1626.53602576857,1626.53602576857,1626.53602576857
1.A.4. Other sectors,WEM,Total,2097.928,2079.55152,2061.17504,2042.79856,2024.42208,2002.83801,1981.25393,1959.66985,1938.08578,1916.5017,1885.34067,1854.17965,1823.01862,1791.8576,1760.69657,1733.86446,1707.03235,1680.20024,1653.36814,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,1626.53603,2097.928,2024.42208343788,1916.50169797797,1760.69657233727,1626.53602576857,1626.53602576857,1626.53602576857
1.B. Fugitive emissions from fuels,WAM,ESR,1750.12,1741.47627,1732.83253,1724.1888,1715.54506,1676.76928,1637.99349,1599.2177,1560.44192,1521.66613,1406.42272,1291.17932,1175.93591,1060.6925,945.4491,912.12337,878.79763,845.4719,812.14617,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,1750.12,1715.54506468016,1521.66612856231,945.44909748808,778.820436863739,778.820436863739,778.820436863739
1.B. Fugitive emissions from fuels,WAM,Total,1750.12,1741.47627,1732.83253,1724.1888,1715.54506,1676.76928,1637.99349,1599.2177,1560.44192,1521.66613,1406.42272,1291.17932,1175.93591,1060.6925,945.4491,912.12337,878.79763,845.4719,812.14617,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,778.82044,1750.12,1715.54506468016,1521.66612856231,945.44909748808,778.820436863739,778.820436863739,778.820436863739
1.B. Fugitive emissions from fuels,WEM,ESR,1750.12,1751.41291,1752.70582,1753.99873,1755.29165,1721.77375,1688.25585,1654.73796,1621.22006,1587.70217,1523.29703,1458.8919,1394.48676,1330.08163,1265.67649,1200.03948,1134.40246,1068.76545,1003.12844,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,1750.12,1755.29164594541,1587.70216640276,1265.67648974591,937.491424672871,937.491424672871,937.491424672871
1.B. Fugitive emissions from fuels,WEM,Total,1750.12,1751.41291,1752.70582,1753.99873,1755.29165,1721.77375,1688.25585,1654.73796,1621.22006,1587.70217,1523.29703,1458.8919,1394.48676,1330.08163,1265.67649,1200.03948,1134.40246,1068.76545,1003.12844,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,937.49142,1750.12,1755.29164594541,1587.70216640276,1265.67648974591,937.491424672871,937.491424672871,937.491424672871
2. Industrial processes,WAM,ESR,812.139,812.57006,813.00112,813.43218,813.86323,814.04359,814.22394,814.4043,814.58465,814.76501,814.02197,813.27894,812.53591,811.79287,811.04984,811.38748,811.72512,812.06277,812.40041,812.73806,812.73806,812.73806,812.73806,812.73806,812.73806,812.73806,812.73806,812.73806,812.73806,812.73806,812.139,813.863233596072,814.765007695246,811.049837044082,812.73805615786,812.73805615786,812.73805615786
2. Industrial processes,WAM,ETS,3721.717,3752.25852,3782.80005,3813.34157,3843.8831,3868.23208,3892.58105,3916.93003,3941.27901,3965.62799,3820.54967,3675.47135,3530.39303,3385.3147,3240.23638,3236.87254,3233.5087,3230.14486,3226.78102,3223.41718,3223.41718,3223.41718,3223.41718,3223.41718,3223.41718,3223.41718,3223.41718,3223.41718,3223.41718,3223.41718,3721.717,3843.88309719298,3965.62798876935,3240.23638340126,3223.41718069609,3223.41718069609,3223.41718069609
2. Industrial processes,WAM,Total,4533.856,4564.82858,4595.80117,4626.77375,4657.74633,4682.27566,4706.805,4731.33433,4755.86366,4780.393,4634.57164,4488.75029,4342.92893,4197.10758,4051.28622,4048.26002,4045.23383,4042.20763,4039.18143,4036.15524,4036.15524,4036.15524,4036.15524,4036.15524,4036.15524,4036.15524,4036.15524,4036.15524,4036.15524,4036.15524,4533.856,4657.74633078905,4780.39299646459,4051.28622044534,4036.15523685394,4036.15523685394,4036.15523685394
2. Industrial processes,WEM,ESR,812.139,812.3565,812.574,812.7915,813.009,812.93927,812.86953,812.7998,812.73006,812.66033,812.39007,812.11982,811.84957,811.57931,811.30906,811.64865,811.98825,812.32785,812.66745,813.00704,813.00704,813.00704,813.00704,813.00704,813.00704,813.00704,813.00704,813.00704,813.00704,813.00704,812.139,813.009000902325,812.660329688052,811.309055578508,813.007043770646,813.007043770646,813.007043770646
2. Industrial processes,WEM,ETS,3721.717,3730.50057,3739.28414,3748.06771,3756.85128,3727.39799,3697.94469,3668.4914,3639.0381,3609.58481,3539.37443,3469.16405,3398.95367,3328.74328,3258.5329,3255.09672,3251.66053,3248.22434,3244.78815,3241.35197,3241.35197,3241.35197,3241.35197,3241.35197,3241.35197,3241.35197,3241.35197,3241.35197,3241.35197,3241.35197,3721.717,3756.85128385564,3609.5848065696,3258.53290439432,3241.3519652952,3241.3519652952,3241.3519652952
2. Industrial processes,WEM,Total,4533.856,4542.85707,4551.85814,4560.85921,4569.86028,4540.33726,4510.81423,4481.2912,4451.76817,4422.24514,4351.7645,4281.28387,4210.80323,4140.3226,4069.84196,4066.74537,4063.64878,4060.55219,4057.4556,4054.35901,4054.35901,4054.35901,4054.35901,4054.35901,4054.35901,4054.35901,4054.35901,4054.35901,4054.35901,4054.35901,4533.856,4569.86028475797,4422.24513625765,4069.84195997282,4054.35900906585,4054.35900906585,4054.35900906585
3. Agriculture,WAM,ESR,6106.339,6190.30287,6274.26675,6358.23062,6442.19449,6526.54585,6610.89722,6695.24858,6779.59994,6863.9513,6951.45253,7038.95375,7126.45498,7213.9562,7301.45743,7390.73325,7480.00908,7569.28491,7658.56073,7747.83656,7747.83656,7747.83656,7747.83656,7747.83656,7747.83656,7747.83656,7747.83656,7747.83656,7747.83656,7747.83656,6106.339,6442.19449206098,6863.95130146788,7301.45742700939,7747.83655996642,7747.83655996642,7747.83655996642
