Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.2. Manufacturing industries and construction,WAM,ETS,1834.98,1824.36,1813.74,1803.12,1792.5,1776.0,1759.5,1743.0,1726.5,1710.0,1688.52,1667.04,1645.56,1624.08,1602.6,1581.12,1559.64,1538.16,1516.68,1495.2,1462.16,1429.12,1396.08,1363.04,1330.0,1296.94,1263.88,1230.82,1197.76,1164.7,1792.51431289111,1710.04362405573,1602.62811068187,1495.21259730802,1329.97601913776,1164.73944096751
1.A.2. Manufacturing industries and construction,WAM,Total,2379.82,2365.94,2352.06,2338.18,2324.3,2302.86,2281.42,2259.98,2238.54,2217.1,2189.4,2161.7,2134.0,2106.3,2078.6,2050.92,2023.24,1995.56,1967.88,1940.2,1897.56,1854.92,1812.28,1769.64,1727.0,1684.38,1641.76,1599.14,1556.52,1513.9,2324.29887240964,2217.11936001633,2078.6418278157,1940.16429561506,1727.02903200169,1513.89376838832
1.A.2. Manufacturing industries and construction,WEM,ESR,546.32,544.54,542.76,540.98,539.2,535.74,532.28,528.82,525.36,521.9,517.88,513.86,509.84,505.82,501.8,497.76,493.72,489.68,485.64,481.6,474.98,468.36,461.74,455.12,448.5,441.86,435.22,428.58,421.94,415.3,539.191163974104,521.888944871757,501.750492906136,481.612040940514,448.460328710821,415.308616481128
1.A.2. Manufacturing industries and construction,WEM,ETS,1840.34,1835.08,1829.82,1824.56,1819.3,1808.16,1797.02,1785.88,1774.74,1763.6,1749.76,1735.92,1722.08,1708.24,1694.4,1680.54,1666.68,1652.82,1638.96,1625.1,1602.42,1579.74,1557.06,1534.38,1511.7,1489.02,1466.34,1443.66,1420.98,1398.3,1819.29587191127,1763.60674209604,1694.35133690378,1625.09593171153,1511.69304215552,1398.2901525995
1.A.2. Manufacturing industries and construction,WEM,Total,2386.66,2379.62,2372.58,2365.54,2358.5,2343.9,2329.3,2314.7,2300.1,2285.5,2267.62,2249.74,2231.86,2213.98,2196.1,2178.22,2160.34,2142.46,2124.58,2106.7,2077.4,2048.1,2018.8,1989.5,1960.2,1930.88,1901.56,1872.24,1842.92,1813.6,2358.48703588537,2285.4956869678,2196.10182980992,2106.70797265204,1960.15337086634,1813.59876908063
1.A.3. Transport,WAM,ESR,5785.62,5791.14,5796.66,5802.18,5807.7,5815.32,5822.94,5830.56,5838.18,5845.8,5727.5,5609.2,5490.9,5372.6,5254.3,5136.0,5017.7,4899.4,4781.1,4662.8,4473.96,4285.12,4096.28,3907.44,3718.6,3530.0,3341.4,3152.8,2964.2,2775.6,5807.70150935201,5845.77350779087,5254.33948376111,4662.80319656828,3718.60540511352,2775.58169630109
1.A.3. Transport,WAM,Total,5803.36,5809.92,5816.48,5823.04,5829.6,5838.24,5846.88,5855.52,5864.16,5872.8,5754.22,5635.64,5517.06,5398.48,5279.9,5161.3,5042.7,4924.1,4805.5,4686.9,4497.5,4308.1,4118.7,3929.3,3739.9,3550.74,3361.58,3172.42,2983.26,2794.1,5829.55000991211,5872.82060291108,5279.93099140634,4686.93911673853,3739.92879199233,2794.09254988846
1.A.3. Transport,WEM,ESR,5833.92,5887.74,5941.56,5995.38,6049.2,6105.08,6160.96,6216.84,6272.72,6328.6,6204.4,6080.2,5956.0,5831.8,5707.6,5583.48,5459.36,5335.24,5211.12,5087.0,4959.48,4831.96,4704.44,4576.92,4449.4,4322.0,4194.6,4067.2,3939.8,3812.4,6049.21883531448,6328.63706218878,5707.63850065426,5086.97521249087,4449.38293868111,3812.43613751235
1.A.3. Transport,WEM,Total,5851.66,5906.52,5961.38,6016.24,6071.1,6128.02,6184.94,6241.86,6298.78,6355.7,6231.22,6106.74,5982.26,5857.78,5733.3,5608.88,5484.46,5360.04,5235.62,5111.2,4983.1,4855.0,4726.9,4598.8,4470.7,4342.74,4214.78,4086.82,3958.86,3830.9,6071.07104820826,6355.69158197634,5733.25929484357,5111.16228108194,4470.73151141231,3830.94621438368
1.A.3.a. Domestic aviation,WAM,ESR,0.12,0.14,0.16,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16649905910745,0.2061155582149,0.198854970854649,0.191594383494399,0.183962272421142,0.176330161347885
1.A.3.a. Domestic aviation,WAM,Total,17.84,18.88,19.92,20.96,22.0,23.06,24.12,25.18,26.24,27.3,27.0,26.7,26.4,26.1,25.8,25.5,25.2,24.9,24.6,24.3,23.74,23.18,22.62,22.06,21.5,20.94,20.38,19.82,19.26,18.7,22.0149996192119,27.2532106784238,25.7903626160857,24.3275145537476,21.5073491512305,18.6871837487135
1.A.3.a. Domestic aviation,WEM,ESR,0.12,0.14,0.16,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.166527349381267,0.206172138762533,0.19908627295613,0.192000407149727,0.184161584881006,0.176322762612284
1.A.3.a. Domestic aviation,WEM,Total,17.84,18.88,19.92,20.96,22.0,23.06,24.12,25.18,26.24,27.3,27.0,26.7,26.4,26.1,25.8,25.52,25.24,24.96,24.68,24.4,23.82,23.24,22.66,22.08,21.5,20.94,20.38,19.82,19.26,18.7,22.0187402431568,27.2606919263136,25.8198804622685,24.3790689982234,21.5327343160814,18.6863996339394
1.A.3.b. Road transportation,WAM,ESR,5607.08,5609.16,5611.24,5613.32,5615.4,5619.62,5623.84,5628.06,5632.28,5636.5,5518.56,5400.62,5282.68,5164.74,5046.8,4928.84,4810.88,4692.92,4574.96,4457.0,4267.88,4078.76,3889.64,3700.52,3511.4,3322.5,3133.6,2944.7,2755.8,2566.9,5615.43688284611,5636.54369600536,5046.83639291643,4457.02682666444,3511.38674111383,2566.92073820554
1.A.3.b. Road transportation,WAM,Total,5607.08,5609.16,5611.24,5613.32,5615.4,5619.62,5623.84,5628.06,5632.28,5636.5,5518.56,5400.62,5282.68,5164.74,5046.8,4928.84,4810.88,4692.92,4574.96,4457.0,4267.88,4078.76,3889.64,3700.52,3511.4,3322.5,3133.6,2944.7,2755.8,2566.9,5615.43688284611,5636.54369600536,5046.83639291643,4457.02682666444,3511.38674111383,2566.92073820554
1.A.3.b. Road transportation,WEM,ESR,5654.38,5703.76,5753.14,5802.52,5851.9,5903.38,5954.86,6006.34,6057.82,6109.3,5988.66,5868.02,5747.38,5626.74,5506.1,5385.54,5264.98,5144.42,5023.86,4903.3,4775.36,4647.42,4519.48,4391.54,4263.6,4135.8,4008.0,3880.2,3752.4,3624.6,5851.8845357279,6109.2679042419,5506.12518471229,4903.31773855382,4263.62563030144,3624.57899469007
1.A.3.b. Road transportation,WEM,Total,5654.38,5703.76,5753.14,5802.52,5851.9,5903.38,5954.86,6006.34,6057.82,6109.3,5988.66,5868.02,5747.38,5626.74,5506.1,5385.54,5264.98,5144.42,5023.86,4903.3,4775.36,4647.42,4519.48,4391.54,4263.6,4135.8,4008.0,3880.2,3752.4,3624.6,5851.8845357279,6109.2679042419,5506.12518471229,4903.31773855382,4263.62563030144,3624.57899469007
1.A.3.c. Railways,WAM,ESR,47.22,48.04,48.86,49.68,50.5,51.3,52.1,52.9,53.7,54.5,52.9,51.3,49.7,48.1,46.5,44.9,43.3,41.7,40.1,38.5,37.02,35.54,34.06,32.58,31.1,29.64,28.18,26.72,25.26,23.8,50.4874921320142,54.5249947897484,46.4960426843041,38.4670905788597,31.1450500479271,23.8230095169946
