Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
4.G. Harvested wood products,WEM,Total,-0.01413,-0.11494,-0.11342,-0.10818,-0.11108,-0.11729,-0.1565,-0.23082,-0.24881,-0.28157,-0.2964,-0.33417,-0.2813,-0.27426,-0.2949,-0.27105,-0.24823,-0.2684,-0.27971,-0.26825,-0.29392,-0.29984,-0.28842,-0.25717,-0.25322,-0.24149,-0.19992,-0.1953,-0.26811,-0.27908
5. Waste,WAM,ESR,268.47833,262.33386,256.71594,252.85471,242.68197,233.28515,225.13463,222.34855,222.97437,223.18964,217.05498,215.43492,214.40736,213.90118,213.85028,213.95994,210.75588,207.86531,205.25338,202.88776,200.7815,198.87047,197.13266,195.55123,194.10996,192.79506,191.5947,190.5002,189.50071,188.59131
5. Waste,WAM,Total,268.47833,262.33386,256.71594,252.85471,242.68197,233.28515,225.13463,222.34855,222.97437,223.18964,217.05498,215.43492,214.40736,213.90118,213.85028,213.95994,210.75588,207.86531,205.25338,202.88776,200.7815,198.87047,197.13266,195.55123,194.10996,192.79506,191.5947,190.5002,189.50071,188.59131
5. Waste,WEM,ESR,268.47833,262.33386,256.71594,252.85471,242.68197,233.28515,225.13463,222.34855,222.97437,223.18964,217.05498,215.43492,214.40736,213.90118,213.85028,213.95994,210.75588,207.86531,205.25338,202.88776,200.7815,198.87047,197.13266,195.55123,194.10996,192.79506,191.5947,190.5002,189.50071,188.59131
5. Waste,WEM,Total,268.47833,262.33386,256.71594,252.85471,242.68197,233.28515,225.13463,222.34855,222.97437,223.18964,217.05498,215.43492,214.40736,213.90118,213.85028,213.95994,210.75588,207.86531,205.25338,202.88776,200.7815,198.87047,197.13266,195.55123,194.10996,192.79506,191.5947,190.5002,189.50071,188.59131
IB.Aviation,WAM,Total,415.35392,782.54272,868.1452,927.90526,996.97124,1011.97188,1020.72343,1029.49758,1037.58535,1045.83519,1051.92518,1057.28212,1061.72129,1065.32509,1046.13702,1054.58821,1062.73758,1060.26434,1052.11009,1040.18151,1024.67183,1004.01921,977.31343,944.55398,904.87796,858.49741,805.94949,747.55475,684.73788,619.06581
IB.Aviation,WEM,Total,415.35392,782.54272,868.1452,927.90526,996.97124,1011.97188,1020.72343,1029.49758,1037.58535,1045.83519,1051.92518,1057.28212,1061.72129,1065.32509,1046.13702,1054.58821,1062.73758,1060.26434,1052.11009,1040.18151,1024.67183,1004.01921,977.31343,944.55398,904.87796,858.49741,805.94949,747.55475,684.73788,619.06581
IB.Navigation,WAM,Total,123.74961,197.14808,224.18005,239.65881,257.59855,261.57793,265.5395,269.80209,273.72381,277.62234,277.64493,279.09572,280.34865,281.03509,281.71815,281.68513,281.14638,279.97412,278.01481,275.08843,270.91532,265.63594,258.72502,249.70965,238.97068,226.16461,211.13282,194.55156,176.57336,157.5716
IB.Navigation,WEM,Total,123.74961,197.14808,224.18005,239.65881,257.59855,261.57793,265.5395,269.80209,273.72381,277.62234,277.64493,279.09572,280.34865,281.03509,281.71815,281.68513,281.14638,279.97412,278.01481,275.08843,270.91532,265.63594,258.72502,249.70965,238.97068,226.16461,211.13282,194.55156,176.57336,157.5716
Total excluding LULUCF,WAM,ESR,2797.91542,2972.56614,2826.47614,2785.55252,2708.50496,2612.36537,2547.15644,2434.65304,2370.60771,2311.92575,2230.02869,2175.74263,2126.14984,2048.32726,1981.47685,1924.71574,1858.70642,1788.63842,1717.14279,1647.08556,1576.18624,1503.21785,1451.76931,1405.32757,1369.10666,1333.69712,1299.21964,1262.69011,1227.49234,1198.23282
Total excluding LULUCF,WAM,ETS,1843.58868,1894.91117,1937.78014,1938.03969,1926.78748,1921.47699,1915.42428,1913.32174,1905.54849,1899.49877,1893.44607,1888.28935,1881.34364,1875.29392,1869.24122,1864.08152,1857.1388,1851.08609,1845.03637,1839.87667,1832.93191,1826.87717,1820.82243,1815.66367,1808.71593,1802.66417,1796.60943,1791.45067,1784.50293,1778.44818
Total excluding LULUCF,WAM,Total,4662.23952,4891.47353,4789.06317,4749.20945,4661.69146,4560.98301,4489.44736,4374.51609,4302.30579,4237.06835,4148.44299,4087.93428,4029.78987,3943.66218,3867.87073,3802.64811,3726.36738,3647.28335,3567.37241,3490.42099,3411.37902,3331.55902,3273.53684,3221.60196,3178.21858,3136.61927,3095.99811,3054.25224,3012.06925,2976.73044
Total excluding LULUCF,WEM,ESR,2797.91542,2972.56614,2830.56742,2795.7305,2726.55911,2638.26925,2578.26866,2460.75069,2400.01474,2348.64873,2269.82993,2217.6893,2169.54337,2092.65741,2026.37773,1969.92944,1904.04804,1833.9691,1762.36296,1692.12356,1620.91028,1547.34111,1475.1452,1406.92858,1370.77949,1335.44154,1301.03538,1264.57671,1229.44906,1200.26164
Total excluding LULUCF,WEM,ETS,1843.58868,1894.91117,1937.78014,1938.03969,1926.78748,1921.47699,1915.42428,1913.32174,1905.54849,1899.49877,1893.44607,1888.28935,1881.34364,1875.29392,1869.24122,1864.08152,1857.1388,1851.08609,1845.03637,1839.87667,1832.93191,1826.87717,1820.82243,1815.66367,1808.71593,1802.66417,1796.60943,1791.45067,1784.50293,1778.44818
Total excluding LULUCF,WEM,Total,4662.23952,4891.47353,4793.15446,4759.38744,4679.74561,4586.88689,4520.55958,4400.61375,4331.71282,4273.79132,4188.24423,4129.88095,4073.18339,3987.99233,3912.7716,3847.86181,3771.709,3692.61403,3612.59258,3535.45899,3456.10306,3375.68228,3296.91274,3223.20298,3179.8914,3138.3637,3097.81386,3056.13884,3014.02597,2978.75927
Total including LULUCF,WAM,ESR,2797.91542,2972.56614,2826.47614,2785.55252,2708.50496,2612.36537,2547.15644,2434.65304,2370.60771,2311.92575,2230.02869,2175.74263,2126.14984,2048.32726,1981.47685,1924.71574,1858.70642,1788.63842,1717.14279,1647.08556,1576.18624,1503.21785,1451.76931,1405.32757,1369.10666,1333.69712,1299.21964,1262.69011,1227.49234,1198.23282
Total including LULUCF,WAM,ETS,1843.58868,1894.91117,1937.78014,1938.03969,1926.78748,1921.47699,1915.42428,1913.32174,1905.54849,1899.49877,1893.44607,1888.28935,1881.34364,1875.29392,1869.24122,1864.08152,1857.1388,1851.08609,1845.03637,1839.87667,1832.93191,1826.87717,1820.82243,1815.66367,1808.71593,1802.66417,1796.60943,1791.45067,1784.50293,1778.44818
Total including LULUCF,WAM,Total,14060.04065,14249.64854,14100.9383,14015.32567,13886.61963,13741.2408,13601.62868,13421.5834,13282.23196,13152.93832,12997.1043,12868.61167,12736.49551,12582.61853,12448.60143,12322.59142,12186.72654,12081.51662,11939.2243,11801.6954,11662.01471,11512.04909,11379.11168,11242.1602,11125.09543,11000.41641,10873.31376,10748.96398,10622.99566,10486.16717
Total including LULUCF,WEM,ESR,2797.91542,2972.56614,2830.56742,2795.7305,2726.55911,2638.26925,2578.26866,2460.75069,2400.01474,2348.64873,2269.82993,2217.6893,2169.54337,2092.65741,2026.37773,1969.92944,1904.04804,1833.9691,1762.36296,1692.12356,1620.91028,1547.34111,1475.1452,1406.92858,1370.77949,1335.44154,1301.03538,1264.57671,1229.44906,1200.26164
Total including LULUCF,WEM,ETS,1843.58868,1894.91117,1937.78014,1938.03969,1926.78748,1921.47699,1915.42428,1913.32174,1905.54849,1899.49877,1893.44607,1888.28935,1881.34364,1875.29392,1869.24122,1864.08152,1857.1388,1851.08609,1845.03637,1839.87667,1832.93191,1826.87717,1820.82243,1815.66367,1808.71593,1802.66417,1796.60943,1791.45067,1784.50293,1778.44818
Total including LULUCF,WEM,Total,14060.04065,14263.07415,14131.8808,14065.78048,13958.37621,13835.6899,13737.56791,13590.61196,13492.67379,13408.79998,13295.5572,13210.6885,13123.68783,13015.04872,12926.6075,12846.69605,12757.60686,12699.98101,12606.20783,12518.24865,12427.68697,12329.3658,12229.2813,12125.56468,12065.02598,11994.93708,11927.254,11863.47447,11799.13544,11724.85368
