Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WEM,Total,-2299.05521,-2299.05521,-2299.05521,-2299.05521,-2299.05521,-509.05521,-509.05521,-509.05521,-509.05521,-509.05521,-509.05521,-509.05521,-509.05521,-509.05521,-509.05521
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WOM,Total,-3769.05521,-3769.05521,-3769.05521,-3769.05521,-3769.05521,-2829.05521,-2829.05521,-2829.05521,-2829.05521,-2829.05521,-2829.05521,-2829.05521,-2829.05521,-2829.05521,-2829.05521
5. Waste,WAM,Total,703.46037,693.31951,684.00907,675.47027,667.64711,661.44577,655.76973,650.59377,645.87869,641.60211,637.80632,634.34254,631.19396,628.34378,625.7752
5. Waste,WEM,Total,703.46037,693.31951,684.00907,675.47027,667.64711,661.44577,655.76973,650.59377,645.87869,641.60211,637.80632,634.34254,631.19396,628.34378,625.7752
5. Waste,WOM,Total,884.75123,867.04435,850.49312,835.05831,820.68634,807.24552,794.74372,783.11814,772.3081,762.256,753.51867,745.42928,737.94503,731.02627,724.63634
Indirect CO2 (if available) (10),WAM,Total,119.68722,119.89879,120.10214,120.29726,120.48416,120.62262,120.75267,120.87429,120.98748,120.89328,121.13127,121.16085,121.18099,121.1917,121.19297
Indirect CO2 (if available) (10),WEM,Total,119.68722,119.89879,120.10214,120.29726,120.48416,120.62262,120.75267,120.87429,120.98748,120.81185,121.13127,121.16085,121.18099,121.1917,121.19297
Indirect CO2 (if available) (10),WOM,Total,448.15495,447.44041,446.72588,446.01135,445.29681,444.57567,443.85453,443.13338,442.41224,441.6911,440.32485,438.95861,437.59237,436.22612,434.85988
Total excluding LULUCF,WAM,Total,43374.30851,43018.73475,42634.90105,42156.23351,39531.70516,38803.07902,38048.57402,37339.5818,36649.82175,35838.86978,35468.5891,34849.75897,34245.509,33621.03925,32974.63905
Total excluding LULUCF,WEM,Total,43429.60055,43155.25772,42949.57516,42582.71518,42658.58837,42008.89052,41409.93405,40740.40886,40065.76365,39444.58321,39165.77657,38637.04887,38123.85721,37584.13736,37064.34753
Total excluding LULUCF,WOM,Total,56383.52107,56112.64505,55692.84109,55400.94591,55093.94503,54891.40199,54727.69363,54512.05012,55182.08017,54948.1271,54797.47664,54694.13464,55366.15226,55228.21234,55047.45706
Total including LULUCF,WAM,Total,44515.25329,44159.67954,43775.84584,43297.17829,40672.64994,40494.02381,39739.51881,39030.52658,38340.76654,37529.81457,37159.53389,36540.70376,35936.45378,35311.98404,34665.58383
Total including LULUCF,WEM,Total,41130.54534,40856.20251,40650.51994,40283.65996,40359.53316,41499.8353,40900.87884,40231.35364,39556.70843,38935.52799,38656.72136,38127.99366,37614.80199,37075.08215,36555.29232
Total including LULUCF,WOM,Total,52614.46585,52343.58984,51923.78587,51631.8907,51324.88982,52062.34677,51898.63842,51682.9949,52353.02496,52119.07189,51968.42143,51865.07942,52537.09704,52399.15713,52218.40185
