Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1.A.1. Energy industries,WEM,ETS,27880.68479,26709.00296,25537.32112,24365.63928,23193.95745,23237.23045,23280.50345,23323.77644,23367.04944,23410.32244,23287.4521,23164.58176,23041.71142,22918.84108,22795.97074,22687.59604,22579.22134,22470.84664,22362.47193,22254.09723,22188.46771,22122.83818,22057.20866,21991.57914,21925.94961,22803.82499,23681.70037,24559.57576,25437.45114,26315.32652,,,,,23193.9574472465,,,,,23410.3224423001,,,,,22795.9707408987,,,,,22254.0972325107,,,,,21925.9496117962,,,,,26315.3265184971
1.A.1. Energy industries,WEM,Total,35205.74853,33318.30773,31430.86694,29543.42615,27655.98535,27737.72167,27819.45798,27901.19429,27982.9306,28064.66691,27940.99946,27817.33201,27693.66456,27569.99711,27446.32966,27328.57653,27210.8234,27093.07027,26975.31714,26857.56401,26793.35364,26729.14327,26664.93291,26600.72254,26536.51217,27689.43807,28842.36397,29995.28987,31148.21577,32301.14167,0.0,0.0,0.0,0.0,27655.9853542264,0.0,0.0,0.0,0.0,28064.6669127509,0.0,0.0,0.0,0.0,27446.3296587884,0.0,0.0,0.0,0.0,26857.564008511,0.0,0.0,0.0,0.0,26536.5121708992,0.0,0.0,0.0,0.0,32301.1416711758
1.A.2. Manufacturing industries and construction,WAM,ESR,16032.81882,15654.78828,15276.75775,14898.72721,14520.69667,14367.36118,14214.0257,14060.69021,13907.35472,13754.01923,13633.99573,13513.97222,13393.94872,13273.92522,13153.90171,13038.46064,12923.01956,12807.57848,12692.1374,12576.69633,12458.24916,12339.80199,12221.35482,12102.90765,11984.46048,11847.42259,11710.3847,11573.34682,11436.30893,11299.27104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2. Manufacturing industries and construction,WAM,ETS,25150.13361,24568.6157,23987.09778,23405.57987,22824.06195,22595.24912,22366.4363,22137.62347,21908.81064,21679.99781,21481.49923,21283.00065,21084.50207,20886.0035,20687.50492,20512.20198,20336.89903,20161.59609,19986.29315,19810.99021,19645.69904,19480.40787,19315.1167,19149.82552,18984.53435,18799.95348,18615.37261,18430.79174,18246.21087,18061.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2. Manufacturing industries and construction,WAM,Total,41182.95243,40223.40398,39263.85553,38304.30708,37344.75863,36962.61031,36580.46199,36198.31368,35816.16536,35434.01704,35115.49496,34796.97288,34478.4508,34159.92871,33841.40663,33550.66261,33259.91859,32969.17457,32678.43056,32387.68654,32103.9482,31820.20986,31536.47151,31252.73317,30968.99483,30647.37607,30325.75731,30004.13855,29682.51979,29360.90104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2. Manufacturing industries and construction,WEM,ESR,16032.81882,15654.78828,15276.75775,14898.72721,14520.69667,14367.36118,14214.0257,14060.69021,13907.35472,13754.01923,13633.99573,13513.97222,13393.94872,13273.92522,13153.90171,13038.46064,12923.01956,12807.57848,12692.1374,12576.69633,12458.24916,12339.80199,12221.35482,12102.90765,11984.46048,11847.42259,11710.3847,11573.34682,11436.30893,11299.27104,,,,,14520.6966724855,,,,,13754.0192327153,,,,,13153.9017131532,,,,,12576.6963255026,,,,,11984.4604819887,,,,,11299.2710384391
1.A.2. Manufacturing industries and construction,WEM,ETS,25150.13361,24568.6157,23987.09778,23405.57987,22824.06195,22595.24912,22366.4363,22137.62347,21908.81064,21679.99781,21481.49923,21283.00065,21084.50207,20886.0035,20687.50492,20512.20198,20336.89903,20161.59609,19986.29315,19810.99021,19645.69904,19480.40787,19315.1167,19149.82552,18984.53435,18799.95348,18615.37261,18430.79174,18246.21087,18061.63,,,,,22824.0619533743,,,,,21679.997810933,,,,,20687.5049174237,,,,,19810.9902112535,,,,,18984.5343518049,,,,,18061.6299966544
1.A.2. Manufacturing industries and construction,WEM,Total,41182.95243,40223.40398,39263.85553,38304.30708,37344.75863,36962.61031,36580.46199,36198.31368,35816.16536,35434.01704,35115.49496,34796.97288,34478.4508,34159.92871,33841.40663,33550.66261,33259.91859,32969.17457,32678.43056,32387.68654,32103.9482,31820.20986,31536.47151,31252.73317,30968.99483,30647.37607,30325.75731,30004.13855,29682.51979,29360.90104,0.0,0.0,0.0,0.0,37344.7586258597,0.0,0.0,0.0,0.0,35434.0170436484,0.0,0.0,0.0,0.0,33841.4066305769,0.0,0.0,0.0,0.0,32387.6865367561,0.0,0.0,0.0,0.0,30968.9948337936,0.0,0.0,0.0,0.0,29360.9010350934
1.A.3. Transport,WAM,ESR,107496.86275,108988.76305,110480.66334,111972.56363,113464.46393,110163.93619,106863.40846,103562.88073,100262.35299,96961.82526,94402.90048,91843.97571,89285.05093,86726.12615,84167.20137,82063.04588,79958.89038,77854.73489,75750.57939,73646.4239,72441.14883,71235.87376,70030.5987,68825.32363,67620.04856,67174.48502,66728.92147,66283.35792,65837.79438,65392.23083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3. Transport,WAM,ETS,306.13537,308.91184,311.6883,314.46477,317.24123,313.84631,310.45139,307.05646,303.66154,300.26662,298.718,297.16937,295.62075,294.07212,292.5235,292.14326,291.76301,291.38277,291.00253,290.62229,289.4224,288.22252,287.02264,285.82276,284.62288,288.0201,291.41732,294.81454,298.21176,301.60898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
