Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
5. Waste,WEM,ESR,20190.0,19428.5,18667.0,17905.5,17144.0,16886.8,16629.6,16372.4,16115.2,15858.0,15484.24,15110.48,14736.72,14362.96,13989.2,13613.42,13237.64,12861.86,12486.08,12110.3,11815.9,11521.5,11227.1,10932.7,10638.3,10404.16,10170.02,9935.88,9701.74,9467.6,20189.9722135775,17144.0277020618,,,,,15858.0076005775,,,,,13989.2109835892,,,,,12110.3377744976,,,,,10638.3198288207,,,,,9467.63202940878
5. Waste,WEM,Total,20190.0,19428.5,18667.0,17905.5,17144.0,16886.8,16629.6,16372.4,16115.2,15858.0,15484.24,15110.48,14736.72,14362.96,13989.2,13613.42,13237.64,12861.86,12486.08,12110.3,11815.9,11521.5,11227.1,10932.7,10638.3,10404.16,10170.02,9935.88,9701.74,9467.6,20189.9722135775,17144.0277020618,,,,,15858.0076005775,,,,,13989.2109835892,,,,,12110.3377744976,,,,,10638.3198288207,,,,,9467.63202940878
IB.Aviation,WAM,Total,4999.78806003789,4838.69442739202,4677.60079474615,4516.50716210027,4355.4135294544,4291.20677775556,4227.00002605671,4162.79327435787,4098.58652265903,4034.37977096018,3973.42462675615,3912.46948255211,3851.51433834808,3790.55919414405,3729.60404994001,3697.59090395564,3665.57775797127,3633.5646119869,3601.55146600253,3569.53832001816,3563.23889122944,3556.93946244071,3550.64003365199,3544.34060486327,3538.04117607455,3519.16442183527,3500.28766759599,3481.41091335671,3462.53415911743,3443.65740487815,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB.Aviation,WEM,Total,4999.78806003789,4838.69442739202,4677.60079474615,4516.50716210027,4355.4135294544,4291.20677775556,4227.00002605671,4162.79327435787,4098.58652265903,4034.37977096018,3973.42462675615,3912.46948255211,3851.51433834808,3790.55919414405,3729.60404994001,3697.59090395564,3665.57775797127,3633.5646119869,3601.55146600253,3569.53832001816,3563.23889122944,3556.93946244071,3550.64003365199,3544.34060486327,3538.04117607455,3519.16442183527,3500.28766759599,3481.41091335671,3462.53415911743,3443.65740487815,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB.Navigation,WAM,Total,5685.98461859373,5502.78166951295,5319.57872043217,5136.37577135139,4953.17282227061,4880.1540066357,4807.1351910008,4734.1163753659,4661.097559731,4588.0787440961,4518.75780324692,4449.43686239775,4380.11592154857,4310.79498069939,4241.47403985022,4205.06724550731,4168.6604511644,4132.25365682149,4095.84686247858,4059.44006813568,4052.2760734286,4045.11207872153,4037.94808401446,4030.78408930738,4023.62009460031,4002.15259778551,3980.68510097072,3959.21760415592,3937.75010734113,3916.28261052633,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB.Navigation,WEM,Total,5685.98461859373,5502.78166951295,5319.57872043217,5136.37577135139,4953.17282227061,4880.1540066357,4807.1351910008,4734.1163753659,4661.097559731,4588.0787440961,4518.75780324692,4449.43686239775,4380.11592154857,4310.79498069939,4241.47403985022,4205.06724550731,4168.6604511644,4132.25365682149,4095.84686247858,4059.44006813568,4052.2760734286,4045.11207872153,4037.94808401446,4030.78408930738,4023.62009460031,4002.15259778551,3980.68510097072,3959.21760415592,3937.75010734113,3916.28261052633,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (if available) (10),WAM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total excluding LULUCF,WAM,ESR,284441.5,278351.775,272262.05,266172.325,260082.6,257261.4,254440.2,251619.0,248797.8,245976.6,242590.76,239204.92,235819.08,232433.24,229047.4,227633.1,226218.8,224804.5,223390.2,221975.9,221290.48,220605.06,219919.64,219234.22,218548.8,216785.78,215022.76,213259.74,211496.72,209733.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total excluding LULUCF,WAM,ETS,131446.6,126320.95,121195.3,116069.65,110944.0,108930.34,106916.68,104903.02,102889.36,100875.7,98591.1,96306.5,94021.9,91737.3,89452.7,89730.68,90008.66,90286.64,90564.62,90842.6,91063.58,91284.56,91505.54,91726.52,91947.5,92184.76,92422.02,92659.28,92896.54,93133.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total excluding LULUCF,WAM,Total,417591.4,406625.275,395659.15,384693.025,373726.9,368923.2,364119.5,359315.8,354512.1,349708.4,343880.88,338053.36,332225.84,326398.32,320570.8,319463.14,318355.48,317247.82,316140.16,315032.5,314500.3,313968.1,313435.9,312903.7,312371.5,310857.96,309344.42,307830.88,306317.34,304803.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total excluding LULUCF,WEM,ESR,284441.5,278351.775,272262.05,266172.325,260082.6,257261.4,254440.2,251619.0,248797.8,245976.6,242590.76,239204.92,235819.08,232433.24,229047.4,227633.1,226218.8,224804.5,223390.2,221975.9,221290.48,220605.06,219919.64,219234.22,218548.8,216785.78,215022.76,213259.74,211496.72,209733.7,284441.517545771,260082.598210635,0.0,0.0,0.0,0.0,245976.636657367,0.0,0.0,0.0,0.0,229047.445955499,0.0,0.0,0.0,0.0,221975.908130768,0.0,0.0,0.0,0.0,218548.844556314,0.0,0.0,0.0,0.0,209733.673986971
Total excluding LULUCF,WEM,ETS,131446.6,126320.95,121195.3,116069.65,110944.0,108930.34,106916.68,104903.02,102889.36,100875.7,98591.1,96306.5,94021.9,91737.3,89452.7,89730.68,90008.66,90286.64,90564.62,90842.6,91063.58,91284.56,91505.54,91726.52,91947.5,92184.76,92422.02,92659.28,92896.54,93133.8,131446.561124244,110943.971077887,,,,,100875.725072785,,,,,89452.6694157381,,,,,90842.645641779,,,,,91947.5385882384,,,,,93133.7885294549
Total excluding LULUCF,WEM,Total,417591.4,406625.275,395659.15,384693.025,373726.9,368923.2,364119.5,359315.8,354512.1,349708.4,343880.88,338053.36,332225.84,326398.32,320570.8,319463.14,318355.48,317247.82,316140.16,315032.5,314500.3,313968.1,313435.9,312903.7,312371.5,310857.96,309344.42,307830.88,306317.34,304803.8,417591.433598601,373726.920905788,,,,,349708.445992211,,,,,320570.843739697,,,,,315032.535456074,,,,,312371.487501558,,,,,304803.834393836
Total including LULUCF,WAM,ESR,284441.5,278351.775,272262.05,266172.325,260082.6,257261.4,254440.2,251619.0,248797.8,245976.6,242590.76,239204.92,235819.08,232433.24,229047.4,227633.1,226218.8,224804.5,223390.2,221975.9,221290.48,220605.06,219919.64,219234.22,218548.8,216785.78,215022.76,213259.74,211496.72,209733.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total including LULUCF,WAM,ETS,131446.6,126320.95,121195.3,116069.65,110944.0,108930.34,106916.68,104903.02,102889.36,100875.7,98591.1,96306.5,94021.9,91737.3,89452.7,89730.68,90008.66,90286.64,90564.62,90842.6,91063.58,91284.56,91505.54,91726.52,91947.5,92184.76,92422.02,92659.28,92896.54,93133.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total including LULUCF,WAM,Total,390098.2,377529.2,364960.2,352391.2,339822.2,334812.6,329803.0,324793.4,319783.8,314774.2,310018.3,305262.4,300506.5,295750.6,290994.7,288496.94,285999.18,283501.42,281003.66,278505.9,278014.4,277522.9,277031.4,276539.9,276048.4,274575.58,273102.76,271629.94,270157.12,268684.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total including LULUCF,WEM,ESR,284441.5,278351.775,272262.05,266172.325,260082.6,257261.4,254440.2,251619.0,248797.8,245976.6,242590.76,239204.92,235819.08,232433.24,229047.4,227633.1,226218.8,224804.5,223390.2,221975.9,221290.48,220605.06,219919.64,219234.22,218548.8,216785.78,215022.76,213259.74,211496.72,209733.7,284441.517545771,260082.598210635,,,,,245976.636657367,,,,,229047.445955499,,,,,221975.908130768,,,,,218548.844556314,,,,,209733.673986971
Total including LULUCF,WEM,ETS,131446.6,126320.95,121195.3,116069.65,110944.0,108930.34,106916.68,104903.02,102889.36,100875.7,98591.1,96306.5,94021.9,91737.3,89452.7,89730.68,90008.66,90286.64,90564.62,90842.6,91063.58,91284.56,91505.54,91726.52,91947.5,92184.76,92422.02,92659.28,92896.54,93133.8,131446.561124244,110943.971077887,,,,,100875.725072785,,,,,89452.6694157381,,,,,90842.645641779,,,,,91947.5385882384,,,,,93133.7885294549
Total including LULUCF,WEM,Total,390098.2,377529.2,364960.2,352391.2,339822.2,334812.6,329803.0,324793.4,319783.8,314774.2,310018.3,305262.4,300506.5,295750.6,290994.7,288496.94,285999.18,283501.42,281003.66,278505.9,278014.4,277522.9,277031.4,276539.9,276048.4,274575.58,273102.76,271629.94,270157.12,268684.3,390098.173135863,339822.174743294,,,,,314774.153297254,,,,,290994.655411593,,,,,278505.88954348,,,,,276048.398587525,,,,,268684.302478364
