Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3. Transport,WEM,ESR,17042.9,16330.2,15617.5,14904.8,14192.1,13850.58,13509.06,13167.54,12826.02,12484.5,12354.12,12223.74,12093.36,11962.98,11832.6,11667.0,11501.4,11335.8,11170.2,11004.6,10844.88,10685.16,10525.44,10365.72,10206.0,10044.32,9882.64,9720.96,9559.28,9397.6,14192.126469,12484.467529,11832.585039,11004.557859,10205.954639,9397.613449
1.A.3. Transport,WEM,Total,17052.9,16339.9,15626.9,14913.9,14200.9,13859.12,13517.34,13175.56,12833.78,12492.0,12361.42,12230.84,12100.26,11969.68,11839.1,11673.32,11507.54,11341.76,11175.98,11010.2,10850.34,10690.48,10530.62,10370.76,10210.9,10049.12,9887.34,9725.56,9563.78,9402.0,14200.949339,12492.034589,11839.113769,11010.224039,10210.900619,9401.954889
1.A.3.a. Domestic aviation,WAM,ESR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.06,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08096,0.06784,0.06058,0.05067,0.04397,0.0402
1.A.3.a. Domestic aviation,WAM,Total,10.1,9.8,9.5,9.2,8.9,8.64,8.38,8.12,7.86,7.6,7.4,7.2,7.0,6.8,6.6,6.42,6.24,6.06,5.88,5.7,5.56,5.42,5.28,5.14,5.0,4.88,4.76,4.64,4.52,4.4,8.90383,7.6349,6.58931,5.71685,4.98995,4.38164
1.A.3.a. Domestic aviation,WEM,ESR,0.092952,0.089954,0.086956,0.083958,0.08096,0.078336,0.075712,0.073088,0.070464,0.06784,0.066388,0.064936,0.063484,0.062032,0.06058,0.058598,0.056616,0.054634,0.052652,0.05067,0.04933,0.04799,0.04665,0.04531,0.04397,0.043216,0.042462,0.041708,0.040954,0.0402,0.08096,0.06784,0.06058,0.05067,0.04397,0.0402
1.A.3.a. Domestic aviation,WEM,Total,10.1,9.8,9.5,9.2,8.9,8.64,8.38,8.12,7.86,7.6,7.4,7.2,7.0,6.8,6.6,6.42,6.24,6.06,5.88,5.7,5.56,5.42,5.28,5.14,5.0,4.88,4.76,4.64,4.52,4.4,8.90383,7.6349,6.58931,5.71685,4.98995,4.38164
1.A.3.b. Road transportation,WAM,ESR,16645.92,15896.74,15147.56,14398.38,13649.2,13170.02,12690.84,12211.66,11732.48,11253.3,10645.42,10037.54,9429.66,8821.78,8213.9,8016.46,7819.02,7621.58,7424.14,7226.7,7091.36,6956.02,6820.68,6685.34,6550.0,6420.52,6291.04,6161.56,6032.08,5902.6,13649.19441,11253.30903,8213.91372,7226.73631,6550.025,5902.55219
1.A.3.b. Road transportation,WAM,Total,16645.92,15896.74,15147.56,14398.38,13649.2,13170.02,12690.84,12211.66,11732.48,11253.3,10645.42,10037.54,9429.66,8821.78,8213.9,8016.46,7819.02,7621.58,7424.14,7226.7,7091.36,6956.02,6820.68,6685.34,6550.0,6420.52,6291.04,6161.56,6032.08,5902.6,13649.19441,11253.30903,8213.91372,7226.73631,6550.025,5902.55219
1.A.3.b. Road transportation,WEM,ESR,16697.92,16000.74,15303.56,14606.38,13909.2,13571.4,13233.6,12895.8,12558.0,12220.2,12093.28,11966.36,11839.44,11712.52,11585.6,11423.18,11260.76,11098.34,10935.92,10773.5,10616.72,10459.94,10303.16,10146.38,9989.6,9830.66,9671.72,9512.78,9353.84,9194.9,13909.21658,12220.22573,11585.58637,10773.49632,9989.61998,9194.8929
1.A.3.b. Road transportation,WEM,Total,16697.92,16000.74,15303.56,14606.38,13909.2,13571.4,13233.6,12895.8,12558.0,12220.2,12093.28,11966.36,11839.44,11712.52,11585.6,11423.18,11260.76,11098.34,10935.92,10773.5,10616.72,10459.94,10303.16,10146.38,9989.6,9830.66,9671.72,9512.78,9353.84,9194.9,13909.21658,12220.22573,11585.58637,10773.49632,9989.61998,9194.8929
1.A.3.c. Railways,WAM,ESR,253.56,249.82,246.08,242.34,238.6,235.14,231.68,228.22,224.76,221.3,218.08,214.86,211.64,208.42,205.2,202.24,199.28,196.32,193.36,190.4,187.64,184.88,182.12,179.36,176.6,174.04,171.48,168.92,166.36,163.8,238.59928,221.28984,205.24031,190.35912,176.55921,163.76565
1.A.3.c. Railways,WAM,Total,253.56,249.82,246.08,242.34,238.6,235.14,231.68,228.22,224.76,221.3,218.08,214.86,211.64,208.42,205.2,202.24,199.28,196.32,193.36,190.4,187.64,184.88,182.12,179.36,176.6,174.04,171.48,168.92,166.36,163.8,238.59928,221.28984,205.24031,190.35912,176.55921,163.76565
