Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
4.G. Harvested wood products,WEM,Total,-1578.28,-1426.36,-1274.44,-1122.52,-970.6,-865.64,-760.68,-655.72,-550.76,-445.8,-270.38,-94.96,80.46,255.88,431.3,423.74,416.18,408.62,401.06,393.5,368.98,344.46,319.94,295.42,270.9,261.94,252.98,244.02,235.06,226.1,-970.572458566167,-445.847477274016,431.33832379482,393.468740377364,270.895089841286,226.145269970986
5. Waste,WAM,ESR,5630.34,5584.98,5539.62,5494.26,5448.9,5295.9,5142.9,4989.9,4836.9,4683.9,4511.86,4339.82,4167.78,3995.74,3823.7,3716.78,3609.86,3502.94,3396.02,3289.1,3219.18,3149.26,3079.34,3009.42,2939.5,2890.96,2842.42,2793.88,2745.34,2696.8,5448.92580199594,4683.85705789999,3823.72106522677,3289.06427149382,2939.46998131529,2696.77010668801
5. Waste,WAM,Total,5630.34,5584.98,5539.62,5494.26,5448.9,5295.9,5142.9,4989.9,4836.9,4683.9,4511.86,4339.82,4167.78,3995.74,3823.7,3716.78,3609.86,3502.94,3396.02,3289.1,3219.18,3149.26,3079.34,3009.42,2939.5,2890.96,2842.42,2793.88,2745.34,2696.8,5448.92580199594,4683.85705789999,3823.72106522677,3289.06427149382,2939.46998131529,2696.77010668801
5. Waste,WEM,ESR,5633.92,5592.14,5550.36,5508.58,5466.8,5329.44,5192.08,5054.72,4917.36,4780.0,4611.56,4443.12,4274.68,4106.24,3937.8,3831.1,3724.4,3617.7,3511.0,3404.3,3354.54,3304.78,3255.02,3205.26,3155.5,3127.12,3098.74,3070.36,3041.98,3013.6,5466.83189969836,4779.97430879517,3937.75307266577,3404.2524568208,3155.45816664227,3013.55829201499
5. Waste,WEM,Total,5633.92,5592.14,5550.36,5508.58,5466.8,5329.44,5192.08,5054.72,4917.36,4780.0,4611.56,4443.12,4274.68,4106.24,3937.8,3831.1,3724.4,3617.7,3511.0,3404.3,3354.54,3304.78,3255.02,3205.26,3155.5,3127.12,3098.74,3070.36,3041.98,3013.6,5466.83189969836,4779.97430879517,3937.75307266577,3404.2524568208,3155.45816664227,3013.55829201499
IB.Aviation,WAM,Total,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,,,,,,
IB.Aviation,WEM,Total,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,351.7,,,,,,
Total excluding LULUCF,WAM,ESR,56789.32,56748.74,56708.16,56667.58,56627.0,55677.26,54727.52,53777.78,52828.04,51878.3,49940.78,48003.26,46065.74,44128.22,42190.7,41196.58,40202.46,39208.34,38214.22,37220.1,36942.38,36664.66,36386.94,36109.22,35831.5,35368.1,34904.7,34441.3,33977.9,33514.5,56626.9656780096,51878.3435757064,42190.6748843878,37220.1466894811,35831.5442444534,33514.5052497723
Total excluding LULUCF,WAM,ETS,52742.28,48744.76,44747.24,40749.72,36752.2,35182.4,33612.6,32042.8,30473.0,28903.2,26947.3,24991.4,23035.5,21079.6,19123.7,19034.26,18944.82,18855.38,18765.94,18676.5,18293.88,17911.26,17528.64,17146.02,16763.4,16672.92,16582.44,16491.96,16401.48,16311.0,36752.171368686,28903.2156696831,19123.7444544577,18676.5475530972,16763.4097666791,16311.0149015645
Total excluding LULUCF,WAM,Total,109541.6,105503.2,101464.8,97426.4,93388.0,90868.22,88348.44,85828.66,83308.88,80789.1,76895.46,73001.82,69108.18,65214.54,61320.9,60237.2,59153.5,58069.8,56986.1,55902.4,55241.9,54581.4,53920.9,53260.4,52599.9,52045.9,51491.9,50937.9,50383.9,49829.9,93387.9599166956,80789.1263053895,61320.9480688455,55902.3604225783,52599.8999911324,49829.8615913368
Total excluding LULUCF,WEM,ESR,56852.7,56875.5,56898.3,56921.1,56943.9,56419.68,55895.46,55371.24,54847.02,54322.8,53729.32,53135.84,52542.36,51948.88,51355.4,50727.72,50100.04,49472.36,48844.68,48217.0,47500.62,46784.24,46067.86,45351.48,44635.1,43059.28,41483.46,39907.64,38331.82,36756.0,56943.9048301795,54322.7953248239,51355.4073474663,48217.0475293111,44635.057615822,36755.9597787069
Total excluding LULUCF,WEM,ETS,52897.86,49055.92,45213.98,41372.04,37530.1,35677.54,33824.98,31972.42,30119.86,28267.3,27075.78,25884.26,24692.74,23501.22,22309.7,22096.26,21882.82,21669.38,21455.94,21242.5,21020.94,20799.38,20577.82,20356.26,20134.7,20132.68,20130.66,20128.64,20126.62,20124.6,37530.0877308563,28267.3290221285,22309.7315018323,21242.5103526296,20134.6765024261,20124.6267110973
Total excluding LULUCF,WEM,Total,109760.56,105941.12,102121.68,98302.24,94482.8,92105.78,89728.76,87351.74,84974.72,82597.7,80812.5,79027.3,77242.1,75456.9,73671.7,72830.4,71989.1,71147.8,70306.5,69465.2,68527.1,67589.0,66650.9,65712.8,64774.7,63196.74,61618.78,60040.82,58462.86,56884.9,94482.8154310358,82597.6914069524,73671.6675792985,69465.2240619407,64774.6800982481,56884.9279298042
Total including LULUCF,WAM,ESR,56789.32,56748.74,56708.16,56667.58,56627.0,55677.26,54727.52,53777.78,52828.04,51878.3,49940.78,48003.26,46065.74,44128.22,42190.7,41196.58,40202.46,39208.34,38214.22,37220.1,36942.38,36664.66,36386.94,36109.22,35831.5,35368.1,34904.7,34441.3,33977.9,33514.5,56626.9656780096,51878.3435757064,42190.6748843878,37220.1466894811,35831.5442444534,33514.5052497723
Total including LULUCF,WAM,ETS,52742.28,48744.76,44747.24,40749.72,36752.2,35182.4,33612.6,32042.8,30473.0,28903.2,26947.3,24991.4,23035.5,21079.6,19123.7,19034.26,18944.82,18855.38,18765.94,18676.5,18293.88,17911.26,17528.64,17146.02,16763.4,16672.92,16582.44,16491.96,16401.48,16311.0,36752.171368686,28903.2156696831,19123.7444544577,18676.5475530972,16763.4097666791,16311.0149015645
Total including LULUCF,WAM,Total,120447.14,114541.78,108636.42,102731.06,96825.7,93802.0,90778.3,87754.6,84730.9,81707.2,76978.14,72249.08,67520.02,62790.96,58061.9,56812.78,55563.66,54314.54,53065.42,51816.3,51248.04,50679.78,50111.52,49543.26,48975.0,48390.64,47806.28,47221.92,46637.56,46053.2,96825.6989601039,81707.1522226723,58061.8941914374,51816.2803017201,48974.9843440719,46053.2184623482
Total including LULUCF,WEM,ESR,56852.7,56875.5,56898.3,56921.1,56943.9,56419.68,55895.46,55371.24,54847.02,54322.8,53729.32,53135.84,52542.36,51948.88,51355.4,50727.72,50100.04,49472.36,48844.68,48217.0,47500.62,46784.24,46067.86,45351.48,44635.1,43059.28,41483.46,39907.64,38331.82,36756.0,56943.9048301795,54322.7953248239,51355.4073474663,48217.0475293111,44635.057615822,36755.9597787069
Total including LULUCF,WEM,ETS,52897.86,49055.92,45213.98,41372.04,37530.1,35677.54,33824.98,31972.42,30119.86,28267.3,27075.78,25884.26,24692.74,23501.22,22309.7,22096.26,21882.82,21669.38,21455.94,21242.5,21020.94,20799.38,20577.82,20356.26,20134.7,20132.68,20130.66,20128.64,20126.62,20124.6,37530.0877308563,28267.3290221285,22309.7315018323,21242.5103526296,20134.6765024261,20124.6267110973
Total including LULUCF,WEM,Total,120666.12,114979.74,109293.36,103606.98,97920.6,95039.62,92158.64,89277.66,86396.68,83515.7,80895.08,78274.46,75653.84,73033.22,70412.6,69405.9,68399.2,67392.5,66385.8,65379.1,64533.24,63687.38,62841.52,61995.66,61149.8,59541.5,57933.2,56324.9,54716.6,53108.3,97920.5544744441,83515.7173242351,70412.6137018904,65379.1439410825,61149.7644511875,53108.2848008157
