Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
4.D. Wetlands,WEM,Total,89.7210238888889,75.36568,90.39165,98.33263,129.71644,178.53413,246.94725,301.09266,284.32891,309.00572,315.85221,322.69871,329.5452,336.3917,343.23819,343.29636,343.35452,343.41268,343.47085,343.52901,343.52901,343.52901,343.52901,343.52901,343.52901,343.52901,343.52901,343.52901,343.52901,343.52901,89.683862338939,75.365683237572,90.391651819464,98.3326335912,129.716436874653,178.534127472947,246.947246420916,301.092659174452,284.328912291021,309.005715470969,343.238191235678,343.529011612659,343.529011612659,343.529011612659
4.E. Settlements,WAM,Total,232.62711,237.95583,244.50049,251.04516,257.58984,264.11976,270.64967,277.17959,283.7095,290.23942,296.14586,302.0523,307.95874,313.86518,319.77162,323.19104,326.61047,330.0299,333.44932,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,,,,,,,,,,,,,,
4.E. Settlements,WEM,Total,232.62711,237.95583,244.50049,251.04516,257.58984,264.11976,270.64967,277.17959,283.7095,290.23942,296.14586,302.0523,307.95874,313.86518,319.77162,323.19104,326.61047,330.0299,333.44932,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,336.86875,232.627113978934,237.955828451234,244.500487388017,251.045158630509,257.589842193397,264.119756792629,270.649671971915,277.179587731945,283.709504073414,290.239420997019,319.771618489413,336.868748730076,336.868748730076,336.868748730076
4.G. Harvested wood products,WAM,Total,-316.497881666666,-298.74029,-298.74029,-298.74029,-298.74029,-234.81296,-234.81296,-234.81296,-234.81296,-234.81296,-223.81957,-212.82618,-201.83279,-190.83941,-179.84602,-175.30881,-170.7716,-166.23438,-161.69717,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,,,,,,,,,,,,,,
4.G. Harvested wood products,WEM,Total,-316.497881666666,-298.74029,-298.74029,-298.74029,-298.74029,-234.81296,-234.81296,-234.81296,-234.81296,-234.81296,-223.81957,-212.82618,-201.83279,-190.83941,-179.84602,-175.30881,-170.7716,-166.23438,-161.69717,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,-157.15996,,-298.740292306552,-298.740292306552,-298.740292306552,-298.740292306552,-234.81295649092,-234.81295649092,-234.81295649092,-234.81295649092,-234.81295649092,-179.84601716106,-157.159962836953,-157.159962836953,-157.159962836953
5. Waste,WAM,ESR,1234.43859,1295.81906,1309.79509,940.36766,948.19788,947.25154,938.84676,947.19806,957.19538,967.21961,955.71651,944.21342,932.71033,921.20723,909.70414,907.98409,906.26404,904.54399,902.82394,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,,,,,,,,,,,,,,
5. Waste,WAM,Total,1240.20840638889,1295.81906,1309.79509,940.36766,948.19788,947.25154,938.84676,947.19806,957.19538,967.21961,955.71651,944.21342,932.71033,921.20723,909.70414,907.98409,906.26404,904.54399,902.82394,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,,,,,,,,,,,,,,
5. Waste,WEM,ESR,1234.43859,1295.81906,1309.79509,940.36766,948.19788,947.25154,938.84676,947.19806,957.19538,967.21961,955.71651,944.21342,932.71033,921.20723,909.70414,907.98409,906.26404,904.54399,902.82394,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,1234.43858608013,1295.81905926156,1309.79509215065,940.367659016421,948.197880078719,947.251542544611,938.846758479369,947.198064003283,957.195379803481,967.219607037376,909.70413720692,901.103887144881,901.103887144881,901.103887144881
5. Waste,WEM,Total,1240.20840638889,1295.81906,1309.79509,940.36766,948.19788,947.25154,938.84676,947.19806,957.19538,967.21961,955.71651,944.21342,932.71033,921.20723,909.70414,907.98409,906.26404,904.54399,902.82394,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,901.10389,,1295.81905926156,1309.79509215065,940.367659016421,948.197880078719,947.251542544611,938.846758479369,947.198064003283,957.195379803481,967.219607037376,909.70413720692,901.103887144881,901.103887144881,901.103887144881
IB.Aviation,WAM,Total,1277.49081,2254.80559,2444.23685,2633.66798,2823.09901,2835.75923,2850.07111,2865.89259,2883.20007,2901.74106,2903.55666,2905.37226,2907.18785,2909.00345,2910.81905,2913.68952,2916.56,2919.43047,2922.30095,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,,,,,,,,,,,,,,
IB.Aviation,WEM,Total,1277.49081,2254.80559,2444.23685,2633.66798,2823.09901,2835.75923,2850.07111,2865.89259,2883.20007,2901.74106,2903.55666,2905.37226,2907.18785,2909.00345,2910.81905,2913.68952,2916.56,2919.43047,2922.30095,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,2925.17142,1277.49081114149,2254.80559499221,2444.23684762881,2633.66798372298,2823.09900522284,2835.75923281042,2850.07111074184,2865.89259471919,2883.20006630453,2901.74106098109,2910.81904937853,2925.17142076712,2925.17142076712,2925.17142076712
IB.Navigation,WAM,Total,1385.52103,2244.72982,2244.73487,2244.73948,2244.74363,2244.74728,2244.75041,2244.75297,2244.75495,2244.75631,2244.75768,2244.75904,2244.76041,2244.76178,2244.76315,2244.76453,2244.76592,2244.76731,2244.76869,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,,,,,,,,,,,,,,
IB.Navigation,WEM,Total,1385.52103,2244.72982,2244.73487,2244.73948,2244.74363,2244.74728,2244.75041,2244.75297,2244.75495,2244.75631,2244.75768,2244.75904,2244.76041,2244.76178,2244.76315,2244.76453,2244.76592,2244.76731,2244.76869,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,2244.77008,,2244.72982421778,2244.73486888728,2244.73948078783,2244.74362860379,2244.74728081362,2244.75040590015,2244.75297258163,2244.7549500623,2244.75630830082,2244.76314957144,2244.77007544441,2244.77007544441,2244.77007544441
Indirect CO2 (if available) (10),WAM,ESR,215.267536388888,209.45726,207.15722,205.33739,200.2886,196.32654,193.44176,188.13368,183.75405,179.22914,175.19185,171.15455,167.11726,163.07997,159.04267,155.1135,151.18432,147.25515,143.32597,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,,,,,,,,,,,,,,
Indirect CO2 (if available) (10),WAM,Total,245.42226,209.45726,207.15722,205.33739,200.2886,196.32654,193.44176,188.13368,183.75405,179.22914,175.19185,171.15455,167.11726,163.07997,159.04267,155.1135,151.18432,147.25515,143.32597,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,,,,,,,,,,,,,,
Indirect CO2 (if available) (10),WEM,ESR,215.267536388888,209.45726,207.15722,205.33739,200.2886,196.32654,193.44176,188.13368,183.75405,179.22914,175.19185,171.15455,167.11726,163.07997,159.04267,155.1135,151.18432,147.25515,143.32597,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,,209.457264408679,207.157217515882,205.33739097896,200.288604583904,196.326542024003,193.441761000727,188.133678292618,183.754054247751,179.22914063127,159.042672618983,139.396797429866,139.396797429866,139.396797429866
