freq,indic_sb,nace_r2,ceparema,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
A,V21110,B,CEPA2,NL	: c	: 	: c	: c	: c	: c	9.2 	: c	: c	: c	: c
A,V21110,B,CEPA2,NO	0.1 	11.0 	68.7 	106.9 	52.8 	25.8 	11.4 	0.5 	10.9 	4.9 	5.0 b
A,V21110,B,CEPA2,PL	3.9 	6.9 	8.8 	4.0 	4.7 d	1.7 d	: cd	0.8 d	: cd	: cd	1.4 bd
A,V21110,B,CEPA2,PT	0.2 	0.2 	0.3 	0.9 	0.1 	8.4 b	4.4 	4.2 	9.7 	10.0 	: c
A,V21110,B,CEPA2,RO	4.9 	5.1 p	11.4 	10.5 	22.8 	1.0 	10.3 	8.2 	0.5 	: c	0.6 b
A,V21110,B,CEPA2,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 p	1.3 
A,V21110,B,CEPA2,SE	: c	3.4 	15.0 	36.9 	: c	: c	8.9 	10.2 	: c	: c	0.1 b
A,V21110,B,CEPA2,SI	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.1 	0.0 
A,V21110,B,CEPA2,SK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 
A,V21110,B,CEPA2,UK	: c	: c	: c	: c	: c	: c	: c	: c	6.3 	204.4 	: c
A,V21110,B,CEPA3,AT	0.8 	0.9 	0.8 	0.2 	0.1 	0.1 	0.1 	0.2 	0.1 	0.3 	9.1 b
A,V21110,B,CEPA3,BE	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B,CEPA3,BG	0.0 	: c	: c	0.2 	: c	0.0 	0.0 	: c	: c	0.3 	: bc
A,V21110,B,CEPA3,CH	: 	: u	: 	: 	: 	0.0 	: 	: 	0.9 	: 	0.6 
A,V21110,B,CEPA3,CY	0.0 	0.3 	0.0 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B,CEPA3,CZ	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,V21110,B,CEPA3,DE	1.2 d	2.8 	2.3 	12.8 	10.4 	: c	5.7 	13.6 	2.5 	3.5 	2.3 b
A,V21110,B,CEPA3,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,B,CEPA3,EE	: c	0.0 	: c	: c	: c	: c	: c	: c	: c	: c	0.0 b
A,V21110,B,CEPA3,EL	0.0 	0.0 	0.0 	: 	0.0 	0.0 	0.0 	0.0 b	0.0 	0.8 	0.0 b
A,V21110,B,CEPA3,ES	0.7 d	2.4 	0.1 	0.0 	1.8 	0.0 	1.1 	0.0 	0.3 	0.0 	0.0 b
A,V21110,B,CEPA3,FI	4.8 	5.3 	0.0 	1.5 	0.2 	6.7 b	4.4 	2.1 	10.3 	0.5 b	0.6 
A,V21110,B,CEPA3,FR	: c	: c	0.4 	3.7 	: c	2.0 	0.6 	1.4 	0.9 	0.6 b	0.8 
