freq,indic_sb,nace_r2,ceparema,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
A,V21110,C,TOT_CEPA,HR	16.1 	8.6 	13.2 	13.6 	10.8 	8.8 	10.9 	18.0 	36.5 	25.2 	25.6 
A,V21110,C,TOT_CEPA,HU	93.0 	63.1 	42.7 	80.2 	74.8 	61.0 	103.4 	78.5 	54.5 	59.9 	71.2 
A,V21110,C,TOT_CEPA,IE	17.7 	16.1 	5.8 	18.7 	13.0 	10.6 	25.9 	6.0 	7.6 	7.9 	18.1 
A,V21110,C,TOT_CEPA,IT	606.6 	475.8 	463.7 	441.7 	371.1 	455.1 	366.9 	412.2 	425.1 	414.1 b	355.1 
A,V21110,C,TOT_CEPA,LT	22.3 	22.5 	4.1 	19.1 	20.4 	9.4 	15.1 	5.9 	13.4 	17.2 	12.4 b
A,V21110,C,TOT_CEPA,MK	: 	: 	: 	: 	: 	: 	: 	9.1 p	: 	: 	2.8 p
A,V21110,C,TOT_CEPA,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,C,TOT_CEPA,NL	: c	142.5 	237.8 	199.4 	116.5 	139.2 	185.0 	154.6 	152.8 	124.8 	194.5 
A,V21110,C,TOT_CEPA,NO	86.1 	42.2 	54.1 	43.8 	56.9 	45.6 	38.0 	34.9 	22.2 	22.8 	42.8 b
A,V21110,C,TOT_CEPA,PL	233.4 	130.2 	107.9 	155.0 	142.8 d	237.6 d	244.4 d	178.3 d	174.5 d	234.6 d	242.8 bd
A,V21110,C,TOT_CEPA,PT	113.2 	60.1 	62.6 	78.9 	46.5 	31.5 b	38.3 	30.3 	44.5 	58.1 	79.7 
A,V21110,C,TOT_CEPA,RO	106.9 	60.2 p	31.3 	37.7 	45.7 	21.5 	90.4 	113.5 	17.2 	14.7 	10.0 b
A,V21110,C,TOT_CEPA,RS	: 	: 	: 	: 	: 	: 	: 	: 	6.9 p	1.7 p	4.7 
A,V21110,C,TOT_CEPA,SE	135.4 	121.6 	141.4 	167.9 	155.0 	179.5 	179.8 	191.1 	143.1 	137.8 	102.4 b
A,V21110,C,TOT_CEPA,SI	43.6 	19.7 	26.3 	23.8 	21.9 	14.8 	19.0 	18.4 	24.2 	26.9 	24.2 
A,V21110,C,TOT_CEPA,SK	79.1 	68.1 	78.1 	48.5 	38.0 	23.8 	25.7 	37.8 	16.8 	21.3 	74.9 
A,V21110,C,TOT_CEPA,UK	269.3 	: c	: c	: c	: c	: c	: c	: c	211.4 	299.8 	: c
A,V21110,C10,CEPA1,AT	0.4 	0.9 	0.6 	3.0 	1.1 	3.0 	4.3 	3.5 	1.9 	1.0 	3.6 b
A,V21110,C10,CEPA1,BE	2.6 	2.4 	4.7 	1.9 	1.9 	2.1 	1.8 	1.6 	1.6 	3.9 	0.0 b
A,V21110,C10,CEPA1,BG	: c	: c	: c	0.0 	: c	0.1 	: c	: c	0.0 	: c	0.0 b
A,V21110,C10,CEPA1,CH	: 	1.6 	: 	: 	: 	1.0 	: 	: 	1.0 	: 	0.4 
A,V21110,C10,CEPA1,CY	0.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.1 
A,V21110,C10,CEPA1,CZ	0.5 	: c	0.3 	1.6 	2.3 	0.5 	0.1 	: c	: c	1.1 	0.5 
A,V21110,C10,CEPA1,DE	9.4 d	11.7 	7.6 	9.4 	12.9 	8.5 	19.5 	8.6 	10.1 	17.3 	12.8 b
A,V21110,C10,CEPA1,DK	: 	: u	: u	: u	: u	: u	: u	4.9 	: u	: u	: bu
A,V21110,C10,CEPA1,EE	0.1 	: c	0.3 	: c	: c	0.0 	0.0 	: c	: c	: c	0.0 b
A,V21110,C10,CEPA1,EL	0.1 	0.0 	0.1 	0.4 	0.1 	0.2 	0.1 	0.1 b	0.3 	0.1 	0.1 b
A,V21110,C10,CEPA1,ES	2.1 d	2.4 	8.4 	2.6 	4.4 	1.1 	2.3 	2.2 	3.9 	4.2 	2.2 b
A,V21110,C10,CEPA1,FI	0.2 	0.3 	3.4 	0.0 	0.0 	1.9 b	: c	1.9 	: c	: bc	0.2 
A,V21110,C10,CEPA1,FR	38.6 	22.2 	27.2 	25.4 	26.7 	36.2 	60.7 	74.4 	55.6 	35.7 b	51.0 
A,V21110,C10,CEPA1,HR	0.0 	: c	2.3 	1.8 	: c	0.2 	0.1 	0.5 	0.0 	0.5 	0.5 
A,V21110,C10,CEPA1,HU	2.1 	0.2 	0.5 	1.5 	0.1 	1.1 	1.0 	6.4 	2.4 	0.0 	3.4 
A,V21110,C10,CEPA1,IT	1.8 	5.1 	5.4 	6.0 	5.9 	5.4 	5.8 	4.8 	3.6 	2.0 b	3.4 
A,V21110,C10,CEPA1,LT	0.1 	0.4 	0.2 	0.6 	0.5 	0.2 	0.7 	0.1 	4.7 	1.4 	0.1 b
A,V21110,C10,CEPA1,MK	: 	: 	: 	: 	: 	: 	: 	0.8 p	: 	: 	0.2 p
A,V21110,C10,CEPA1,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,C10,CEPA1,NL	12.7 	: 	10.1 	13.2 	: c	13.4 	14.0 	20.7 	: c	8.7 	: c
A,V21110,C10,CEPA1,NO	0.5 	2.2 	2.2 	5.4 	2.5 	2.9 	4.5 	0.3 	0.0 	0.6 	1.1 b
A,V21110,C10,CEPA1,PL	0.9 	1.6 	1.3 	3.0 	3.8 d	5.2 d	2.3 d	8.9 d	3.5 d	0.9 d	: bcd
A,V21110,C10,CEPA1,PT	6.9 	0.7 	1.6 	1.0 	3.1 	0.4 b	1.5 	0.3 	4.7 	4.0 	2.6 
A,V21110,C10,CEPA1,RO	0.6 	0.0 p	0.9 	0.0 	0.1 	0.0 	0.0 	0.0 	1.0 	0.7 	0.0 b
A,V21110,C10,CEPA1,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 p	0.2 
A,V21110,C10,CEPA1,SE	0.8 	: c	1.3 	1.7 	1.3 	4.5 	: c	: c	1.4 	1.2 	: bc
A,V21110,C10,CEPA1,SI	0.4 	0.4 	0.0 	0.4 	0.0 	0.2 	0.1 	2.0 	0.5 	0.9 	0.4 
A,V21110,C10,CEPA1,SK	0.0 	: c	0.0 	0.0 	0.1 	0.0 	0.1 	0.0 	0.0 	0.0 	0.1 
A,V21110,C10,CEPA1,UK	: cd	: cd	: cd	: c	: c	: c	: c	: c	3.3 	18.7 	7.3 
A,V21110,C10,CEPA2,AT	1.3 	1.2 	1.4 	0.4 	0.6 	1.1 	3.0 	2.5 	3.9 	4.8 	4.6 b
A,V21110,C10,CEPA2,BE	3.7 	5.0 	1.6 	10.8 	3.3 	8.1 	2.4 	7.2 	10.9 	21.0 	0.0 b
A,V21110,C10,CEPA2,BG	5.4 	0.4 	2.6 	1.4 	1.2 	0.8 	: c	1.0 	: c	: c	: bc
A,V21110,C10,CEPA2,CH	: 	2.0 	: 	: 	: 	0.9 	: 	: 	: u	: 	3.4 
A,V21110,C10,CEPA2,CY	0.7 	1.9 	2.2 	1.6 	0.8 	0.1 	0.3 	0.1 	0.3 	0.2 	0.0 
A,V21110,C10,CEPA2,CZ	0.4 	: c	1.7 	2.6 	1.7 	1.8 	0.4 	1.1 	1.7 	0.8 	0.5 
A,V21110,C10,CEPA2,DE	20.8 d	19.5 	18.5 	20.4 	20.6 	35.1 	30.9 	50.1 	43.5 	41.5 	24.6 b
A,V21110,C10,CEPA2,DK	: 	: u	: u	: u	: u	: u	: u	2.9 	: u	: u	: bu
A,V21110,C10,CEPA2,EE	0.3 	2.2 	0.3 	0.6 	0.4 	0.7 	1.5 	: c	0.7 	0.4 	: bc
A,V21110,C10,CEPA2,EL	6.8 	0.6 	1.2 	1.1 	0.2 	1.2 	0.2 	0.3 b	0.0 	0.5 	1.9 b
A,V21110,C10,CEPA2,ES	42.0 d	42.6 	24.8 	19.7 	16.8 	13.4 	16.1 	3.9 	13.6 	16.0 	9.4 b
A,V21110,C10,CEPA2,FI	4.5 	2.8 	0.0 	0.0 	6.6 	1.4 b	0.4 	0.5 	: c	: bc	1.1 
A,V21110,C10,CEPA2,FR	57.2 	61.0 	60.0 	55.3 	54.2 	49.0 	65.7 	87.2 	: c	57.1 b	51.3 
A,V21110,C10,CEPA2,HR	: c	: c	2.2 	2.8 	0.7 	0.6 	0.9 	4.0 	13.7 	6.6 	2.3 
A,V21110,C10,CEPA2,HU	4.1 	4.2 	2.4 	2.8 	30.0 	4.6 	2.8 	2.6 	2.6 	0.0 	14.9 
A,V21110,C10,CEPA2,IT	13.1 	8.5 	10.3 	15.6 	6.1 	6.3 	6.0 	7.0 	6.8 	8.1 b	12.9 
A,V21110,C10,CEPA2,LT	3.1 	5.5 	0.2 	1.9 	3.9 	0.9 	0.6 	0.1 	2.5 	0.9 	0.7 b
A,V21110,C10,CEPA2,MK	: 	: 	: 	: 	: 	: 	: 	0.1 p	: 	: 	0.0 p
A,V21110,C10,CEPA2,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,C10,CEPA2,NL	8.9 	: 	13.7 	3.4 	: c	: c	: c	: c	5.9 	: c	: c
A,V21110,C10,CEPA2,NO	1.9 	6.7 	6.8 	6.5 	5.2 	3.3 	1.3 	4.9 	1.5 	2.4 	10.2 b
A,V21110,C10,CEPA2,PL	9.4 	13.9 	14.1 	19.7 	27.9 d	19.3 d	19.3 d	16.5 d	13.6 d	13.2 d	17.1 bd
A,V21110,C10,CEPA2,PT	6.1 	3.6 	1.6 	3.9 	2.3 	1.4 b	2.1 	0.9 	6.4 	3.1 	4.9 
A,V21110,C10,CEPA2,RO	7.8 	0.6 p	1.4 	0.7 	1.7 	0.8 	0.0 	1.0 	0.2 	0.2 	0.1 b
A,V21110,C10,CEPA2,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 p	0.4 
A,V21110,C10,CEPA2,SE	: c	: c	1.6 	5.8 	14.4 	8.0 	8.7 	: c	0.8 	: c	: bc
A,V21110,C10,CEPA2,SI	1.1 	0.9 	0.6 	1.1 	0.1 	0.0 	0.5 	0.1 	0.7 	0.1 	0.2 
A,V21110,C10,CEPA2,SK	0.3 	0.0 	0.0 	0.0 	0.4 	0.2 	0.1 	0.0 	0.0 	0.0 	0.0 
A,V21110,C10,CEPA2,UK	: cd	: cd	: cd	: c	: c	: c	: c	: c	13.6 	12.3 	23.4 
A,V21110,C10,CEPA3,AT	0.4 	1.0 	0.4 	0.1 	0.2 	0.1 	0.2 	0.3 	0.1 	0.1 	0.2 b
A,V21110,C10,CEPA3,BE	1.5 	0.5 	0.3 	4.0 	0.5 	1.2 	1.7 	1.4 	3.9 	2.1 	0.0 b
A,V21110,C10,CEPA3,BG	: c	: c	: c	0.0 	: c	: c	0.0 	: c	: c	: c	0.1 b
A,V21110,C10,CEPA3,CH	: 	0.1 	: 	: 	: 	0.1 	: 	: 	0.3 	: 	0.7 
A,V21110,C10,CEPA3,CY	0.1 	2.5 	2.6 	0.0 	0.5 	0.3 	0.2 	0.0 	0.1 	0.0 	0.0 
A,V21110,C10,CEPA3,CZ	: c	: c	0.1 	: c	: c	: c	: c	0.0 	0.0 	: c	: c
A,V21110,C10,CEPA3,DE	3.1 d	3.0 	2.4 	3.7 	2.6 	3.0 	4.6 	7.7 	5.1 	3.7 	14.5 b
A,V21110,C10,CEPA3,DK	: 	: u	: u	: u	: u	: u	: u	2.2 	: u	: u	: bu
A,V21110,C10,CEPA3,EE	0.0 	: c	: c	: c	: c	: c	: c	0.0 	: c	0.0 	0.0 b
A,V21110,C10,CEPA3,EL	38.3 	3.3 	0.7 	0.0 	0.0 	0.1 	0.1 	0.1 b	0.0 	0.2 	0.0 b
A,V21110,C10,CEPA3,ES	5.8 d	2.2 	2.1 	2.3 	1.0 	1.1 	1.5 	1.2 	0.5 	2.1 	0.5 b
A,V21110,C10,CEPA3,FI	0.0 	0.3 	0.3 	0.0 	0.2 	0.3 b	: c	0.4 	0.0 	0.8 b	0.7 
A,V21110,C10,CEPA3,FR	6.6 	7.7 	6.4 	11.9 	7.9 	10.0 	14.5 	14.5 	: c	9.6 b	8.0 
A,V21110,C10,CEPA3,HR	: c	: c	0.4 	0.0 	: c	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 
A,V21110,C10,CEPA3,HU	0.3 	0.1 	0.1 	0.7 	0.2 	0.3 	0.8 	0.5 	0.4 	0.0 	0.2 
A,V21110,C10,CEPA3,IT	3.6 	2.7 	3.4 	2.2 	1.2 	1.6 	15.7 	0.8 	1.0 	0.9 b	1.3 
A,V21110,C10,CEPA3,LT	0.3 	0.0 	0.0 	0.0 	0.1 	0.1 	0.0 	0.1 	0.0 	0.2 	0.1 b
A,V21110,C10,CEPA3,MK	: 	: 	: 	: 	: 	: 	: 	0.0 p	: 	: 	0.0 p
A,V21110,C10,CEPA3,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,C10,CEPA3,NL	0.1 	: 	0.2 	0.3 	0.3 	0.4 	: c	0.0 	: c	0.1 	0.4 
A,V21110,C10,CEPA3,NO	0.3 	1.6 	0.5 	1.0 	2.8 	9.5 	1.5 	0.6 	0.4 	0.2 	3.7 b
A,V21110,C10,CEPA3,PL	0.8 	: c	0.0 	: c	: cd	: cd	: cd	: cd	: cd	: cd	: bcd
A,V21110,C10,CEPA3,PT	0.8 	0.2 	0.3 	0.3 	0.7 	0.4 b	0.2 	0.0 	0.2 	0.1 	0.5 
A,V21110,C10,CEPA3,RO	0.3 	0.3 p	0.3 	0.1 	0.1 	0.1 	0.0 	0.0 	0.1 	0.0 	0.0 b
A,V21110,C10,CEPA3,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 p	0.1 
A,V21110,C10,CEPA3,SE	: c	: c	0.5 	0.1 	0.0 	3.9 	: c	: c	0.1 	: c	: bc
A,V21110,C10,CEPA3,SI	4.9 	2.3 	0.3 	0.1 	1.0 	0.1 	0.0 	0.7 	0.2 	0.1 	0.1 
A,V21110,C10,CEPA3,SK	0.7 	: c	: c	0.2 	0.1 	0.6 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,C10,CEPA3,UK	: cd	: cd	: cd	: c	: c	: c	: c	: c	10.1 	4.5 	: c
A,V21110,C10,CEPA9,AT	0.4 	0.7 	1.1 	0.9 	0.9 	0.4 	0.5 	0.5 	2.7 	1.7 	1.8 b
A,V21110,C10,CEPA9,BE	8.1 	1.4 	0.4 	4.6 	1.7 	0.6 	3.8 	2.4 	1.1 	1.6 	7.8 b
A,V21110,C10,CEPA9,BG	0.0 	: c	0.0 	0.0 	0.0 	: c	0.0 	: c	0.0 	0.0 	: bc
A,V21110,C10,CEPA9,CH	: 	: u	: 	: 	: 	3.2 	: 	: 	1.8 	: 	0.0 
A,V21110,C10,CEPA9,CY	0.3 	0.4 	0.2 	0.2 	0.0 	0.0 	0.3 	0.1 	0.0 	0.0 	0.0 
A,V21110,C10,CEPA9,CZ	: c	: c	0.4 	: c	: c	: c	: c	: c	: c	: c	: c
A,V21110,C10,CEPA9,DE	3.2 d	6.3 	4.0 	7.6 	3.3 	6.6 	4.4 	8.1 	8.7 	5.3 	15.0 b
A,V21110,C10,CEPA9,DK	: 	: u	: u	: u	: u	: u	: u	0.5 	: u	: u	: bu
A,V21110,C10,CEPA9,EE	0.1 	0.0 	: c	0.0 	0.0 	: c	: c	0.0 	0.0 	: c	0.0 b
A,V21110,C10,CEPA9,EL	0.0 	0.1 	0.1 	0.3 	0.0 	0.1 	0.3 	0.4 b	0.0 	0.1 	0.0 b
A,V21110,C10,CEPA9,ES	2.7 d	2.3 	3.3 	1.8 	2.4 	2.9 	1.0 	0.5 	1.0 	1.4 	2.2 b
A,V21110,C10,CEPA9,FI	0.6 	0.3 	0.0 	0.0 	0.2 	0.1 b	: c	0.1 	0.7 	0.6 b	0.7 
A,V21110,C10,CEPA9,FR	18.1 	14.6 	22.4 	33.2 	22.4 	22.3 	30.3 	38.0 	33.6 	27.7 b	26.5 
A,V21110,C10,CEPA9,HR	: c	: c	: c	0.2 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,C10,CEPA9,HU	0.7 	1.6 	1.5 	4.4 	1.2 	0.7 	1.4 	1.1 	1.8 	0.0 	4.2 
A,V21110,C10,CEPA9,IT	5.3 	4.2 	1.8 	2.1 	13.8 	3.3 	4.2 	1.5 	1.7 	0.8 b	2.0 
A,V21110,C10,CEPA9,LT	0.2 	0.1 	0.0 	0.0 	0.0 	1.6 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,C10,CEPA9,MK	: 	: 	: 	: 	: 	: 	: 	0.0 p	: 	: 	0.0 p
A,V21110,C10,CEPA9,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,C10,CEPA9,NL	1.8 	: 	: c	: c	: c	2.5 	: c	0.9 	3.2 	: c	: c
A,V21110,C10,CEPA9,NO	0.9 	0.4 	0.3 	0.3 	1.6 	0.2 	0.0 	0.2 	0.1 	0.0 	0.0 b
A,V21110,C10,CEPA9,PL	0.3 	: c	0.3 	: c	: cd	: cd	: cd	: cd	: cd	: cd	0.5 bd
A,V21110,C10,CEPA9,PT	0.2 	0.4 	0.3 	0.8 	0.2 	0.2 b	1.3 	1.7 	0.1 	0.1 	0.4 
A,V21110,C10,CEPA9,RO	0.0 	0.0 p	0.0 	0.0 	1.7 	0.4 	0.0 	0.0 	0.3 	0.1 	0.0 b
A,V21110,C10,CEPA9,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 p	0.0 
A,V21110,C10,CEPA9,SE	: c	: c	0.5 	1.4 	1.5 	0.2 	: c	: c	0.1 	: c	: bc
A,V21110,C10,CEPA9,SI	0.8 	0.0 	0.0 	0.0 	0.2 	0.1 	0.0 	0.0 	0.0 	0.1 	0.0 
A,V21110,C10,CEPA9,SK	0.0 	: c	: c	0.3 	0.2 	0.3 	0.3 	0.1 	0.1 	0.0 	0.0 
A,V21110,C10,CEPA9,UK	: cd	: cd	: cd	: c	: c	: c	: c	: c	2.3 	3.7 	4.5 
A,V21110,C10,TOT_CEPA,AT	2.4 	3.8 	3.5 	4.5 	2.7 	4.5 	8.0 	6.7 	8.6 	7.6 	10.3 b
A,V21110,C10,TOT_CEPA,BE	15.9 	9.4 	7.0 	21.3 	7.3 	12.0 	9.7 	12.6 	17.5 	28.5 	7.9 b
A,V21110,C10,TOT_CEPA,BG	7.6 	0.4 	2.7 	1.4 	1.3 	0.9 	0.3 	1.6 	0.2 	0.6 	1.4 b
A,V21110,C10,TOT_CEPA,CH	: 	4.1 	: 	: 	: 	5.2 	: 	: 	5.6 	: 	4.4 
A,V21110,C10,TOT_CEPA,CY	1.8 	4.8 	5.1 	1.9 	1.3 	0.4 	0.8 	0.2 	0.5 	0.3 	0.1 
A,V21110,C10,TOT_CEPA,CZ	1.6 	: c	2.5 	4.6 	4.6 	2.7 	0.6 	1.2 	4.6 	2.0 	1.0 
A,V21110,C10,TOT_CEPA,DE	36.5 d	40.5 	32.5 	41.1 	39.4 	53.1 	59.4 	74.5 	67.4 	67.8 	66.9 b
A,V21110,C10,TOT_CEPA,DK	0.0 	: u	: u	: u	: u	: u	: u	10.6 	: u	: u	: bu
A,V21110,C10,TOT_CEPA,EE	0.4 	2.4 	0.6 	0.9 	1.0 	0.7 	1.6 	18.9 	0.8 	0.7 	: bc
A,V21110,C10,TOT_CEPA,EL	45.1 	3.9 	2.1 	1.9 	0.4 	1.4 	0.7 	0.9 b	0.4 	0.9 	2.0 b
A,V21110,C10,TOT_CEPA,ES	52.6 d	49.5 	38.5 	26.4 	24.6 	18.5 	20.8 	7.7 	19.0 	23.8 	14.4 b
A,V21110,C10,TOT_CEPA,FI	5.3 	3.7 	3.8 	0.0 	7.1 	3.7 b	0.5 	2.8 	: c	: bc	2.7 
A,V21110,C10,TOT_CEPA,FR	120.5 	105.6 	116.1 	125.8 	111.3 	117.5 	171.2 	214.0 	175.9 	130.2 b	136.9 
A,V21110,C10,TOT_CEPA,HR	0.7 	1.6 	: c	4.9 	1.0 	0.9 	1.1 	4.6 	13.9 	7.1 	2.8 
A,V21110,C10,TOT_CEPA,HU	7.2 	6.2 	4.5 	9.5 	31.5 	6.6 	6.1 	10.5 	7.2 	0.0 	22.8 
A,V21110,C10,TOT_CEPA,IE	3.2 	4.1 	1.9 	7.1 	5.2 	4.7 	1.8 	2.1 	3.5 	3.4 	: c
A,V21110,C10,TOT_CEPA,IT	23.7 	20.4 	21.0 	25.9 	27.0 	16.6 	31.7 	14.1 	13.1 	11.9 b	19.6 
A,V21110,C10,TOT_CEPA,LT	3.8 	6.1 	0.4 	2.5 	4.5 	2.8 	1.3 	0.3 	7.3 	2.5 	0.9 b
A,V21110,C10,TOT_CEPA,MK	: 	: 	: 	: 	: 	: 	: 	0.9 p	: 	: 	0.2 p
A,V21110,C10,TOT_CEPA,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,C10,TOT_CEPA,NL	23.5 	25.8 	: c	: c	22.1 	: c	26.8 	: c	27.7 	19.7 	34.0 
A,V21110,C10,TOT_CEPA,NO	3.6 	10.9 	9.7 	13.1 	12.0 	16.0 	7.3 	6.0 	1.9 	3.2 	15.1 b
A,V21110,C10,TOT_CEPA,PL	11.4 	16.4 	15.6 	22.9 	33.3 d	25.0 d	22.2 d	26.3 d	20.8 d	14.3 d	22.4 bd
A,V21110,C10,TOT_CEPA,PT	14.0 	5.0 	3.8 	5.9 	6.4 	2.4 b	5.1 	2.9 	11.4 	7.3 	8.4 
A,V21110,C10,TOT_CEPA,RO	8.6 	0.9 p	2.6 	0.8 	3.6 	1.3 	0.0 	1.1 	1.6 	1.0 	0.1 b
A,V21110,C10,TOT_CEPA,RS	: 	: 	: 	: 	: 	: 	: 	: 	0.6 p	0.8 p	0.8 
A,V21110,C10,TOT_CEPA,SE	5.0 	5.1 	3.8 	9.0 	17.2 	16.6 	10.8 	18.0 	2.4 	: c	2.7 b
A,V21110,C10,TOT_CEPA,SI	7.3 	3.5 	0.9 	1.6 	1.3 	0.4 	0.6 	2.9 	1.5 	1.1 	0.6 
A,V21110,C10,TOT_CEPA,SK	1.0 	0.1 	0.4 	0.5 	0.8 	1.2 	0.5 	0.1 	0.1 	0.0 	0.1 
A,V21110,C10,TOT_CEPA,UK	35.8 	: cd	: cd	: c	: c	: c	: c	: c	29.3 	39.2 	: c
A,V21110,C11,CEPA1,AT	0.1 	0.0 	0.0 	0.0 	0.2 	0.6 	0.3 	0.4 	0.2 	0.5 	0.5 b
A,V21110,C11,CEPA1,BE	7.6 	0.0 	0.0 	0.2 	0.5 	0.1 	0.0 	0.0 	0.0 	0.0 	3.8 b
A,V21110,C11,CEPA1,BG	: c	: c	: c	: c	: c	: c	: c	0.0 	0.0 	0.0 	0.0 b
A,V21110,C11,CEPA1,CH	: 	0.0 	: 	: 	: 	: c	: 	: 	0.2 	: 	: u
A,V21110,C11,CEPA1,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.3 	0.0 
A,V21110,C11,CEPA1,CZ	: c	: c	: c	: c	: c	: c	0.0 	0.0 	: c	: c	: c
A,V21110,C11,CEPA1,DE	2.0 d	1.9 	2.4 	2.2 	1.8 	3.4 	4.0 	1.2 	1.0 	0.8 	0.4 b
A,V21110,C11,CEPA1,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,C11,CEPA1,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: c	0.0 	0.0 	0.0 b
A,V21110,C11,CEPA1,EL	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 b	0.0 	0.0 	0.0 b
A,V21110,C11,CEPA1,ES	0.8 d	0.1 	0.1 	0.7 	0.4 	0.2 	0.0 	0.2 	0.6 	0.9 	0.5 b
A,V21110,C11,CEPA1,FI	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 b	2.4 	0.0 	0.0 	: bc	: c
A,V21110,C11,CEPA1,FR	3.3 	2.6 	: c	2.9 	4.1 	4.4 	13.9 	6.2 	5.9 	7.1 b	8.7 
A,V21110,C11,CEPA1,HR	: c	0.0 	0.0 	0.0 	: c	0.0 	0.1 	: c	0.0 	0.0 	0.0 
A,V21110,C11,CEPA1,HU	0.2 	0.2 	0.2 	0.0 	0.0 	1.4 	0.0 	0.2 	0.1 	0.0 	0.0 
A,V21110,C11,CEPA1,IT	: c	0.1 	1.2 	22.5 	0.0 	0.1 	0.3 	0.0 	0.3 	0.0 b	0.2 
A,V21110,C11,CEPA1,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,C11,CEPA1,MK	: 	: 	: 	: 	: 	: 	: 	0.0 p	: 	: 	0.0 p
A,V21110,C11,CEPA1,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,C11,CEPA1,NL	0.0 	: 	: c	0.1 	: c	: c	: c	: c	: c	: c	0.2 
A,V21110,C11,CEPA1,NO	: c	0.0 	: c	0.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,C11,CEPA1,PL	2.1 	0.0 	0.0 	: c	0.0 d	0.0 d	: cd	: cd	0.0 d	: cd	0.0 bd
A,V21110,C11,CEPA1,PT	0.2 	0.1 	0.2 	0.1 	: c	: bc	0.3 	0.8 	0.2 	0.1 	0.2 
A,V21110,C11,CEPA1,RO	0.0 	0.4 p	0.3 	0.0 	0.0 	0.1 	0.0 	0.8 	0.4 	0.1 	0.0 b
A,V21110,C11,CEPA1,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 p	0.0 
A,V21110,C11,CEPA1,SE	: c	: c	0.5 	: c	0.0 	0.0 	0.0 	0.0 	: c	0.0 	: bc
A,V21110,C11,CEPA1,SI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: c	: c
A,V21110,C11,CEPA1,SK	0.0 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,C11,CEPA1,UK	: 	: 	: 	: c	: c	: c	: c	: c	0.0 	15.2 	0.0 
A,V21110,C11,CEPA2,AT	0.2 	0.1 	0.2 	0.3 	0.4 	0.5 	0.4 	0.2 	1.7 	0.4 	0.9 b
A,V21110,C11,CEPA2,BE	0.1 	0.3 	0.1 	0.1 	0.1 	0.6 	0.1 	0.8 	4.1 	2.1 	0.0 b
A,V21110,C11,CEPA2,BG	: c	1.7 	0.5 	0.3 	0.3 	: c	1.3 	: c	: c	: c	: bc
A,V21110,C11,CEPA2,CH	: 	: c	: 	: 	: 	: c	: 	: 	: u	: 	: u
A,V21110,C11,CEPA2,CY	0.0 	1.1 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 
A,V21110,C11,CEPA2,CZ	: c	: c	: c	: c	: c	: c	: c	: c	1.5 	: c	: c
A,V21110,C11,CEPA2,DE	5.2 d	2.6 	1.5 	2.3 	3.5 	3.9 	3.2 	2.8 	3.8 	5.3 	2.0 b
A,V21110,C11,CEPA2,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,C11,CEPA2,EE	: c	0.0 	: c	0.0 	: c	: c	0.0 	0.0 	0.0 	: c	: bc
A,V21110,C11,CEPA2,EL	0.0 	0.2 	0.3 	0.0 	1.7 	0.0 	0.0 	0.0 b	0.0 	0.1 	0.0 b
