freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,HU	82.00 	82.13 	81.36 	82.25 	81.60 	81.98 	82.22 	82.17 	82.44 	82.02 	80.87 	81.29 	81.07 	83.34 	82.18 	79.51 	79.29 	78.08 	77.22 	73.32 	72.97 	71.52 	69.22 	66.55 	66.63 	67.50 	67.99 	69.37 	69.90 	69.98 	69.31 	69.43 	67.57 
A,PC,IE	98.37 	98.39 	98.43 	98.49 	98.43 	98.60 	98.67 	98.59 	98.23 	98.26 	98.32 	98.61 	98.04 	97.74 	97.25 	96.49 	96.28 	96.29 	96.09 	95.14 	95.27 	93.86 	93.94 	91.97 	91.22 	91.65 	92.89 	91.45 	90.18 	88.74 	87.16 	87.69 	87.36 
A,PC,IS	33.08 	31.71 	34.13 	34.24 	34.39 	34.11 	35.39 	35.35 	34.57 	31.12 	29.45 	29.18 	29.54 	29.41 	31.05 	30.69 	26.64 	22.73 	21.41 	19.68 	14.49 	13.35 	13.53 	13.25 	14.03 	15.83 	18.49 	18.10 	17.93 	16.48 	12.06 	14.24 	: 
A,PC,IT	93.73 	93.19 	92.86 	92.56 	92.38 	93.32 	92.91 	92.76 	92.64 	92.24 	92.10 	91.79 	91.44 	90.74 	91.02 	90.44 	89.91 	88.99 	87.66 	85.77 	85.73 	85.63 	83.47 	81.32 	80.05 	80.81 	81.34 	80.18 	79.30 	79.26 	77.70 	78.37 	79.07 
A,PC,LT	75.76 	77.94 	65.76 	61.33 	66.94 	60.37 	58.92 	60.13 	59.21 	60.30 	59.25 	57.65 	53.68 	52.48 	53.72 	60.19 	61.42 	61.21 	60.22 	55.40 	74.62 	74.29 	73.40 	70.80 	68.42 	68.13 	67.44 	66.40 	66.07 	66.31 	67.16 	64.46 	63.96 
A,PC,LU	89.85 	89.96 	89.96 	89.95 	88.73 	86.02 	86.67 	85.67 	84.64 	85.13 	85.52 	87.11 	91.62 	91.39 	92.77 	92.68 	91.92 	89.87 	89.07 	90.41 	89.69 	88.79 	88.97 	86.64 	85.56 	83.49 	81.78 	81.60 	81.68 	81.78 	78.08 	78.67 	77.06 
A,PC,LV	83.94 	81.51 	78.88 	76.16 	73.95 	69.65 	68.28 	67.80 	66.81 	64.63 	65.28 	66.25 	66.06 	66.17 	65.17 	65.75 	66.82 	67.12 	67.46 	64.27 	69.07 	66.80 	62.40 	63.28 	61.30 	63.45 	63.61 	59.89 	59.83 	61.20 	57.34 	57.06 	53.32 
A,PC,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69.30 	68.40 	66.02 	65.83 	64.31 	63.85 	63.54 	62.81 	64.03 	66.24 	66.45 	67.92 	: 
A,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.03 	60.31 	57.57 	64.51 	55.60 	64.78 	63.70 	61.94 	64.49 	65.37 	66.36 	64.49 	65.62 	69.46 	69.93 	69.97 	68.61 	: 
A,PC,MK	97.99 	96.75 	89.47 	89.13 	89.38 	88.95 	90.65 	89.25 	90.92 	88.87 	87.46 	89.90 	88.54 	86.20 	85.10 	83.50 	82.69 	83.79 	83.21 	84.37 	81.40 	81.62 	81.47 	79.25 	77.55 	76.31 	79.25 	80.90 	78.89 	82.71 	78.53 	78.21 	: 
A,PC,MT	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	99.98 	99.98 	99.98 	99.97 	99.96 	99.96 	99.95 	99.95 	99.79 	99.64 	99.45 	99.39 	99.12 	95.13 	93.69 	96.18 	96.77 	96.72 	96.84 	96.33 	96.12 
A,PC,NL	96.94 	97.10 	96.96 	96.73 	96.71 	96.63 	96.68 	96.84 	96.47 	95.75 	95.64 	95.84 	95.83 	95.86 	95.79 	95.09 	94.82 	94.86 	94.54 	95.05 	95.53 	94.50 	93.63 	93.78 	93.49 	93.31 	93.89 	93.69 	92.36 	92.38 	90.42 	89.11 	87.58 
A,PC,NO	52.91 	53.35 	54.10 	55.16 	54.16 	53.52 	53.50 	55.73 	55.26 	56.26 	54.99 	57.78 	55.44 	60.34 	60.21 	60.02 	61.05 	57.50 	60.39 	62.04 	61.17 	57.48 	58.18 	60.18 	58.11 	51.98 	54.86 	55.84 	55.30 	52.88 	51.84 	50.62 	: 
A,PC,PL	98.56 	98.89 	98.84 	96.33 	96.26 	96.31 	96.54 	96.42 	96.22 	96.44 	96.36 	96.13 	96.03 	96.42 	96.14 	96.18 	96.14 	95.49 	94.39 	93.54 	92.90 	92.56 	91.36 	91.58 	90.57 	90.50 	90.97 	91.21 	88.39 	87.18 	86.33 	88.00 	87.11 
A,PC,PT	81.63 	81.81 	84.55 	82.95 	81.79 	83.99 	81.52 	81.94 	84.21 	87.33 	85.26 	84.52 	86.29 	83.08 	84.10 	85.50 	82.50 	80.80 	80.32 	79.74 	77.11 	77.88 	78.07 	75.95 	73.47 	76.21 	76.15 	79.44 	76.33 	74.45 	70.59 	68.27 	68.59 
A,PC,RO	96.21 	95.04 	95.33 	94.75 	94.61 	93.97 	91.09 	86.07 	85.34 	84.43 	85.34 	87.25 	87.14 	87.26 	85.01 	84.17 	85.37 	83.54 	80.16 	76.87 	75.48 	77.96 	76.50 	73.99 	73.31 	73.89 	73.07 	74.08 	74.13 	72.96 	71.75 	72.47 	71.80 
A,PC,RS	91.67 	90.16 	90.17 	89.55 	88.36 	88.61 	88.56 	90.15 	90.38 	85.20 	85.96 	86.48 	87.07 	89.20 	90.65 	89.93 	90.49 	90.30 	90.28 	87.89 	87.00 	89.21 	87.15 	88.55 	84.00 	87.51 	88.12 	87.60 	86.94 	86.75 	84.66 	82.61 	: 
A,PC,SE	39.70 	38.19 	40.07 	40.29 	40.33 	40.29 	40.11 	39.32 	39.15 	38.97 	39.00 	38.10 	41.14 	40.82 	39.53 	38.86 	38.77 	37.71 	38.66 	38.52 	40.04 	38.64 	35.61 	34.94 	34.27 	30.29 	32.49 	31.99 	32.93 	31.62 	31.44 	31.38 	30.32 
A,PC,SI	71.61 	69.83 	72.37 	73.78 	72.07 	73.19 	74.25 	74.58 	73.82 	74.49 	69.28 	68.65 	69.03 	68.67 	68.44 	66.98 	68.41 	67.58 	68.11 	68.86 	68.15 	66.52 	66.74 	65.51 	61.89 	62.81 	64.65 	63.95 	65.00 	63.98 	60.99 	60.98 	60.67 
A,PC,SK	81.77 	80.88 	80.99 	79.94 	78.01 	79.94 	79.85 	79.90 	80.11 	77.95 	74.56 	72.90 	72.35 	71.94 	71.94 	71.87 	70.62 	70.76 	70.24 	69.88 	67.53 	66.13 	64.21 	64.34 	63.16 	62.04 	62.60 	63.79 	64.94 	62.43 	62.18 	63.78 	61.68 
A,PC,TR	81.52 	81.23 	81.33 	81.37 	81.55 	82.54 	83.28 	83.84 	83.58 	84.57 	86.63 	86.34 	86.38 	87.45 	87.06 	88.38 	89.23 	90.74 	90.73 	90.15 	89.07 	90.00 	89.50 	88.17 	89.86 	87.99 	87.51 	88.31 	87.21 	84.58 	83.83 	85.24 	: 
A,PC,UA	92.73 	92.35 	91.11 	89.47 	88.55 	88.36 	85.77 	84.97 	84.55 	85.36 	84.42 	84.58 	84.57 	84.65 	83.62 	83.36 	82.08 	81.44 	80.93 	79.05 	80.54 	79.64 	79.33 	78.28 	75.36 	71.76 	72.52 	70.42 	71.69 	70.40 	71.33 	: 	: 
A,PC,UK	91.14 	90.67 	89.77 	88.44 	88.70 	88.41 	88.28 	87.53 	87.64 	88.07 	89.20 	88.82 	88.87 	89.13 	89.58 	89.16 	89.60 	90.61 	90.91 	89.36 	90.01 	87.89 	87.73 	86.34 	85.21 	82.88 	82.49 	81.72 	80.93 	79.97 	: 	: 	: 
A,PC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.95 	86.42 	86.30 	86.97 	86.79 	87.23 	87.33 	88.11 	87.59 	88.30 	88.47 	88.70 	88.71 	90.02 	86.16 	88.63 	87.29 	83.72 	83.88 	84.85 	85.89 	83.81 	: 
