freq,siec,plant_tec,operator,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,CZ	51.000 	34.000 	34.000 	31.000 	30.000 	30.000 	30.000 	74.000 	54.000 	153.000 	94.000 	139.000 	135.000 	123.000 	155.000 	155.000 	151.000 	151.000 	153.000 	161.000 	173.000 	174.000 	183.000 	188.000 	190.000 	191.000 	191.000 	183.810 	183.421 	184.255 	184.415 	184.088 	185.068 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,DE	393.000 	368.000 	388.000 	405.000 	371.000 	377.000 	325.000 	311.000 	282.000 	246.000 	0.000 	0.000 	85.000 	96.000 	75.000 	79.000 	85.000 	79.000 	79.000 	80.000 	74.000 	69.000 	72.000 	42.000 	44.000 	43.000 	43.000 	42.000 	32.000 	35.000 	35.000 	35.000 	35.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,EA20	5226.000 	5213.000 	5272.000 	5455.000 	5528.000 	5307.000 	5162.000 	5152.000 	5194.000 	5300.000 	1390.000 	1557.618 	1581.618 	1505.618 	1621.744 	1629.834 	1643.815 	1635.936 	1635.936 	1671.676 	1671.231 	1659.361 	1590.134 	1594.339 	1587.259 	1592.447 	1605.412 	1496.946 	1468.511 	1513.677 	1495.397 	1477.809 	1545.709 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,EE	0.000 	0.000 	1.000 	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,ES	754.000 	754.000 	754.000 	754.000 	754.000 	517.000 	371.000 	371.000 	371.000 	371.000 	371.000 	371.000 	371.000 	266.000 	270.000 	280.000 	281.000 	290.000 	292.000 	321.000 	323.000 	343.000 	343.000 	367.000 	367.000 	367.000 	369.000 	369.000 	369.000 	369.000 	369.000 	369.000 	369.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,EU27_2020	6218.000 	6188.000 	6311.000 	6229.000 	6298.000 	6076.000 	5735.000 	5730.000 	5326.000 	5531.000 	1541.000 	1754.618 	1762.618 	1674.618 	1780.744 	1811.834 	1832.815 	1832.936 	1852.936 	1918.676 	1931.231 	1909.361 	1870.134 	1893.339 	1877.259 	1903.447 	1899.412 	1780.748 	1753.371 	1798.449 	1765.438 	1747.572 	1824.645 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	195.000 	195.000 	195.000 	195.000 	195.000 	195.000 	195.000 	195.000 	195.000 	195.000 	195.000 	195.000 	167.000 	186.000 	186.000 	186.000 	186.000 	188.000 	189.000 	208.000 	205.000 	182.000 	182.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,FR	1720.000 	1723.000 	1756.000 	1819.000 	1869.000 	1876.000 	1928.000 	1929.000 	1929.000 	2039.000 	167.000 	166.000 	179.000 	194.000 	194.000 	191.000 	193.000 	190.000 	188.000 	195.000 	203.000 	188.190 	186.963 	188.076 	179.035 	183.734 	185.677 	189.511 	184.724 	194.272 	194.071 	194.896 	199.185 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	4.000 	4.000 	2.000 	2.000 	2.000 	2.000 	2.000 	2.000 	2.000 	2.000 	3.000 	3.000 	2.700 	2.700 	2.700 	2.300 	2.300 	2.300 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,IT	1731.000 	1729.000 	1738.000 	1768.000 	1819.000 	1822.000 	1836.000 	1836.000 	1916.000 	1943.000 	0.000 	0.000 	0.000 	0.000 	206.000 	199.000 	202.000 	188.000 	186.000 	176.000 	172.000 	169.000 	128.000 	119.000 	119.000 	121.000 	117.000 	118.855 	105.468 	106.420 	90.559 	95.792 	160.270 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,LU	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.618 	1.618 	1.618 	1.744 	1.777 	1.832 	1.832 	1.832 	1.892 	2.008 	2.008 	2.008 	2.008 	2.008 	1.966 	2.018 	1.965 	1.965 	1.965 	2.019 	2.019 	1.537 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3.000 	1.000 	6.000 	2.000 	3.000 	6.000 	6.000 	6.000 	6.000 	5.000 	5.000 	5.000 	5.000 	5.000 	5.000 	3.000 	1.092 	1.053 	1.001 	1.001 	1.058 	1.646 	1.486 	1.521 	1.527 	1.527 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,NL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	851.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,PL	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	0.500 	0.500 	0.500 	0.500 	0.500 	0.500 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,PT	0.000 	5.000 	5.000 	6.000 	5.000 	5.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	5.000 	5.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.191 	6.191 	6.100 	6.100 	6.191 	5.954 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	23.000 	35.000 	42.000 	60.000 	82.000 	83.000 	72.000 	93.000 	101.000 	90.000 	111.000 	90.000 	81.492 	82.939 	82.017 	85.126 	85.175 	93.368 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,SE	940.000 	940.000 	1004.000 	742.000 	739.000 	738.000 	542.000 	503.000 	77.000 	77.000 	56.000 	57.000 	45.000 	45.000 	3.000 	3.000 	2.000 	3.000 	3.000 	3.000 	3.000 	3.000 	3.000 	9.000 	9.000 	8.000 	12.000 	18.000 	18.000 	18.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,SI	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	90.000 	109.000 	105.000 	106.000 	105.000 	104.000 	104.000 	112.000 	114.000 	116.000 	116.000 	116.000 	116.000 	116.000 	116.000 	116.000 	116.000 	115.703 	115.709 	120.626 	121.590 	121.758 	121.822 
A,RA110,CAP_NET_ELC,PRR_AUTO,MW,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	94.000 	94.000 	94.000 	25.000 	24.000 	25.000 	25.000 	25.000 	25.000 	25.000 	29.000 	29.000 	30.000 	30.000 	27.000 	31.000 	30.000 	32.000 	33.000 	33.000 	33.000 	35.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,AT	6428.000 	6523.000 	6602.000 	6528.000 	6564.000 	6641.000 	6717.000 	6872.000 	7024.000 	7008.000 	7118.000 	7091.000 	7028.000 	7066.000 	7075.000 	7294.355 	7318.513 	7480.485 	7483.329 	7463.129 	7554.108 	7609.010 	7665.509 	7737.016 	7786.462 	7919.519 	7947.208 	8073.705 	8422.858 	8488.720 	8467.968 	8552.322 	8695.732 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,BE	94.000 	94.000 	94.000 	95.000 	95.000 	96.000 	96.000 	96.000 	97.000 	103.000 	103.000 	111.000 	111.000 	110.000 	115.000 	105.000 	107.000 	110.000 	111.000 	110.000 	118.000 	119.000 	120.000 	119.000 	121.000 	112.000 	109.100 	107.000 	107.800 	104.100 	105.800 	110.700 	123.300 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,BG	1826.000 	1826.000 	1826.000 	1826.000 	1826.000 	1394.000 	1394.000 	1802.000 	1807.000 	1381.000 	867.000 	692.000 	935.000 	1502.000 	1835.000 	1835.000 	1835.000 	1863.000 	1971.000 	1988.000 	2035.000 	2095.000 	2168.000 	2190.000 	2206.000 	2206.000 	2210.000 	2358.550 	2366.000 	2365.350 	2363.456 	2356.233 	2376.923 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,CZ	868.000 	868.000 	880.000 	880.000 	876.000 	878.000 	838.000 	831.000 	834.000 	855.000 	858.000 	861.000 	865.000 	881.000 	860.000 	865.000 	865.000 	873.000 	876.000 	876.000 	876.000 	876.000 	882.000 	892.000 	890.000 	897.000 	899.000 	908.890 	909.098 	909.455 	909.512 	929.275 	928.507 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,DE	2917.000 	2942.000 	2929.000 	2980.000 	3100.000 	3247.000 	3238.000 	3258.000 	3360.000 	3556.000 	4086.000 	4101.000 	4108.000 	3992.000 	4134.000 	4055.000 	4032.000 	4004.000 	4025.000 	4203.000 	4178.000 	4400.000 	4379.000 	4391.000 	4380.000 	4390.000 	4399.000 	4407.000 	4168.000 	4214.000 	4285.000 	4321.000 	4452.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,DK	10.000 	9.000 	10.000 	10.000 	9.000 	10.000 	10.000 	10.000 	11.000 	11.000 	10.000 	11.000 	11.000 	11.000 	11.000 	11.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	9.000 	6.878 	9.267 	7.153 	7.153 	7.163 	7.163 	7.123 	6.644 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EA20	57729.560 	58093.560 	58707.560 	59255.560 	59433.920 	62380.920 	62915.920 	63339.920 	63389.920 	64087.920 	69348.220 	69447.220 	69719.220 	70055.220 	70248.220 	70558.675 	70425.833 	70747.805 	71069.649 	71516.449 	72073.428 	73271.073 	73475.628 	73486.608 	73816.651 	75018.086 	75494.524 	75893.947 	76149.554 	76499.200 	76934.472 	77228.946 	77547.233 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EE	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.000 	2.000 	3.000 	4.000 	4.000 	5.000 	5.000 	5.000 	5.000 	7.000 	6.000 	5.000 	8.000 	8.000 	5.000 	6.000 	6.000 	7.300 	7.300 	6.000 	8.000 	6.000 	8.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EL	2093.000 	2197.000 	2208.000 	2208.000 	2208.000 	2208.000 	2207.000 	2412.000 	2241.000 	2344.000 	2373.000 	2377.000 	2379.000 	2380.000 	2400.000 	2407.000 	2435.000 	2451.000 	2477.000 	2502.000 	2516.000 	2525.000 	2537.000 	2539.000 	2690.000 	2693.000 	2693.000 	2693.000 	2710.000 	2713.000 	2718.000 	2722.000 	2722.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,ES	9581.560 	9664.560 	9719.560 	9719.560 	9640.920 	10452.920 	10702.920 	10575.920 	10495.920 	10739.920 	12053.920 	12125.920 	12161.920 	12241.920 	12361.920 	12404.920 	12501.920 	12546.920 	12623.920 	12648.920 	12676.920 	12661.920 	12671.920 	12404.970 	12442.970 	13272.970 	13297.970 	13296.970 	13297.542 	13331.637 	13334.562 	13350.338 	13355.063 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,EU27_2020	81598.560 	81948.560 	82642.560 	83490.560 	83951.920 	86176.920 	86968.920 	88466.920 	88762.920 	89323.920 	94209.220 	94163.220 	94478.220 	95327.220 	96114.220 	96424.675 	96210.833 	96964.805 	97179.649 	97814.449 	98525.428 	99663.073 	99833.628 	99740.608 	99613.651 	101241.964 	101907.791 	102447.797 	102653.223 	103016.167 	103376.261 	103693.850 	104026.567 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,FI	2621.000 	2648.000 	2679.000 	2731.000 	2736.000 	2777.000 	2785.000 	2861.000 	2881.000 	2881.000 	2687.000 	2731.000 	2769.000 	2771.000 	2804.000 	2840.000 	2867.000 	2907.000 	2811.000 	2834.000 	2844.000 	2885.000 	2913.000 	2922.000 	2946.000 	2947.000 	2947.000 	2968.000 	2963.000 	2949.000 	2959.000 	2989.000 	2989.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,FR	15997.000 	15932.000 	16010.000 	16017.000 	16033.000 	16022.000 	16071.000 	16089.000 	16094.000 	15909.000 	17479.000 	17508.000 	17596.000 	17733.000 	17618.000 	17617.000 	17627.000 	17642.000 	17734.000 	17814.000 	17953.000 	18183.543 	18199.999 	18190.897 	18212.371 	18231.804 	18300.650 	18371.797 	18395.712 	18452.179 	18673.056 	18695.322 	18664.531 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,HR	1782.000 	1782.000 	1782.000 	1785.000 	1785.000 	1788.000 	1788.000 	1788.000 	1788.000 	1788.000 	1788.000 	1788.000 	1775.000 	1783.000 	1790.000 	1780.000 	1780.000 	1780.000 	1780.000 	1797.000 	1846.000 	1846.000 	1846.000 	1895.000 	1896.800 	1910.800 	1907.800 	1908.900 	1921.400 	1921.600 	1921.800 	1922.800 	1928.100 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,HU	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	48.000 	54.000 	49.000 	49.000 	49.000 	49.000 	51.000 	53.000 	53.000 	55.000 	56.000 	57.000 	57.000 	57.000 	57.000 	57.000 	57.000 	58.000 	58.000 	60.000 	60.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,IE	223.000 	226.000 	226.000 	226.000 	227.000 	227.000 	232.000 	233.000 	233.000 	236.000 	236.000 	238.000 	240.000 	240.000 	240.000 	234.000 	234.000 	234.000 	234.000 	234.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 	237.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,IT	10851.000 	10963.000 	10980.000 	11020.000 	11045.000 	11142.000 	11163.000 	11224.000 	11142.000 	11474.000 	13389.000 	13456.000 	13557.000 	13703.000 	13583.000 	13691.000 	13326.000 	13385.000 	13546.000 	13651.000 	13804.000 	14024.000 	14197.000 	14335.000 	14387.000 	14507.000 	14874.000 	14990.178 	15076.137 	15190.677 	15352.444 	15432.937 	15438.452 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,LT	95.000 	95.000 	95.000 	95.000 	95.000 	95.000 	95.000 	98.000 	98.000 	100.000 	103.000 	103.000 	103.000 	109.000 	110.000 	117.000 	117.000 	115.000 	115.000 	116.000 	116.000 	116.000 	116.000 	116.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 	117.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,LU	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.000 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.300 	32.580 	32.508 	32.508 	32.508 	32.508 	32.508 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,LV	1487.000 	1487.000 	1487.000 	1503.000 	1504.000 	1507.000 	1520.000 	1517.000 	1521.000 	1505.000 	1511.000 	1520.000 	1523.000 	1531.000 	1530.000 	1530.000 	1531.000 	1531.000 	1531.000 	1531.000 	1571.000 	1571.000 	1573.000 	1585.525 	1586.748 	1586.693 	1563.196 	1563.260 	1563.339 	1585.204 	1584.755 	1585.703 	1586.203 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	696.685 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,NL	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.000 	37.700 	37.700 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27337.000 	28367.000 	28618.000 	29158.000 	29682.000 	29889.000 	29939.000 	30281.000 	30382.000 	31120.000 	31387.000 	32285.300 	32628.300 	32822.300 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,PL	466.000 	466.000 	467.000 	474.000 	488.000 	481.000 	491.000 	494.000 	500.000 	504.000 	508.000 	516.000 	516.000 	523.000 	534.000 	541.000 	548.000 	545.000 	552.000 	555.000 	559.000 	563.000 	568.000 	572.000 	581.000 	587.000 	596.000 	590.609 	591.818 	597.562 	600.152 	598.098 	607.399 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,PT	2763.000 	2743.000 	3099.000 	3551.000 	3604.000 	3853.000 	3869.000 	3875.000 	3880.000 	3902.000 	3912.000 	3937.000 	3960.000 	3960.000 	3968.000 	3962.100 	3998.100 	4007.100 	4004.100 	4036.100 	4051.100 	4484.300 	4407.900 	4356.900 	4362.000 	4440.000 	4452.300 	4455.331 	4465.242 	4491.485 	4470.306 	4484.311 	4535.416 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,RO	5687.000 	5687.000 	5687.000 	5872.000 	5938.000 	5998.000 	6038.000 	6074.000 	6081.000 	6082.000 	6120.000 	6122.000 	6242.000 	6248.000 	6278.000 	6266.000 	6247.000 	6289.000 	6302.000 	6276.000 	6299.000 	6319.000 	6363.000 	6148.000 	6166.000 	6248.000 	6287.000 	6246.648 	6258.600 	6234.437 	6196.506 	6206.175 	6199.861 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,SE	14964.000 	14951.000 	15017.000 	15125.000 	15333.000 	14987.000 	15234.000 	15868.000 	16092.000 	16355.000 	16450.000 	16466.000 	16142.000 	16053.000 	16299.000 	16299.000 	16232.000 	16589.000 	16349.000 	16541.000 	16621.000 	16475.000 	16312.000 	16386.000 	15888.000 	16222.000 	16355.000 	16385.000 	16314.000 	16345.000 	16307.000 	16308.000 	16300.000 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,SI	728.000 	728.000 	728.000 	728.000 	728.000 	730.000 	707.000 	707.000 	783.000 	788.000 	753.000 	797.000 	844.000 	868.000 	869.000 	875.000 	905.000 	906.000 	913.000 	954.000 	958.000 	957.000 	958.000 	1003.000 	1000.000 	999.000 	997.000 	1050.926 	1047.716 	1050.090 	1050.273 	1050.305 	1044.228 
A,RA110,CAP_NET_ELC,PRR_MAIN,MW,SK	0.000 	0.000 	0.000 	0.000 	0.000 	1525.000 	1655.000 	1664.000 	1682.000 	1684.000 	1685.000 	1492.000 	1492.000 	1494.000 	1577.000 	1572.000 	1572.000 	1574.000 	1607.000 	1546.000 	1575.000 	1578.000 	1577.000 	1577.000 	1577.000 	1579.000 	1577.000 	1577.000 	1580.000 	1578.000 	1580.000 	1582.000 	1581.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,EA20	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.161 	2.522 	3.476 	1.649 	4.699 	4.065 	3.834 	1.528 	10.941 	2.400 	0.825 	10.488 
A,RA110,CAP_NET_ELC_C,PRR_AUTO,MW,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 
