freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FEC2020-2030,I05,IE	58.18 	59.07 	58.25 	60.24 	62.29 	63.24 	65.88 	68.42 	74.06 	78.78 	85.57 	89.20 	89.53 	92.15 	94.37 	100.00 	104.13 	104.65 	104.74 	93.45 	94.43 	87.51 	85.11 	86.16 	86.47 	89.77 	93.19 	93.93 	98.23 	98.11 	88.65 	90.55 	94.83 
A,FEC2020-2030,I05,IS	70.17 	68.87 	70.71 	72.23 	74.69 	74.17 	78.63 	79.49 	83.34 	87.77 	93.15 	93.28 	96.11 	96.09 	99.29 	100.00 	108.62 	117.81 	133.33 	133.27 	131.54 	132.45 	136.71 	142.94 	145.58 	152.93 	154.80 	160.77 	174.51 	161.87 	147.12 	155.33 	: 
A,FEC2020-2030,I05,IT	78.59 	80.77 	80.86 	81.29 	80.07 	83.58 	84.36 	85.08 	87.62 	90.80 	90.96 	91.93 	92.15 	97.17 	97.51 	100.00 	98.87 	98.11 	97.86 	91.95 	93.65 	89.77 	88.78 	86.40 	82.58 	84.70 	84.48 	83.94 	84.78 	84.07 	74.87 	83.37 	81.65 
A,FEC2020-2030,I05,LT	207.19 	217.51 	136.41 	105.04 	101.28 	98.34 	95.87 	96.74 	95.72 	86.73 	80.66 	83.93 	87.50 	90.21 	94.21 	100.00 	105.57 	111.64 	109.89 	99.43 	102.93 	102.46 	104.99 	102.43 	104.48 	104.12 	109.22 	114.48 	119.26 	119.04 	113.69 	121.25 	115.54 
A,FEC2020-2030,I05,LU	73.42 	78.05 	78.52 	79.91 	78.33 	69.56 	71.53 	71.25 	70.11 	73.99 	78.28 	82.06 	82.86 	88.26 	97.94 	100.00 	98.49 	96.97 	97.88 	91.09 	96.60 	95.84 	93.13 	92.14 	89.36 	89.12 	90.21 	93.34 	97.11 	98.00 	85.14 	90.62 	82.01 
A,FEC2020-2030,I05,LV	159.72 	155.78 	128.42 	111.52 	101.15 	95.79 	94.30 	92.62 	89.49 	84.37 	80.99 	88.91 	90.08 	94.50 	97.22 	100.00 	104.36 	108.37 	103.36 	100.53 	102.53 	96.28 	100.22 	95.94 	96.69 	94.26 	95.07 	99.90 	103.95 	101.55 	95.94 	100.97 	98.61 
A,FEC2020-2030,I05,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	102.91 	112.63 	113.50 	95.03 	93.76 	95.47 	93.09 	85.64 	84.57 	89.16 	92.72 	98.10 	98.58 	102.80 	91.82 	105.82 	: 
A,FEC2020-2030,I05,MK	82.54 	78.00 	90.43 	96.64 	86.46 	84.39 	104.71 	95.58 	92.52 	93.58 	91.04 	81.00 	84.23 	93.90 	92.03 	100.00 	100.72 	106.63 	103.28 	95.98 	102.93 	109.24 	106.19 	104.54 	103.66 	106.08 	106.74 	107.67 	106.32 	112.59 	104.78 	113.49 	: 
A,FEC2020-2030,I05,MT	72.49 	84.44 	87.01 	92.24 	91.22 	98.21 	84.61 	122.38 	93.48 	96.28 	95.99 	86.99 	79.00 	85.68 	96.07 	100.00 	100.42 	103.44 	107.93 	97.53 	108.33 	106.22 	109.16 	113.25 	117.94 	124.56 	125.56 	134.01 	142.28 	150.25 	117.47 	126.15 	150.48 
A,FEC2020-2030,I05,NL	84.80 	89.35 	88.59 	91.69 	90.63 	93.86 	101.63 	96.43 	96.57 	96.76 	96.37 	97.95 	98.04 	99.52 	100.93 	100.00 	99.40 	98.07 	99.60 	95.55 	102.26 	95.55 	95.75 	95.42 	87.35 	89.23 	91.23 	91.96 	92.61 	90.94 	82.97 	85.99 	79.85 
