freq,plant_tec,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PRDCAP_FF,THM,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,UK	1720.000 	1720.000 	1720.000 	220.000 	220.000 	220.000 	220.000 	220.000 	220.000 	290.000 	290.000 	: 	: 	: 
A,PRDCAP_FF,THM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,BE	100.000 	200.000 	200.000 	200.000 	200.000 	200.000 	200.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,EA20	237.000 	337.000 	350.000 	350.000 	350.000 	350.000 	350.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 
A,PRDCAP_MOXF,THM,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,EU27_2020	237.000 	337.000 	350.000 	350.000 	350.000 	350.000 	350.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 
A,PRDCAP_MOXF,THM,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,FR	137.000 	137.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 	150.000 
A,PRDCAP_MOXF,THM,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,PRDCAP_MOXF,THM,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_MOXF,THM,UK	120.000 	120.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 
A,PRDCAP_MOXF,THM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,BE	354.000 	274.000 	202.000 	29.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,DE	564.500 	455.600 	301.200 	396.700 	250.600 	307.700 	232.500 	249.600 	299.200 	259.000 	217.000 	193.000 	185.000 	169.000 
A,PRD_FF,THM,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,EA20	1684.300 	1555.400 	1387.600 	1457.100 	1289.200 	1275.500 	1197.700 	1152.100 	1224.200 	1283.706 	1124.000 	1192.000 	1269.000 	1139.422 
A,PRD_FF,THM,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,ES	340.800 	312.800 	348.400 	357.400 	344.600 	324.800 	347.200 	272.500 	293.000 	290.706 	265.000 	294.000 	333.000 	261.422 
A,PRD_FF,THM,EU27_2020	2334.400 	2134.000 	2060.040 	2110.640 	2049.600 	1946.800 	1904.100 	1864.400 	1928.200 	1947.706 	1824.000 	1968.000 	1897.000 	1737.422 
A,PRD_FF,THM,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,FR	425.000 	513.000 	536.000 	674.000 	694.000 	643.000 	618.000 	630.000 	632.000 	734.000 	642.000 	705.000 	751.000 	709.000 
A,PRD_FF,THM,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,PRD_FF,THM,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,RO	211.100 	208.600 	208.440 	194.540 	208.400 	201.300 	224.400 	212.300 	228.000 	216.000 	216.000 	208.000 	212.000 	209.000 
A,PRD_FF,THM,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,SE	439.000 	370.000 	464.000 	459.000 	552.000 	470.000 	482.000 	500.000 	476.000 	448.000 	484.000 	568.000 	416.000 	389.000 
A,PRD_FF,THM,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_FF,THM,UK	236.000 	277.000 	267.000 	185.000 	176.000 	183.000 	164.000 	188.000 	189.000 	179.000 	190.000 	: 	: 	: 
A,PRD_FF,THM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,BE	14.000 	13.000 	12.000 	16.400 	8.000 	13.900 	12.800 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,EA20	148.000 	141.000 	149.000 	166.400 	132.000 	147.900 	137.800 	117.000 	110.000 	93.000 	89.000 	84.000 	57.000 	59.000 
A,PRD_MOXF,THM,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,EU27_2020	148.000 	141.000 	149.000 	166.400 	132.000 	147.900 	137.800 	117.000 	110.000 	93.000 	89.000 	84.000 	57.000 	59.000 
A,PRD_MOXF,THM,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,FR	134.000 	128.000 	137.000 	150.000 	124.000 	134.000 	125.000 	117.000 	110.000 	93.000 	89.000 	84.000 	57.000 	59.000 
A,PRD_MOXF,THM,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,PRD_MOXF,THM,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_MOXF,THM,UK	4.760 	2.650 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 
A,PRD_MOXF,THM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,BE	11853.287 	11608.853 	11700.611 	9765.313 	10336.494 	8176.237 	6283.178 	10588.967 	10299.710 	6960.862 	10593.545 	8371.015 	12223.218 	10697.551 
A,PRD_NUCH,KTOE,BG	3877.910 	3849.120 	4105.070 	4020.240 	3667.580 	4046.700 	3912.000 	4010.900 	3940.700 	4168.300 	4301.762 	4334.677 	4294.944 	4289.729 
A,PRD_NUCH,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,CZ	6975.351 	7160.395 	7199.850 	7673.985 	7758.521 	7630.766 	6680.352 	5977.498 	7016.777 	7449.000 	7548.204 	7496.295 	7641.632 	7714.551 
A,PRD_NUCH,KTOE,DE	34733.200 	36200.800 	27807.200 	25618.600 	25052.200 	25010.700 	23636.344 	21794.700 	19654.700 	19571.000 	19332.000 	16576.800 	17768.590 	8938.000 e
A,PRD_NUCH,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,EA20	179106.173 	187227.373 	181845.193 	174051.545 	172300.220 	174048.066 	170722.917 	164483.990 	160599.380 	160020.312 	161139.955 	144377.157 	155483.931 	124254.148 
A,PRD_NUCH,KTOE,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,ES	13783.000 	16134.800 	15044.700 	15990.500 	14785.000 	14931.100 	14903.200 	15272.900 	15131.490 	14478.800 	15218.000 	15174.000 	14725.000 	15295.000 
A,PRD_NUCH,KTOE,EU27_2020	209698.034 	219620.718 	215345.913 	208372.396 	206514.046 	208966.146 	203781.652 	197052.792 	194898.857 	195247.612 	196180.921 	175176.129 	186662.507 	155481.428 
A,PRD_NUCH,KTOE,FI	5762.000 	5565.000 	5627.000 	5536.000 	5694.000 	5688.000 	5606.200 	5589.800 	5390.100 	5444.100 	5675.900 	5547.600 	5609.200 	6115.200 
A,PRD_NUCH,KTOE,FR	106857.000 	111612.000 	115209.000 	110863.000 	110414.916 	113747.770 	113996.445 	105078.837 	103860.740 	107628.690 	103987.000 	92211.000 	98864.000 	76809.000 
A,PRD_NUCH,KTOE,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,HU	3878.000 	3963.000 	3964.900 	3986.135 	3869.526 	3937.414 	3994.282 	4070.704 	4084.000 	4006.000 	4106.000 	4053.000 	4034.000 	3992.000 
A,PRD_NUCH,KTOE,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,PRD_NUCH,KTOE,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,NL	980.000 	917.400 	959.200 	920.000 	656.200 	941.300 	937.350 	916.140 	789.540 	812.260 	910.310 	955.890 	890.430 	965.858 
A,PRD_NUCH,KTOE,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRD_NUCH,KTOE,RO	2979.600 	2922.830 	2978.900 	3008.490 	2922.200 	2941.200 	2940.100 	2810.700 	2907.000 	2877.000 	2846.000 	2887.000 	2866.000 	2822.000 
