freq,plant_tec,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAA_IRRADF,GWD_THM,SI	44.200 	51.851 	0.000 	43.141 	44.000 	0.000 	43.243 	43.510 	0.000 	43.371 	45.610 	0.000 	43.548 	46.280 
A,BAA_IRRADF,GWD_THM,SK	45.450 	46.640 	47.540 	47.810 	49.220 	49.680 	50.390 	54.790 	55.840 	56.250 	56.370 	55.490 	54.970 	54.710 
A,BAA_IRRADF,GWD_THM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,UK	27.400 	26.200 	28.000 	29.400 	11.300 	32.000 	30.700 	32.700 	32.102 	33.138 	33.491 	: 	: 	: 
A,BAA_IRRADF,GWD_THM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,DE	2750.000 	3200.000 	4200.000 	4500.000 	4500.000 	4500.000 	4100.000 	4100.000 	4000.000 	4000.000 	3900.000 	3900.000 	3900.000 	3800.000 
A,CAP_EN,TSWU,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,EA20	11750.000 	13200.000 	13200.000 	12800.000 	15400.000 	16300.000 	16900.000 	17000.000 	16800.000 	16700.000 	16600.000 	16600.000 	16600.000 	16400.000 
A,CAP_EN,TSWU,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,EU27_2020	11750.000 	13200.000 	13200.000 	12800.000 	15400.000 	16300.000 	16900.000 	17000.000 	16800.000 	16700.000 	16600.000 	16600.000 	16600.000 	16400.000 
A,CAP_EN,TSWU,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,FR	4600.000 	5400.000 	4000.000 	2800.000 	5500.000 	6400.000 	7400.000 	7500.000 	7500.000 	7500.000 	7500.000 	7500.000 	7500.000 	7500.000 
A,CAP_EN,TSWU,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,CAP_EN,TSWU,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_EN,TSWU,NL	4400.000 	4600.000 	5000.000 	5500.000 	5400.000 	5400.000 	5400.000 	5400.000 	5300.000 	5200.000 	5200.000 	5200.000 	5200.000 	5100.000 
A,CAP_EN,TSWU,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
