freq,unit,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC_TOT,LU	: 	53.8 	70.0 	70.3 	61.8 	68.6 	53.0 	58.5 	54.4 	49.4 	45.9 	49.0 	52.1 	42.1 	40.4 	42.5 
A,PC_TOT,LV	: 	: 	: 	: 	: 	78.8 	: 	: 	: 	: 	: 	: 	: 	: 	44.2 	: 
A,PC_TOT,NL	28.0 	28.2 	31.7 	32.4 	32.2 	31.3 	22.8 	25.2 	20.3 	19.0 	19.7 	21.3 	18.6 	19.8 	20.6 	18.8 
A,PC_TOT,NO	: 	: 	38.8 	36.6 	41.1 	46.8 	36.8 	51.0 	36.6 	40.6 	37.1 	39.0 	34.9 	37.3 	40.2 	34.4 
A,PC_TOT,PL	64.5 	64.0 	60.1 	61.3 	66.5 	58.3 	68.6 	: 	: 	: 	78.9 	: 	: 	71.0 	: 	: 
A,PC_TOT,PT	: 	42.7 	: 	: 	: 	36.8 	42.2 	42.2 	38.4 	42.1 	44.8 	41.0 	38.1 	34.8 	35.7 	38.8 
A,PC_TOT,RO	88.8 	86.7 	67.4 	74.4 	85.1 	87.3 	83.4 	80.3 	79.6 	74.7 	75.5 	76.3 	67.1 	61.0 	79.4 	67.0 
A,PC_TOT,SE	19.0 	29.9 	24.6 	29.4 	36.2 	: 	40.4 	: 	: 	: 	: 	: 	: 	: 	: 	22.5 
A,PC_TOT,SI	82.8 	79.8 	69.7 	73.6 	72.2 	76.0 	68.6 	69.1 	78.6 	73.5 	64.6 	66.9 	73.1 	63.3 	71.6 	72.4 
A,PC_TOT,SK	56.9 	59.3 	72.1 	70.7 	69.8 	63.7 	63.6 	66.6 	66.4 	65.4 	67.4 	57.1 	57.5 	60.3 	37.0 	61.9 
A,PC_TOT,UK	25.0 	27.2 	27.3 	28.6 	30.4 	32.8 	28.3 	24.4 	31.2 	24.0 	29.7 	35.4 	34.1 	: 	: 	: 
