freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_E,TOTAL,KTOE,SE	32064.667 	32311.573 	31671.579 	30928.825 	31510.948 	32037.681 	31849.848 	31729.198 	31304.164 	31019.209 	32156.109 	31241.336 
A,FC_E,TOTAL,KTOE,SI	5037.235 	4909.818 	4804.230 	4608.016 	4715.243 	4893.658 	4958.980 	4952.698 	4862.689 	4445.871 	4767.622 	4754.182 
A,FC_E,TOTAL,KTOE,SK	10402.286 	9948.967 	10107.882 	9113.614 	9525.304 	9884.214 	10538.548 	10400.003 	10242.955 	9611.131 	10508.333 	9915.221 
A,FC_E,TOTAL,KTOE,TR	76076.088 	79158.418 	78466.784 	80844.293 	86846.978 	90318.129 	100475.004 	98632.997 	99100.143 	101143.008 	109801.743 	: 
A,FC_E,TOTAL,KTOE,UA	69646.492 	66404.075 	65144.066 	57893.824 	47488.152 	48826.188 	47345.792 	48417.734 	46886.431 	44184.237 	: 	: 
A,FC_E,TOTAL,KTOE,UK	118840.372 	122658.595 	123395.413 	116594.037 	120063.341 	121886.092 	120950.747 	122583.690 	121414.483 	: 	: 	: 
A,FC_E,TOTAL,KTOE,XK	1266.098 	1219.372 	1167.578 	1230.700 	1339.928 	1433.037 	1516.064 	1471.026 	1515.131 	1524.673 	1659.361 	: 
A,FC_IND_E,TOTAL,KTOE,AL	379.510 	276.839 	281.451 	372.768 	301.176 	285.923 	405.514 	457.432 	366.407 	385.240 	446.307 	: 
A,FC_IND_E,TOTAL,KTOE,AT	7594.313 	7652.596 	7494.580 	7340.552 	7363.897 	7608.447 	7629.156 	7563.291 	7542.285 	7247.230 	7540.048 	7619.808 
A,FC_IND_E,TOTAL,KTOE,BA	: 	: 	: 	717.286 	756.627 	754.104 	828.931 	863.498 	752.725 	600.610 	703.358 	: 
A,FC_IND_E,TOTAL,KTOE,BE	10559.996 	10534.388 	10771.870 	10565.653 	10577.956 	10631.382 	10443.973 	10680.290 	10310.041 	10003.809 	10578.786 	9580.574 
A,FC_IND_E,TOTAL,KTOE,BG	2696.440 	2566.576 	2595.527 	2617.523 	2719.641 	2655.459 	2757.516 	2736.144 	2678.806 	2646.350 	2823.820 	2700.703 
A,FC_IND_E,TOTAL,KTOE,CY	210.304 	173.464 	186.089 	225.539 	211.592 	215.369 	234.200 	227.688 	228.648 	244.584 	246.344 	248.447 
A,FC_IND_E,TOTAL,KTOE,CZ	6771.988 	6726.299 	6426.744 	6331.755 	6477.940 	6412.090 	6734.121 	6699.106 	6618.619 	6567.069 	7013.271 	6613.950 
A,FC_IND_E,TOTAL,KTOE,DE	57409.744 	56712.955 	56347.486 	55725.644 	56067.590 	56677.082 	57146.089 	57090.092 	55649.346 	54762.640 	56214.334 	53449.375 
A,FC_IND_E,TOTAL,KTOE,DK	2442.284 	2303.364 	2179.385 	2120.599 	2109.385 	2165.623 	2284.765 	2314.636 	2257.716 	2304.374 	2474.736 	2368.076 
A,FC_IND_E,TOTAL,KTOE,EE	586.045 	564.247 	639.597 	555.819 	535.033 	457.757 	462.926 	485.921 	459.307 	408.037 	383.584 	358.400 
A,FC_IND_E,TOTAL,KTOE,EL	3322.823 	2995.491 	2835.531 	3088.300 	3128.446 	3073.122 	2762.817 	2738.854 	2587.606 	2523.498 	2565.401 	2565.529 
A,FC_IND_E,TOTAL,KTOE,ES	20627.827 	20107.728 	19601.617 	19311.864 	18691.281 	19897.234 	20394.457 	20666.439 	20642.726 	18838.478 	20164.098 	17946.563 
A,FC_IND_E,TOTAL,KTOE,EU27_2020	244386.095 	239835.981 	236913.967 	233441.635 	233475.934 	237760.295 	239973.737 	241772.617 	238971.384 	230303.266 	243631.818 	226409.081 
A,FC_IND_E,TOTAL,KTOE,FI	10517.329 	10233.196 	10270.024 	10218.642 	10156.882 	10500.774 	10699.835 	11038.160 	10980.155 	10257.530 	10760.748 	9751.523 
A,FC_IND_E,TOTAL,KTOE,FR	29453.648 	29303.531 	29273.927 	27952.958 	27584.304 	28228.524 	27216.280 	27264.789 	26954.699 	24767.384 	26707.221 	25302.137 
A,FC_IND_E,TOTAL,KTOE,GE	: 	: 	732.581 	759.094 	776.551 	747.355 	836.142 	868.278 	822.425 	783.177 	826.807 	: 
A,FC_IND_E,TOTAL,KTOE,HR	1246.111 	1099.202 	1075.141 	1066.433 	1056.141 	1057.427 	1148.118 	1161.853 	1172.434 	1171.272 	1191.359 	1128.479 
A,FC_IND_E,TOTAL,KTOE,HU	2998.149 	3182.392 	3725.701 	3705.025 	3867.221 	3988.299 	4282.774 	4453.878 	4459.617 	4421.598 	4729.286 	4308.435 
A,FC_IND_E,TOTAL,KTOE,IE	1729.117 	1763.970 	1842.499 	1993.993 	1994.355 	2059.829 	2125.162 	2179.535 	2167.586 	2172.979 	2245.914 	2138.484 
A,FC_IND_E,TOTAL,KTOE,IS	1324.183 	1359.322 	1424.410 	1442.055 	1460.048 	1344.211 	1394.304 	1401.396 	1315.423 	1298.431 	1330.123 	: 
A,FC_IND_E,TOTAL,KTOE,IT	27744.858 	26948.704 	25353.587 	24739.085 	24853.372 	25088.949 	24925.749 	24663.854 	24928.486 	23861.103 	28632.287 	24753.783 
A,FC_IND_E,TOTAL,KTOE,LT	1013.346 	1071.759 	1037.327 	1033.722 	982.755 	988.969 	1070.927 	1106.588 	1113.763 	1024.340 	1109.164 	953.872 
A,FC_IND_E,TOTAL,KTOE,LU	738.941 	693.133 	662.241 	662.991 	645.852 	672.673 	630.695 	648.871 	631.731 	580.655 	607.076 	542.792 
A,FC_IND_E,TOTAL,KTOE,LV	747.755 	827.436 	767.643 	791.158 	787.780 	748.954 	793.356 	897.892 	852.758 	870.923 	894.162 	906.001 
A,FC_IND_E,TOTAL,KTOE,MD	232.392 	234.103 	250.298 	227.156 	212.330 	196.056 	211.736 	248.859 	231.500 	224.167 	246.109 	: 
A,FC_IND_E,TOTAL,KTOE,ME	226.735 	203.208 	183.351 	133.191 	131.817 	120.024 	139.009 	135.524 	137.222 	133.129 	138.656 	: 
A,FC_IND_E,TOTAL,KTOE,MK	633.919 	579.083 	555.332 	517.614 	474.779 	441.263 	388.256 	412.335 	450.049 	460.661 	479.679 	: 
A,FC_IND_E,TOTAL,KTOE,MT	39.867 	43.762 	52.230 	55.495 	55.139 	54.925 	57.156 	58.835 	61.017 	66.241 	70.032 	73.998 
A,FC_IND_E,TOTAL,KTOE,NL	13779.768 	13558.768 	13350.828 	13080.793 	13102.771 	13757.587 	13725.511 	13606.539 	13225.131 	13208.425 	13221.255 	12260.566 
A,FC_IND_E,TOTAL,KTOE,NO	6268.948 	6055.585 	6075.229 	5964.490 	6011.625 	6048.099 	6136.644 	6247.355 	6256.929 	6354.920 	6669.146 	6443.854 
A,FC_IND_E,TOTAL,KTOE,PL	13961.482 	13733.264 	14210.705 	14153.252 	14095.620 	14652.420 	15819.880 	16327.935 	16492.204 	15921.165 	16274.112 	15074.146 
A,FC_IND_E,TOTAL,KTOE,PT	5351.641 	4606.171 	4598.647 	4405.499 	4411.521 	4381.447 	4525.297 	4553.901 	4618.128 	4447.539 	4531.067 	4496.542 
A,FC_IND_E,TOTAL,KTOE,RO	7059.692 	6748.255 	6272.845 	6427.425 	6418.898 	6263.796 	6437.729 	6612.433 	6661.063 	6437.031 	6856.343 	5739.746 
A,FC_IND_E,TOTAL,KTOE,RS	2740.411 	2463.907 	2395.892 	1955.714 	2046.578 	2174.093 	2266.020 	2397.904 	2211.385 	2025.761 	2113.043 	: 
A,FC_IND_E,TOTAL,KTOE,SE	11290.404 	11244.099 	11029.728 	10799.075 	11019.170 	10971.244 	10917.194 	11013.378 	10891.752 	11154.427 	11120.715 	11178.307 
A,FC_IND_E,TOTAL,KTOE,SI	1236.892 	1207.414 	1197.651 	1231.213 	1228.021 	1242.337 	1295.612 	1319.176 	1322.080 	1256.408 	1294.263 	1180.886 
A,FC_IND_E,TOTAL,KTOE,SK	3255.331 	3233.817 	3114.817 	3241.628 	3333.371 	3308.576 	3452.442 	3662.539 	3463.680 	3138.177 	3382.392 	3167.959 
A,FC_IND_E,TOTAL,KTOE,TR	24891.605 	25566.818 	24029.040 	25101.897 	26109.622 	26330.093 	32121.826 	32331.058 	30491.713 	32577.260 	36752.141 	: 
A,FC_IND_E,TOTAL,KTOE,UA	25810.737 	23981.954 	21841.758 	20568.374 	16377.631 	15512.409 	15094.859 	16416.222 	16126.577 	15979.570 	: 	: 
A,FC_IND_E,TOTAL,KTOE,UK	23952.179 	23613.280 	23643.762 	22967.703 	23060.440 	21304.966 	21625.725 	21689.348 	21118.796 	: 	: 	: 
A,FC_IND_E,TOTAL,KTOE,XK	307.986 	273.752 	262.900 	245.253 	307.181 	281.257 	313.240 	281.795 	299.970 	302.386 	328.236 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,AL	163.473 	157.272 	190.984 	179.239 	196.853 	179.284 	213.604 	215.220 	228.317 	194.243 	218.788 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,AT	2555.046 	2553.096 	2551.659 	2423.488 	2478.518 	2425.010 	2638.262 	2579.022 	2637.368 	2429.222 	2602.655 	2522.643 
A,FC_OTH_CP_E,TOTAL,KTOE,BA	: 	: 	: 	163.649 	357.703 	435.411 	355.631 	348.522 	407.073 	377.628 	386.339 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,BE	4409.540 	4623.398 	4909.613 	4251.465 	4618.204 	4646.705 	4634.866 	4656.113 	4599.421 	4403.378 	4543.449 	3988.677 
A,FC_OTH_CP_E,TOTAL,KTOE,BG	1089.740 	1069.698 	1029.822 	992.002 	1078.658 	1157.041 	1167.156 	1231.216 	1268.032 	1066.112 	1299.854 	1343.362 
A,FC_OTH_CP_E,TOTAL,KTOE,CY	237.729 	224.359 	204.729 	202.013 	209.278 	223.134 	231.734 	272.279 	284.275 	238.034 	261.095 	288.778 
A,FC_OTH_CP_E,TOTAL,KTOE,CZ	3132.559 	3039.527 	3010.066 	2922.578 	2977.367 	3091.444 	3180.772 	3127.767 	3191.895 	2987.130 	2966.844 	2894.197 
A,FC_OTH_CP_E,TOTAL,KTOE,DE	30735.597 	32027.815 	33549.528 	30766.034 	32289.872 	31865.517 	31837.801 	28892.812 	27533.764 	26842.069 	30013.224 	25459.838 
A,FC_OTH_CP_E,TOTAL,KTOE,DK	1947.908 	1978.525 	1964.476 	1847.314 	1896.036 	1946.894 	1991.014 	1964.710 	1907.442 	1804.441 	2048.753 	1912.994 
A,FC_OTH_CP_E,TOTAL,KTOE,EE	402.178 	423.520 	417.892 	457.642 	465.395 	498.236 	466.591 	490.285 	462.140 	467.154 	511.934 	455.451 
A,FC_OTH_CP_E,TOTAL,KTOE,EL	1870.116 	1940.591 	1820.639 	1714.028 	1874.935 	2037.527 	2191.693 	2093.373 	2135.469 	1903.485 	2045.466 	2098.175 
A,FC_OTH_CP_E,TOTAL,KTOE,ES	10221.484 	10104.210 	9667.769 	8933.937 	9511.993 	9830.589 	10132.767 	10287.346 	10346.442 	9558.346 	10084.105 	10073.944 
A,FC_OTH_CP_E,TOTAL,KTOE,EU27_2020	128319.937 	131113.382 	132610.323 	123375.593 	128593.854 	130187.179 	133883.152 	131976.670 	128875.741 	121385.640 	129372.988 	121671.074 
A,FC_OTH_CP_E,TOTAL,KTOE,FI	2869.159 	3032.099 	2908.404 	2892.419 	2739.310 	2892.622 	2962.161 	3080.921 	3017.291 	2777.294 	3082.529 	2971.921 
A,FC_OTH_CP_E,TOTAL,KTOE,FR	21081.587 	22596.139 	23298.494 	21421.580 	22288.412 	22403.786 	22752.085 	22647.373 	22181.418 	20653.365 	22000.170 	20199.086 
A,FC_OTH_CP_E,TOTAL,KTOE,GE	: 	: 	351.850 	433.077 	402.614 	433.638 	452.855 	514.751 	535.532 	412.919 	544.518 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,HR	786.568 	758.306 	740.881 	693.717 	763.679 	780.992 	818.061 	832.935 	835.886 	757.788 	848.096 	808.947 
A,FC_OTH_CP_E,TOTAL,KTOE,HU	3053.612 	2353.881 	2337.107 	2114.780 	2203.657 	2183.456 	2154.189 	2098.672 	2050.439 	2000.195 	2074.148 	1918.798 
A,FC_OTH_CP_E,TOTAL,KTOE,IE	1454.291 	1473.853 	1510.840 	1452.893 	1567.222 	1592.827 	1600.322 	1763.785 	1803.573 	1714.293 	1747.619 	1866.620 
A,FC_OTH_CP_E,TOTAL,KTOE,IS	301.744 	324.883 	333.381 	363.777 	396.585 	422.665 	399.349 	511.896 	529.921 	490.332 	499.584 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,IT	15751.376 	15930.534 	15846.527 	14666.679 	15391.466 	15439.966 	18242.166 	19002.194 	18192.300 	16557.570 	16172.336 	16478.018 
A,FC_OTH_CP_E,TOTAL,KTOE,LT	583.961 	610.064 	593.023 	585.668 	574.923 	602.552 	633.867 	651.177 	626.707 	576.205 	646.668 	623.744 
A,FC_OTH_CP_E,TOTAL,KTOE,LU	339.836 	383.672 	399.689 	353.432 	396.759 	399.966 	449.066 	460.683 	519.370 	496.040 	554.895 	452.295 
A,FC_OTH_CP_E,TOTAL,KTOE,LV	556.709 	623.331 	600.446 	608.772 	586.308 	592.494 	607.014 	592.045 	568.824 	550.364 	600.830 	572.603 
A,FC_OTH_CP_E,TOTAL,KTOE,MD	270.670 	269.477 	258.252 	237.402 	246.475 	258.611 	256.417 	273.302 	263.068 	245.099 	281.123 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,ME	8.460 	8.622 	13.741 	68.962 	70.372 	79.372 	86.454 	87.810 	108.855 	89.757 	101.082 	: 
