freq,siec,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,R5100,CAP_NET_ELC,MW,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	182.000 	189.000 	190.000 	190.000 	202.000 	211.000 	213.000 	245.000 	251.000 	248.000 	353.000 	331.845 	361.873 	450.278 	464.102 	527.857 	611.565 	624.152 	827.914 	874.686 	809.650 	898.840 	911.486 
A,R5100,CAP_NET_ELC,MW,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3.000 	6.000 	7.000 	7.000 	8.000 	25.000 	26.000 	42.000 	64.800 	75.500 	80.200 	95.300 	101.200 
A,R5100,CAP_NET_ELC,MW,HU	0.000 	0.000 	0.000 	0.000 	0.000 	5.000 	5.000 	5.000 	5.000 	5.000 	5.000 	5.000 	44.000 	40.000 	189.000 	337.000 	328.000 	306.000 	356.000 	464.000 	469.000 	436.000 	260.000 	247.000 	467.000 	422.000 	322.000 	386.000 	414.000 	402.000 	397.000 	438.000 	424.000 
A,R5100,CAP_NET_ELC,MW,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.000 	2.000 	2.000 	1.830 	5.350 	5.350 	5.350 	5.450 	5.450 	5.450 	5.450 	5.450 	5.450 	5.450 	5.450 	6.650 	6.707 	6.707 	6.707 
A,R5100,CAP_NET_ELC,MW,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,R5100,CAP_NET_ELC,MW,IT	4.000 	4.000 	9.000 	9.000 	76.000 	68.000 	96.000 	90.000 	154.000 	198.000 	218.000 	221.000 	290.000 	383.000 	380.000 	358.000 	359.000 	362.000 	415.000 	438.000 	406.000 	421.000 	538.000 	606.000 	620.000 	616.000 	685.000 	684.108 	733.213 	: 	: 	702.464 	701.179 
A,R5100,CAP_NET_ELC,MW,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.000 	2.000 	2.000 	2.000 	2.000 	12.000 	16.000 	16.000 	16.000 	16.000 	18.000 	38.000 	43.000 	46.000 	45.000 	39.000 	45.000 	62.000 	63.000 	63.000 	58.000 	62.000 
A,R5100,CAP_NET_ELC,MW,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3.750 	3.750 	3.915 	3.915 	14.815 	15.145 	35.145 	35.145 	35.145 	36.350 
