freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_IND_E,C0000X0350-0370,KTOE,SI	52.947 	50.794 	47.469 	45.066 	39.300 	36.269 	38.253 	40.858 	39.800 	28.288 	21.057 	27.565 
A,FC_IND_E,C0000X0350-0370,KTOE,SK	361.056 	354.728 	315.123 	320.362 	313.450 	284.712 	299.322 	311.444 	280.396 	255.180 	268.783 	212.357 
A,FC_IND_E,C0000X0350-0370,KTOE,TR	6341.318 	6146.338 	4999.426 	5298.955 	5631.304 	6192.381 	6027.703 	5945.519 	5769.255 	6476.176 	7934.520 	: 
A,FC_IND_E,C0000X0350-0370,KTOE,UA	4110.650 	4272.555 	4475.252 	5737.537 	3366.933 	3092.280 	2607.774 	3300.023 	3341.994 	3170.851 	: 	: 
A,FC_IND_E,C0000X0350-0370,KTOE,UK	1439.002 	1525.945 	1982.397 	2029.046 	1706.639 	1462.343 	1299.407 	1169.388 	1078.851 	: 	: 	: 
A,FC_IND_E,C0000X0350-0370,KTOE,XK	54.866 	50.867 	31.610 	20.949 	18.755 	25.674 	23.301 	7.217 	10.388 	16.681 	22.842 	: 
A,FC_IND_E,C0350-0370,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,C0350-0370,KTOE,AT	96.831 	90.258 	95.452 	82.777 	80.561 	99.954 	104.806 	88.126 	95.870 	81.312 	111.897 	98.945 
A,FC_IND_E,C0350-0370,KTOE,BA	: 	: 	: 	104.352 	105.379 	104.615 	100.244 	110.215 	121.393 	52.381 	42.665 	: 
A,FC_IND_E,C0350-0370,KTOE,BE	232.731 	209.198 	207.366 	181.463 	162.296 	163.392 	171.581 	173.145 	153.077 	141.229 	180.261 	151.137 
A,FC_IND_E,C0350-0370,KTOE,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,CZ	340.969 	330.768 	312.893 	323.565 	311.300 	303.920 	279.425 	321.646 	266.195 	265.890 	314.360 	268.324 
A,FC_IND_E,C0350-0370,KTOE,DE	2565.234 	2526.020 	2347.516 	2333.453 	2462.038 	2234.898 	2194.760 	2494.077 	2316.624 	2141.267 	2124.961 	2132.207 
A,FC_IND_E,C0350-0370,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,EE	0.000 	0.175 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,ES	152.073 	123.256 	117.866 	75.614 	79.689 	95.825 	94.492 	82.294 	72.953 	51.887 	90.152 	112.301 
A,FC_IND_E,C0350-0370,KTOE,EU27_2020	5110.545 	5221.895 	4937.459 	5002.471 	4943.171 	4761.611 	4666.091 	4899.297 	4484.041 	4102.335 	4461.755 	4380.847 
A,FC_IND_E,C0350-0370,KTOE,FI	134.293 	118.778 	117.068 	120.529 	134.991 	144.473 	122.148 	139.505 	137.315 	126.763 	143.625 	125.521 
A,FC_IND_E,C0350-0370,KTOE,FR	0.000 	0.191 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,GE	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,C0350-0370,KTOE,HR	0.000 	0.000 	0.064 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,HU	146.293 	132.868 	81.750 	45.980 	55.857 	32.158 	41.638 	31.857 	31.449 	21.733 	35.447 	10.447 
A,FC_IND_E,C0350-0370,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,C0350-0370,KTOE,IT	0.000 	205.790 	165.203 	280.298 	209.348 	234.704 	159.152 	131.622 	109.389 	95.212 	97.507 	88.048 
A,FC_IND_E,C0350-0370,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,C0350-0370,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,C0350-0370,KTOE,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,C0350-0370,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,NL	190.810 	192.911 	197.876 	203.951 	215.973 	220.664 	238.106 	212.985 	177.085 	191.520 	219.067 	296.335 
A,FC_IND_E,C0350-0370,KTOE,NO	66.566 	67.952 	69.265 	70.173 	60.906 	51.209 	61.431 	66.519 	53.445 	51.941 	57.915 	66.741 
A,FC_IND_E,C0350-0370,KTOE,PL	559.033 	546.864 	541.029 	594.841 	486.849 	462.377 	499.879 	469.239 	451.465 	379.046 	429.782 	367.131 
A,FC_IND_E,C0350-0370,KTOE,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,RO	141.707 	188.760 	195.686 	173.641 	168.983 	158.976 	150.237 	148.013 	148.202 	145.021 	150.476 	123.713 
A,FC_IND_E,C0350-0370,KTOE,RS	91.597 	29.426 	33.009 	46.647 	5.422 	8.790 	10.056 	19.082 	19.089 	13.688 	15.404 	: 
A,FC_IND_E,C0350-0370,KTOE,SE	147.060 	176.455 	177.259 	172.480 	174.073 	182.282 	175.891 	165.570 	179.309 	170.722 	164.273 	170.608 
A,FC_IND_E,C0350-0370,KTOE,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,C0350-0370,KTOE,SK	403.511 	379.603 	380.431 	413.879 	401.213 	427.988 	433.976 	441.218 	345.108 	290.733 	399.947 	436.130 
A,FC_IND_E,C0350-0370,KTOE,TR	303.740 	431.609 	397.206 	441.540 	511.266 	461.711 	311.873 	360.600 	289.470 	423.768 	576.021 	: 
A,FC_IND_E,C0350-0370,KTOE,UA	3392.027 	3178.074 	2948.667 	2670.307 	2172.838 	2280.926 	1757.524 	1797.564 	1780.131 	1711.517 	: 	: 
A,FC_IND_E,C0350-0370,KTOE,UK	133.066 	80.049 	81.439 	76.015 	105.940 	82.882 	79.149 	66.332 	102.510 	: 	: 	: 
A,FC_IND_E,C0350-0370,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,E7000,KTOE,AL	90.456 	102.494 	119.433 	126.053 	107.051 	109.372 	107.910 	113.160 	116.706 	117.340 	122.048 	: 
A,FC_IND_E,E7000,KTOE,AT	2290.821 	2311.425 	2311.315 	2316.395 	2346.062 	2420.837 	2431.889 	2446.815 	2415.390 	2257.358 	2308.399 	2369.981 
A,FC_IND_E,E7000,KTOE,BA	: 	: 	: 	336.199 	343.852 	350.731 	373.517 	375.494 	317.283 	223.732 	270.593 	: 
A,FC_IND_E,E7000,KTOE,BE	3375.727 	3291.427 	3248.366 	3262.554 	3275.486 	3298.650 	3317.618 	3354.213 	3290.232 	3124.101 	3287.524 	3203.207 
A,FC_IND_E,E7000,KTOE,BG	724.162 	710.834 	731.814 	748.581 	776.698 	780.997 	837.255 	848.809 	845.253 	813.143 	833.477 	826.171 
A,FC_IND_E,E7000,KTOE,CY	45.486 	41.702 	39.725 	39.811 	39.467 	41.788 	44.561 	45.575 	45.741 	45.704 	47.718 	50.135 
A,FC_IND_E,E7000,KTOE,CZ	1934.136 	1924.076 	1830.267 	1902.837 	1947.120 	1978.160 	2055.244 	2089.591 	2087.446 	1988.136 	2112.625 	2122.312 
A,FC_IND_E,E7000,KTOE,DE	20140.499 	19827.343 	19591.574 	20022.528 	19675.408 	19825.795 	19967.928 	19838.693 	19197.506 	18196.819 	18858.813 	17831.814 
A,FC_IND_E,E7000,KTOE,DK	743.594 	734.566 	718.745 	706.277 	719.148 	724.075 	737.120 	742.864 	715.059 	732.831 	776.683 	756.240 
A,FC_IND_E,E7000,KTOE,EE	175.924 	188.048 	185.383 	182.029 	177.042 	185.039 	196.131 	202.923 	183.314 	183.063 	189.996 	179.584 
A,FC_IND_E,E7000,KTOE,EL	1258.813 	995.099 	977.300 	1106.535 	1089.252 	970.335 	1056.234 	1067.369 	1058.284 	1019.523 	1046.472 	1022.599 
A,FC_IND_E,E7000,KTOE,ES	6315.649 	6230.954 	6090.112 	6161.393 	6539.553 	6698.108 	6966.380 	6763.457 	6528.375 	5923.044 	6521.410 	6092.089 
A,FC_IND_E,E7000,KTOE,EU27_2020	80530.475 	79127.835 	77938.720 	78254.789 	78578.390 	79612.491 	81030.637 	81292.928 	80216.926 	76101.274 	79933.897 	75300.489 
A,FC_IND_E,E7000,KTOE,FI	3374.119 	3281.599 	3328.031 	3282.287 	3258.212 	3310.662 	3328.375 	3395.271 	3315.821 	3103.095 	3276.354 	2989.338 
A,FC_IND_E,E7000,KTOE,FR	10247.100 	10293.211 	10157.960 	10069.997 	9966.284 	10120.888 	10037.672 	10053.611 	9944.634 	9097.449 	9692.936 	9255.982 
A,FC_IND_E,E7000,KTOE,GE	: 	: 	200.086 	242.218 	236.543 	249.527 	283.276 	284.239 	279.691 	268.822 	306.311 	: 
A,FC_IND_E,E7000,KTOE,HR	287.962 	261.307 	270.679 	282.975 	294.841 	294.583 	310.138 	316.681 	310.628 	307.420 	325.572 	294.316 
A,FC_IND_E,E7000,KTOE,HU	849.355 	1272.743 	1276.010 	1263.629 	1324.420 	1375.924 	1438.951 	1481.857 	1526.311 	1503.009 	1614.359 	1565.434 
A,FC_IND_E,E7000,KTOE,IE	514.077 	527.807 	543.113 	576.807 	562.958 	583.064 	580.062 	557.329 	555.976 	593.264 	589.249 	589.960 
A,FC_IND_E,E7000,KTOE,IS	1192.433 	1221.066 	1262.081 	1262.425 	1300.860 	1276.010 	1323.169 	1334.892 	1281.176 	1267.273 	1294.665 	: 
A,FC_IND_E,E7000,KTOE,IT	11012.554 	10345.916 	9886.586 	9709.200 	9687.446 	9738.349 	9940.621 	9980.236 	10278.144 	10086.375 	10972.260 	9599.119 
A,FC_IND_E,E7000,KTOE,LT	238.005 	250.043 	256.750 	268.186 	284.867 	293.809 	312.580 	316.913 	326.225 	321.496 	337.739 	309.028 
A,FC_IND_E,E7000,KTOE,LU	307.506 	275.734 	262.351 	264.579 	270.516 	295.091 	258.614 	273.036 	258.493 	245.076 	253.327 	267.048 
A,FC_IND_E,E7000,KTOE,LV	143.594 	171.367 	155.460 	143.336 	146.432 	143.336 	151.560 	158.381 	158.736 	160.240 	167.326 	158.493 
A,FC_IND_E,E7000,KTOE,MD	70.077 	72.657 	74.979 	77.902 	66.466 	64.574 	65.692 	66.294 	63.629 	60.619 	64.574 	: 
A,FC_IND_E,E7000,KTOE,ME	185.899 	159.501 	114.015 	65.348 	65.950 	56.750 	62.915 	63.405 	60.060 	60.206 	58.332 	: 
A,FC_IND_E,E7000,KTOE,MK	215.477 	189.682 	194.411 	190.972 	169.905 	142.175 	126.560 	134.105 	139.306 	141.216 	147.514 	: 
A,FC_IND_E,E7000,KTOE,MT	34.652 	34.652 	34.738 	34.910 	35.684 	35.340 	39.438 	41.049 	40.440 	39.737 	42.148 	43.304 
A,FC_IND_E,E7000,KTOE,NL	3354.315 	3005.962 	2991.452 	2852.418 	2956.594 	3060.121 	3079.796 	3125.852 	3073.409 	3071.586 	3040.353 	2943.612 
A,FC_IND_E,E7000,KTOE,NO	3800.086 	3739.639 	3727.257 	3821.668 	3870.335 	3960.339 	3969.273 	4020.373 	3982.763 	4027.620 	4221.225 	4126.869 
A,FC_IND_E,E7000,KTOE,PL	3794.669 	3844.712 	4066.208 	4091.574 	4254.686 	4403.267 	4689.870 	4851.599 	4873.209 	4669.524 	4841.526 	4573.004 
A,FC_IND_E,E7000,KTOE,PT	1458.040 	1369.905 	1375.150 	1323.732 	1331.126 	1345.106 	1388.013 	1409.879 	1435.555 	1381.507 	1429.856 	1462.915 
A,FC_IND_E,E7000,KTOE,RO	1812.812 	1754.514 	1618.487 	1707.223 	1764.832 	1789.940 	1867.920 	1910.992 	1887.252 	1740.642 	1814.560 	1556.012 
A,FC_IND_E,E7000,KTOE,RS	660.791 	610.834 	623.474 	621.066 	648.237 	687.962 	722.443 	751.099 	755.207 	740.960 	806.550 	: 
A,FC_IND_E,E7000,KTOE,SE	4626.139 	4649.785 	4472.399 	4361.995 	4323.388 	4324.076 	4379.966 	4361.049 	4254.342 	4082.459 	4033.878 	3912.124 
A,FC_IND_E,E7000,KTOE,SI	504.213 	509.200 	505.417 	520.808 	533.018 	536.028 	554.276 	558.798 	558.185 	511.750 	521.229 	473.272 
A,FC_IND_E,E7000,KTOE,SK	966.552 	1023.904 	1013.328 	1052.193 	997.850 	1039.123 	1062.425 	1100.086 	1052.966 	902.923 	998.108 	853.396 
A,FC_IND_E,E7000,KTOE,TR	7383.835 	7762.253 	7857.610 	8241.101 	8660.619 	9050.989 	9746.724 	9837.827 	9596.703 	9978.492 	11460.433 	: 
A,FC_IND_E,E7000,KTOE,UA	5407.567 	5425.709 	5037.317 	4677.644 	4296.045 	4294.153 	4319.433 	4447.721 	4178.117 	3945.641 	: 	: 
