freq,nace_r2,indic_pefa,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,C20,NETDOM_EUSE_EP,TJ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	325.5 	324.6 	335.9 	386.6 	: 
A,C20,NETDOM_EUSE_EP,TJ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	177.1 s	181 s	47.7 	53.6 	68.5 	71.5 	76.9 	88.8 	: 
A,C20,NETDOM_EUSE_EP,TJ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	295767.6 	293139.5 	308582.1 	304393.7 	294321 	287883.1 	299102.7 	297598.9 	: 
A,C20,NETDOM_EUSE_EP,TJ,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72968.1 	71322.5 	69793.9 	70234.6 	72727.5 	74269.1 	70677.4 	69392.5 	72741.8 	74890.3 	78718.6 	76585.7 	72093.1 
A,C20,NETDOM_EUSE_EP,TJ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103516.1 	98557.4 	109549.1 	113612.8 	120449.6 	129464.4 	129567 	132309.2 	: 
A,C20,NETDOM_EUSE_EP,TJ,PT	11671.9 	17598.6 	16693.8 	17845.9 	17168.5 	13278.9 	17484.7 	21267.8 	18942.3 	19459.7 	23250.5 	23146.9 	21138.3 	20416.5 	15962 	15702.8 	16157 	16996.2 	19293.7 	19672.1 	16026.4 	18637.9 	: 
A,C20,NETDOM_EUSE_EP,TJ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62680.6 	54063.3 	47740.7 	49950 	52697.6 	53648.2 	53002.4 	55857.5 	: 
A,C20,NETDOM_EUSE_EP,TJ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23807.8 	26411.5 	24953.7 	22505.3 	15311.2 	13591.2 	: 
A,C20,NETDOM_EUSE_EP,TJ,SE	: 	: 	: 	: 	: 	: 	: 	: 	32861.8 	26591.3 	32358.7 	33254.2 	34270.6 	34677.7 	30285.8 	30893.9 	29319.6 	28453.6 	29805.9 	27566.3 	28409.7 	28632.7 	: 
A,C20,NETDOM_EUSE_EP,TJ,SI	: 	: 	: 	: 	: 	: 	: 	: 	5375.4 	5242.2 	5653.8 	5049.5 	4703.1 	4597.7 	4077.4 	4050.7 	3942.6 	3894.9 	3741.6 	3713.2 	4609.9 	4855.3 	: 
A,C20,NETDOM_EUSE_EP,TJ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12405.3 	12373.7 	13277.5 	16581.4 	13208.1 	12170.9 	12115.7 	12821.4 	: 
A,C20,NETDOM_EUSE_EP,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	135462.9 	158058 	157697.9 	154345.7 	197726.6 	: 
A,C20,NETDOM_EUSE_NEP,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.9 	: 	: 
A,C20,NETDOM_EUSE_NEP,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52558.5 	54241.2 	53047.4 	53268.3 	46371.7 	52153.3 	63715.2 	64805.5 	66506.3 	: 
A,C20,NETDOM_EUSE_NEP,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	261686.4 	220082 	267529.1 	270172.1 	247387.7 	246168.1 	248357.8 	269641.9 	268761.3 	263260.8 	279511.6 	303129 	298648.8 	294239.2 	: 
A,C20,NETDOM_EUSE_NEP,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11112 	12935.3 	13727.6 	13207.8 	9407.2 	6726.2 	6974 	7324.9 	: 
A,C20,NETDOM_EUSE_NEP,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,NETDOM_EUSE_NEP,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	0.5 	0.5 	0.5 	0.5 	1.2 	1.4 	1.4 	: 
A,C20,NETDOM_EUSE_NEP,TJ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90551.9 	67021.9 	45838.6 	95125.1 	89574.4 	92148.9 	69916.1 	85289.2 	: 
A,C20,NETDOM_EUSE_NEP,TJ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	903373.9 	883802.8 	857214.3 	858923 	866814.9 	837080 	790301.4 	872083.3 	836747.5 	818416.9 	829196.4 	876290.1 	: 
A,C20,NETDOM_EUSE_NEP,TJ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	193.5 	173.3 	280.5 	227.4 	0 	272.3 	305.6 	364.8 	: 
A,C20,NETDOM_EUSE_NEP,TJ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	0.4 	0 	0 	0 	0 	0 	0 	: 
A,C20,NETDOM_EUSE_NEP,TJ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18426 	16707.3 	12598.1 	21318.8 	24580.1 	24952.8 	20821.3 	19318.3 	: 
A,C20,NETDOM_EUSE_NEP,TJ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111556.5 	116839.8 	145199.1 	149664.2 	150604.5 	153438.9 	180480.6 	158311 	: 
A,C20,NETDOM_EUSE_NEP,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2949770.9 s	2892024.5 s	2859503.1 	3201666.6 	3058521.5 	3033804.7 	3038685.6 	3101289.4 	: 
A,C20,NETDOM_EUSE_NEP,TJ,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32529.1 	31064.6 	47004.4 	48268.7 	43777 	46175.8 	44009.8 	46166.9 	46249.4 	48279.9 	42455.8 	: 
A,C20,NETDOM_EUSE_NEP,TJ,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	454414.8 	436194.8 	410072.1 	439077.6 	399159.7 	412539.4 	388652.3 	407302.7 	: 
A,C20,NETDOM_EUSE_NEP,TJ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17539.2 	17309 	16325 	17514.4 	15203.4 	17800.4 	16906.5 	11454.3 	: 
A,C20,NETDOM_EUSE_NEP,TJ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65374.3 	69824.2 	68933.2 	82278.3 	81622.3 	76787.3 	79509.1 	87208.6 	: 
A,C20,NETDOM_EUSE_NEP,TJ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,NETDOM_EUSE_NEP,TJ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	0.7 	3.4 	8 	659.4 	7.5 	391.2 	436 	: 
A,C20,NETDOM_EUSE_NEP,TJ,IT	: 	: 	: 	: 	: 	: 	: 	: 	234608.6 	204435.4 	217660.7 	202063.5 	181254.3 	144583.3 	181908.9 	149857.2 	157739.1 	270406.5 	245829 	201636.2 	180439.3 	210025.6 	: 
A,C20,NETDOM_EUSE_NEP,TJ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38320.4 	42153.4 	38537 	44305 	39110 	43427 	40553 	35743 	: 
A,C20,NETDOM_EUSE_NEP,TJ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.1 	7 	7.6 	6 	3.6 	4.1 	3.9 	3.9 	: 
A,C20,NETDOM_EUSE_NEP,TJ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40.7 	43.2 	43.4 	42 	42.3 	42.7 	48.9 	43 	46.4 	48.7 	56.2 	53.6 	: 
A,C20,NETDOM_EUSE_NEP,TJ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7 	0.4 	0.4 	0.3 	: 
A,C20,NETDOM_EUSE_NEP,TJ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 	0 	0 	0 	0 	0 	: 
A,C20,NETDOM_EUSE_NEP,TJ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	450842.1 	478853.4 	505585.5 	538912.9 	507287.9 	472719.5 	515442 	504035.4 	: 
A,C20,NETDOM_EUSE_NEP,TJ,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57036.2 	57974.8 	52990.2 	59655.9 	59605.5 	63652.2 	56909.8 	59428.6 	62413.3 	63509.9 	61014.5 	57450.8 	45103.8 
A,C20,NETDOM_EUSE_NEP,TJ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138571.6 	157193.5 	165151.9 	170959.2 	158632.5 	165368.6 	172114 	150561.7 	: 
A,C20,NETDOM_EUSE_NEP,TJ,PT	73928.3 	57413.1 	62137.4 	70217.9 	78558.8 	75710.2 	62534.4 	76659.5 	62826 	43477.1 	55711.6 	57902.9 	42677 	46553.5 	52297.2 	45989.1 	38170.1 	38317.5 	20220.6 	38404.3 	39121.2 	40058 	: 
A,C20,NETDOM_EUSE_NEP,TJ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34577.7 	12907.7 	11517.2 	14898.5 	15737.3 	15996.7 	18818.1 	16747.7 	: 
A,C20,NETDOM_EUSE_NEP,TJ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26160.3 	27391.5 	21887.9 	18354.2 	21922.3 	19433.3 	: 
A,C20,NETDOM_EUSE_NEP,TJ,SE	: 	: 	: 	: 	: 	: 	: 	: 	36382 	26508.8 	37066.5 	35214.8 	32270.6 	39228.7 	37430.2 	33432 	41760.7 	46498.3 	48802.2 	47945.8 	28750 	47608.8 	: 
A,C20,NETDOM_EUSE_NEP,TJ,SI	: 	: 	: 	: 	: 	: 	: 	: 	3773.1 	3702 	3351.2 	376.4 	325.9 	321.5 	253 	310.5 	313.7 	299.9 	374.9 	368.4 	351.2 	378.2 	: 
A,C20,NETDOM_EUSE_NEP,TJ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28667.6 	30725.3 	29190 	32880.1 	37745.6 	31707.5 	38539.1 	40006.6 	: 
A,C20,NETDOM_EUSE_NEP,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47912.1 	38482.9 	108714.8 	131306.3 	114315.7 	: 
A,C20,NRG_INP_OUT,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1243.9 	: 	: 
A,C20,NRG_INP_OUT,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100170.8 	108530.8 	109738.3 	108908.7 	100338 	104931 	119687.9 	116132 	124002 	: 
A,C20,NRG_INP_OUT,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	467232.8 	415420 	491482.4 	491369.3 	461640 	461944.3 	459460 	487743.7 	482701.3 	481466.3 	496480.3 	515397.6 	515829 	516123.1 	: 
A,C20,NRG_INP_OUT,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46485.8 	50564.5 	50469.4 	54453.1 	50615.1 	47011.5 	43993 	49660.2 	: 
A,C20,NRG_INP_OUT,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	25070.4 	22474.8 	21815.4 	22947.8 	26551.9 	26521.6 	22531.6 	22521.7 	23648.1 	23134 	23585.2 	24082.8 	24556 	25992.6 	: 
A,C20,NRG_INP_OUT,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234.4 	284.5 	299.7 	312.1 	261.4 	250.4 	244.4 	217.4 	: 
A,C20,NRG_INP_OUT,TJ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	164695 	137390.9 	123958.6 	175363.6 	174178.8 	178106.2 	149205.9 	167300.9 	: 
A,C20,NRG_INP_OUT,TJ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2131024.6 	2124563.9 	1909929.8 	1899034.3 	1934926 	1906040.4 	1875559.4 	2027142.8 	1898528.6 	1903589 	1896925.3 	1992151.5 	: 
A,C20,NRG_INP_OUT,TJ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7530.4 	8036.2 	8562.8 	8512.1 	8599.9 	8424.8 	9049.4 	8864.5 	8055.8 	8334.3 	8532.3 	9832.8 	: 
A,C20,NRG_INP_OUT,TJ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7534.2 	6879.8 	5340.9 	10495.6 	12572.9 	11423.4 	11258.1 	11458 	: 
A,C20,NRG_INP_OUT,TJ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31999.8 	31566.3 	25178.6 	32388.8 	36016.8 	36561.5 	31974.9 	30024.4 	: 
A,C20,NRG_INP_OUT,TJ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	332442.3 	308869.6 	345271.1 	368341.1 	373649.1 	387037.2 	402463.1 	384991.6 	: 
A,C20,NRG_INP_OUT,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6435306.9 s	6345832.8 s	6343286.8 	6844538 	6623302.8 	6628469.4 	6607147.6 	6783840.3 	: 
A,C20,NRG_INP_OUT,TJ,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92947.4 	92871.3 	115036.7 	115979.3 	113366.8 	106249.7 	108822.1 	114627.9 	117557.6 	116413.8 	124108.6 	: 
A,C20,NRG_INP_OUT,TJ,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	890035 	852643.3 	822316.9 	831305.9 	797481.1 	817932.8 	777030.4 	774003.3 	: 
A,C20,NRG_INP_OUT,TJ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24386.4 	20400.8 	18790.1 	20465.1 	17734.5 	20597.7 	20179.1 	14422.2 	: 
A,C20,NRG_INP_OUT,TJ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132304.6 	142814.3 	139544.8 	155841.2 	157546.3 	152747.2 	155709.1 	168016.6 	: 
A,C20,NRG_INP_OUT,TJ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5925.5 	6215.9 	5943.7 	5875.3 	5915.7 	6436.5 	6669.4 	7134.4 	: 
A,C20,NRG_INP_OUT,TJ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	237.2 	285.5 	308 	320.1 	1012.6 	345.4 	763.9 	782.2 	: 
A,C20,NRG_INP_OUT,TJ,IT	: 	: 	: 	: 	: 	: 	: 	: 	598907.1 	571247.1 	605140.6 	558144.3 	480745.3 	471785.2 	455076.3 	422520.9 	432314.9 	581583.7 b	558031 	496109.5 	482358.1 	546147.4 b	: 
A,C20,NRG_INP_OUT,TJ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60013.2 	62263.5 	57543 	80304 	75031 	80714 	63242 	65569 	: 
A,C20,NRG_INP_OUT,TJ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	599.8 	581.8 	638.7 	461.7 	272.1 	337.7 	240.7 	538.7 	: 
A,C20,NRG_INP_OUT,TJ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3367.7 	3588 	4847.6 	3842.5 	4386.3 	3741.2 	3359.5 	4121.3 	5171.3 	4515.8 	4531.8 	4213.4 	: 
A,C20,NRG_INP_OUT,TJ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	326.1 	325.1 	386.3 	386.9 	: 
A,C20,NRG_INP_OUT,TJ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	222.7 s	217.6 s	75.8 	64.3 	68.5 	71.5 	76.9 	88.8 	: 
A,C20,NRG_INP_OUT,TJ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	981836.9 	1025482.8 	1078962.4 	1125613.4 	1080541.7 	1043228.3 	1126645.3 	1112786.5 	: 
A,C20,NRG_INP_OUT,TJ,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	161938.2 	166161 	153122 	158646.5 	160926.1 	165728.5 	155104.1 	159855.6 	168159.4 	172023.3 	173475.3 	164191.9 	142250.9 
A,C20,NRG_INP_OUT,TJ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	301020.9 	319204 	341719.2 	352427.2 	344381.2 	363716.2 	371977.6 	345620.4 	: 
A,C20,NRG_INP_OUT,TJ,PT	85600.2 	75011.7 	78831.2 	88063.7 	95727.2 	88995 	83408.9 	104714.9 	88005.5 	72388.2 	90850.5 	94749.3 	75805.8 	78854.6 	89552.2 	82831.5 	75415.9 	79009.9 	63122.7 	80646.5 	77109.1 	80300.7 	: 
A,C20,NRG_INP_OUT,TJ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122743.1 	89777.4 	69082.5 	75279.3 	79180.2 	81084 	85066.9 	83639.1 	: 
A,C20,NRG_INP_OUT,TJ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57609.6 	62178.7 	55427.1 	48415.7 	46799.3 	42618.1 	: 
A,C20,NRG_INP_OUT,TJ,SE	: 	: 	: 	: 	: 	: 	: 	: 	97343.8 	78655.3 	97236.7 	94696.5 	89478.2 	100631.3 	94608.6 	87112.7 	96274.7 	84573 	90247.2 	84786.6 	64866.8 	88970.5 	: 
A,C20,NRG_INP_OUT,TJ,SI	: 	: 	: 	: 	: 	: 	: 	: 	9475.1 	9265.5 	9749.9 	5462.5 	5083.9 	4998.4 	4370.4 	4405.2 	4299.9 	4233.9 	4152.6 	4081.6 	4999.5 	5279.1 	: 
A,C20,NRG_INP_OUT,TJ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57337.5 	64750.4 	64017.9 	75391.2 	74508 	66506.8 	73472.9 	77239.6 	: 
A,C20,NRG_INP_OUT,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	288841.2 	290689.7 	339900.1 	326962.4 	386295.3 	: 
A,C20,WST_USE,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,C20,WST_USE,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2915.2 	3075.3 	3030.4 	3352.6 	3141.5 	3391.2 	2820.3 	3291.4 	2957.3 	: 
A,C20,WST_USE,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	346.7 	371.8 	434.7 	535.6 	442.8 	455.2 	525.3 	496.3 	385.5 	352.3 	248.5 	253.1 	477.8 	489.8 	: 
A,C20,WST_USE,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	3748.7 	3391.1 	3816 	3571.6 	3973.6 	3616.5 	4089.3 	4433.6 	4473 	4366.8 	4467.7 	4735.1 	4637.6 	4739.1 	: 
A,C20,WST_USE,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	119 	121 	136.2 	143.9 	142.2 	141.1 	132.6 	: 
A,C20,WST_USE,TJ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33029.2 	64043.6 	47484.4 	27957.5 	37741 	37121.4 	41475.3 	42449.3 	34513.1 	34235.3 	28081 	35900.2 	: 
A,C20,WST_USE,TJ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.2 	16 	15.4 	30.1 	3.9 	4.6 	4.3 	2.6 	: 
A,C20,WST_USE,TJ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	1984.6 	823.6 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109842.2 s	110771.1 s	104940.7 	137953.4 	127103.2 	135110.1 	123806.1 	135370.4 	: 
A,C20,WST_USE,TJ,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102.3 	763.4 	744.1 	734.5 	711.5 	665.5 	769.2 	768.5 	714.1 	880 	917.1 	: 
A,C20,WST_USE,TJ,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	297.5 	178.5 	225.2 	398.9 	279.8 	257.4 	311.8 	280.6 	: 
A,C20,WST_USE,TJ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	10 	17 	14 	15 	11 	32 	57 	: 
A,C20,WST_USE,TJ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1011.6 	1017.5 	1022.1 	1188.4 	1412.6 	1913.5 	2405.7 	2841.6 	: 
A,C20,WST_USE,TJ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,IT	: 	: 	: 	: 	: 	: 	: 	: 	384.9 	547.1 	882.4 	1076.3 	957.8 	730.3 	824.4 	765.3 	852 	815.1 	809.6 	721.9 	779.5 	674 	: 
A,C20,WST_USE,TJ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	11765 	11272 	11034 	8160 	8663 	: 
A,C20,WST_USE,TJ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 	0 	0 	0 	0 	0 	: 
A,C20,WST_USE,TJ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64108.9 	63542.9 	53874 	74128 	72046.7 	81254.7 	78265.9 	81688.9 	: 
A,C20,WST_USE,TJ,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2705.5 	6028.3 	4645.1 	3249.3 	1548.5 	1221 	3204.4 	4965.2 	4722.2 	4290.4 	3937.3 	3830.6 	3271.3 
A,C20,WST_USE,TJ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	656.1 	567.6 	646.2 	1489.8 	735.7 	392.9 	330.1 	27.5 	: 
A,C20,WST_USE,TJ,PT	0 	0 	0 	0 	0 	0.7 	0 	1 	1 	1 	18.6 	28.3 	50.7 	69.1 	35.1 	31.1 	3.9 	3.9 	5.9 	40.1 	13.3 	33.1 	: 
A,C20,WST_USE,TJ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	758.4 	685 	644.3 	596.7 	784.2 	673.4 	10.7 	62.5 	: 
A,C20,WST_USE,TJ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.3 	10.5 	28 	27.4 	12.4 	11.9 	: 
A,C20,WST_USE,TJ,SE	: 	: 	: 	: 	: 	: 	: 	: 	0 	0.3 	14.2 	0.3 	0.3 	0.3 	0 	0 	0 	0 	0 	0 	0 	0.1 	: 
A,C20,WST_USE,TJ,SI	: 	: 	: 	: 	: 	: 	: 	: 	100.4 	47.6 	84.3 	38.6 	11.6 	24.6 	44 	44.7 	33 	26.9 	36 	45 	107.9 	113 	: 
A,C20,WST_USE,TJ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	449.4 	784.1 	648.3 	636.7 	596.7 	513.6 	529.4 	: 
A,C20,WST_USE,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	1172.3 	376.8 	125.6 	134.9 	: 
A,C21,EPRD_DOM,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,C21,EPRD_DOM,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C21,EPRD_DOM,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	37.4 	37.1 	32.8 	24.8 	40.2 	51.6 	58.8 	51.4 	59.2 	55 	60 	117.8 	123.7 	68.4 	: 
A,C21,EPRD_DOM,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	23.8 	41.4 	0 	4.6 	240.6 	461.8 	: 
A,C21,EPRD_DOM,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,C21,EPRD_DOM,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
