freq,nace_r2,indic_pefa,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,A,EPRD_DOM,TJ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	208772 	227209 	220400 	212690.7 	210815.9 	328396.6 	317158 	319752.5 	: 
A,A,EPRD_DOM,TJ,PT	77484 	77031 	78591 	79902 	81695 	83581 	83277 	85741 	83673 	88620 	80723 	82689 	67999 	70191 	70819 	67805 	65442 	65140.1 	66741 	73769.5 	77444.1 	79250.2 	: 
A,A,EPRD_DOM,TJ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	147352 	142215.2 	142406.7 	141112.3 	136018.8 	136821.9 	134593.7 	143059.1 	: 
A,A,EPRD_DOM,TJ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46297.4 	45735.3 	47453.6 	49758.4 	68192.1 	68034.6 	: 
A,A,EPRD_DOM,TJ,SE	: 	: 	: 	: 	: 	: 	: 	: 	83292.5 	96512.5 	100975.5 	86708 	89419.6 	88610.6 	77646.5 	75011.7 	80696.9 	81740.2 	79541.9 	76262.7 	68022.6 	87781.9 	: 
A,A,EPRD_DOM,TJ,SI	: 	: 	: 	: 	: 	: 	: 	: 	29141 	26835 	27488 	27394 	26180 	27362 	24137 	26969 	27039 	26194.7 	23410.5 	22850.1 	22750.1 	25186.1 	: 
A,A,EPRD_DOM,TJ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17355 	24090 	21271 	21094 	25138 	45765 	42015 	46982 	: 
A,A,EPRD_DOM,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102223.7 	71642.7 	79789.7 	87200.6 	96177.5 	: 
A,A,EPRD_HHCNS,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,A,EPRD_ICNS,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6595.6 	: 	: 
A,A,EPRD_ICNS,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22881.4 	22029.5 	22301.7 	22843.6 	23089.9 	22174 	22000.7 	22085.3 	24042.5 	: 
A,A,EPRD_ICNS,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	33590.9 	37757.3 	42502.1 	36561.1 	38350.9 	40139.9 	37352.8 	41529.7 	42115.8 	42105.4 	44569.8 	50717.2 	53499.4 	52830 	: 
A,A,EPRD_ICNS,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12915.7 	13268 	13186.5 	13069 	13890.4 	13543.4 	13353.5 	14907.2 	: 
A,A,EPRD_ICNS,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	15673 	16869.9 	16256 	16299.7 	16621 	17399.8 	17706.8 	18307.5 	18906.6 	18627.8 	17985.7 	18577.4 	18383.9 	18234.8 	: 
A,A,EPRD_ICNS,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1698.3 	1848.4 	1968.4 	2027.6 	1988.1 	2035.3 	2113 	2136.9 	: 
A,A,EPRD_ICNS,TJ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46329.3 	46360.7 	50487.6 	49593.1 	49222.5 	48665.7 	53449.8 	55985 	: 
A,A,EPRD_ICNS,TJ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	364872.9 	420454.7 	333673.2 	349649.8 	358291.5 	378424.5 	385625.9 	389356 	335843.3 	330203.6 	338296.8 	330868.6 	: 
A,A,EPRD_ICNS,TJ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39322.1 	38600 	35802.3 	35537.7 	34177.5 	35032.4 	34836.4 	33644.1 	33108.5 	32793.1 	32114.6 	32580.4 	: 
