freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,DED	8.5 	7.9 	7.2 	8.6 
A,CVA,LCA,DED2	12.4 	12.1 	11.1 	14.6 
A,CVA,LCA,DED4	15.7 	14.2 	13.1 	10 
A,CVA,LCA,DED5	17.6 	15.7 	13.9 	18.7 
A,CVA,LCA,DEE	10.6 	9.9 	9.1 	14.8 
A,CVA,LCA,DEE0	10.6 	9.9 	9.1 	14.8 
A,CVA,LCA,DEF	11.2 	9.9 	9.1 	16.2 
A,CVA,LCA,DEF0	11.2 	9.9 	9.1 	16.2 
A,CVA,LCA,DEG	12 	10.6 	10.2 	9.5 
A,CVA,LCA,DEG0	12 	10.6 	10.2 	9.5 
A,CVA,LCA,DK	6.4 	5.6 	5.4 	5.3 
A,CVA,LCA,DK0	6.4 	5.6 	5.4 	5.3 
A,CVA,LCA,DK01	14.6 	12.7 	12.6 	14.1 
A,CVA,LCA,DK02	15.4 	14.2 	13.6 	11.4 
A,CVA,LCA,DK03	12 	10.7 	10.3 	9.5 
A,CVA,LCA,DK04	14.1 	11.9 	11.8 	12.2 
A,CVA,LCA,DK05	16.5 	14.2 	12.8 	13.5 
A,CVA,LCA,EE	12.2 	12.2 	11 	9.2 
A,CVA,LCA,EE0	12.2 	12.2 	11 	9.2 
A,CVA,LCA,EE00	12.2 	12.2 	11 	9.2 
A,CVA,LCA,EL	5 	4.6 	4.1 	5.2 
A,CVA,LCA,EL3	9.3 	9 	8.4 	8.9 
A,CVA,LCA,EL30	9.3 	9 	8.4 	8.9 
A,CVA,LCA,EL4	25.2 	12.3 	11 	12.1 
A,CVA,LCA,EL41	: 	34.3 	30.2 	20.2 
A,CVA,LCA,EL42	: 	25.9 	20.5 	18.7 
A,CVA,LCA,EL43	15.8 	15.1 	14.6 	21.7 
A,CVA,LCA,EL5	8.5 	8.4 	7.6 	8.3 
A,CVA,LCA,EL51	17.4 	16.7 	14.6 	14.9 
A,CVA,LCA,EL52	12.5 	12.2 	11.2 	12 
A,CVA,LCA,EL53	24 	24.2 	22.9 	25.4 
A,CVA,LCA,EL54	23.4 	23.5 	20.9 	20.4 
A,CVA,LCA,EL6	8 	7.8 	6.9 	9.8 
A,CVA,LCA,EL61	16.6 	17 	14.9 	13.8 
