A,A1000,PC_LSU,DE6	: 	33.7 	31.1 	32.4 	: 
A,A1000,PC_LSU,DE60	: 	: 	: 	: 	30.9 
A,A1000,PC_LSU,DE7	4.2 	4.5 	4.5 	4.9 	: 
A,A1000,PC_LSU,DE71	: 	: 	: 	: 	12.0 
A,A1000,PC_LSU,DE72	: 	: 	: 	: 	5.2 
A,A1000,PC_LSU,DE73	: 	: 	: 	: 	2.4 
A,A1000,PC_LSU,DE8	1.7 	1.9 	1.6 	1.5 	: 
A,A1000,PC_LSU,DE80	: 	: 	: 	: 	1.3 
A,A1000,PC_LSU,DE9	1.5 	1.6 	1.3 	1.0 	: 
A,A1000,PC_LSU,DE91	: 	: 	: 	: 	5.4 
A,A1000,PC_LSU,DE92	: 	: 	: 	: 	1.9 
A,A1000,PC_LSU,DE93	: 	: 	: 	: 	1.8 
A,A1000,PC_LSU,DE94	: 	: 	: 	: 	0.5 
A,A1000,PC_LSU,DEA	2.8 	2.6 	2.2 	2.3 	: 
A,A1000,PC_LSU,DEA1	: 	: 	: 	: 	3.6 
A,A1000,PC_LSU,DEA2	: 	: 	: 	: 	6.9 
A,A1000,PC_LSU,DEA3	: 	: 	: 	: 	1.0 
A,A1000,PC_LSU,DEA4	: 	: 	: 	: 	1.5 
A,A1000,PC_LSU,DEA5	: 	: 	: 	: 	3.3 
A,A1000,PC_LSU,DEB	4.5 	4.3 	4.0 	4.2 	: 
A,A1000,PC_LSU,DEB1	: 	: 	: 	: 	4.2 
A,A1000,PC_LSU,DEB2	: 	: 	: 	: 	1.7 
A,A1000,PC_LSU,DEB3	: 	: 	: 	: 	6.1 
A,A1000,PC_LSU,DEC	8.3 	8.6 	9.4 	9.8 	: 
A,A1000,PC_LSU,DEC0	: 	: 	: 	: 	9.1 
A,A1000,PC_LSU,DED	1.7 	1.5 	1.5 	1.4 	: 
A,A1000,PC_LSU,DED2	: 	: 	: 	: 	1.3 
A,A1000,PC_LSU,DED4	: 	: 	: 	: 	1.5 
A,A1000,PC_LSU,DED5	: 	: 	: 	: 	1.0 
A,A1000,PC_LSU,DEE	0.8 	1.1 	0.9 	0.8 	: 
A,A1000,PC_LSU,DEE0	: 	: 	: 	: 	0.9 
A,A1000,PC_LSU,DEF	3.1 	3.0 	2.6 	2.8 	: 
A,A1000,PC_LSU,DEF0	: 	: 	: 	: 	2.2 
A,A1000,PC_LSU,DEG	1.6 	1.5 	1.4 	1.3 	: 
A,A1000,PC_LSU,DEG0	: 	: 	: 	: 	1.3 
A,A1000,PC_LSU,DK	0.9 	0.9 	1.0 	1.1 	1.0 
A,A1000,PC_LSU,DK01	5.4 	5.5 	5.7 	6.8 	5.5 
A,A1000,PC_LSU,DK02	1.6 	1.7 	1.7 	2.2 	1.8 
A,A1000,PC_LSU,DK03	0.7 	0.7 	0.7 	0.7 	0.6 
A,A1000,PC_LSU,DK04	0.7 	0.7 	0.8 	0.9 	0.8 
