freq,unit,landuse,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LUA,ES22	2.3 	2.8 	2.7 	3.1 
A,CVA,LUA,ES23	2.7 	4 	4.2 	8.6 
A,CVA,LUA,ES24	0.9 	1.3 	1.3 	2.1 
A,CVA,LUA,ES3	2.6 	3.9 	3.7 	4.9 
A,CVA,LUA,ES30	2.6 	3.9 	3.7 	4.9 
A,CVA,LUA,ES4	0.3 	0.5 	0.5 	1.5 
A,CVA,LUA,ES41	0.6 	0.7 	0.8 	2.1 
A,CVA,LUA,ES42	0.6 	0.8 	0.8 	2.1 
A,CVA,LUA,ES43	0.6 	0.9 	0.9 	5.1 
A,CVA,LUA,ES5	1 	1.4 	1.5 	3.2 
A,CVA,LUA,ES51	1.5 	2 	2 	3.3 
A,CVA,LUA,ES52	1.6 	2.3 	2.4 	6.8 
A,CVA,LUA,ES53	4.1 	5 	4.7 	7.6 
A,CVA,LUA,ES6	0.6 	0.7 	0.8 	5.3 
A,CVA,LUA,ES61	0.6 	0.7 	0.8 	6 
A,CVA,LUA,ES62	1.9 	2.7 	2.8 	3.7 
A,CVA,LUA,EU27_2007	: 	0.2 	0.2 	0.4 
A,CVA,LUA,EU27_2020	: 	: 	0.2 	0.4 
A,CVA,LUA,EU28	: 	: 	0.2 	0.4 
A,CVA,LUA,EU_V	0.1 	0.2 	0.2 	0.4 
A,CVA,LUA,FI	1.5 	1.8 	1.8 	1.3 
A,CVA,LUA,FI1	1.5 	1.8 	1.8 	1.3 
A,CVA,LUA,FI19	2.6 	3 	2.8 	2 
A,CVA,LUA,FI1B	4.8 	5.5 	5.2 	3.1 
A,CVA,LUA,FI1C	2.7 	3.1 	2.9 	2.1 
A,CVA,LUA,FI1D	3 	3.6 	3.9 	3.2 
A,CVA,LUA,FI2	: 	18.1 	22.2 	13.6 
A,CVA,LUA,FI20	: 	18.1 	22.2 	13.6 
A,CVA,LUA,FR	0.3 	0.3 	0.3 	0.6 
A,CVA,LUA,FR1	2.2 	2.2 	2.2 	5.6 
A,CVA,LUA,FR10	2.2 	2.2 	2.2 	5.6 
A,CVA,LUA,FR2	0.5 	0.5 	0.5 	: 
A,CVA,LUA,FR21	1.2 	1.2 	1.2 	: 
A,CVA,LUA,FR22	1.2 	1.1 	1.2 	: 
A,CVA,LUA,FR23	1.7 	1.7 	1.7 	: 
A,CVA,LUA,FR24	1 	1 	1 	: 
A,CVA,LUA,FR25	1.3 	1.2 	1.2 	: 
A,CVA,LUA,FR26	1.2 	1.1 	1.2 	: 
A,CVA,LUA,FR3	1.6 	1.6 	1.6 	: 
A,CVA,LUA,FR30	1.6 	1.6 	1.6 	: 
A,CVA,LUA,FR4	1.2 	1.2 	1.2 	: 
A,CVA,LUA,FR41	1.6 	1.6 	1.6 	: 
A,CVA,LUA,FR42	3.1 	3.1 	3.1 	: 
A,CVA,LUA,FR43	2.2 	2.1 	2.2 	: 
A,CVA,LUA,FR5	0.6 	0.7 	0.6 	: 
A,CVA,LUA,FR51	1.1 	1.1 	1 	: 
A,CVA,LUA,FR52	1.2 	1.2 	1.2 	: 
A,CVA,LUA,FR53	1.1 	1.1 	1 	: 
A,CVA,LUA,FR6	0.8 	0.8 	0.9 	: 
A,CVA,LUA,FR61	1.6 	1.6 	1.6 	: 
A,CVA,LUA,FR62	1 	1.1 	1.1 	: 
A,CVA,LUA,FR63	2 	2 	2 	: 
A,CVA,LUA,FR7	0.9 	1.1 	1.1 	: 
A,CVA,LUA,FR71	1.3 	1.6 	1.7 	: 
A,CVA,LUA,FR72	1.3 	1.3 	1.4 	: 
A,CVA,LUA,FR8	1.2 	1.7 	1.8 	: 
A,CVA,LUA,FR81	1.9 	2.2 	2.4 	: 
A,CVA,LUA,FR82	1.9 	2.8 	3 	: 
A,CVA,LUA,FR83	3.7 	8 	9.2 	: 
A,CVA,LUA,FRB	: 	: 	: 	1 
A,CVA,LUA,FRB0	: 	: 	: 	1 
A,CVA,LUA,FRC	: 	: 	: 	1.9 
A,CVA,LUA,FRC1	: 	: 	: 	1.7 
A,CVA,LUA,FRC2	: 	: 	: 	5.2 
A,CVA,LUA,FRD	: 	: 	: 	2.3 
A,CVA,LUA,FRD1	: 	: 	: 	1.9 
A,CVA,LUA,FRD2	: 	: 	: 	5.2 
A,CVA,LUA,FRE	: 	: 	: 	1.9 
A,CVA,LUA,FRE1	: 	: 	: 	1.7 
A,CVA,LUA,FRE2	: 	: 	: 	3 
A,CVA,LUA,FRF	: 	: 	: 	1.5 
A,CVA,LUA,FRF1	: 	: 	: 	3.4 
A,CVA,LUA,FRF2	: 	: 	: 	2.2 
A,CVA,LUA,FRF3	: 	: 	: 	2.6 
A,CVA,LUA,FRG	: 	: 	: 	1.5 
A,CVA,LUA,FRG0	: 	: 	: 	1.5 
A,CVA,LUA,FRH	: 	: 	: 	1.6 
A,CVA,LUA,FRH0	: 	: 	: 	1.6 
A,CVA,LUA,FRI	: 	: 	: 	1.5 
A,CVA,LUA,FRI1	: 	: 	: 	2.9 
A,CVA,LUA,FRI2	: 	: 	: 	4.5 
A,CVA,LUA,FRI3	: 	: 	: 	1.4 
A,CVA,LUA,FRJ	: 	: 	: 	2.7 
A,CVA,LUA,FRJ1	: 	: 	: 	6.6 
A,CVA,LUA,FRJ2	: 	: 	: 	2.7 
A,CVA,LUA,FRK	: 	: 	: 	1.6 
A,CVA,LUA,FRK1	: 	: 	: 	1.8 
A,CVA,LUA,FRK2	: 	: 	: 	2.6 
A,CVA,LUA,FRL	: 	: 	: 	4.9 
A,CVA,LUA,FRL0	: 	: 	: 	4.9 
A,CVA,LUA,FRM	: 	: 	: 	15.3 
A,CVA,LUA,FRM0	: 	: 	: 	15.3 
A,CVA,LUA,HR	: 	: 	2.1 	3.1 
A,CVA,LUA,HR0	: 	: 	2.1 	3.1 
A,CVA,LUA,HR03	: 	: 	5.6 	10.8 
A,CVA,LUA,HR04	: 	: 	2.2 	2.8 
A,CVA,LUA,HU	0.7 	0.8 	0.8 	1 
A,CVA,LUA,HU1	3.4 	4.3 	4.2 	3.6 
A,CVA,LUA,HU10	3.4 	4.3 	4.2 	: 
A,CVA,LUA,HU11	: 	: 	: 	30.7 
A,CVA,LUA,HU12	: 	: 	: 	3.6 
A,CVA,LUA,HU2	1.1 	1.3 	1.4 	1.5 
A,CVA,LUA,HU21	2.1 	2.4 	2.4 	2.9 
A,CVA,LUA,HU22	2 	2.4 	2.5 	2.4 
A,CVA,LUA,HU23	1.9 	2.2 	2.4 	2.6 
A,CVA,LUA,HU3	0.8 	1 	1 	1.4 
A,CVA,LUA,HU31	2 	2.4 	2.8 	3.3 
A,CVA,LUA,HU32	1.2 	1.6 	1.6 	2.4 
A,CVA,LUA,HU33	1.2 	1.5 	1.5 	2.1 
A,CVA,LUA,IE	0.7 	1.1 	1.1 	1.1 
A,CVA,LUA,IE0	0.7 	1.1 	1.1 	1.1 
A,CVA,LUA,IE01	1.1 	1.8 	1.8 	: 
A,CVA,LUA,IE02	1 	1.3 	1.3 	: 
A,CVA,LUA,IE04	: 	: 	: 	2.1 
A,CVA,LUA,IE05	: 	: 	: 	1.8 
A,CVA,LUA,IE06	: 	: 	: 	1.3 
A,CVA,LUA,IT	0.4 	0.5 	0.5 	1.2 
A,CVA,LUA,ITC	1 	1.4 	1.4 	2.3 
A,CVA,LUA,ITC1	1.4 	2 	2 	3.2 
A,CVA,LUA,ITC2	7.8 	18.4 	14.7 	23.2 
A,CVA,LUA,ITC3	8.1 	10.5 	12.5 	18.3 
A,CVA,LUA,ITC4	1.5 	1.9 	1.9 	3.4 
A,CVA,LUA,ITF	0.7 	0.9 	0.9 	1.6 
A,CVA,LUA,ITF1	2.3 	3.2 	3.2 	6.7 
A,CVA,LUA,ITF2	3.1 	4 	3.4 	8.4 
A,CVA,LUA,ITF3	2.1 	2.4 	2.6 	3.5 
A,CVA,LUA,ITF4	0.9 	1 	1 	2.2 
A,CVA,LUA,ITF5	2.2 	2.5 	2.5 	4.1 
A,CVA,LUA,ITF6	1.9 	2.7 	3 	4.4 
A,CVA,LUA,ITG	0.9 	1.1 	1.1 	3.9 
A,CVA,LUA,ITG1	1 	1.2 	1.3 	5.4 
A,CVA,LUA,ITG2	1.7 	2 	2 	5.3 
A,CVA,LUA,ITH	0.9 	1.1 	1.1 	3 
A,CVA,LUA,ITH1	3.6 	7.8 	6.7 	12.2 
A,CVA,LUA,ITH2	5.5 	9.6 	9.9 	17.7 
A,CVA,LUA,ITH3	1.5 	1.7 	1.7 	3 
A,CVA,LUA,ITH4	2.8 	3.6 	3.7 	3.9 
A,CVA,LUA,ITH5	1.4 	1.6 	1.5 	6 
A,CVA,LUA,ITI	1.1 	1.3 	1.3 	3.2 
A,CVA,LUA,ITI1	1.9 	2.1 	2.2 	5.2 
A,CVA,LUA,ITI2	2.9 	3.5 	3.5 	5.1 
A,CVA,LUA,ITI3	2.1 	2.6 	2.5 	6.9 
A,CVA,LUA,ITI4	2 	2.2 	2.3 	6.9 
A,CVA,LUA,LT	0.9 	1 	1 	1.1 
A,CVA,LUA,LT0	0.9 	1 	1 	1.1 
A,CVA,LUA,LT00	0.9 	1 	1 	: 
A,CVA,LUA,LT01	: 	: 	: 	3.7 
A,CVA,LUA,LT02	: 	: 	: 	1.2 
A,CVA,LUA,LU	4.4 	4.4 	4.5 	3.2 
A,CVA,LUA,LU0	4.4 	4.4 	4.5 	3.2 
A,CVA,LUA,LU00	4.4 	4.4 	4.5 	3.2 
A,CVA,LUA,LV	1.4 	1.6 	1.6 	1.8 
A,CVA,LUA,LV0	1.4 	1.6 	1.6 	1.8 
A,CVA,LUA,LV00	1.4 	1.6 	1.6 	1.8 
A,CVA,LUA,MT	: 	13.5 	12.2 	9.3 
A,CVA,LUA,MT0	: 	13.5 	12.2 	9.3 
A,CVA,LUA,MT00	: 	13.5 	12.2 	9.3 
A,CVA,LUA,NL	1.1 	1.3 	1.4 	1.1 
A,CVA,LUA,NL1	1.9 	2.4 	2.5 	1.7 
A,CVA,LUA,NL11	3.3 	3.7 	3.8 	3.1 
A,CVA,LUA,NL12	3 	3.9 	4.3 	2.6 
A,CVA,LUA,NL13	3.5 	4.9 	5 	3.4 
A,CVA,LUA,NL2	2.3 	2.4 	2.6 	2.1 
A,CVA,LUA,NL21	3.3 	3.6 	3.9 	2.8 
A,CVA,LUA,NL22	3.6 	3.5 	3.8 	3.8 
A,CVA,LUA,NL23	5.5 	5.8 	6.5 	4 
A,CVA,LUA,NL3	2.3 	2.9 	3.2 	1.9 
A,CVA,LUA,NL31	6.9 	7.9 	8.5 	3 
A,CVA,LUA,NL32	4.5 	5.7 	7.1 	3.5 
A,CVA,LUA,NL33	4.6 	5.8 	6.4 	4.3 
A,CVA,LUA,NL34	3.1 	4 	4.7 	3.3 
A,CVA,LUA,NL4	2.8 	3.3 	3.2 	3.7 
A,CVA,LUA,NL41	3.5 	4.1 	4 	4.8 
A,CVA,LUA,NL42	4.6 	5.6 	5.5 	5.3 
A,CVA,LUA,PL	0.5 	0.5 	0.5 	0.6 
A,CVA,LUA,PL1	1 	1.1 	1.2 	: 
A,CVA,LUA,PL11	1.7 	1.9 	2 	: 
A,CVA,LUA,PL12	1.3 	1.4 	1.5 	: 
A,CVA,LUA,PL2	1.9 	2.2 	2.3 	2.9 
A,CVA,LUA,PL21	2.3 	2.8 	2.8 	4.2 
A,CVA,LUA,PL22	3.2 	3.5 	3.8 	3.6 
A,CVA,LUA,PL3	0.9 	1 	1 	: 
A,CVA,LUA,PL31	1.3 	1.4 	1.5 	: 
A,CVA,LUA,PL32	2.3 	2.7 	2.8 	: 
A,CVA,LUA,PL33	2.4 	2.9 	2.7 	: 
A,CVA,LUA,PL34	1.7 	1.7 	1.8 	: 
A,CVA,LUA,PL4	1.1 	1.2 	1.2 	1.3 
A,CVA,LUA,PL41	1.3 	1.4 	1.4 	1.5 
A,CVA,LUA,PL42	2.1 	2.4 	2.2 	2.6 
A,CVA,LUA,PL43	3.2 	3.5 	3.5 	4.3 
A,CVA,LUA,PL5	1.4 	1.6 	1.6 	1.7 
A,CVA,LUA,PL51	1.7 	2.1 	2.2 	2.1 
A,CVA,LUA,PL52	2.2 	2.4 	2.4 	2.8 
A,CVA,LUA,PL6	1 	1.1 	1.2 	1.3 
A,CVA,LUA,PL61	1.5 	1.7 	1.7 	1.6 
A,CVA,LUA,PL62	1.7 	1.9 	2 	2.6 
A,CVA,LUA,PL63	2.1 	2.3 	2.3 	2.2 
A,CVA,LUA,PL7	: 	: 	: 	2.1 
A,CVA,LUA,PL71	: 	: 	: 	2.2 
A,CVA,LUA,PL72	: 	: 	: 	4.4 
A,CVA,LUA,PL8	: 	: 	: 	1.3 
A,CVA,LUA,PL81	: 	: 	: 	1.8 
A,CVA,LUA,PL82	: 	: 	: 	4 
A,CVA,LUA,PL84	: 	: 	: 	1.5 
A,CVA,LUA,PL9	: 	: 	: 	1.6 
A,CVA,LUA,PL91	: 	: 	: 	6.8 
A,CVA,LUA,PL92	: 	: 	: 	1.6 
A,CVA,LUA,PT	1 	1 	1.1 	2.6 
A,CVA,LUA,PT1	1 	1 	1.1 	2.6 
A,CVA,LUA,PT11	2 	2.5 	2.8 	6.7 
A,CVA,LUA,PT15	4.8 	4.8 	5.7 	12.3 
A,CVA,LUA,PT16	2.4 	2.5 	2.6 	5.4 
A,CVA,LUA,PT17	5.1 	6.1 	6.5 	7.2 
A,CVA,LUA,PT18	1.2 	1 	1.3 	3.6 
A,CVA,LUA,RO	: 	0.5 	0.5 	0.7 
A,CVA,LUA,RO1	: 	1 	1 	1.5 
A,CVA,LUA,RO11	: 	1.3 	1.3 	1.8 
A,CVA,LUA,RO12	: 	1.6 	1.5 	2.5 
A,CVA,LUA,RO2	: 	0.7 	0.8 	1.6 
A,CVA,LUA,RO21	: 	1.1 	1.2 	2.9 
A,CVA,LUA,RO22	: 	1 	1 	1.3 
A,CVA,LUA,RO3	: 	1 	0.9 	1.2 
A,CVA,LUA,RO31	: 	1 	1 	1.2 
A,CVA,LUA,RO32	: 	5.1 	5.5 	3.6 
A,CVA,LUA,RO4	: 	1 	1 	1.2 
A,CVA,LUA,RO41	: 	1.3 	1.3 	1.5 
A,CVA,LUA,RO42	: 	1.4 	1.5 	2 
A,CVA,LUA,SE	1.3 	1.6 	1.6 	3.9 
A,CVA,LUA,SE1	2.5 	3 	2.6 	6.7 
A,CVA,LUA,SE11	8.1 	10 	8.7 	8.9 
A,CVA,LUA,SE12	2.7 	3.1 	2.7 	7.5 
A,CVA,LUA,SE2	1.7 	2 	1.8 	5.2 
A,CVA,LUA,SE21	3.9 	4.4 	3.7 	6.1 
A,CVA,LUA,SE22	2.7 	3.1 	2.6 	3 
A,CVA,LUA,SE23	2.5 	3.1 	2.8 	10.8 
A,CVA,LUA,SE3	3.4 	4.2 	4.4 	6.7 
A,CVA,LUA,SE31	5.2 	5.9 	5.3 	8 
A,CVA,LUA,SE32	8.4 	9 	10.5 	9 
A,CVA,LUA,SE33	5.3 	8.1 	9.1 	16.2 
A,CVA,LUA,SI	3.8 	3.4 	3.5 	4.4 
A,CVA,LUA,SI0	3.8 	3.4 	3.5 	4.4 
A,CVA,LUA,SI03	4.7 	4.1 	4.1 	5 
A,CVA,LUA,SI04	6.7 	6.4 	6.7 	8.8 
A,CVA,LUA,SK	1.2 	1.5 	1.5 	1.4 
A,CVA,LUA,SK0	1.2 	1.5 	1.5 	1.4 
A,CVA,LUA,SK01	6.2 	7.9 	8.6 	5.5 
A,CVA,LUA,SK02	1.6 	1.9 	1.8 	1.7 
A,CVA,LUA,SK03	2.8 	3.4 	3.5 	3.9 
A,CVA,LUA,SK04	2.4 	2.9 	3 	3.1 
A,CVA,LUA,UK	0.4 	0.6 	0.6 	0.8 
A,CVA,LUA,UKC	2.2 	2.9 	3 	3.7 
A,CVA,LUA,UKC1	3.5 	5 	4.9 	6.4 
A,CVA,LUA,UKC2	2.8 	3.6 	3.7 	4.6 
A,CVA,LUA,UKD	1.7 	2.6 	2.6 	3.2 
A,CVA,LUA,UKD1	2.1 	3.7 	3.7 	5 
A,CVA,LUA,UKD3	12.5 	17.2 	17 	13.3 
A,CVA,LUA,UKD4	3.2 	4.7 	4.7 	5.8 
A,CVA,LUA,UKD6	4.3 	6.1 	5.6 	4.7 
A,CVA,LUA,UKD7	13.5 	19.9 	18.3 	29.5 
A,CVA,LUA,UKE	1.5 	1.8 	1.8 	2.1 
A,CVA,LUA,UKE1	2.3 	2.6 	2.7 	2 
A,CVA,LUA,UKE2	1.7 	2.4 	2.4 	3.3 
A,CVA,LUA,UKE3	7.3 	9.3 	8.4 	6.5 
A,CVA,LUA,UKE4	6.2 	7.8 	6.9 	8.5 
A,CVA,LUA,UKF	1.2 	1.5 	1.4 	1.2 
A,CVA,LUA,UKF1	2.8 	3.3 	3.2 	2.4 
A,CVA,LUA,UKF2	2.3 	3.1 	2.8 	2.3 
A,CVA,LUA,UKF3	1.4 	1.7 	1.7 	1.7 
A,CVA,LUA,UKG	1.6 	1.9 	1.8 	1.7 
A,CVA,LUA,UKG1	2.3 	2.8 	2.6 	2.2 
A,CVA,LUA,UKG2	1.9 	2.3 	2.4 	2.8 
A,CVA,LUA,UKG3	16.1 	20.3 	20 	16.4 
A,CVA,LUA,UKH	1.3 	1.5 	1.4 	1.2 
A,CVA,LUA,UKH1	1.4 	1.7 	1.6 	1.4 
A,CVA,LUA,UKH2	3.8 	5.4 	5.1 	3.9 
A,CVA,LUA,UKH3	3.1 	3.5 	3.6 	3.2 
A,CVA,LUA,UKI	22.2 	52.8 	38.2 	17.4 
A,CVA,LUA,UKI5	32.8 	36.8 	46.9 	41 
A,CVA,LUA,UKI6	34.8 	: 	128.3 	1.7 
A,CVA,LUA,UKI7	42.7 	65 	52.7 	35.7 
A,CVA,LUA,UKJ	1.8 	2 	2 	2.2 
A,CVA,LUA,UKJ1	2.9 	3.4 	3 	2.7 
A,CVA,LUA,UKJ2	3.8 	4.5 	4.4 	6.7 
A,CVA,LUA,UKJ3	4.6 	4.4 	4.5 	4.1 
A,CVA,LUA,UKJ4	3.7 	4.3 	4.2 	3.9 
A,CVA,LUA,UKK	1.2 	1.4 	1.4 	1.3 
A,CVA,LUA,UKK1	2.4 	2.8 	2.4 	2.2 
A,CVA,LUA,UKK2	2 	2.4 	2.4 	2.7 
