freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,N,T,EL	: 	: 	: 	: 	: 	270000 e	260000 e	253000 e	247000 e	255000 e	224000 e	210000 e	236000 e	201000 e	184789 	212948 	181394 	175445 	182534 	165942 	164334 	185019 	192167 	179436 	189748 	202945 	208752 	167421 
A,N,T,ES	: 	: 	: 	: 	: 	1279154 	1131006 	1026546 	1198606 	1072949 	923764 	969783 	985857 	739757 	781069 	940984 	846697 	843410 	961507 	1101895 	1068103 	982155 	1072125 	1033494 	1011251 	1059299 	1029913 	744072 p
A,N,T,ES11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14762 	21300 	25500 	31100 	21299 	21708 	21962 	24606 	25034 	: 	: 
A,N,T,ES12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3867 	3500 	4700 	3800 	3389 	3286 	2539 	4813 	3854 	: 	: 
A,N,T,ES13	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3095 	3500 	3900 	2900 	2314 	3150 	3617 	4377 	14757 	: 	: 
A,N,T,ES21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11771 	11700 	13800 	13700 	11769 	11236 	12582 	12430 	18133 	: 	: 
A,N,T,ES22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20096 	23700 	28800 	28000 	21201 	18774 	29398 	21548 	28634 	: 	: 
A,N,T,ES23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11418 	12800 	15000 	15700 	15601 	15472 	18714 	16177 	21710 	: 	: 
A,N,T,ES24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82012 	96200 	107500 	105700 	91877 	131000 	146071 	119706 	140442 	: 	: 
A,N,T,ES30	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2541 	5500 	4500 	5500 	9552 	6565 	6305 	7408 	16236 	: 	: 
A,N,T,ES41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	215916 	238200 	273800 	270500 	239194 	223528 	238577 	269540 	249493 	: 	: 
A,N,T,ES42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77339 	95400 	104600 	95700 	90558 	97450 	91274 	83811 	82280 	: 	: 
A,N,T,ES43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30959 	30800 	40800 	38600 	48708 	44596 	47908 	47268 	48439 	: 	: 
A,N,T,ES51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46791 	46900 	54900 	59800 	54101 	51651 	45593 	44451 	49488 	: 	: 
A,N,T,ES52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76377 	87000 	83800 	81100 	75349 	76205 	75536 	78093 	76686 	: 	: 
A,N,T,ES53	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2737 	3700 	2600 	4400 	1397 	2625 	2140 	2444 	2693 	: 	: 
A,N,T,ES61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	194336 	229600 	285600 	263700 	248921 	309503 	246001 	235603 	242524 	: 	: 
A,N,T,ES62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45465 	48600 	49100 	43600 	42636 	51020 	39077 	34191 	33614 	: 	: 
A,N,T,ES70	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3928 	3100 	3000 	4300 	4284 	4279 	6198 	4785 	5282 	: 	: 
A,N,T,EU27_2020	: 	: 	: 	: 	: 	10606471 e	10322829 e	9940557 e	9904818 e	9987014 e	9729973 e	9715754 e	9683144 e	9874088 e	9243800 e	9388695 e	9738134 e	9537943 e	9840667 e	10061281 e	10350056 e	10293382 e	10535196 e	10368162 e	9870534 e	: 	: 	: 
A,N,T,FI	: 	: 	: 	: 	: 	167276 	165621 	160403 	159288 	154708 	149562 	148161 	148784 	162905 	136009 	156523 	146189 	138900 	138136 	147373 	143479 	138128 	138948 	138385 	146798 	139316 	145807 	106829 p
A,N,T,FI19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44721 	43802 	46876 	46852 	43450 	43703 	47495 	52303 	46627 	49035 	: 
A,N,T,FI1B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12048 	12230 	12299 	12713 	14031 	15125 	12086 	11818 	13009 	13615 	: 
A,N,T,FI1C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43951 	44515 	45849 	43038 	42748 	44650 	42421 	42670 	42575 	44559 	: 
A,N,T,FI1D	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37513 	36905 	41634 	40117 	37204 	34725 	35606 	39245 	36367 	37825 	: 
A,N,T,FI20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	666 	684 	715 	758 	695 	745 	778 	763 	738 	773 	: 
A,N,T,FR	: 	: 	: 	: 	: 	2482363 	2466650 	2388270 	2299057 	2316479 	2371149 	2254665 	2180592 	2311682 	2262011 	2089568 	2206363 	2178660 	2084375 	2167376 	2199550 	2214700 	2234189 	2250835 	2125147 	2016775 	1958478 	: 
A,N,T,FR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42408 	36502 	39135 	47825 	37008 	28893 	: 	: 	: 	: 	: 
A,N,T,FR21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	208869 	211848 	210947 	213097 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	188558 	185137 	196987 	195709 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95276 	124532 	135101 	125320 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	244724 	252446 	282749 	286272 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83401 	81834 	80380 	91539 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR26	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83218 	108336 	115609 	104164 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR30	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76107 	74111 	78079 	73861 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124882 	107175 	108876 	137219 	: 	: 	: 	: 	: 	: 	: 
