freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,N,T,PL12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79446 	113993 	127730 	133147 	118578 	113374 	115411 	118111 	119410 	132723 	94340 	116835 	: 	: 	: 	: 	: 	: 
A,N,T,PL2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53000 	49654 	50922 	51130 	46881 	45194 	49840 	48120 	53883 	50509 	45386 	46069 	52173 	48618 	46943 	46500 p	: 	: 
A,N,T,PL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30829 	26248 	24413 	23293 	20528 	20290 	20692 	20796 	25949 	23535 	23094 	21456 	26651 	22924 	23351 	21332 	: 	: 
A,N,T,PL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22171 	23406 	26509 	27837 	26353 	24904 	29148 	27324 	27934 	26974 	22292 	24613 	25522 	25694 	23592 	25052 	: 	: 
A,N,T,PL3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	178947 	188700 	199804 	207086 	191718 	192772 	181824 	203274 	227964 	222797 	201195 	193803 	: 	: 	: 	: 	: 	: 
A,N,T,PL31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80539 	83361 	90297 	96820 	85442 	80605 	84894 	94840 	101296 	101623 	96611 	94074 	: 	: 	: 	: 	: 	: 
A,N,T,PL32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21121 	24475 	25681 	26265 	22443 	21903 	21439 	19619 	24331 	24828 	20132 	20399 	: 	: 	: 	: 	: 	: 
A,N,T,PL33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24795 	28817 	31585 	32078 	25503 	25526 	24648 	28281 	33191 	28153 	30275 	23945 	: 	: 	: 	: 	: 	: 
A,N,T,PL34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52492 	52047 	52241 	51923 	58330 	64738 	50843 	60534 	69145 	68193 	54177 	55384 	: 	: 	: 	: 	: 	: 
A,N,T,PL4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	213939 	235988 	254547 	273581 	267824 	251563 	268951 	273158 	270286 	245526 	229137 	239714 	245672 	253079 	220170 	226900 p	: 	: 
A,N,T,PL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117263 	141341 	156458 	163284 	158531 	156230 	168417 	166769 	164298 	162207 	150250 	148091 	157621 	172114 	134151 	144987 	: 	: 
A,N,T,PL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66052 	64817 	67073 	73389 	73685 	68879 	68333 	76299 	69012 	58644 	54747 	66201 	64547 	54408 	63770 	59751 	: 	: 
A,N,T,PL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30624 	29830 	31016 	36908 	35608 	26454 	32201 	30090 	36976 	24675 	24140 	25421 	23504 	26558 	22249 	22107 	: 	: 
A,N,T,PL5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90834 	104927 	109709 	147725 	144145 	129899 	155499 	141812 	147106 	140223 	137473 	141833 	148076 	146821 	128804 	133400 p	: 	: 
A,N,T,PL51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49100 	55367 	67897 	89969 	85502 	78153 	86302 	84251 	87637 	88726 	81322 	83124 	93044 	88262 	76013 	78789 	: 	: 
A,N,T,PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41734 	49560 	41812 	57756 	58643 	51746 	69197 	57561 	59468 	51497 	56151 	58709 	55032 	58559 	52791 	54585 	: 	: 
A,N,T,PL6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	191929 	226206 	226496 	243806 	250337 	223739 	244125 	236663 	274604 	167945 	228066 	232374 	254967 	257547 	215598 	233200 p	: 	: 
A,N,T,PL61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88986 	102279 	98708 	116525 	113329 	97925 	102596 	100433 	135071 	102905 	110021 	104582 	124302 	121396 	95673 	100295 	: 	: 
A,N,T,PL62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55063 	70529 	74548 	73405 	74469 	67602 	80478 	72242 	69843 	65040 	61174 	67046 	69738 	67789 	54212 	68920 	: 	: 
A,N,T,PL63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47880 	53398 	53240 	53876 	62539 	58212 	61051 	63988 	69690 	65161 	56871 	60746 	60927 	68362 	65713 	63665 	: 	: 
A,N,T,PL7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	108979 	98911 	88153 	91500 p	: 	: 
A,N,T,PL71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77885 	72487 	65859 	66236 	: 	: 
A,N,T,PL72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31094 	26424 	22294 	25333 	: 	: 
A,N,T,PL8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	209987 	211337 	181248 	182900 p	: 	: 
A,N,T,PL81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122987 	116519 	101448 	92550 	: 	: 
A,N,T,PL82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23580 	23339 	21673 	22786 	: 	: 
A,N,T,PL84	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63420 	71479 	58127 	67498 	: 	: 
A,N,T,PL9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	130747 	162451 	113218 	119200 p	: 	: 
A,N,T,PL91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13034 	18252 	12117 	13399 	: 	: 
A,N,T,PL92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117713 	144200 	101101 	105758 	: 	: 
A,N,T,PT	137321 	159557 	154460 	140408 	128859 	147855 	129352 	128028 	110132 	125844 	102663 	87391 	113005 	105131 	97293 	100249 	97718 	108484 	111077 	131643 	117906 	108440 	102584 	101365 	107394 	103171 	94864 	57649 p
A,N,T,RO	: 	: 	: 	: 	: 	239279 	268469 	239071 	252139 	270131 	299195 	252201 	265487 	279886 	296055 	305757 	313333 	289963 	344468 	303562 	357352 	344311 	381342 	468639 	455964 	468891 	510802 	459017 
A,N,T,RO11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29790 	35780 	35442 	36409 	56129 	41427 	47856 	56825 	49070 	61974 	56234 
A,N,T,RO12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24441 	24129 	17956 	18438 	20830 	21396 	23025 	23042 	27727 	31066 	25036 
A,N,T,RO21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26524 	33178 	34051 	33880 	41230 	37316 	53983 	57895 	59420 	74484 	65142 
A,N,T,RO22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57504 	41373 	37597 	44791 	46770 	58495 	58679 	57791 	53430 	70372 	56636 
A,N,T,RO31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88626 	123666 	86976 	116374 	89432 	104871 	106590 	102550 	98141 	85015 	84143 
A,N,T,RO32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1024 	2416 	2246 	2658 	3618 	3890 	4067 	4355 	4126 	4165 	4182 
A,N,T,RO41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32837 	53545 	59274 	74897 	55936 	66161 	75156 	69332 	90592 	76410 	75567 
A,N,T,RO42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29217 	30381 	30020 	29905 	30366 	47786 	99283 	84174 	86385 	107316 	92077 
A,N,T,SE	: 	: 	: 	: 	: 	189400 	196900 	184800 	180100 	176800 	161500 	160300 	167100 	186500 	142400 	168000 	169800 	148100 	161100 	181100 	190200 	186000 	198500 	184200 	182700 	215200 	195000 	184900 
A,N,T,SE11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3300 	4300 	4600 	5000 	4900 	5000 	4500 	4400 	5800 	4800 	4600 
A,N,T,SE12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41000 	40200 	46100 	50500 	53700 	57700 	52600 	54000 	57100 	55100 	52300 
A,N,T,SE21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12700 	17800 	21800 	21300 	16000 	23700 	22600 	21100 	26800 	22200 	21000 
A,N,T,SE22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44300 	54800 	55600 	57200 	57200 	59200 	53200 	48800 	60100 	54700 	51900 
A,N,T,SE23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36100 	34400 	41600 	43000 	44300 	42900 	41500 	43300 	52000 	42900 	40700 
A,N,T,SE31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7200 	5900 	7900 	8500 	5900 	5900 	5700 	6500 	7700 	9700 	9100 
A,N,T,SE32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	900 	1400 	1400 	2000 	1600 	1700 	1700 	1800 	2000 	2000 	1900 
A,N,T,SE33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2600 	2300 	2100 	2700 	2400 	2400 	2400 	2800 	3700 	3600 	3400 
A,N,T,SI	: 	: 	: 	: 	: 	34159 	34765 	33412 	34501 	30264 	29169 	30383 	29613 	25039 	28202 	27486 	27134 	26300 	27263 	28612 	28319 	27095 	27084 	27293 	28048 	27692 	29143 	27831 
A,N,T,SI03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20621 	21376 	22537 	22306 	21663 	21654 	21997 	22606 	22315 	23484 	22427 
A,N,T,SI04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5679 	5887 	6075 	6013 	5432 	5430 	5295 	5442 	5377 	5659 	5404 
A,N,T,SK	: 	: 	: 	: 	: 	84609 	102423 	111507 	97727 	97151 	99760 	97023 	113298 	121435 	96334 	106513 	120555 	101004 	113581 	119036 	114773 	126236 	122541 	128977 	128533 	127677 	127495 	: 
A,N,T,SK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3777 	6986 	5053 	4848 	5497 	6230 	6799 	6241 	6098 	6546 	: 
A,N,T,SK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60821 	66886 	73372 	70975 	72728 	75926 	78744 	80514 	80466 	81708 	: 
A,N,T,SK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12421 	13667 	13997 	12919 	21564 	14873 	16089 	15122 	15086 	14534 	: 
A,N,T,SK04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23986 	26042 	26614 	26032 	26447 	25512 	27345 	26656 	26027 	24707 	: 
A,N,T,TR	: 	: 	: 	: 	: 	1378597 	1132555 	1199130 	1340867 	1366618 	1372371 	1406641 	1355755 	1133068 	1413793 	1343698 	1259352 	1431946 	1584237 	1492839 	1486568 	1896479 	1764638 	1527588 	1682549 	2052685 	1787348 	: 
A,N,T,TR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20073 	19989 	25501 	23728 	27797 	30610 	16760 	14594 	: 
A,N,T,TR21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	110085 	109623 	139850 	130128 	101754 	112076 	158862 	138325 	: 
A,N,T,TR22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46434 	46239 	58990 	54889 	50952 	56121 	68300 	59470 	: 
A,N,T,TR31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36882 	36727 	46854 	43597 	37953 	41803 	62747 	54626 	: 
A,N,T,TR32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58595 	58349 	74438 	69263 	59095 	65090 	69620 	60520 	: 
A,N,T,TR33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79183 	78850 	100593 	93600 	77079 	84890 	102326 	89099 	: 
A,N,T,TR41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50676 	50463 	64378 	59903 	52075 	57357 	66497 	57902 	: 
A,N,T,TR42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36113 	35961 	45877 	42688 	38393 	42285 	51316 	44687 	: 
A,N,T,TR51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46871 	46674 	59545 	55405 	45530 	50149 	52466 	45684 	: 
A,N,T,TR52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142765 	142165 	181366 	168758 	154658 	170346 	257858 	224528 	: 
A,N,T,TR61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43477 	43294 	55233 	51393 	39152 	43123 	51557 	44892 	: 
A,N,T,TR62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	118815 	118316 	150941 	140448 	123126 	135612 	154479 	134511 	: 
A,N,T,TR63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90962 	90580 	115557 	107524 	70340 	77476 	109105 	95012 	: 
A,N,T,TR71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80104 	79767 	101763 	94688 	71864 	79154 	101723 	88574 	: 
A,N,T,TR72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69224 	68933 	87941 	81827 	65255 	71873 	86075 	74959 	: 
A,N,T,TR81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4514 	4495 	5735 	5336 	7166 	7893 	4343 	3781 	: 
A,N,T,TR82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16061 	15993 	20403 	18985 	16349 	18008 	19864 	17350 	: 
A,N,T,TR83	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75596 	75279 	96036 	89360 	74174 	81698 	107379 	93499 	: 
A,N,T,TR90	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44321 	44135 	56305 	52391 	50911 	56076 	58215 	50690 	: 
A,N,T,TRA1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10815 	10770 	13740 	12784 	13388 	14745 	13686 	11927 	: 
A,N,T,TRA2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9396 	9357 	11937 	11107 	12072 	13296 	11696 	10184 	: 
A,N,T,TRB1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15553 	15487 	19758 	18384 	15107 	16640 	18229 	15892 	: 
A,N,T,TRB2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9883 	9841 	12555 	11682 	15811 	17415 	14733 	12821 	: 
A,N,T,TRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39552 	39386 	50246 	46753 	33579 	36982 	45341 	39480 	: 
A,N,T,TRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	169462 	168750 	215282 	200316 	151510 	166906 	269065 	234285 	: 
A,N,T,TRC3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67426 	67145 	85655 	79701 	122497 	134925 	80445 	70056 	: 
A,N,T,UK	: 	: 	: 	: 	: 	1267999 	1161989 	1196998 	1130995 	1124999 	1060986 	1003003 	1008015 	1000999 	948001 	1016417 	1022082 	1000196 	999000 	1059748 	1048546 	1027000 	1041000 	1033000 	1039000 p	: 	: 	: 
A,P,T,AL	: 	: 	: 	: 	: 	15289 	15101 	16106 	15337 	16114 	16584 	13326 	13710 	12605 	14884 	13348 	15676 	15010 	15187 	14430 	14300 	14081 	14190 	: 	: 	: 	: 	: 
A,P,T,AT	: 	: 	: 	: 	: 	25429 	20180 	18881 	19432 	16048 	15824 	14794 	18163 	13808 	7256 	12527 	9947 	12301 	14234 	14110 	12495 	15451 	11789 	13110 	13238 	12208 	9757 	6765 dp
A,P,T,AT11	: 	: 	: 	: 	: 	: 	2002 	1642 	1746 	1137 	1208 	935 	1189 	1149 	581 	837 	878 	1125 	1106 	1274 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,AT12	: 	: 	: 	: 	: 	: 	8867 	7917 	8527 	7351 	6997 	6734 	8287 	5484 	2992 	5827 	3907 	4725 	6595 	6331 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,AT21	: 	: 	: 	: 	: 	: 	853 	840 	1290 	827 	942 	1120 	1820 	554 	361 	430 	400 	703 	594 	644 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,AT22	: 	: 	: 	: 	: 	: 	3074 	3334 	3333 	2453 	2575 	2452 	2580 	1932 	778 	2006 	1535 	2078 	1956 	1863 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,AT31	: 	: 	: 	: 	: 	: 	4856 	4565 	4085 	3869 	3678 	3136 	3897 	4501 	2395 	3130 	2941 	3386 	3778 	3712 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,AT32	: 	: 	: 	: 	: 	: 	358 	450 	337 	295 	325 	359 	323 	149 	132 	264 	253 	243 	160 	213 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,AT33	: 	: 	: 	: 	: 	: 	106 	90 	83 	90 	76 	34 	43 	28 	8 	17 	19 	33 	31 	38 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,AT34	: 	: 	: 	: 	: 	: 	65 	44 	32 	25 	22 	24 	24 	13 	9 	16 	14 	9 	15 	34 	: 	: 	: 	: 	: 	: 	: 	: 
A,P,T,BE	: 	: 	: 	: 	: 	16006 	11509 	12416 	11540 	12017 	10859 	9673 	11007 	7648 	5447 	6579 	6127 	5580 	6509 	6919 	6254 	5635 	5485 	5670 	5835 	5651 	5657 p	: 
A,P,T,BG	: 	: 	: 	: 	: 	7031 	3700 	9344 	10424 	13057 	10965 	11037 	12927 	13342 	13387 	17043 	12902 	20798 	11656 	28144 	27573 	36050 	29562 	33280 	33501 	34441 	31836 	: 
A,P,T,CH	: 	: 	: 	: 	: 	4803 	5327 	6418 	5196 	6200 	5065 	5894 	6593 	5108 	3886 	4672 	4585 	4803 	4323 	4192 	4235 	4279 	4279 	4061 	4366 	4148 	4017 p	3537 
A,P,T,CY	: 	: 	: 	: 	: 	2139 e	2251 e	2483 e	2860 e	2266 e	2141 e	2063 e	1972 e	939 e	2245 e	2286 e	1207 e	2143 e	1945 e	1728 e	2122 e	2349 e	2173 e	2267 e	2267 e	: 	: 	: 
A,P,T,CZ	: 	: 	: 	: 	: 	18916 	22925 	21458 	20323 	23952 	20461 	20487 	26705 	24097 	7585 	13654 	17304 	18713 	18201 	20070 	21221 	20716 	24159 	22459 	25337 	20716 	15783 	16335 
A,P,T,CZ01	: 	: 	: 	: 	: 	: 	66 	42 	78 	109 	52 	80 	67 	42 	13 	188 	220 	104 	63 	95 	70 	76 	94 	95 	117 	120 	73 	67 
A,P,T,CZ02	: 	: 	: 	: 	: 	: 	3788 	3694 	3856 	4710 	4222 	3999 	5252 	4746 	1603 	2813 	3446 	3648 	3708 	4194 	4455 	4353 	5189 	4732 	5139 	4184 	3261 	3292 
A,P,T,CZ03	: 	: 	: 	: 	: 	: 	3492 	3156 	2763 	3071 	2565 	2561 	3393 	3059 	872 	1836 	2236 	2364 	2227 	2657 	2643 	2818 	2892 	2561 	3078 	2768 	2014 	2104 
A,P,T,CZ04	: 	: 	: 	: 	: 	: 	1023 	1067 	692 	1189 	945 	1048 	1321 	1387 	534 	891 	962 	1149 	1293 	1408 	1421 	1368 	1688 	1654 	1756 	1240 	850 	981 
A,P,T,CZ05	: 	: 	: 	: 	: 	: 	3269 	3132 	2949 	3761 	3119 	3144 	3917 	3540 	1007 	1771 	2452 	2831 	2612 	2968 	3237 	3147 	3527 	4010 	4150 	3490 	2714 	2783 
A,P,T,CZ06	: 	: 	: 	: 	: 	: 	6227 	5586 	5551 	5921 	4698 	4930 	6407 	5802 	1881 	3137 	4170 	4629 	4459 	4689 	5099 	4587 	5280 	4813 	5753 	4936 	3935 	3834 
A,P,T,CZ07	: 	: 	: 	: 	: 	: 	3691 	3627 	3329 	3859 	3435 	3432 	4420 	4118 	1264 	2327 	3067 	3021 	2943 	3083 	3234 	3302 	4114 	3413 	3896 	2932 	2116 	2330 
A,P,T,CZ08	: 	: 	: 	: 	: 	: 	1369 	1154 	1104 	1332 	1425 	1293 	1928 	1403 	409 	690 	751 	968 	895 	976 	1062 	1065 	1375 	1182 	1448 	1047 	820 	945 
A,P,T,DE	: 	: 	: 	: 	: 	183527 	153392 	137344 	142944 	124060 	132171 	119606 	115534 	138274 	76122 	102675 	125025 	107880 	124073 	123999 	131503 	125643 	100894 	91047 	87830 	108180 	83910 	49978 
A,P,T,DK	: 	: 	: 	: 	: 	16000 e	15000 e	14000 e	14000 e	14000 e	12000 e	14000 e	14000 e	7000 e	11000 e	10000 e	10000 e	12800 	12300 	14000 	13800 	13800 	20800 	14810 	14767 	16288 	15062 	: 
A,P,T,EE	: 	: 	: 	: 	: 	1727 	1739 	1753 	2699 	3240 	2743 	3536 	3520 	4187 	2471 	2671 	2680 	2955 	3129 	3775 	3522 	3444 	4063 	4062 	4055 	4827 	4957 	3869 
A,P,T,EL	: 	: 	: 	: 	: 	49000 e	49000 e	47000 e	48000 e	44000 e	38000 e	36000 e	33000 e	28000 e	24002 	30073 	25048 	21734 	25896 	24024 	21962 	22515 	28172 	25886 	25977 	28308 	30074 	24948 
A,P,T,ES	: 	: 	: 	: 	: 	248996 	266704 	264253 	268253 	257090 	224184 	197553 	242054 	118576 	115360 	147495 	158350 	164427 	189014 	174028 	179784 	181186 	190414 	185983 	209386 	212467 	173028 	105562 p
A,P,T,ES11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4305 	3449 	3930 	4454 	3416 	3206 	4419 	4676 	4781 	: 	: 
A,P,T,ES12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1436 	1092 	1223 	1354 	1109 	1106 	877 	1520 	867 	: 	: 
A,P,T,ES13	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1122 	917 	1048 	1223 	928 	2128 	1646 	2168 	2409 	: 	: 
A,P,T,ES21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	862 	2838 	1921 	2620 	2390 	2087 	1871 	2185 	2193 	: 	: 
A,P,T,ES22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4563 	4977 	4497 	4585 	4983 	3605 	5443 	7536 	9014 	: 	: 
A,P,T,ES23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2051 	2882 	2401 	1790 	2603 	2270 	2452 	2724 	1675 	: 	: 
A,P,T,ES24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17243 	26154 	19037 	18251 	21819 	25480 	26229 	2724 	28760 	: 	: 
A,P,T,ES30	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1159 	1615 	1528 	830 	958 	1196 	1291 	28288 	8706 	: 	: 
A,P,T,ES41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46507 	48203 	46631 	44492 	46715 	40978 	42880 	1600 	50544 	: 	: 
A,P,T,ES42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22084 	23796 	18425 	19255 	18632 	22417 	19255 	55050 	20385 	: 	: 
A,P,T,ES43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7399 	5894 	6811 	6899 	7876 	8442 	8129 	8205 	7326 	: 	: 
A,P,T,ES51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8146 	14932 	12662 	9475 	7526 	12557 	9490 	9229 	10561 	: 	: 
A,P,T,ES52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10512 	12313 	13492 	16155 	14431 	13347 	14623 	16085 	15148 	: 	: 
A,P,T,ES53	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	272 	131 	175 	349 	73 	281 	178 	152 	269 	: 	: 
A,P,T,ES61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26233 	32790 	34275 	37899 	39363 	42773 	38503 	41326 	39881 	: 	: 
A,P,T,ES62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10316 	6506 	5501 	9693 	7864 	8057 	8242 	7257 	9522 	: 	: 
A,P,T,ES70	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	218 	524 	437 	480 	501 	491 	454 	593 	424 	: 	: 
