A,UAAIB,PC_UAA,DE50	: 	: 	: 	: 	0.4 
A,UAAIB,PC_UAA,DE6	: 	: 	10.5 	10.2 	: 
A,UAAIB,PC_UAA,DE60	: 	: 	: 	: 	10.7 
A,UAAIB,PC_UAA,DE7	: 	: 	4.2 	4.3 	: 
A,UAAIB,PC_UAA,DE71	: 	: 	: 	: 	12.6 
A,UAAIB,PC_UAA,DE72	: 	: 	: 	: 	0.3 
A,UAAIB,PC_UAA,DE73	: 	: 	: 	: 	0.2 
A,UAAIB,PC_UAA,DE8	: 	: 	2.3 	2.4 	: 
A,UAAIB,PC_UAA,DE80	: 	: 	: 	: 	2.5 
A,UAAIB,PC_UAA,DE9	: 	: 	12.2 	12.8 	: 
A,UAAIB,PC_UAA,DE91	: 	: 	: 	: 	16.2 
A,UAAIB,PC_UAA,DE92	: 	: 	: 	: 	9.6 
A,UAAIB,PC_UAA,DE93	: 	: 	: 	: 	23.4 
A,UAAIB,PC_UAA,DE94	: 	: 	: 	: 	2.7 
A,UAAIB,PC_UAA,DEA	: 	: 	4.2 	4.6 	: 
A,UAAIB,PC_UAA,DEA1	: 	: 	: 	: 	16.9 
A,UAAIB,PC_UAA,DEA2	: 	: 	: 	: 	3.9 
A,UAAIB,PC_UAA,DEA3	: 	: 	: 	: 	2.4 
A,UAAIB,PC_UAA,DEA4	: 	: 	: 	: 	0.8 
A,UAAIB,PC_UAA,DEA5	: 	: 	: 	: 	0.3 
A,UAAIB,PC_UAA,DEB	: 	: 	4.5 	4.4 	: 
A,UAAIB,PC_UAA,DEB1	: 	: 	: 	: 	0.3 
A,UAAIB,PC_UAA,DEB2	: 	: 	: 	: 	0.1 
A,UAAIB,PC_UAA,DEB3	: 	: 	: 	: 	12.0 
A,UAAIB,PC_UAA,DEC	: 	: 	0.2 	0.4 	: 
A,UAAIB,PC_UAA,DEC0	: 	: 	: 	: 	0.3 
A,UAAIB,PC_UAA,DED	: 	: 	1.3 	1.3 	: 
A,UAAIB,PC_UAA,DED2	: 	: 	: 	: 	1.5 
A,UAAIB,PC_UAA,DED4	: 	: 	: 	: 	0.1 
A,UAAIB,PC_UAA,DED5	: 	: 	: 	: 	3.0 
A,UAAIB,PC_UAA,DEE	: 	: 	2.1 	2.4 	: 
A,UAAIB,PC_UAA,DEE0	: 	: 	: 	: 	2.7 
A,UAAIB,PC_UAA,DEF	: 	: 	2.2 	2.3 	: 
A,UAAIB,PC_UAA,DEF0	: 	: 	: 	: 	2.0 
A,UAAIB,PC_UAA,DEG	: 	: 	0.7 	0.8 	: 
A,UAAIB,PC_UAA,DEG0	: 	: 	: 	: 	0.7 
A,UAAIB,PC_UAA,DK	16.6 	16.4 	18.2 	16.8 	8.3 
A,UAAIB,PC_UAA,DK01	4.7 	4.8 	4.7 	3.8 	1.9 
A,UAAIB,PC_UAA,DK02	3.1 	3.0 	3.4 	3.1 	1.5 
A,UAAIB,PC_UAA,DK03	23.7 	23.6 	26.3 	24.5 	12.1 
A,UAAIB,PC_UAA,DK04	24.2 	23.7 	26.9 	24.6 	13.2 
A,UAAIB,PC_UAA,DK05	7.9 	8.1 	8.0 	7.3 	2.2 
A,UAAIB,PC_UAA,EE	: 	: 	0.0 	0.0 	0.3 
A,UAAIB,PC_UAA,EE00	: 	: 	0.0 	0.0 	0.3 
A,UAAIB,PC_UAA,EL	40.0 	38.2 	25.1 	31.2 	29.7 
A,UAAIB,PC_UAA,EL11	55.2 	56.2 	30.1 	51.1 	: 
A,UAAIB,PC_UAA,EL12	51.1 	51.2 	32.0 	46.3 	: 
A,UAAIB,PC_UAA,EL13	28.4 	22.2 	15.8 	15.4 	: 
A,UAAIB,PC_UAA,EL14	62.9 	61.3 	33.1 	48.2 	: 
A,UAAIB,PC_UAA,EL21	37.0 	32.0 	17.8 	24.1 	: 
A,UAAIB,PC_UAA,EL22	6.7 	4.4 	3.0 	3.6 	: 
A,UAAIB,PC_UAA,EL23	45.4 	39.3 	28.2 	38.8 	: 
A,UAAIB,PC_UAA,EL24	41.0 	35.8 	20.6 	37.9 	: 
A,UAAIB,PC_UAA,EL25	30.8 	29.3 	20.4 	22.1 	: 
A,UAAIB,PC_UAA,EL30	42.2 	26.4 	27.0 	25.3 	15.6 
A,UAAIB,PC_UAA,EL41	4.9 	4.9 	4.0 	5.6 	4.2 
A,UAAIB,PC_UAA,EL42	7.9 	8.1 	7.8 	4.8 	4.1 
A,UAAIB,PC_UAA,EL43	27.6 	28.5 	23.6 	16.2 	16.0 
